id,consumed_J,consumed_kWh,infra_consumed_J,infra_consumed_kWh,device_consumed_J,device_consumed_kWh,tech,profile,sim_end_s,rx_total_bytes,mobile_rx_bytes,mobile_tx_bytes,send_attempts,send_ok,send_fail_notconn,send_fail_again,send_fail_other,send_fail_other_first_errno,send_fail_other_last_errno
html5__0zMYP44zps17html__wifi_ac,296.292,8.23033e-05,267.824,7.43956e-05,28.4676,7.90768e-06,wifi_ac,cli_profile,33.4369,3750659,3744478,6181,221269,2442,0,218827,0,-1,-1
html5__0zMYP44zps17html__lte,46382.8,0.0128841,46338.2,0.0128717,44.5237,1.23677e-05,lte,cli_profile,36.8307,3750659,3744478,6181,794708,2442,0,792266,0,-1,-1
html5__Aq8S3p37sK76html__wifi_ac,297.484,8.26344e-05,268.9,7.46944e-05,28.584,7.93999e-06,wifi_ac,cli_profile,33.566,4386327,4379782,6545,256204,2853,0,253351,0,-1,-1
html5__Aq8S3p37sK76html__lte,50736.7,0.0140935,50687.8,0.0140799,48.8677,1.35744e-05,lte,cli_profile,37.574,4386327,4379782,6545,1164800,2853,0,1161947,0,-1,-1
html5hiili__ad18__wifi_ac,367.163,0.00010199,331.832,9.21756e-05,35.3312,9.81421e-06,wifi_ac,cli_profile,41.4705,2135464,2092300,43164,12254,1398,0,10856,0,-1,-1
html5hiili__ad18__lte,42132.7,0.0117035,42090.6,0.0116918,42.1178,1.16994e-05,lte,cli_profile,41.382,2135464,2092300,43164,145345,1398,0,143947,0,-1,-1
nexd__TikTok_for_Business_copy__wifi_ac,305.751,8.49309e-05,276.362,7.67671e-05,29.3896,8.16378e-06,wifi_ac,cli_profile,34.5338,587696,581104,6592,397,397,0,0,0,-1,-1
nexd__TikTok_for_Business_copy__lte,28916.7,0.00803241,28890.1,0.00802503,26.5878,7.38549e-06,lte,cli_profile,34.446,587696,581104,6592,22144,397,0,21747,0,-1,-1
nexd__300x250_SLO_Hofer_Cena_09_25_copy__wifi_ac,315.076,8.75211e-05,284.798,7.91104e-05,30.2785,8.4107e-06,wifi_ac,cli_profile,35.5868,389700,382798,6902,270,270,0,0,0,-1,-1
nexd__300x250_SLO_Hofer_Cena_09_25_copy__lte,28598.8,0.00794411,28572.6,0.00793684,26.1727,7.2702e-06,lte,cli_profile,35.4994,389700,382798,6902,6789,270,0,6519,0,-1,-1
nexd__In-BannerVideo_300x250_copy__wifi_ac,350.432,9.73423e-05,316.747,8.79852e-05,33.6858,9.35717e-06,wifi_ac,cli_profile,39.5808,691997,682613,9384,471,471,0,0,0,-1,-1
nexd__In-BannerVideo_300x250_copy__lte,33809.8,0.00939162,33776.8,0.00938244,33.0243,9.17343e-06,lte,cli_profile,39.4909,691997,682613,9384,30229,471,0,29758,0,-1,-1
html5hiili__ad7__wifi_ac,347.216,9.6449e-05,313.865,8.71847e-05,33.3516,9.26433e-06,wifi_ac,cli_profile,39.2119,466641,437279,29362,2678,327,0,2351,0,-1,-1
html5hiili__ad7__lte,34204.7,0.0095013,34168.7,0.00949132,35.927,9.97972e-06,lte,cli_profile,39.1219,466641,437279,29362,3483,327,0,3156,0,-1,-1
html5hiili__ad43__wifi_ac,326.923,9.0812e-05,295.507,8.20854e-05,31.416,8.72666e-06,wifi_ac,cli_profile,36.9235,493595,478222,15373,329,329,0,0,0,-1,-1
html5hiili__ad43__lte,31832.1,0.00884224,31799.8,0.00883328,32.2654,8.96262e-06,lte,cli_profile,36.835,493595,478222,15373,11121,329,0,10792,0,-1,-1
nexd__Dyson_Asset_Specific_Overlays_copy__wifi_ac,305.789,8.49415e-05,276.396,7.67768e-05,29.3928,8.16468e-06,wifi_ac,cli_profile,34.538,578828,572124,6704,391,391,0,0,0,-1,-1
nexd__Dyson_Asset_Specific_Overlays_copy__lte,29030.4,0.008064,29003.3,0.00805647,27.1377,7.53825e-06,lte,cli_profile,34.451,578828,572124,6704,21478,391,0,21087,0,-1,-1
html5hiili__ad34__wifi_ac,350.843,9.74565e-05,317.137,8.80936e-05,33.7064,9.36288e-06,wifi_ac,cli_profile,39.6185,1119528,1087394,32134,2629,743,0,1886,0,-1,-1
html5hiili__ad34__lte,36336,0.0100933,36299.6,0.0100832,36.3755,1.01043e-05,lte,cli_profile,39.53,1119528,1087394,32134,44593,743,0,43850,0,-1,-1
html5hiili__ad29__wifi_ac,344.376,9.56599e-05,311.296,8.6471e-05,33.08,9.18888e-06,wifi_ac,cli_profile,38.8835,1502573,1469854,32719,30666,987,0,29679,0,-1,-1
html5hiili__ad29__lte,36546.1,0.0101517,36510.8,0.0101419,35.3778,9.82717e-06,lte,cli_profile,38.795,1502573,1469854,32719,91692,987,0,90705,0,-1,-1
html5__DV5p7e0EEn2nhtml__wifi_ac,318.658,8.85162e-05,287.559,7.98776e-05,31.0989,8.6386e-06,wifi_ac,cli_profile,36.039,12142494,12137887,4607,11348,7815,0,3533,0,-1,-1
html5__DV5p7e0EEn2nhtml__lte,81236.8,0.0225658,81158.5,0.022544,78.3648,2.1768e-05,lte,cli_profile,47.466,9336672,9332065,4607,7564839,6094,0,7558745,0,-1,-1
nexd__BIC_KIDS_AVA_SCROLLER_copy__wifi_ac,306.397,8.51103e-05,276.959,7.69331e-05,29.4376,8.17711e-06,wifi_ac,cli_profile,34.6056,231967,225972,5995,168,168,0,0,0,-1,-1
nexd__BIC_KIDS_AVA_SCROLLER_copy__lte,27383.4,0.0076065,27358,0.00759945,25.3654,7.04593e-06,lte,cli_profile,34.5171,231967,225972,5995,2282,168,0,2114,0,-1,-1
html5__1LtOL85ZtP0Phtml__wifi_ac,294.674,8.18539e-05,266.361,7.39893e-05,28.3128,7.86466e-06,wifi_ac,cli_profile,33.256,3520825,3511408,9417,213515,2315,0,211200,0,-1,-1
html5__1LtOL85ZtP0Phtml__lte,44559,0.0123775,44516.1,0.0123656,42.9038,1.19177e-05,lte,cli_profile,36.334,3520825,3511408,9417,685724,2315,0,683409,0,-1,-1
nexd__Drag_to_Reveal_300x600_copy__wifi_ac,332.789,9.24415e-05,300.801,8.35559e-05,31.988,8.88557e-06,wifi_ac,cli_profile,37.5879,603449,588785,14664,425,425,0,0,0,-1,-1
nexd__Drag_to_Reveal_300x600_copy__lte,31591.1,0.0087753,31560.9,0.0087669,30.2372,8.39923e-06,lte,cli_profile,37.4979,603449,588785,14664,22009,425,0,21584,0,-1,-1
html5hiili__ad26__wifi_ac,346.551,9.62641e-05,313.263,8.70174e-05,33.2879,9.24663e-06,wifi_ac,cli_profile,39.1325,1117756,1085027,32729,15104,741,0,14363,0,-1,-1
html5hiili__ad26__lte,35929,0.00998029,35893,0.00997028,36.0144,1.0004e-05,lte,cli_profile,39.044,1117756,1085027,32729,68122,741,0,67381,0,-1,-1
html5__idZOd1iyQtHUhtml__wifi_ac,287.321,7.98115e-05,259.723,7.21454e-05,27.598,7.6661e-06,wifi_ac,cli_profile,32.447,517037,513040,3997,23653,358,0,23295,0,-1,-1
html5__idZOd1iyQtHUhtml__lte,27459,0.00762749,27433.2,0.00762033,25.779,7.16082e-06,lte,cli_profile,32.66,517037,513040,3997,15253,358,0,14895,0,-1,-1
html5hiili__ad2__wifi_ac,346.46,9.62388e-05,313.181,8.69947e-05,33.2786,9.24405e-06,wifi_ac,cli_profile,39.1265,476235,446850,29385,3177,333,0,2844,0,-1,-1
