time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,eads.brame-gamification.com,tcp,uplink,152
0.000000,c0,tcp,uplink,181
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,184
0.000000,c0,tcp,uplink,186
0.000000,c0,tcp,uplink,180
0.000055,c0,tcp,downlink,654
0.000086,eads.brame-gamification.com,tcp,uplink,153
0.000110,c0,tcp,downlink,1520
0.000116,eads.brame-gamification.com,tcp,uplink,150
0.000138,eads.brame-gamification.com,tcp,uplink,153
0.000151,eads.brame-gamification.com,tcp,uplink,171
0.000165,c0,tcp,downlink,1520
0.000167,eads.brame-gamification.com,tcp,uplink,151
0.000186,ajax.googleapis.com,tcp,uplink,141
0.000202,eads.brame-gamification.com,tcp,uplink,141
0.000215,eads.brame-gamification.com,tcp,uplink,140
0.000227,eads.brame-gamification.com,tcp,uplink,130
0.000238,eads.brame-gamification.com,tcp,uplink,162
0.000310,c0,tcp,downlink,1520
0.000498,c0,tcp,downlink,1520
0.000500,c0,tcp,downlink,1295
0.000510,c0,tcp,downlink,1520
0.000710,c0,tcp,downlink,1520
0.000832,c0,tcp,downlink,1057
0.000910,c0,tcp,downlink,229
0.002600,eads.brame-gamification.com,tcp,uplink,165
0.009538,eads.brame-gamification.com,tcp,uplink,152
0.010950,eads.brame-gamification.com,tcp,uplink,158
0.045614,eads.brame-gamification.com,tcp,downlink,1520
0.046099,eads.brame-gamification.com,tcp,downlink,1520
0.046169,eads.brame-gamification.com,tcp,downlink,1520
0.052300,eads.brame-gamification.com,tcp,downlink,1520
0.053020,eads.brame-gamification.com,tcp,downlink,1520
0.057387,eads.brame-gamification.com,tcp,downlink,1520
0.058131,ajax.googleapis.com,tcp,downlink,1520
0.058996,eads.brame-gamification.com,tcp,downlink,1520
0.061514,ajax.googleapis.com,tcp,downlink,1520
0.064896,ajax.googleapis.com,tcp,downlink,1520
0.068279,ajax.googleapis.com,tcp,downlink,1520
0.068675,eads.brame-gamification.com,tcp,downlink,1520
0.069146,eads.brame-gamification.com,tcp,downlink,1520
0.069701,eads.brame-gamification.com,tcp,downlink,1520
0.071661,ajax.googleapis.com,tcp,downlink,1520
0.071662,eads.brame-gamification.com,tcp,downlink,1520
0.073487,eads.brame-gamification.com,tcp,downlink,541
0.074432,eads.brame-gamification.com,tcp,downlink,334
0.075044,ajax.googleapis.com,tcp,downlink,1520
0.076880,eads.brame-gamification.com,tcp,downlink,1520
0.076977,eads.brame-gamification.com,tcp,downlink,1520
0.077006,eads.brame-gamification.com,tcp,downlink,1520
0.077403,eads.brame-gamification.com,tcp,downlink,1520
0.077800,eads.brame-gamification.com,tcp,downlink,1520
0.078198,eads.brame-gamification.com,tcp,downlink,1520
0.078427,ajax.googleapis.com,tcp,downlink,1520
0.078595,eads.brame-gamification.com,tcp,downlink,1520
0.078992,eads.brame-gamification.com,tcp,downlink,1520
0.079389,eads.brame-gamification.com,tcp,downlink,1520
0.079787,eads.brame-gamification.com,tcp,downlink,1520
0.079964,eads.brame-gamification.com,tcp,downlink,1520
0.080184,eads.brame-gamification.com,tcp,downlink,1520
0.080581,eads.brame-gamification.com,tcp,downlink,1520
0.080978,eads.brame-gamification.com,tcp,downlink,1520
0.081375,eads.brame-gamification.com,tcp,downlink,1520
0.081773,eads.brame-gamification.com,tcp,downlink,1520
0.081809,ajax.googleapis.com,tcp,downlink,1520
0.082170,eads.brame-gamification.com,tcp,downlink,1520
0.082567,eads.brame-gamification.com,tcp,downlink,1520
0.082964,eads.brame-gamification.com,tcp,downlink,1520
0.083362,eads.brame-gamification.com,tcp,downlink,1520
0.083759,eads.brame-gamification.com,tcp,downlink,1520
0.084156,eads.brame-gamification.com,tcp,downlink,1520
0.084327,eads.brame-gamification.com,tcp,downlink,1520
0.084553,eads.brame-gamification.com,tcp,downlink,1520
0.084950,eads.brame-gamification.com,tcp,downlink,1520
0.085192,ajax.googleapis.com,tcp,downlink,1520
0.085348,eads.brame-gamification.com,tcp,downlink,1520
0.085745,eads.brame-gamification.com,tcp,downlink,1520
0.085993,eads.brame-gamification.com,tcp,downlink,1397
0.086142,eads.brame-gamification.com,tcp,downlink,1520
0.086383,eads.brame-gamification.com,tcp,downlink,1520
0.086539,eads.brame-gamification.com,tcp,downlink,1520
0.086937,eads.brame-gamification.com,tcp,downlink,1520
0.087334,eads.brame-gamification.com,tcp,downlink,1520
0.087731,eads.brame-gamification.com,tcp,downlink,1520
0.088128,eads.brame-gamification.com,tcp,downlink,1520
0.088525,eads.brame-gamification.com,tcp,downlink,1520
0.088574,ajax.googleapis.com,tcp,downlink,1520
0.088923,eads.brame-gamification.com,tcp,downlink,1520
0.089320,eads.brame-gamification.com,tcp,downlink,1520
0.089717,eads.brame-gamification.com,tcp,downlink,1520
0.090114,eads.brame-gamification.com,tcp,downlink,1520
0.090512,eads.brame-gamification.com,tcp,downlink,1520
0.090909,eads.brame-gamification.com,tcp,downlink,1520
0.091252,eads.brame-gamification.com,tcp,downlink,1350
0.091306,eads.brame-gamification.com,tcp,downlink,1520
0.091703,eads.brame-gamification.com,tcp,downlink,1520
0.091957,ajax.googleapis.com,tcp,downlink,1520
0.092101,eads.brame-gamification.com,tcp,downlink,1520
0.092498,eads.brame-gamification.com,tcp,downlink,1520
0.092895,eads.brame-gamification.com,tcp,downlink,1520
0.093292,eads.brame-gamification.com,tcp,downlink,1520
0.093689,eads.brame-gamification.com,tcp,downlink,1520
0.094084,eads.brame-gamification.com,tcp,downlink,1520
0.094087,eads.brame-gamification.com,tcp,downlink,1520
0.094484,eads.brame-gamification.com,tcp,downlink,1520
0.094881,eads.brame-gamification.com,tcp,downlink,1520
0.095278,eads.brame-gamification.com,tcp,downlink,1520
0.095339,ajax.googleapis.com,tcp,downlink,1520
0.095676,eads.brame-gamification.com,tcp,downlink,1520
0.096073,eads.brame-gamification.com,tcp,downlink,1520
0.096470,eads.brame-gamification.com,tcp,downlink,1520
0.096867,eads.brame-gamification.com,tcp,downlink,1520
0.096992,eads.brame-gamification.com,tcp,downlink,1520
0.097264,eads.brame-gamification.com,tcp,downlink,1520
0.097662,eads.brame-gamification.com,tcp,downlink,1520
0.098059,eads.brame-gamification.com,tcp,downlink,1520
0.098456,eads.brame-gamification.com,tcp,downlink,1520
0.098722,ajax.googleapis.com,tcp,downlink,1520
0.098853,eads.brame-gamification.com,tcp,downlink,1520
0.099251,eads.brame-gamification.com,tcp,downlink,1520
0.099648,eads.brame-gamification.com,tcp,downlink,1520
0.100045,eads.brame-gamification.com,tcp,downlink,1520
0.100442,eads.brame-gamification.com,tcp,downlink,1520
0.100839,eads.brame-gamification.com,tcp,downlink,1520
0.101237,eads.brame-gamification.com,tcp,downlink,1520
0.101634,eads.brame-gamification.com,tcp,downlink,1520
0.102031,eads.brame-gamification.com,tcp,downlink,1520
0.102105,ajax.googleapis.com,tcp,downlink,1520
0.102428,eads.brame-gamification.com,tcp,downlink,1520
0.102826,eads.brame-gamification.com,tcp,downlink,1520
0.103064,eads.brame-gamification.com,tcp,downlink,1255
0.103223,eads.brame-gamification.com,tcp,downlink,1520
0.103620,eads.brame-gamification.com,tcp,downlink,1520
0.104017,eads.brame-gamification.com,tcp,downlink,1520
0.104414,eads.brame-gamification.com,tcp,downlink,1520
0.104812,eads.brame-gamification.com,tcp,downlink,1520
0.105209,eads.brame-gamification.com,tcp,downlink,1520
0.105487,ajax.googleapis.com,tcp,downlink,1520
0.105606,eads.brame-gamification.com,tcp,downlink,1520
0.106003,eads.brame-gamification.com,tcp,downlink,1520
0.106401,eads.brame-gamification.com,tcp,downlink,1520
0.106798,eads.brame-gamification.com,tcp,downlink,1520
0.107195,eads.brame-gamification.com,tcp,downlink,1520
0.107592,eads.brame-gamification.com,tcp,downlink,1520
0.107989,eads.brame-gamification.com,tcp,downlink,1520
0.108387,eads.brame-gamification.com,tcp,downlink,1520
0.108784,eads.brame-gamification.com,tcp,downlink,1520
0.108870,ajax.googleapis.com,tcp,downlink,1520
0.109181,eads.brame-gamification.com,tcp,downlink,1520
0.109578,eads.brame-gamification.com,tcp,downlink,1520
0.109658,eads.brame-gamification.com,tcp,downlink,1520
0.109976,eads.brame-gamification.com,tcp,downlink,1520
0.110373,eads.brame-gamification.com,tcp,downlink,1520
0.110770,eads.brame-gamification.com,tcp,downlink,1520
0.111167,eads.brame-gamification.com,tcp,downlink,1520
0.111191,eads.brame-gamification.com,tcp,downlink,1520
0.111564,eads.brame-gamification.com,tcp,downlink,1520
0.111962,eads.brame-gamification.com,tcp,downlink,1520
0.112252,ajax.googleapis.com,tcp,downlink,1520
0.112359,eads.brame-gamification.com,tcp,downlink,1520
0.112756,eads.brame-gamification.com,tcp,downlink,1520
0.113153,eads.brame-gamification.com,tcp,downlink,1520
0.113551,eads.brame-gamification.com,tcp,downlink,1520
0.113948,eads.brame-gamification.com,tcp,downlink,1520
0.114345,eads.brame-gamification.com,tcp,downlink,1520
0.114742,eads.brame-gamification.com,tcp,downlink,1520
0.115139,eads.brame-gamification.com,tcp,downlink,1520
0.115537,eads.brame-gamification.com,tcp,downlink,1520
