time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,cdnjs.cloudflare.com,tcp,uplink,139
0.000000,c0,tcp,uplink,174
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,175
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,166
0.000000,c0,tcp,uplink,168
0.000005,c0,tcp,downlink,1520
0.000010,c0,tcp,downlink,1520
0.000015,c0,tcp,downlink,1520
0.000020,c0,tcp,downlink,1520
0.000025,c0,tcp,downlink,1520
0.000029,c0,tcp,downlink,1520
0.000034,c0,tcp,downlink,1520
0.000039,c0,tcp,downlink,1520
0.000044,c0,tcp,downlink,1520
0.000049,c0,tcp,downlink,1520
0.000054,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000059,c0,tcp,downlink,1520
0.000064,c0,tcp,downlink,1520
0.000069,c0,tcp,downlink,1520
0.000074,c0,tcp,downlink,1520
0.000078,c0,tcp,downlink,1520
0.000083,c0,tcp,downlink,1520
0.000088,c0,tcp,downlink,1520
0.000093,c0,tcp,downlink,1520
0.000098,c0,tcp,downlink,1520
0.000103,c0,tcp,downlink,1520
0.000108,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000113,c0,tcp,downlink,1520
0.000118,c0,tcp,downlink,1520
0.000121,c0,tcp,downlink,1520
0.000123,c0,tcp,downlink,1520
0.000127,c0,tcp,downlink,1520
0.000132,c0,tcp,downlink,1520
0.000132,c0,tcp,downlink,1520
0.000137,c0,tcp,downlink,1520
0.000142,c0,tcp,downlink,1520
0.000142,c0,tcp,downlink,1520
0.000147,c0,tcp,downlink,1520
0.000152,c0,tcp,downlink,1520
0.000153,c0,tcp,downlink,1520
0.000157,c0,tcp,downlink,1520
0.000162,c0,tcp,downlink,1520
0.000164,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000167,c0,tcp,downlink,1520
0.000172,c0,tcp,downlink,1520
0.000175,c0,tcp,downlink,1520
0.000176,c0,tcp,downlink,1520
0.000178,widget.taggbox.com,tcp,uplink,116
0.000181,c0,tcp,downlink,1520
0.000185,c0,tcp,downlink,1520
0.000186,c0,tcp,downlink,1520
0.000191,c0,tcp,downlink,1520
0.000196,c0,tcp,downlink,1520
0.000196,c0,tcp,downlink,1520
0.000201,c0,tcp,downlink,1520
0.000206,c0,tcp,downlink,1520
0.000207,c0,tcp,downlink,1520
0.000211,c0,tcp,downlink,1520
0.000216,c0,tcp,downlink,1520
0.000218,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000221,c0,tcp,downlink,1520
0.000222,c0,tcp,downlink,1520
0.000225,c0,tcp,downlink,1520
0.000228,c0,tcp,downlink,1520
0.000230,c0,tcp,downlink,1520
0.000235,c0,tcp,downlink,1520
0.000239,c0,tcp,downlink,1520
0.000240,c0,tcp,downlink,1520
0.000245,c0,tcp,downlink,1520
0.000250,c0,tcp,downlink,1520
0.000250,c0,tcp,downlink,1520
0.000255,c0,tcp,downlink,1520
0.000260,c0,tcp,downlink,1520
0.000261,c0,tcp,downlink,1520
0.000265,c0,tcp,downlink,1520
0.000270,c0,tcp,downlink,1520
0.000271,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,938
0.000279,c0,tcp,downlink,1520
0.000282,c0,tcp,downlink,1520
0.000284,c0,tcp,downlink,1520
0.000289,c0,tcp,downlink,1520
0.000293,c0,tcp,downlink,1520
0.000294,c0,tcp,downlink,1520
0.000299,c0,tcp,downlink,1520
0.000304,c0,tcp,downlink,1520
0.000304,c0,tcp,downlink,1520
0.000309,c0,tcp,downlink,1520
0.000314,c0,tcp,downlink,1520
0.000314,c0,tcp,downlink,1520
0.000319,c0,tcp,downlink,1520
0.000324,c0,tcp,downlink,1520
0.000325,c0,tcp,downlink,1520
0.000328,c0,tcp,downlink,1520
0.000333,c0,tcp,downlink,1520
0.000336,c0,tcp,downlink,1520
0.000338,c0,tcp,downlink,1520
0.000343,c0,tcp,downlink,1520
0.000347,c0,tcp,downlink,1520
0.000348,c0,tcp,downlink,1520
0.000353,c0,tcp,downlink,1520
0.000357,c0,tcp,downlink,1520
0.000358,c0,tcp,downlink,1520
0.000363,c0,tcp,downlink,1520
0.000368,c0,tcp,downlink,1520
0.000368,c0,tcp,downlink,1520
0.000373,c0,tcp,downlink,1520
0.000377,c0,tcp,downlink,1520
0.000379,c0,tcp,downlink,1520
0.000382,c0,tcp,downlink,1520
0.000387,c0,tcp,downlink,1520
0.000388,c0,tcp,downlink,1520
0.000390,c0,tcp,downlink,1520
0.000392,c0,tcp,downlink,1520
0.000397,c0,tcp,downlink,1520
0.000400,c0,tcp,downlink,1520
0.000402,c0,tcp,downlink,1520
0.000407,c0,tcp,downlink,1520
0.000411,c0,tcp,downlink,1520
0.000412,c0,tcp,downlink,1520
0.000417,c0,tcp,downlink,1520
0.000422,c0,tcp,downlink,1520
0.000422,c0,tcp,downlink,1520
0.000426,c0,tcp,downlink,1520
0.000431,c0,tcp,downlink,1520
0.000433,c0,tcp,downlink,1520
0.000436,c0,tcp,downlink,1520
0.000441,c0,tcp,downlink,1520
0.000443,c0,tcp,downlink,1520
0.000446,c0,tcp,downlink,1520
0.000451,c0,tcp,downlink,1520
0.000454,c0,tcp,downlink,1520
0.000456,c0,tcp,downlink,1520
0.000461,c0,tcp,downlink,1520
0.000465,c0,tcp,downlink,1520
0.000466,c0,tcp,downlink,1520
0.000471,c0,tcp,downlink,1520
0.000475,c0,tcp,downlink,1520
0.000476,c0,tcp,downlink,1520
0.000480,c0,tcp,downlink,1520
0.000485,c0,tcp,downlink,1520
0.000486,c0,tcp,downlink,1520
0.000490,c0,tcp,downlink,1520
0.000495,c0,tcp,downlink,1520
0.000497,c0,tcp,downlink,1520
0.000500,c0,tcp,downlink,1520
0.000505,c0,tcp,downlink,1520
0.000508,c0,tcp,downlink,1520
0.000510,c0,tcp,downlink,1520
0.000515,c0,tcp,downlink,1520
0.000519,c0,tcp,downlink,1520
0.000520,c0,tcp,downlink,1520
0.000525,c0,tcp,downlink,1520
0.000529,c0,tcp,downlink,1520
0.000529,c0,tcp,downlink,1520
0.000534,c0,tcp,downlink,1520
0.000539,c0,tcp,downlink,1520
0.000540,c0,tcp,downlink,1520
0.000544,c0,tcp,downlink,1520
0.000549,c0,tcp,downlink,1520
0.000551,c0,tcp,downlink,1520
0.000554,c0,tcp,downlink,1520
0.000555,c0,tcp,downlink,1520
0.000559,c0,tcp,downlink,1520
0.000562,c0,tcp,downlink,1520
0.000564,c0,tcp,downlink,1520
0.000569,c0,tcp,downlink,1520
0.000572,c0,tcp,downlink,1520
0.000574,c0,tcp,downlink,1520
0.000578,c0,tcp,downlink,1520
0.000583,c0,tcp,downlink,1520
0.000583,c0,tcp,downlink,1520
0.000588,c0,tcp,downlink,1520
0.000593,c0,tcp,downlink,1520
0.000594,c0,tcp,downlink,1520
0.000598,c0,tcp,downlink,1520
0.000603,c0,tcp,downlink,1520
0.000605,c0,tcp,downlink,1520
0.000608,c0,tcp,downlink,1520
0.000613,c0,tcp,downlink,1520
0.000615,c0,tcp,downlink,1520
0.000618,c0,tcp,downlink,1520
0.000623,c0,tcp,downlink,1520
0.000626,c0,tcp,downlink,1520
0.000627,c0,tcp,downlink,1520
0.000632,c0,tcp,downlink,1520
0.000637,c0,tcp,downlink,1520
0.000637,c0,tcp,downlink,1520
0.000642,c0,tcp,downlink,1520
0.000647,c0,tcp,downlink,1520
0.000648,c0,tcp,downlink,1520
0.000652,c0,tcp,downlink,1520
0.000657,c0,tcp,downlink,1520
0.000658,c0,tcp,downlink,1520
0.000662,c0,tcp,downlink,1520
0.000665,c0,tcp,downlink,1175
0.000667,c0,tcp,downlink,1520
0.000669,c0,tcp,downlink,1520
0.000672,c0,tcp,downlink,1520
0.000676,c0,tcp,downlink,1520
0.000680,c0,tcp,downlink,1520
0.000681,c0,tcp,downlink,1520
0.000686,c0,tcp,downlink,1520
0.000691,c0,tcp,downlink,1520
0.000691,c0,tcp,downlink,1520
0.000696,c0,tcp,downlink,1520
0.000701,c0,tcp,downlink,1520
0.000701,c0,tcp,downlink,1520
0.000706,c0,tcp,downlink,1520
0.000711,c0,tcp,downlink,1520
0.000712,c0,tcp,downlink,1520
0.000716,c0,tcp,downlink,1520
0.000720,c0,tcp,downlink,954
0.000721,c0,tcp,downlink,1520
0.000722,c0,tcp,downlink,1520
0.000723,c0,tcp,downlink,1520
0.000725,c0,tcp,downlink,1520
0.000730,c0,tcp,downlink,1520
0.000734,c0,tcp,downlink,1520
0.000735,c0,tcp,downlink,1520
0.000740,c0,tcp,downlink,1520
0.000744,c0,tcp,downlink,1520
0.000745,c0,tcp,downlink,1520
0.000750,c0,tcp,downlink,1520
0.000755,c0,tcp,downlink,1520
0.000755,c0,tcp,downlink,1520
0.000760,c0,tcp,downlink,1520
0.000765,c0,tcp,downlink,1520
0.000766,c0,tcp,downlink,1520
0.000770,c0,tcp,downlink,1520
0.000775,c0,tcp,downlink,1520
0.000777,c0,tcp,downlink,1520
0.000779,c0,tcp,downlink,1520
0.000784,c0,tcp,downlink,1520
0.000787,c0,tcp,downlink,1520
0.000789,c0,tcp,downlink,1520
0.000794,c0,tcp,downlink,1520
0.000798,c0,tcp,downlink,1520
0.000799,c0,tcp,downlink,1520
0.000804,c0,tcp,downlink,1520
0.000809,c0,tcp,downlink,1520
0.000809,c0,tcp,downlink,1520
0.000814,c0,tcp,downlink,1520
0.000819,c0,tcp,downlink,1520
0.000820,c0,tcp,downlink,1520
0.000824,c0,tcp,downlink,1520
0.000828,c0,tcp,downlink,1520
0.000830,c0,tcp,downlink,1520
0.000833,c0,tcp,downlink,1520
0.000838,c0,tcp,downlink,1520
0.000841,c0,tcp,downlink,1520
0.000843,c0,tcp,downlink,1520
0.000848,c0,tcp,downlink,1520
0.000852,c0,tcp,downlink,1520
0.000853,c0,tcp,downlink,1520
0.000858,c0,tcp,downlink,1520
0.000863,c0,tcp,downlink,1520
0.000863,c0,tcp,downlink,1520
0.000868,c0,tcp,downlink,1520
0.000873,c0,tcp,downlink,1520
0.000873,c0,tcp,downlink,1520
0.000877,c0,tcp,downlink,1520
0.000882,c0,tcp,downlink,1520
0.000884,c0,tcp,downlink,1520
0.000887,c0,tcp,downlink,1520
0.000888,c0,tcp,downlink,155
0.000892,c0,tcp,downlink,1520
0.000895,c0,tcp,downlink,1520
0.000897,c0,tcp,downlink,1520
0.000902,c0,tcp,downlink,1520
0.000906,c0,tcp,downlink,1520
0.000907,c0,tcp,downlink,1520
0.000912,c0,tcp,downlink,1520
0.000916,c0,tcp,downlink,1520
0.000917,c0,tcp,downlink,1520
0.000922,c0,tcp,downlink,1520
0.000926,c0,tcp,downlink,1520
0.000927,c0,tcp,downlink,1520
0.000931,c0,tcp,downlink,1520
0.000936,c0,tcp,downlink,1520
0.000938,c0,tcp,downlink,1520
0.000941,c0,tcp,downlink,1520
0.000946,c0,tcp,downlink,1520
0.000949,c0,tcp,downlink,1520
0.000951,c0,tcp,downlink,1520
0.000956,c0,tcp,downlink,1520
0.000959,c0,tcp,downlink,1520
0.000961,c0,tcp,downlink,1520
0.000966,c0,tcp,downlink,1520
0.000970,c0,tcp,downlink,1520
0.000971,c0,tcp,downlink,1520
0.000975,c0,tcp,downlink,1520
0.000980,c0,tcp,downlink,1520
0.000981,c0,tcp,downlink,1520
0.000985,c0,tcp,downlink,1520
0.000990,c0,tcp,downlink,1520
0.000992,c0,tcp,downlink,1520
0.000995,c0,tcp,downlink,705
0.001002,c0,tcp,downlink,1520
0.001013,c0,tcp,downlink,1520
0.001024,c0,tcp,downlink,1520
0.001035,c0,tcp,downlink,1520
0.001045,c0,tcp,downlink,1520
0.001056,c0,tcp,downlink,1520
0.001067,c0,tcp,downlink,1520
0.001078,c0,tcp,downlink,1520
0.001088,c0,tcp,downlink,1520
0.001099,c0,tcp,downlink,680
0.093922,cdnjs.cloudflare.com,tcp,downlink,1520
0.101054,cdnjs.cloudflare.com,tcp,downlink,1520
0.108187,cdnjs.cloudflare.com,tcp,downlink,1520
0.115319,cdnjs.cloudflare.com,tcp,downlink,1520
0.122452,cdnjs.cloudflare.com,tcp,downlink,1520
0.129584,cdnjs.cloudflare.com,tcp,downlink,1520
0.136717,cdnjs.cloudflare.com,tcp,downlink,1520
0.143849,cdnjs.cloudflare.com,tcp,downlink,1520
0.150982,cdnjs.cloudflare.com,tcp,downlink,1520
0.158114,cdnjs.cloudflare.com,tcp,downlink,1520
0.165246,cdnjs.cloudflare.com,tcp,downlink,1520
0.172379,cdnjs.cloudflare.com,tcp,downlink,1520
0.179511,cdnjs.cloudflare.com,tcp,downlink,1520
0.186380,widget.taggbox.com,tcp,downlink,1520
0.186644,cdnjs.cloudflare.com,tcp,downlink,1520
0.193776,cdnjs.cloudflare.com,tcp,downlink,1520
0.200909,cdnjs.cloudflare.com,tcp,downlink,1520
0.208041,cdnjs.cloudflare.com,tcp,downlink,1520
0.215174,cdnjs.cloudflare.com,tcp,downlink,1192
0.319781,widget.taggbox.com,tcp,downlink,273
0.454436,widget.taggbox.com,tcp,uplink,114
0.468057,widget.taggbox.com,tcp,uplink,121
0.481088,widget.taggbox.com,tcp,downlink,1170
0.490506,widget.taggbox.com,tcp,downlink,772
0.497907,widget.taggbox.com,tcp,uplink,114
0.514376,widget.taggbox.com,tcp,downlink,808
0.535752,widget.taggbox.com,tcp,uplink,151
0.535873,widget.taggbox.com,tcp,uplink,149
0.564895,widget.taggbox.com,tcp,downlink,1520
0.576768,widget.taggbox.com,tcp,downlink,1520
0.579995,widget.taggbox.com,tcp,downlink,1520
0.580669,widget.taggbox.com,tcp,downlink,1520
0.581343,widget.taggbox.com,tcp,downlink,1520
0.582017,widget.taggbox.com,tcp,downlink,1520
0.582691,widget.taggbox.com,tcp,downlink,1520
0.583365,widget.taggbox.com,tcp,downlink,1520
0.584040,widget.taggbox.com,tcp,downlink,1520
0.584714,widget.taggbox.com,tcp,downlink,1520
0.585388,widget.taggbox.com,tcp,downlink,1520
0.586062,widget.taggbox.com,tcp,downlink,1520
0.586736,widget.taggbox.com,tcp,downlink,1520
0.587410,widget.taggbox.com,tcp,downlink,1520
0.588084,widget.taggbox.com,tcp,downlink,1520
0.588641,widget.taggbox.com,tcp,downlink,920
0.588758,widget.taggbox.com,tcp,downlink,1520
0.589432,widget.taggbox.com,tcp,downlink,1520
0.590106,widget.taggbox.com,tcp,downlink,1520
0.590780,widget.taggbox.com,tcp,downlink,1520
0.591454,widget.taggbox.com,tcp,downlink,1520
0.592129,widget.taggbox.com,tcp,downlink,1520
0.592803,widget.taggbox.com,tcp,downlink,1520
0.593477,widget.taggbox.com,tcp,downlink,1520
0.594151,widget.taggbox.com,tcp,downlink,1520
0.594825,widget.taggbox.com,tcp,downlink,1520
0.595499,widget.taggbox.com,tcp,downlink,1520
0.596173,widget.taggbox.com,tcp,downlink,1520
0.596847,widget.taggbox.com,tcp,downlink,1520
0.597521,widget.taggbox.com,tcp,downlink,1520
0.598195,widget.taggbox.com,tcp,downlink,1520
0.598869,widget.taggbox.com,tcp,downlink,1520
0.599544,widget.taggbox.com,tcp,downlink,1520
0.600218,widget.taggbox.com,tcp,downlink,1520
0.600892,widget.taggbox.com,tcp,downlink,1520
0.601566,widget.taggbox.com,tcp,downlink,1520
0.602240,widget.taggbox.com,tcp,downlink,1520
