time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,eads.brame-gamification.com,tcp,uplink,131
0.000000,c0,tcp,uplink,209
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,210
0.000000,c0,tcp,uplink,213
0.000000,c0,tcp,uplink,213
0.000000,c0,tcp,uplink,218
0.000000,c0,tcp,uplink,212
0.000000,c0,tcp,uplink,212
0.000000,c0,tcp,uplink,212
0.000000,c0,tcp,uplink,214
0.000000,c0,tcp,uplink,213
0.000000,c0,tcp,uplink,213
0.000000,c0,tcp,uplink,213
0.000000,c0,tcp,uplink,213
0.000000,c0,tcp,uplink,209
0.000000,c0,tcp,uplink,206
0.000000,c0,tcp,uplink,206
0.000000,c0,tcp,uplink,209
0.000050,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000100,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000150,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000200,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000250,c0,tcp,downlink,1520
0.000255,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000282,c0,tcp,downlink,1520
0.000294,c0,tcp,downlink,1520
0.000300,c0,tcp,downlink,1520
0.000310,c0,tcp,downlink,1520
0.000312,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000331,c0,tcp,downlink,1520
0.000332,c0,tcp,downlink,1520
0.000345,c0,tcp,downlink,1520
0.000349,c0,tcp,downlink,1520
0.000350,c0,tcp,downlink,1520
0.000353,eads.brame-gamification.com,tcp,uplink,141
0.000363,c0,tcp,downlink,1520
0.000368,c0,tcp,downlink,1520
0.000377,eads.brame-gamification.com,tcp,uplink,143
0.000385,c0,tcp,downlink,1520
0.000386,c0,tcp,downlink,1520
0.000389,eads.brame-gamification.com,tcp,uplink,140
0.000394,c0,tcp,downlink,1520
0.000397,c0,tcp,downlink,1520
0.000400,c0,tcp,downlink,1520
0.000404,c0,tcp,downlink,1520
0.000404,eads.brame-gamification.com,tcp,uplink,130
0.000405,c0,tcp,downlink,1520
0.000407,c0,tcp,downlink,1520
0.000413,c0,tcp,downlink,1520
0.000423,c0,tcp,downlink,1520
0.000423,c0,tcp,downlink,1520
0.000430,c0,tcp,downlink,1520
0.000432,c0,tcp,downlink,1520
0.000440,c0,tcp,downlink,1520
0.000442,c0,tcp,downlink,1520
0.000442,c0,tcp,downlink,1520
0.000446,c0,tcp,downlink,1520
0.000450,c0,tcp,downlink,1520
0.000451,c0,tcp,downlink,1520
0.000452,c0,tcp,downlink,1520
0.000455,c0,tcp,downlink,1520
0.000458,c0,tcp,downlink,1520
0.000460,c0,tcp,downlink,1520
0.000460,c0,tcp,downlink,1520
0.000463,c0,tcp,downlink,1520
0.000464,c0,tcp,downlink,1520
0.000470,c0,tcp,downlink,1520
0.000470,c0,tcp,downlink,1520
0.000470,c0,tcp,downlink,1520
0.000476,c0,tcp,downlink,1520
0.000479,c0,tcp,downlink,1520
