time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,code.createjs.com,tcp,uplink,124
0.000000,c0,tcp,uplink,191
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,173
0.000003,c0,tcp,downlink,1520
0.000006,c0,tcp,downlink,1520
0.000010,c0,tcp,downlink,1520
0.000013,c0,tcp,downlink,1520
0.000016,c0,tcp,downlink,1520
0.000019,c0,tcp,downlink,1520
0.000023,c0,tcp,downlink,1520
0.000026,c0,tcp,downlink,1520
0.000029,c0,tcp,downlink,1520
0.000032,c0,tcp,downlink,1520
0.000035,c0,tcp,downlink,1520
0.000039,c0,tcp,downlink,1520
0.000042,c0,tcp,downlink,1520
0.000045,c0,tcp,downlink,1520
0.000048,c0,tcp,downlink,1520
0.000052,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000058,c0,tcp,downlink,1520
0.000061,c0,tcp,downlink,1520
0.000065,c0,tcp,downlink,1520
0.000068,c0,tcp,downlink,1520
0.000071,c0,tcp,downlink,1520
0.000074,c0,tcp,downlink,1520
0.000077,c0,tcp,downlink,1520
0.000081,c0,tcp,downlink,1520
0.000084,c0,tcp,downlink,1520
0.000087,c0,tcp,downlink,1520
0.000090,c0,tcp,downlink,1520
0.000094,c0,tcp,downlink,1520
0.000097,c0,tcp,downlink,1520
0.000100,c0,tcp,downlink,1520
0.000103,c0,tcp,downlink,1520
0.000106,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000113,c0,tcp,downlink,1520
0.000116,c0,tcp,downlink,1520
0.000119,c0,tcp,downlink,1520
0.000123,c0,tcp,downlink,1520
0.000126,c0,tcp,downlink,1520
0.000129,c0,tcp,downlink,1520
0.000132,c0,tcp,downlink,1520
0.000135,c0,tcp,downlink,1520
0.000139,c0,tcp,downlink,1520
0.000142,c0,tcp,downlink,1520
0.000145,c0,tcp,downlink,1520
0.000148,c0,tcp,downlink,1520
0.000152,c0,tcp,downlink,1520
