time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,eads.brame-gamification.com,tcp,uplink,199
0.000000,c0,tcp,uplink,241
0.000000,c0,tcp,downlink,1410
0.000000,c0,tcp,uplink,240
0.000000,c0,tcp,uplink,234
0.000000,c0,tcp,uplink,231
0.000000,c0,tcp,uplink,231
0.000000,c0,tcp,uplink,234
0.000055,c0,tcp,downlink,1520
0.000075,eads.brame-gamification.com,tcp,uplink,185
0.000110,c0,tcp,downlink,1520
0.000154,eads.brame-gamification.com,tcp,uplink,178
0.000165,c0,tcp,downlink,1520
0.000169,eads.brame-gamification.com,tcp,uplink,203
0.000188,ajax.googleapis.com,tcp,uplink,141
0.000205,eads.brame-gamification.com,tcp,uplink,141
0.000219,eads.brame-gamification.com,tcp,uplink,143
0.000220,c0,tcp,downlink,1520
0.000236,eads.brame-gamification.com,tcp,uplink,140
0.000249,eads.brame-gamification.com,tcp,uplink,130
0.000275,c0,tcp,downlink,618
0.000277,c0,tcp,downlink,1520
0.000443,c0,tcp,downlink,1520
0.000498,c0,tcp,downlink,1520
0.000555,c0,tcp,downlink,286
0.000610,c0,tcp,downlink,1520
0.000720,c0,tcp,downlink,1477
0.000777,c0,tcp,downlink,1520
0.000832,c0,tcp,downlink,335
0.000943,c0,tcp,downlink,472
0.023345,eads.brame-gamification.com,tcp,uplink,194
0.023435,eads.brame-gamification.com,tcp,uplink,186
0.052201,eads.brame-gamification.com,tcp,downlink,1520
0.052403,eads.brame-gamification.com,tcp,downlink,1520
0.052420,eads.brame-gamification.com,tcp,downlink,1520
0.052622,eads.brame-gamification.com,tcp,downlink,1396
0.055657,ajax.googleapis.com,tcp,downlink,1520
0.058871,ajax.googleapis.com,tcp,downlink,1520
0.062085,ajax.googleapis.com,tcp,downlink,1520
0.065298,ajax.googleapis.com,tcp,downlink,1520
0.068503,eads.brame-gamification.com,tcp,downlink,1520
0.068512,ajax.googleapis.com,tcp,downlink,1520
0.068852,eads.brame-gamification.com,tcp,downlink,1520
0.068895,eads.brame-gamification.com,tcp,downlink,1520
0.071726,ajax.googleapis.com,tcp,downlink,1520
0.072870,eads.brame-gamification.com,tcp,downlink,1520
0.074135,eads.brame-gamification.com,tcp,downlink,1520
0.074940,ajax.googleapis.com,tcp,downlink,1520
0.078153,ajax.googleapis.com,tcp,downlink,1520
