time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,cdnjs.cloudflare.com,tcp,uplink,139
0.000000,c0,tcp,uplink,235
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,234
0.000000,c0,tcp,uplink,236
0.000000,c0,tcp,uplink,230
0.000000,c0,tcp,uplink,227
0.000000,c0,tcp,uplink,229
0.000002,c0,tcp,downlink,1520
0.000005,c0,tcp,downlink,1520
0.000007,c0,tcp,downlink,1520
0.000010,c0,tcp,downlink,1520
0.000012,c0,tcp,downlink,1520
0.000014,c0,tcp,downlink,1520
0.000017,c0,tcp,downlink,1520
0.000019,c0,tcp,downlink,1520
0.000022,c0,tcp,downlink,1520
0.000024,c0,tcp,downlink,1520
0.000026,c0,tcp,downlink,1520
0.000029,c0,tcp,downlink,1520
0.000031,c0,tcp,downlink,1520
0.000034,c0,tcp,downlink,1520
0.000036,c0,tcp,downlink,1520
0.000038,c0,tcp,downlink,1520
0.000041,c0,tcp,downlink,1520
0.000043,c0,tcp,downlink,1520
0.000046,c0,tcp,downlink,1520
0.000048,c0,tcp,downlink,1520
0.000050,c0,tcp,downlink,1520
0.000053,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000058,c0,tcp,downlink,1520
0.000060,c0,tcp,downlink,1520
0.000063,c0,tcp,downlink,1520
0.000065,c0,tcp,downlink,1520
0.000067,c0,tcp,downlink,1520
0.000070,c0,tcp,downlink,1520
0.000072,c0,tcp,downlink,1520
0.000075,c0,tcp,downlink,1520
0.000077,c0,tcp,downlink,1520
0.000079,c0,tcp,downlink,1520
0.000082,c0,tcp,downlink,1520
0.000084,c0,tcp,downlink,1520
0.000087,c0,tcp,downlink,1520
0.000089,c0,tcp,downlink,1520
0.000091,c0,tcp,downlink,1520
0.000094,c0,tcp,downlink,1520
0.000096,c0,tcp,downlink,1520
0.000099,c0,tcp,downlink,1520
0.000101,c0,tcp,downlink,1520
0.000103,c0,tcp,downlink,1520
0.000106,c0,tcp,downlink,1520
0.000108,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000111,c0,tcp,downlink,1520
