time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,s0.2mdn.net,tcp,uplink,118
0.000000,c0,tcp,uplink,177
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,174
0.000000,c0,tcp,uplink,209
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,172
0.000000,c0,tcp,uplink,179
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,178
0.000000,c0,tcp,uplink,184
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,181
0.000055,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000120,c0,tcp,downlink,1520
0.000130,c0,tcp,downlink,1520
0.000140,c0,tcp,downlink,1520
0.000150,c0,tcp,downlink,1520
0.000160,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000170,c0,tcp,downlink,1520
0.000176,c0,tcp,downlink,1520
0.000180,c0,tcp,downlink,1520
0.000187,c0,tcp,downlink,1520
0.000190,c0,tcp,downlink,1520
0.000198,c0,tcp,downlink,1520
0.000200,c0,tcp,downlink,1520
0.000209,c0,tcp,downlink,1520
0.000210,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000230,c0,tcp,downlink,1520
0.000231,c0,tcp,downlink,1520
0.000240,c0,tcp,downlink,1520
0.000242,c0,tcp,downlink,1520
0.000250,c0,tcp,downlink,1520
0.000253,c0,tcp,downlink,1520
0.000260,c0,tcp,downlink,1520
0.000264,c0,tcp,downlink,1520
0.000270,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000280,c0,tcp,downlink,1520
0.000286,c0,tcp,downlink,1520
0.000290,c0,tcp,downlink,1520
0.000297,c0,tcp,downlink,1520
0.000300,c0,tcp,downlink,1520
0.000308,c0,tcp,downlink,1520
0.000310,c0,tcp,downlink,1520
0.000318,c0,tcp,downlink,1520
0.000319,c0,tcp,downlink,1520
0.000320,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000340,c0,tcp,downlink,1520
0.000340,c0,tcp,downlink,1520
0.000341,c0,tcp,downlink,1520
0.000350,c0,tcp,downlink,1520
0.000350,c0,tcp,downlink,1520
0.000352,c0,tcp,downlink,1520
0.000360,c0,tcp,downlink,1520
0.000360,c0,tcp,downlink,1520
0.000362,c0,tcp,downlink,1520
0.000363,c0,tcp,downlink,1520
0.000370,c0,tcp,downlink,1520
0.000370,c0,tcp,downlink,1520
0.000374,c0,tcp,downlink,1520
0.000380,c0,tcp,downlink,1520
0.000381,c0,tcp,downlink,1520
0.000385,c0,tcp,downlink,1520
0.000385,c0,tcp,downlink,1520
0.000388,c0,tcp,downlink,1520
0.000390,c0,tcp,downlink,1520
0.000391,c0,tcp,downlink,1520
0.000396,c0,tcp,downlink,1520
0.000400,c0,tcp,downlink,1520
0.000401,c0,tcp,downlink,1520
0.000405,c0,tcp,downlink,1520
0.000407,c0,tcp,downlink,1520
0.000410,c0,tcp,downlink,1520
0.000411,c0,tcp,downlink,1520
0.000418,c0,tcp,downlink,1520
0.000420,c0,tcp,downlink,1520
0.000421,c0,tcp,downlink,1520
0.000429,c0,tcp,downlink,1520
0.000430,c0,tcp,downlink,1520
0.000431,c0,tcp,downlink,1520
0.000440,c0,tcp,downlink,1520
0.000440,c0,tcp,downlink,1520
0.000440,c0,tcp,downlink,1520
0.000441,c0,tcp,downlink,1520
0.000449,c0,tcp,downlink,1520
0.000450,c0,tcp,downlink,1520
0.000451,c0,tcp,downlink,1520
0.000451,c0,tcp,downlink,1520
0.000460,c0,tcp,downlink,1520
0.000461,c0,tcp,downlink,1520
0.000462,c0,tcp,downlink,1520
0.000470,c0,tcp,downlink,1520
0.000471,c0,tcp,downlink,1520
0.000473,c0,tcp,downlink,1520
0.000476,c0,tcp,downlink,1520
0.000480,c0,tcp,downlink,1520
0.000482,c0,tcp,downlink,1520
0.000484,c0,tcp,downlink,1520
0.000490,c0,tcp,downlink,1520
0.000492,c0,tcp,downlink,1520
0.000492,c0,tcp,downlink,1520
0.000495,c0,tcp,downlink,1520
0.000495,c0,tcp,downlink,1520
0.000500,c0,tcp,downlink,1163
0.000500,c0,tcp,downlink,1520
0.000502,c0,tcp,downlink,1520
0.000506,c0,tcp,downlink,1520
0.000510,c0,tcp,downlink,1520
0.000511,c0,tcp,downlink,1520
0.000512,c0,tcp,downlink,1520
0.000517,c0,tcp,downlink,1520
0.000520,c0,tcp,downlink,1520
0.000522,c0,tcp,downlink,1520
0.000528,c0,tcp,downlink,1520
0.000530,c0,tcp,downlink,1520
0.000532,c0,tcp,downlink,1520
0.000536,c0,tcp,downlink,1520
0.000539,c0,tcp,downlink,1520
0.000540,c0,tcp,downlink,1520
0.000542,c0,tcp,downlink,1520
0.000547,c0,tcp,downlink,1520
0.000550,c0,tcp,downlink,1520
0.000550,c0,tcp,downlink,1520
0.000550,c0,tcp,downlink,1520
0.000552,c0,tcp,downlink,1520
0.000560,c0,tcp,downlink,1520
0.000561,c0,tcp,downlink,1520
0.000562,c0,tcp,downlink,1520
0.000570,c0,tcp,downlink,1520
0.000572,c0,tcp,downlink,1520
0.000572,c0,tcp,downlink,1520
0.000579,c0,tcp,downlink,1520
0.000580,c0,tcp,downlink,1520
0.000583,c0,tcp,downlink,1520
0.000583,c0,tcp,downlink,1520
0.000583,c0,tcp,downlink,1520
0.000590,c0,tcp,downlink,1520
0.000593,c0,tcp,downlink,1520
0.000594,c0,tcp,downlink,1520
0.000600,c0,tcp,downlink,1520
0.000603,c0,tcp,downlink,1520
0.000605,c0,tcp,downlink,1520
0.000610,c0,tcp,downlink,1520
0.000613,c0,tcp,downlink,1520
0.000616,c0,tcp,downlink,1520
0.000619,c0,tcp,downlink,1520
0.000620,c0,tcp,downlink,1520
0.000623,c0,tcp,downlink,1520
0.000623,c0,tcp,downlink,1520
0.000627,c0,tcp,downlink,1520
0.000630,c0,tcp,downlink,1520
0.000633,c0,tcp,downlink,1520
0.000638,c0,tcp,downlink,1520
0.000640,c0,tcp,downlink,1520
0.000643,c0,tcp,downlink,1520
0.000649,c0,tcp,downlink,1520
0.000650,c0,tcp,downlink,1520
0.000650,c0,tcp,downlink,1520
0.000653,c0,tcp,downlink,1520
0.000654,c0,tcp,downlink,1520
0.000660,c0,tcp,downlink,1520
0.000660,c0,tcp,downlink,1520
0.000663,c0,tcp,downlink,1520
0.000666,c0,tcp,downlink,1520
0.000670,c0,tcp,downlink,1520
0.000670,c0,tcp,downlink,1520
0.000673,c0,tcp,downlink,1520
0.000680,c0,tcp,downlink,1520
0.000681,c0,tcp,downlink,1520
0.000684,c0,tcp,downlink,1520
0.000690,c0,tcp,downlink,1520
0.000690,c0,tcp,downlink,1520
0.000692,c0,tcp,downlink,1520
0.000694,c0,tcp,downlink,1520
0.000700,c0,tcp,downlink,1520
0.000703,c0,tcp,downlink,1520
0.000704,c0,tcp,downlink,1520
0.000710,c0,tcp,downlink,1520
0.000710,c0,tcp,downlink,1520
0.000714,c0,tcp,downlink,1520
0.000714,c0,tcp,downlink,1520
0.000718,c0,tcp,downlink,1520
0.000720,c0,tcp,downlink,1520
0.000720,c0,tcp,downlink,684
0.000722,c0,tcp,downlink,943
0.000724,c0,tcp,downlink,1520
0.000725,c0,tcp,downlink,1520
0.000726,c0,tcp,downlink,1520
0.000730,c0,tcp,downlink,1520
0.000734,c0,tcp,downlink,1520
0.000736,c0,tcp,downlink,1520
0.000740,c0,tcp,downlink,1520
0.000744,c0,tcp,downlink,1520
0.000747,c0,tcp,downlink,1520
0.000750,c0,tcp,downlink,1520
0.000750,c0,tcp,downlink,1520
0.000753,c0,tcp,downlink,1520
0.000754,c0,tcp,downlink,1520
0.000758,c0,tcp,downlink,1520
0.000760,c0,tcp,downlink,1520
0.000761,c0,tcp,downlink,1520
0.000764,c0,tcp,downlink,1520
0.000769,c0,tcp,downlink,1520
0.000770,c0,tcp,downlink,1520
0.000774,c0,tcp,downlink,1520
0.000780,c0,tcp,downlink,1520
0.000780,c0,tcp,downlink,1520
0.000785,c0,tcp,downlink,1520
0.000790,c0,tcp,downlink,1520
0.000791,c0,tcp,downlink,1520
0.000795,c0,tcp,downlink,1520
0.000797,c0,tcp,downlink,1520
0.000797,c0,tcp,downlink,1520
0.000800,c0,tcp,downlink,1520
0.000802,c0,tcp,downlink,1520
0.000805,c0,tcp,downlink,1520
0.000810,c0,tcp,downlink,1520
0.000813,c0,tcp,downlink,1520
0.000815,c0,tcp,downlink,1520
0.000820,c0,tcp,downlink,1520
0.000824,c0,tcp,downlink,1520
0.000825,c0,tcp,downlink,1520
0.000828,c0,tcp,downlink,1520
0.000830,c0,tcp,downlink,1520
0.000833,c0,tcp,downlink,1520
0.000835,c0,tcp,downlink,1520
0.000835,c0,tcp,downlink,1520
0.000840,c0,tcp,downlink,1520
0.000840,c0,tcp,downlink,1520
0.000845,c0,tcp,downlink,1520
0.000846,c0,tcp,downlink,1520
0.000850,c0,tcp,downlink,1520
0.000850,c0,tcp,downlink,1520
0.000855,c0,tcp,downlink,1520
0.000857,c0,tcp,downlink,1520
0.000860,c0,tcp,downlink,1520
0.000865,c0,tcp,downlink,1520
0.000868,c0,tcp,downlink,1520
0.000869,c0,tcp,downlink,1520
0.000870,c0,tcp,downlink,1520
0.000875,c0,tcp,downlink,1520
0.000879,c0,tcp,downlink,1520
0.000880,c0,tcp,downlink,1520
0.000884,c0,tcp,downlink,1520
0.000886,c0,tcp,downlink,1520
0.000890,c0,tcp,downlink,1520
0.000890,c0,tcp,downlink,1520
0.000896,c0,tcp,downlink,1520
0.000900,c0,tcp,downlink,1520
