time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,s0.2mdn.net,tcp,uplink,138
0.000000,c0,tcp,uplink,222
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,222
0.000000,c0,tcp,uplink,222
0.000000,c0,tcp,uplink,217
0.000000,c0,tcp,uplink,223
0.000000,c0,tcp,uplink,214
0.000000,c0,tcp,uplink,215
0.000000,c0,tcp,uplink,239
0.000055,c0,tcp,downlink,1520
0.000077,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000138,c0,tcp,downlink,1520
0.000154,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000166,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000221,c0,tcp,downlink,1520
0.000222,c0,tcp,downlink,1520
0.000231,c0,tcp,downlink,1520
0.000252,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000277,c0,tcp,downlink,1520
0.000285,c0,tcp,downlink,1520
0.000305,c0,tcp,downlink,1520
0.000308,c0,tcp,downlink,1520
0.000317,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000332,c0,tcp,downlink,1520
0.000349,c0,tcp,downlink,1520
0.000365,c0,tcp,downlink,1520
0.000381,c0,tcp,downlink,1520
0.000385,c0,tcp,downlink,1520
0.000385,c0,tcp,downlink,1520
0.000388,c0,tcp,downlink,1520
0.000388,c0,tcp,downlink,1520
0.000414,c0,tcp,downlink,1520
0.000443,c0,tcp,downlink,1520
0.000446,c0,tcp,downlink,1520
0.000462,c0,tcp,downlink,1520
0.000472,c0,tcp,downlink,1520
0.000473,c0,tcp,downlink,1520
0.000475,c0,tcp,downlink,1520
0.000478,c0,tcp,downlink,1520
0.000496,c0,tcp,downlink,1520
0.000499,c0,tcp,downlink,1520
0.000510,c0,tcp,downlink,1520
0.000538,c0,tcp,downlink,1520
0.000543,c0,tcp,downlink,1520
0.000554,c0,tcp,downlink,1520
0.000555,c0,tcp,downlink,1520
0.000565,c0,tcp,downlink,1520
0.000575,c0,tcp,downlink,1520
0.000607,c0,tcp,downlink,1520
0.000607,c0,tcp,downlink,1520
0.000610,c0,tcp,downlink,1520
0.000615,c0,tcp,downlink,1520
0.000616,c0,tcp,downlink,1520
0.000638,c0,tcp,downlink,1520
0.000639,c0,tcp,downlink,1520
0.000666,c0,tcp,downlink,1520
0.000672,c0,tcp,downlink,1520
0.000675,c0,tcp,downlink,1520
0.000692,c0,tcp,downlink,1520
0.000704,c0,tcp,downlink,1520
0.000718,c0,tcp,downlink,1520
0.000721,c0,tcp,downlink,1520
0.000722,c0,tcp,downlink,1520
0.000736,c0,tcp,downlink,1520
0.000759,c0,tcp,downlink,1520
0.000765,c0,tcp,downlink,1520
0.000768,c0,tcp,downlink,1520
0.000769,c0,tcp,downlink,1520
0.000777,c0,tcp,downlink,1520
0.000801,c0,tcp,downlink,1520
0.000805,c0,tcp,downlink,1520
0.000829,c0,tcp,downlink,1520
0.000832,c0,tcp,downlink,1520
0.000833,c0,tcp,downlink,1520
0.000846,c0,tcp,downlink,1520
0.000865,c0,tcp,downlink,1520
0.000875,c0,tcp,downlink,1520
0.000888,c0,tcp,downlink,1520
0.000888,c0,tcp,downlink,1520
0.000897,c0,tcp,downlink,1520
0.000901,c0,tcp,downlink,1520
0.000923,c0,tcp,downlink,818
0.000930,c0,tcp,downlink,1520
0.000941,c0,tcp,downlink,1520
0.000943,c0,tcp,downlink,1520
0.000962,c0,tcp,downlink,1520
0.000965,c0,tcp,downlink,394
0.000972,c0,tcp,downlink,802
0.000994,c0,tcp,downlink,1520
0.000999,c0,tcp,downlink,1520
0.001026,c0,tcp,downlink,1520
0.001044,c0,tcp,downlink,1520
0.001052,c0,tcp,downlink,1520
0.001054,c0,tcp,downlink,999
0.001059,c0,tcp,downlink,1520
0.001075,c0,tcp,downlink,723
0.001091,c0,tcp,downlink,1520
0.001123,c0,tcp,downlink,1520
0.001155,c0,tcp,downlink,1520
0.001163,c0,tcp,downlink,1520
0.001187,c0,tcp,downlink,890
0.001188,c0,tcp,downlink,1311
0.001274,c0,tcp,downlink,711
0.100034,s0.2mdn.net,tcp,downlink,1520
0.106912,s0.2mdn.net,tcp,downlink,1520
0.113789,s0.2mdn.net,tcp,downlink,1520
0.120667,s0.2mdn.net,tcp,downlink,1520
0.127544,s0.2mdn.net,tcp,downlink,1520
0.134422,s0.2mdn.net,tcp,downlink,1520
0.141299,s0.2mdn.net,tcp,downlink,1520
0.148177,s0.2mdn.net,tcp,downlink,1520
0.155054,s0.2mdn.net,tcp,downlink,1520
0.161932,s0.2mdn.net,tcp,downlink,1520
0.168810,s0.2mdn.net,tcp,downlink,1520
0.175687,s0.2mdn.net,tcp,downlink,1520
0.182565,s0.2mdn.net,tcp,downlink,1520
0.189442,s0.2mdn.net,tcp,downlink,1520
0.196320,s0.2mdn.net,tcp,downlink,1520
0.203197,s0.2mdn.net,tcp,downlink,1520
0.210075,s0.2mdn.net,tcp,downlink,1520
0.216952,s0.2mdn.net,tcp,downlink,1520
0.223830,s0.2mdn.net,tcp,downlink,1520
0.230707,s0.2mdn.net,tcp,downlink,447
