time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,eads.brame-gamification.com,tcp,uplink,169
0.000000,c0,tcp,uplink,224
0.000000,c0,tcp,downlink,1410
0.000000,c0,tcp,uplink,223
0.000000,c0,tcp,uplink,217
0.000000,c0,tcp,uplink,214
0.000000,c0,tcp,uplink,214
0.000000,c0,tcp,uplink,218
0.000000,c0,tcp,uplink,217
0.000055,c0,tcp,downlink,1520
0.000109,eads.brame-gamification.com,tcp,uplink,171
0.000110,c0,tcp,downlink,1520
0.000137,eads.brame-gamification.com,tcp,uplink,171
0.000153,eads.brame-gamification.com,tcp,uplink,171
0.000165,c0,tcp,downlink,1520
0.000167,eads.brame-gamification.com,tcp,uplink,171
0.000183,eads.brame-gamification.com,tcp,uplink,169
0.000203,ajax.googleapis.com,tcp,uplink,141
0.000219,eads.brame-gamification.com,tcp,uplink,141
0.000220,c0,tcp,downlink,1520
0.000235,eads.brame-gamification.com,tcp,uplink,143
0.000248,eads.brame-gamification.com,tcp,uplink,140
0.000260,eads.brame-gamification.com,tcp,uplink,130
0.000275,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,410
0.000387,c0,tcp,downlink,1520
0.000418,c0,tcp,downlink,1520
0.000498,c0,tcp,downlink,1520
0.000553,c0,tcp,downlink,1520
0.000555,c0,tcp,downlink,286
0.000561,c0,tcp,downlink,1520
0.000610,c0,tcp,downlink,1261
0.000704,c0,tcp,downlink,1520
0.000720,c0,tcp,downlink,1520
0.000832,c0,tcp,downlink,141
0.000846,c0,tcp,downlink,1520
0.000887,c0,tcp,downlink,1520
0.000989,c0,tcp,downlink,1520
0.001053,c0,tcp,downlink,341
0.001132,c0,tcp,downlink,656
0.007619,eads.brame-gamification.com,tcp,uplink,156
0.009371,eads.brame-gamification.com,tcp,uplink,168
0.042649,ajax.googleapis.com,tcp,downlink,1520
0.043549,eads.brame-gamification.com,tcp,downlink,1520
0.045007,ajax.googleapis.com,tcp,downlink,1520
0.047365,ajax.googleapis.com,tcp,downlink,1520
0.049723,ajax.googleapis.com,tcp,downlink,1520
0.052082,ajax.googleapis.com,tcp,downlink,1520
0.054440,ajax.googleapis.com,tcp,downlink,1520
