time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,ajax.googleapis.com,tcp,uplink,141
0.000000,c0,tcp,uplink,207
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,215
0.000000,c0,tcp,uplink,208
0.000000,c0,tcp,uplink,212
0.000000,c0,tcp,uplink,209
0.000000,c0,tcp,uplink,210
0.000000,c0,tcp,uplink,210
0.000000,c0,tcp,uplink,210
0.000000,c0,tcp,uplink,210
0.000000,c0,tcp,uplink,207
0.000000,c0,tcp,uplink,204
0.000000,c0,tcp,uplink,204
0.000000,c0,tcp,uplink,207
0.000003,c0,tcp,downlink,1520
0.000006,c0,tcp,downlink,1520
0.000009,c0,tcp,downlink,1520
0.000013,c0,tcp,downlink,1520
0.000016,c0,tcp,downlink,1520
0.000019,c0,tcp,downlink,1520
0.000022,c0,tcp,downlink,1520
0.000025,c0,tcp,downlink,1520
0.000028,c0,tcp,downlink,1520
0.000031,c0,tcp,downlink,1520
0.000034,c0,tcp,downlink,1520
0.000038,c0,tcp,downlink,1520
0.000041,c0,tcp,downlink,1520
0.000044,c0,tcp,downlink,1520
0.000047,c0,tcp,downlink,1520
0.000050,c0,tcp,downlink,1520
0.000053,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000056,c0,tcp,downlink,1520
0.000060,c0,tcp,downlink,1520
0.000063,c0,tcp,downlink,1520
0.000066,c0,tcp,downlink,1520
0.000069,c0,tcp,downlink,1520
0.000072,c0,tcp,downlink,1520
0.000075,c0,tcp,downlink,1520
0.000078,c0,tcp,downlink,1520
0.000081,c0,tcp,downlink,1520
0.000082,c0,tcp,downlink,1520
0.000085,c0,tcp,downlink,1520
0.000088,c0,tcp,downlink,1520
0.000091,c0,tcp,downlink,1520
0.000094,c0,tcp,downlink,1520
0.000097,c0,tcp,downlink,1520
0.000100,c0,tcp,downlink,1520
0.000103,c0,tcp,downlink,1520
0.000106,c0,tcp,downlink,1520
0.000107,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000113,c0,tcp,downlink,1520
0.000116,c0,tcp,downlink,1520
0.000119,c0,tcp,downlink,1520
