time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,code.jquery.com,tcp,uplink,116
0.000000,c0,tcp,uplink,165
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,175
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,172
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,178
0.000000,c0,tcp,uplink,178
0.000000,c0,tcp,uplink,178
0.000000,c0,tcp,uplink,180
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,177
0.000000,c0,tcp,uplink,180
0.000000,c0,tcp,uplink,179
0.000000,c0,tcp,uplink,179
0.000000,c0,tcp,uplink,177
0.000000,c0,tcp,uplink,175
0.000000,c0,tcp,uplink,181
0.000000,c0,tcp,uplink,175
0.000000,c0,tcp,uplink,175
0.000000,c0,tcp,uplink,178
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,175
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,172
0.000000,c0,tcp,uplink,168
0.000055,c0,tcp,downlink,1520
0.000086,cdn.jsdelivr.net,tcp,uplink,134
0.000109,cdn.jsdelivr.net,tcp,uplink,139
0.000110,c0,tcp,downlink,1520
0.000111,c0,tcp,downlink,1520
0.000118,c0,tcp,downlink,1520
0.000150,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000180,c0,tcp,downlink,1520
0.000181,c0,tcp,downlink,1520
0.000190,c0,tcp,downlink,1520
0.000197,c0,tcp,downlink,1520
0.000213,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000222,c0,tcp,downlink,1520
0.000222,c0,tcp,downlink,1520
0.000224,c0,tcp,downlink,1520
0.000225,c0,tcp,downlink,1520
0.000227,c0,tcp,downlink,1520
0.000228,c0,tcp,downlink,1520
0.000229,c0,tcp,downlink,1520
0.000230,c0,tcp,downlink,1520
0.000231,c0,tcp,downlink,1520
0.000232,c0,tcp,downlink,1520
0.000234,c0,tcp,downlink,1520
0.000236,c0,tcp,downlink,1520
0.000238,c0,tcp,downlink,1520
0.000240,c0,tcp,downlink,1520
0.000241,c0,tcp,downlink,1520
0.000243,c0,tcp,downlink,1520
0.000243,c0,tcp,downlink,1520
0.000244,c0,tcp,downlink,1520
0.000245,c0,tcp,downlink,1520
0.000247,c0,tcp,downlink,1520
0.000248,c0,tcp,downlink,1520
0.000250,c0,tcp,downlink,1520
0.000252,c0,tcp,downlink,1520
0.000254,c0,tcp,downlink,1520
0.000256,c0,tcp,downlink,1520
0.000257,c0,tcp,downlink,1520
0.000259,c0,tcp,downlink,1520
0.000260,c0,tcp,downlink,1520
0.000261,c0,tcp,downlink,1520
0.000263,c0,tcp,downlink,1520
0.000264,c0,tcp,downlink,1520
0.000266,c0,tcp,downlink,1520
0.000268,c0,tcp,downlink,1520
0.000270,c0,tcp,downlink,1520
0.000270,c0,tcp,downlink,1520
0.000272,c0,tcp,downlink,1520
0.000273,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000276,c0,tcp,downlink,1520
0.000277,c0,tcp,downlink,1520
0.000279,c0,tcp,downlink,1520
0.000280,c0,tcp,downlink,1520
0.000280,c0,tcp,downlink,1520
0.000282,c0,tcp,downlink,1520
0.000284,c0,tcp,downlink,1520
0.000285,c0,tcp,downlink,1520
0.000286,c0,tcp,downlink,1520
0.000287,c0,tcp,downlink,1520
0.000289,c0,tcp,downlink,1520
0.000290,c0,tcp,downlink,1520
0.000291,c0,tcp,downlink,1520
0.000292,c0,tcp,downlink,1520
0.000293,c0,tcp,downlink,1520
0.000295,c0,tcp,downlink,1520
0.000295,c0,tcp,downlink,1520
0.000296,c0,tcp,downlink,1520
0.000298,c0,tcp,downlink,1520
0.000300,c0,tcp,downlink,1520
0.000300,c0,tcp,downlink,1520
0.000302,c0,tcp,downlink,1520
0.000303,c0,tcp,downlink,1520
0.000305,c0,tcp,downlink,1520
0.000305,c0,tcp,downlink,1520
0.000305,c0,tcp,downlink,1520
0.000307,c0,tcp,downlink,1520
0.000308,c0,tcp,downlink,1520
0.000309,c0,tcp,downlink,1520
0.000310,c0,tcp,downlink,1520
0.000311,c0,tcp,downlink,1520
0.000311,c0,tcp,downlink,1520
0.000312,c0,tcp,downlink,1520
0.000314,c0,tcp,downlink,1520
0.000316,c0,tcp,downlink,1520
0.000316,c0,tcp,downlink,1520
0.000318,c0,tcp,downlink,1520
0.000319,c0,tcp,downlink,1520
0.000321,c0,tcp,downlink,1520
0.000321,c0,tcp,downlink,1520
0.000323,c0,tcp,downlink,1520
0.000324,c0,tcp,downlink,1520
0.000325,c0,tcp,downlink,1520
0.000326,c0,tcp,downlink,1520
0.000327,c0,tcp,downlink,1520
0.000328,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000331,c0,tcp,downlink,1520
0.000332,c0,tcp,downlink,1520
0.000333,c0,tcp,downlink,1520
0.000334,c0,tcp,downlink,1520
0.000335,c0,tcp,downlink,1520
0.000335,c0,tcp,downlink,1520
0.000336,c0,tcp,downlink,1520
0.000337,c0,tcp,downlink,1520
0.000339,c0,tcp,downlink,1520
0.000340,c0,tcp,downlink,1520
0.000340,c0,tcp,downlink,1520
0.000341,c0,tcp,downlink,1520
0.000341,c0,tcp,downlink,1520
0.000343,c0,tcp,downlink,1520
0.000344,c0,tcp,downlink,1520
0.000345,c0,tcp,downlink,1520
0.000346,c0,tcp,downlink,1520
0.000346,c0,tcp,downlink,1520
0.000348,c0,tcp,downlink,1520
0.000350,c0,tcp,downlink,1520
0.000350,c0,tcp,downlink,1520
0.000350,c0,tcp,downlink,1520
0.000351,c0,tcp,downlink,1520
0.000351,c0,tcp,downlink,1520
0.000353,c0,tcp,downlink,1520
0.000355,c0,tcp,downlink,1520
0.000355,c0,tcp,downlink,1520
0.000355,c0,tcp,downlink,1520
0.000356,c0,tcp,downlink,1520
0.000357,c0,tcp,downlink,1520
0.000359,c0,tcp,downlink,1520
0.000360,c0,tcp,downlink,1520
0.000360,c0,tcp,downlink,1520
0.000361,c0,tcp,downlink,1520
0.000362,c0,tcp,downlink,1520
0.000364,c0,tcp,downlink,1520
