time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,eads.brame-gamification.com,tcp,uplink,141
0.000000,c0,tcp,uplink,201
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,202
0.000000,c0,tcp,uplink,204
0.000000,c0,tcp,uplink,204
0.000000,c0,tcp,uplink,205
0.000000,c0,tcp,uplink,205
0.000000,c0,tcp,uplink,205
0.000000,c0,tcp,uplink,205
0.000000,c0,tcp,uplink,205
0.000000,c0,tcp,uplink,205
0.000000,c0,tcp,uplink,200
0.000000,c0,tcp,uplink,202
0.000000,c0,tcp,uplink,202
0.000000,c0,tcp,uplink,202
0.000000,c0,tcp,uplink,202
0.000000,c0,tcp,uplink,202
0.000000,c0,tcp,uplink,202
0.000000,c0,tcp,uplink,193
0.000000,c0,tcp,uplink,190
0.000000,c0,tcp,uplink,190
0.000000,c0,tcp,uplink,193
0.000003,c0,tcp,downlink,1520
0.000006,c0,tcp,downlink,1520
0.000009,c0,tcp,downlink,1520
0.000012,c0,tcp,downlink,1520
0.000015,c0,tcp,downlink,1520
0.000017,c0,tcp,downlink,1520
0.000020,c0,tcp,downlink,1520
0.000023,c0,tcp,downlink,1520
0.000026,c0,tcp,downlink,1520
0.000029,c0,tcp,downlink,1520
0.000032,c0,tcp,downlink,1520
0.000035,c0,tcp,downlink,1520
0.000038,c0,tcp,downlink,1520
0.000041,c0,tcp,downlink,1520
0.000044,c0,tcp,downlink,1520
0.000047,c0,tcp,downlink,1520
0.000049,c0,tcp,downlink,1520
0.000052,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000057,c0,tcp,downlink,1520
0.000058,c0,tcp,downlink,1520
0.000059,c0,tcp,downlink,1520
0.000061,c0,tcp,downlink,1520
0.000061,c0,tcp,downlink,1520
0.000063,c0,tcp,downlink,1520
0.000064,c0,tcp,downlink,1520
0.000065,c0,tcp,downlink,1520
0.000067,c0,tcp,downlink,1520
0.000067,c0,tcp,downlink,1520
0.000069,c0,tcp,downlink,1520
0.000070,c0,tcp,downlink,1520
0.000071,c0,tcp,downlink,1520
0.000073,c0,tcp,downlink,1520
0.000073,c0,tcp,downlink,1520
0.000075,c0,tcp,downlink,1520
0.000076,c0,tcp,downlink,1520
0.000078,c0,tcp,downlink,1520
0.000078,c0,tcp,downlink,1520
0.000080,c0,tcp,downlink,1520
0.000081,c0,tcp,downlink,1520
0.000082,c0,tcp,downlink,1520
0.000084,c0,tcp,downlink,1520
0.000084,c0,tcp,downlink,1520
0.000086,c0,tcp,downlink,1520
0.000087,c0,tcp,downlink,1520
0.000088,c0,tcp,downlink,1520
