time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,code.createjs.com,tcp,uplink,124
0.000000,c0,tcp,uplink,183
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,199
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,172
0.000014,c0,tcp,downlink,1520
0.000028,c0,tcp,downlink,1520
0.000042,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000056,c0,tcp,downlink,1520
0.000061,c0,tcp,downlink,1520
0.000066,c0,tcp,downlink,1520
0.000070,c0,tcp,downlink,1520
0.000072,c0,tcp,downlink,1520
0.000078,c0,tcp,downlink,1520
0.000083,c0,tcp,downlink,1520
0.000085,c0,tcp,downlink,1520
0.000089,c0,tcp,downlink,1520
0.000095,c0,tcp,downlink,1520
0.000099,c0,tcp,downlink,1520
0.000100,c0,tcp,downlink,1520
0.000106,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000112,c0,tcp,downlink,1520
0.000113,c0,tcp,downlink,1520
0.000118,c0,tcp,downlink,1520
0.000123,c0,tcp,downlink,1520
0.000127,c0,tcp,downlink,1520
0.000129,c0,tcp,downlink,1520
0.000135,c0,tcp,downlink,1520
0.000140,c0,tcp,downlink,1520
0.000141,c0,tcp,downlink,1520
0.000146,c0,tcp,downlink,1520
0.000152,c0,tcp,downlink,1520
0.000155,c0,tcp,downlink,1520
0.000157,c0,tcp,downlink,1520
0.000163,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,121
0.000169,c0,tcp,downlink,1520
0.000169,c0,tcp,downlink,1520
0.000174,c0,tcp,downlink,1520
0.000180,c0,tcp,downlink,1520
0.000183,c0,tcp,downlink,1520
0.000186,c0,tcp,downlink,1520
0.000191,c0,tcp,downlink,1520
0.000197,c0,tcp,downlink,1520
0.000197,c0,tcp,downlink,1520
0.000203,c0,tcp,downlink,1520
0.000208,c0,tcp,downlink,1520
0.000211,c0,tcp,downlink,1520
0.000214,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000225,c0,tcp,downlink,1520
0.000225,c0,tcp,downlink,1520
0.000231,c0,tcp,downlink,1520
0.000237,c0,tcp,downlink,1520
0.000239,c0,tcp,downlink,1520
0.000243,c0,tcp,downlink,1520
0.000248,c0,tcp,downlink,1520
0.000254,c0,tcp,downlink,1520
0.000254,c0,tcp,downlink,1520
0.000260,c0,tcp,downlink,1520
0.000265,c0,tcp,downlink,1520
0.000268,c0,tcp,downlink,1520
0.000271,c0,tcp,downlink,1520
0.000277,c0,tcp,downlink,1520
0.000282,c0,tcp,downlink,1520
0.000282,c0,tcp,downlink,1520
0.000288,c0,tcp,downlink,1520
0.000294,c0,tcp,downlink,1520
0.000296,c0,tcp,downlink,1520
0.000299,c0,tcp,downlink,1520
0.000305,c0,tcp,downlink,1520
0.000310,c0,tcp,downlink,1520
0.000311,c0,tcp,downlink,1520
0.000316,c0,tcp,downlink,1520
0.000322,c0,tcp,downlink,1520
0.000324,c0,tcp,downlink,1520
0.000328,c0,tcp,downlink,1520
