time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,eads.brame-gamification.com,tcp,uplink,178
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,172
0.000055,c0,tcp,downlink,614
0.000134,eads.brame-gamification.com,tcp,uplink,175
0.000160,eads.brame-gamification.com,tcp,uplink,171
0.000189,eads.brame-gamification.com,tcp,uplink,189
0.000208,eads.brame-gamification.com,tcp,uplink,188
0.000221,eads.brame-gamification.com,tcp,uplink,185
0.000234,eads.brame-gamification.com,tcp,uplink,185
0.000247,eads.brame-gamification.com,tcp,uplink,185
0.000261,eads.brame-gamification.com,tcp,uplink,176
0.000272,eads.brame-gamification.com,tcp,uplink,175
0.000295,ajax.googleapis.com,tcp,uplink,141
0.000310,eads.brame-gamification.com,tcp,uplink,141
0.000321,eads.brame-gamification.com,tcp,uplink,143
0.000333,c0,tcp,downlink,1520
0.000335,eads.brame-gamification.com,tcp,uplink,140
0.000345,eads.brame-gamification.com,tcp,uplink,130
0.000356,eads.brame-gamification.com,tcp,uplink,175
0.000667,c0,tcp,downlink,1337
0.036639,eads.brame-gamification.com,tcp,downlink,1520
0.043611,eads.brame-gamification.com,tcp,downlink,1520
0.046890,eads.brame-gamification.com,tcp,downlink,1520
0.047333,eads.brame-gamification.com,tcp,downlink,1520
0.047777,eads.brame-gamification.com,tcp,downlink,1520
0.048220,eads.brame-gamification.com,tcp,downlink,1520
0.048663,eads.brame-gamification.com,tcp,downlink,1520
0.049107,eads.brame-gamification.com,tcp,downlink,1520
0.049550,eads.brame-gamification.com,tcp,downlink,1520
0.049993,eads.brame-gamification.com,tcp,downlink,1520
0.050437,eads.brame-gamification.com,tcp,downlink,1520
0.050880,eads.brame-gamification.com,tcp,downlink,1520
0.051323,eads.brame-gamification.com,tcp,downlink,1520
0.051767,eads.brame-gamification.com,tcp,downlink,1520
0.052210,eads.brame-gamification.com,tcp,downlink,1520
0.052452,eads.brame-gamification.com,tcp,downlink,1520
0.052653,eads.brame-gamification.com,tcp,downlink,1520
0.053097,eads.brame-gamification.com,tcp,downlink,1520
0.053540,eads.brame-gamification.com,tcp,downlink,1520
0.053983,eads.brame-gamification.com,tcp,downlink,1520
0.054282,eads.brame-gamification.com,tcp,downlink,1520
0.054427,eads.brame-gamification.com,tcp,downlink,1520
0.054870,eads.brame-gamification.com,tcp,downlink,1520
0.055313,eads.brame-gamification.com,tcp,downlink,1520
0.055757,eads.brame-gamification.com,tcp,downlink,1520
0.056111,eads.brame-gamification.com,tcp,downlink,1520
0.056200,eads.brame-gamification.com,tcp,downlink,1520
0.056643,eads.brame-gamification.com,tcp,downlink,1520
0.057087,eads.brame-gamification.com,tcp,downlink,1520
0.057530,eads.brame-gamification.com,tcp,downlink,1520
0.057941,eads.brame-gamification.com,tcp,downlink,1520
0.057973,eads.brame-gamification.com,tcp,downlink,1520
0.058417,eads.brame-gamification.com,tcp,downlink,1520
0.058860,eads.brame-gamification.com,tcp,downlink,1520
0.058931,eads.brame-gamification.com,tcp,downlink,327
0.059050,eads.brame-gamification.com,tcp,downlink,1520
0.059303,eads.brame-gamification.com,tcp,downlink,1520
0.059747,eads.brame-gamification.com,tcp,downlink,1520
0.059771,eads.brame-gamification.com,tcp,downlink,1520
0.060190,eads.brame-gamification.com,tcp,downlink,1520
0.060633,eads.brame-gamification.com,tcp,downlink,1520
0.061077,eads.brame-gamification.com,tcp,downlink,1520
0.061520,eads.brame-gamification.com,tcp,downlink,1520
0.061600,eads.brame-gamification.com,tcp,downlink,1520
0.061963,eads.brame-gamification.com,tcp,downlink,1520
0.062407,eads.brame-gamification.com,tcp,downlink,1520
0.062850,eads.brame-gamification.com,tcp,downlink,1520
0.063293,eads.brame-gamification.com,tcp,downlink,1520
