time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,eads.brame-gamification.com,tcp,uplink,158
0.000000,c0,tcp,uplink,193
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,196
0.000055,c0,tcp,downlink,383
0.000130,eads.brame-gamification.com,tcp,uplink,167
0.000153,eads.brame-gamification.com,tcp,uplink,164
0.000173,eads.brame-gamification.com,tcp,uplink,164
0.000220,eads.brame-gamification.com,tcp,uplink,162
0.000235,eads.brame-gamification.com,tcp,uplink,168
0.000248,eads.brame-gamification.com,tcp,uplink,152
0.000271,ajax.googleapis.com,tcp,uplink,141
0.000287,eads.brame-gamification.com,tcp,uplink,141
0.000300,eads.brame-gamification.com,tcp,uplink,143
0.000313,eads.brame-gamification.com,tcp,uplink,140
0.000325,eads.brame-gamification.com,tcp,uplink,130
0.000337,eads.brame-gamification.com,tcp,uplink,155
0.000500,c0,tcp,downlink,1147
0.065628,eads.brame-gamification.com,tcp,downlink,1520
0.065666,eads.brame-gamification.com,tcp,downlink,1520
0.065882,eads.brame-gamification.com,tcp,downlink,1520
0.066648,eads.brame-gamification.com,tcp,downlink,1520
0.067669,eads.brame-gamification.com,tcp,downlink,1520
0.068689,eads.brame-gamification.com,tcp,downlink,1520
0.069710,eads.brame-gamification.com,tcp,downlink,1520
0.070730,eads.brame-gamification.com,tcp,downlink,1520
0.071750,eads.brame-gamification.com,tcp,downlink,1520
0.072771,eads.brame-gamification.com,tcp,downlink,1520
0.073791,eads.brame-gamification.com,tcp,downlink,1520
0.074178,eads.brame-gamification.com,tcp,downlink,1520
0.074495,eads.brame-gamification.com,tcp,downlink,1520
0.074812,eads.brame-gamification.com,tcp,downlink,1520
0.075274,eads.brame-gamification.com,tcp,downlink,1520
0.075343,eads.brame-gamification.com,tcp,downlink,1520
0.075484,eads.brame-gamification.com,tcp,downlink,1520
0.075498,eads.brame-gamification.com,tcp,downlink,1520
0.075832,eads.brame-gamification.com,tcp,downlink,1520
0.076852,eads.brame-gamification.com,tcp,downlink,1520
0.076914,eads.brame-gamification.com,tcp,downlink,1520
0.077873,eads.brame-gamification.com,tcp,downlink,1520
0.078616,eads.brame-gamification.com,tcp,downlink,1394
0.078729,eads.brame-gamification.com,tcp,downlink,1520
0.078893,eads.brame-gamification.com,tcp,downlink,1520
0.079159,eads.brame-gamification.com,tcp,downlink,1520
0.079651,eads.brame-gamification.com,tcp,downlink,1520
0.079823,eads.brame-gamification.com,tcp,downlink,1520
0.079913,eads.brame-gamification.com,tcp,downlink,1520
0.080934,eads.brame-gamification.com,tcp,downlink,1520
0.081954,eads.brame-gamification.com,tcp,downlink,1520
0.082387,eads.brame-gamification.com,tcp,downlink,1520
0.082975,eads.brame-gamification.com,tcp,downlink,1520
0.083108,eads.brame-gamification.com,tcp,downlink,1520
0.083995,eads.brame-gamification.com,tcp,downlink,1520
0.084372,eads.brame-gamification.com,tcp,downlink,1520
0.085015,eads.brame-gamification.com,tcp,downlink,1520
0.085123,eads.brame-gamification.com,tcp,downlink,1520
0.086036,eads.brame-gamification.com,tcp,downlink,1520
0.087056,eads.brame-gamification.com,tcp,downlink,1520
0.087860,eads.brame-gamification.com,tcp,downlink,1520
0.088077,eads.brame-gamification.com,tcp,downlink,1520
0.088921,eads.brame-gamification.com,tcp,downlink,1520
0.089097,eads.brame-gamification.com,tcp,downlink,1520
0.090117,eads.brame-gamification.com,tcp,downlink,1520
0.090596,eads.brame-gamification.com,tcp,downlink,1520
0.091138,eads.brame-gamification.com,tcp,downlink,1520
0.091720,eads.brame-gamification.com,tcp,downlink,1520
0.092037,eads.brame-gamification.com,tcp,downlink,1520
0.092158,eads.brame-gamification.com,tcp,downlink,1520
0.093179,eads.brame-gamification.com,tcp,downlink,1520
0.093332,eads.brame-gamification.com,tcp,downlink,1520
0.093470,eads.brame-gamification.com,tcp,downlink,1520
0.094199,eads.brame-gamification.com,tcp,downlink,1520
0.095219,eads.brame-gamification.com,tcp,downlink,1520
0.096068,eads.brame-gamification.com,tcp,downlink,1520
0.096240,eads.brame-gamification.com,tcp,downlink,1520
0.096249,eads.brame-gamification.com,tcp,downlink,1520
0.097260,eads.brame-gamification.com,tcp,downlink,1520
0.098019,eads.brame-gamification.com,tcp,downlink,1520
0.098281,eads.brame-gamification.com,tcp,downlink,1520
0.098805,eads.brame-gamification.com,tcp,downlink,1520
0.099301,eads.brame-gamification.com,tcp,downlink,1520
0.100321,eads.brame-gamification.com,tcp,downlink,1520
0.100333,eads.brame-gamification.com,tcp,downlink,1520
0.100573,eads.brame-gamification.com,tcp,downlink,1520
0.101342,eads.brame-gamification.com,tcp,downlink,1520
0.101541,eads.brame-gamification.com,tcp,downlink,1520
0.102362,eads.brame-gamification.com,tcp,downlink,1520
0.102569,eads.brame-gamification.com,tcp,downlink,1520
0.103383,eads.brame-gamification.com,tcp,downlink,1520
0.104277,eads.brame-gamification.com,tcp,downlink,1520
0.104403,eads.brame-gamification.com,tcp,downlink,1520
0.105423,eads.brame-gamification.com,tcp,downlink,1520
0.106040,eads.brame-gamification.com,tcp,downlink,1520
0.106444,eads.brame-gamification.com,tcp,downlink,1520
