time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,eads.brame-gamification.com,tcp,uplink,146
0.000000,c0,tcp,uplink,218
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,212
0.000000,c0,tcp,uplink,209
0.000000,c0,tcp,uplink,209
0.000000,c0,tcp,uplink,212
0.000055,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000120,eads.brame-gamification.com,tcp,uplink,156
0.000143,eads.brame-gamification.com,tcp,uplink,131
0.000163,eads.brame-gamification.com,tcp,uplink,141
0.000165,c0,tcp,downlink,1520
0.000178,eads.brame-gamification.com,tcp,uplink,143
0.000191,eads.brame-gamification.com,tcp,uplink,140
0.000203,eads.brame-gamification.com,tcp,uplink,130
0.000220,c0,tcp,downlink,542
0.000250,c0,tcp,downlink,1520
0.000277,c0,tcp,downlink,1520
0.000290,c0,tcp,downlink,1520
0.000388,c0,tcp,downlink,1520
0.000415,c0,tcp,downlink,1520
0.000443,c0,tcp,downlink,1520
0.000500,c0,tcp,downlink,1520
0.000540,c0,tcp,downlink,1520
0.000610,c0,tcp,downlink,1520
0.000665,c0,tcp,downlink,1520
0.000722,c0,tcp,downlink,564
0.000750,c0,tcp,downlink,867
0.000777,c0,tcp,downlink,1520
0.000790,c0,tcp,downlink,1520
0.000915,c0,tcp,downlink,1520
0.000943,c0,tcp,downlink,294
0.001040,c0,tcp,downlink,995
0.014734,eads.brame-gamification.com,tcp,uplink,148
0.096959,eads.brame-gamification.com,tcp,downlink,1520
0.097057,eads.brame-gamification.com,tcp,downlink,1384
0.097821,eads.brame-gamification.com,tcp,downlink,1520
0.120145,eads.brame-gamification.com,tcp,downlink,1520
0.121449,eads.brame-gamification.com,tcp,downlink,1520
0.121754,eads.brame-gamification.com,tcp,downlink,1520
0.121764,eads.brame-gamification.com,tcp,downlink,1520
0.121899,eads.brame-gamification.com,tcp,downlink,993
0.122079,eads.brame-gamification.com,tcp,downlink,1520
0.122393,eads.brame-gamification.com,tcp,downlink,1520
0.122708,eads.brame-gamification.com,tcp,downlink,1520
0.123023,eads.brame-gamification.com,tcp,downlink,1520
0.123338,eads.brame-gamification.com,tcp,downlink,1520
0.123653,eads.brame-gamification.com,tcp,downlink,1520
0.123967,eads.brame-gamification.com,tcp,downlink,1520
0.124282,eads.brame-gamification.com,tcp,downlink,1520
0.124597,eads.brame-gamification.com,tcp,downlink,1520
0.124912,eads.brame-gamification.com,tcp,downlink,1520
0.125227,eads.brame-gamification.com,tcp,downlink,1520
0.125541,eads.brame-gamification.com,tcp,downlink,1520
0.125856,eads.brame-gamification.com,tcp,downlink,1520
0.126171,eads.brame-gamification.com,tcp,downlink,1520
0.126486,eads.brame-gamification.com,tcp,downlink,1520
0.126800,eads.brame-gamification.com,tcp,downlink,1520
0.127115,eads.brame-gamification.com,tcp,downlink,1520
0.127430,eads.brame-gamification.com,tcp,downlink,1520
0.127745,eads.brame-gamification.com,tcp,downlink,1520
0.128060,eads.brame-gamification.com,tcp,downlink,1520
0.128374,eads.brame-gamification.com,tcp,downlink,1520
0.128689,eads.brame-gamification.com,tcp,downlink,1520
0.129004,eads.brame-gamification.com,tcp,downlink,1520
0.129319,eads.brame-gamification.com,tcp,downlink,1520
0.129634,eads.brame-gamification.com,tcp,downlink,1520
0.129948,eads.brame-gamification.com,tcp,downlink,1520
0.130132,eads.brame-gamification.com,tcp,downlink,1520
0.130263,eads.brame-gamification.com,tcp,downlink,1520
0.130578,eads.brame-gamification.com,tcp,downlink,1520
0.130893,eads.brame-gamification.com,tcp,downlink,1520
0.131208,eads.brame-gamification.com,tcp,downlink,1520
0.131522,eads.brame-gamification.com,tcp,downlink,1520
0.131837,eads.brame-gamification.com,tcp,downlink,1520
0.132152,eads.brame-gamification.com,tcp,downlink,1520
0.132467,eads.brame-gamification.com,tcp,downlink,1520
0.132782,eads.brame-gamification.com,tcp,downlink,1520
0.133096,eads.brame-gamification.com,tcp,downlink,1520
0.133411,eads.brame-gamification.com,tcp,downlink,1520
0.133726,eads.brame-gamification.com,tcp,downlink,1520
0.133815,eads.brame-gamification.com,tcp,downlink,1520
0.134041,eads.brame-gamification.com,tcp,downlink,1520
0.134356,eads.brame-gamification.com,tcp,downlink,1520
0.134670,eads.brame-gamification.com,tcp,downlink,1520
