time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,pixel.adsafeprotected.com,tcp,uplink,147
0.000000,c0,tcp,uplink,196
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,188
0.000000,c0,tcp,uplink,185
0.000000,c0,tcp,uplink,185
0.000000,c0,tcp,uplink,188
0.000055,c0,tcp,downlink,1520
0.000081,eads.brame-gamification.com,tcp,uplink,143
0.000107,eads.brame-gamification.com,tcp,uplink,131
0.000110,c0,tcp,downlink,1520
0.000162,eads.brame-gamification.com,tcp,uplink,141
0.000165,c0,tcp,downlink,1520
0.000177,eads.brame-gamification.com,tcp,uplink,143
0.000191,eads.brame-gamification.com,tcp,uplink,140
0.000209,eads.brame-gamification.com,tcp,uplink,130
0.000220,c0,tcp,downlink,528
0.000255,c0,tcp,downlink,1520
0.000276,c0,tcp,downlink,1520
0.000360,c0,tcp,downlink,1520
0.000387,c0,tcp,downlink,1520
0.000455,c0,tcp,downlink,1520
0.000498,c0,tcp,downlink,1520
0.000500,c0,tcp,downlink,1093
0.000609,c0,tcp,downlink,1520
0.000610,c0,tcp,downlink,1520
0.000655,c0,tcp,downlink,1520
0.000721,c0,tcp,downlink,1520
0.000832,c0,tcp,downlink,1520
0.000855,c0,tcp,downlink,1204
0.000860,c0,tcp,downlink,119
0.000943,c0,tcp,downlink,1520
0.001054,c0,tcp,downlink,1338
0.084585,eads.brame-gamification.com,tcp,downlink,993
0.093169,eads.brame-gamification.com,tcp,downlink,1520
0.093346,eads.brame-gamification.com,tcp,downlink,1520
0.093501,eads.brame-gamification.com,tcp,downlink,1520
0.093833,eads.brame-gamification.com,tcp,downlink,1520
0.094165,eads.brame-gamification.com,tcp,downlink,1520
0.094497,eads.brame-gamification.com,tcp,downlink,1520
0.094829,eads.brame-gamification.com,tcp,downlink,1520
0.095161,eads.brame-gamification.com,tcp,downlink,1520
0.095493,eads.brame-gamification.com,tcp,downlink,1520
0.095824,eads.brame-gamification.com,tcp,downlink,1520
0.096156,eads.brame-gamification.com,tcp,downlink,1520
0.096488,eads.brame-gamification.com,tcp,downlink,1520
0.096820,eads.brame-gamification.com,tcp,downlink,1520
0.097152,eads.brame-gamification.com,tcp,downlink,1520
0.097484,eads.brame-gamification.com,tcp,downlink,1520
0.097816,eads.brame-gamification.com,tcp,downlink,1520
0.098148,eads.brame-gamification.com,tcp,downlink,1520
0.098480,eads.brame-gamification.com,tcp,downlink,1520
0.098812,eads.brame-gamification.com,tcp,downlink,1520
0.099144,eads.brame-gamification.com,tcp,downlink,1520
0.099281,eads.brame-gamification.com,tcp,downlink,1396
0.099361,eads.brame-gamification.com,tcp,downlink,1520
0.099476,eads.brame-gamification.com,tcp,downlink,1520
0.099808,eads.brame-gamification.com,tcp,downlink,1520
0.100140,eads.brame-gamification.com,tcp,downlink,1520
0.100472,eads.brame-gamification.com,tcp,downlink,1520
0.100804,eads.brame-gamification.com,tcp,downlink,1520
0.101135,eads.brame-gamification.com,tcp,downlink,1520
0.101467,eads.brame-gamification.com,tcp,downlink,1520
0.101799,eads.brame-gamification.com,tcp,downlink,1520
0.102131,eads.brame-gamification.com,tcp,downlink,1520
0.102463,eads.brame-gamification.com,tcp,downlink,1520
0.102795,eads.brame-gamification.com,tcp,downlink,1520
0.103127,eads.brame-gamification.com,tcp,downlink,1520
0.103459,eads.brame-gamification.com,tcp,downlink,1520
0.103791,eads.brame-gamification.com,tcp,downlink,1520
0.104123,eads.brame-gamification.com,tcp,downlink,1520
0.104455,eads.brame-gamification.com,tcp,downlink,1520
0.104578,eads.brame-gamification.com,tcp,downlink,1520
0.104787,eads.brame-gamification.com,tcp,downlink,1520
0.105119,eads.brame-gamification.com,tcp,downlink,1520
0.105451,eads.brame-gamification.com,tcp,downlink,1520
0.105783,eads.brame-gamification.com,tcp,downlink,1520
0.106115,eads.brame-gamification.com,tcp,downlink,1520
0.106446,eads.brame-gamification.com,tcp,downlink,1520
0.106778,eads.brame-gamification.com,tcp,downlink,1520
0.107110,eads.brame-gamification.com,tcp,downlink,1520
0.107442,eads.brame-gamification.com,tcp,downlink,1520
0.107774,eads.brame-gamification.com,tcp,downlink,1520
0.108106,eads.brame-gamification.com,tcp,downlink,1520
0.108438,eads.brame-gamification.com,tcp,downlink,1520
0.108770,eads.brame-gamification.com,tcp,downlink,1520
0.109102,eads.brame-gamification.com,tcp,downlink,1520
0.109434,eads.brame-gamification.com,tcp,downlink,1520
0.109766,eads.brame-gamification.com,tcp,downlink,1520
0.110098,eads.brame-gamification.com,tcp,downlink,1520
0.110430,eads.brame-gamification.com,tcp,downlink,1520
0.110762,eads.brame-gamification.com,tcp,downlink,1520
0.111094,eads.brame-gamification.com,tcp,downlink,1520
0.111426,eads.brame-gamification.com,tcp,downlink,1520
0.111757,eads.brame-gamification.com,tcp,downlink,1520
0.112089,eads.brame-gamification.com,tcp,downlink,1520
0.112421,eads.brame-gamification.com,tcp,downlink,1520
0.112753,eads.brame-gamification.com,tcp,downlink,1520
0.113085,eads.brame-gamification.com,tcp,downlink,1520
0.113417,eads.brame-gamification.com,tcp,downlink,1520
0.113749,eads.brame-gamification.com,tcp,downlink,1520
0.114081,eads.brame-gamification.com,tcp,downlink,1520
0.114413,eads.brame-gamification.com,tcp,downlink,1520
0.114745,eads.brame-gamification.com,tcp,downlink,1520
0.115077,eads.brame-gamification.com,tcp,downlink,1520
0.115409,eads.brame-gamification.com,tcp,downlink,1520
0.115741,eads.brame-gamification.com,tcp,downlink,1520
0.116073,eads.brame-gamification.com,tcp,downlink,1520
0.116405,eads.brame-gamification.com,tcp,downlink,1520
0.116737,eads.brame-gamification.com,tcp,downlink,1520
0.117068,eads.brame-gamification.com,tcp,downlink,1520
