time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,eads.brame-gamification.com,tcp,uplink,199
0.000000,c0,tcp,uplink,241
0.000000,c0,tcp,downlink,1410
0.000000,c0,tcp,uplink,240
0.000000,c0,tcp,uplink,234
0.000000,c0,tcp,uplink,231
0.000000,c0,tcp,uplink,231
0.000000,c0,tcp,uplink,234
0.000055,c0,tcp,downlink,1520
0.000077,eads.brame-gamification.com,tcp,uplink,185
0.000110,c0,tcp,downlink,1520
0.000143,eads.brame-gamification.com,tcp,uplink,178
0.000165,c0,tcp,downlink,1520
0.000165,ajax.googleapis.com,tcp,uplink,141
0.000185,eads.brame-gamification.com,tcp,uplink,141
0.000200,eads.brame-gamification.com,tcp,uplink,143
0.000213,eads.brame-gamification.com,tcp,uplink,140
0.000220,c0,tcp,downlink,1520
0.000226,eads.brame-gamification.com,tcp,uplink,130
0.000275,c0,tcp,downlink,618
0.000310,c0,tcp,downlink,1520
0.000498,c0,tcp,downlink,1520
0.000510,c0,tcp,downlink,1520
0.000555,c0,tcp,downlink,286
0.000710,c0,tcp,downlink,1520
0.000720,c0,tcp,downlink,1394
0.000832,c0,tcp,downlink,186
0.000910,c0,tcp,downlink,1401
0.010739,eads.brame-gamification.com,tcp,uplink,194
0.010808,eads.brame-gamification.com,tcp,uplink,186
0.047879,eads.brame-gamification.com,tcp,downlink,1520
0.051857,ajax.googleapis.com,tcp,downlink,1520
0.054813,ajax.googleapis.com,tcp,downlink,1520
0.057770,ajax.googleapis.com,tcp,downlink,1520
0.060726,ajax.googleapis.com,tcp,downlink,1520
0.062982,eads.brame-gamification.com,tcp,downlink,1520
0.063682,ajax.googleapis.com,tcp,downlink,1520
0.066639,ajax.googleapis.com,tcp,downlink,1520
0.069595,ajax.googleapis.com,tcp,downlink,1520
0.072551,ajax.googleapis.com,tcp,downlink,1520
0.075508,ajax.googleapis.com,tcp,downlink,1520
0.078085,eads.brame-gamification.com,tcp,downlink,728
0.078464,ajax.googleapis.com,tcp,downlink,1520
0.081420,ajax.googleapis.com,tcp,downlink,1520
0.083340,eads.brame-gamification.com,tcp,downlink,1520
0.084376,ajax.googleapis.com,tcp,downlink,1520
0.087333,ajax.googleapis.com,tcp,downlink,1520
0.090289,ajax.googleapis.com,tcp,downlink,1520
0.091018,eads.brame-gamification.com,tcp,downlink,1520
