time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,pixel.adsafeprotected.com,tcp,uplink,147
0.000000,c0,tcp,uplink,198
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,190
0.000000,c0,tcp,uplink,187
0.000000,c0,tcp,uplink,187
0.000000,c0,tcp,uplink,190
0.000055,c0,tcp,downlink,1520
0.000072,eads.brame-gamification.com,tcp,uplink,143
0.000110,c0,tcp,downlink,1520
0.000129,eads.brame-gamification.com,tcp,uplink,131
0.000165,c0,tcp,downlink,1520
0.000185,eads.brame-gamification.com,tcp,uplink,141
0.000201,eads.brame-gamification.com,tcp,uplink,143
0.000215,eads.brame-gamification.com,tcp,uplink,140
0.000220,c0,tcp,downlink,518
0.000230,eads.brame-gamification.com,tcp,uplink,130
0.000255,c0,tcp,downlink,1520
0.000276,c0,tcp,downlink,1520
0.000360,c0,tcp,downlink,1520
0.000387,c0,tcp,downlink,1520
0.000455,c0,tcp,downlink,1520
0.000498,c0,tcp,downlink,1520
0.000500,c0,tcp,downlink,1093
0.000609,c0,tcp,downlink,1520
0.000610,c0,tcp,downlink,1520
0.000655,c0,tcp,downlink,1520
0.000721,c0,tcp,downlink,1520
0.000832,c0,tcp,downlink,1520
0.000855,c0,tcp,downlink,1204
0.000860,c0,tcp,downlink,118
0.000943,c0,tcp,downlink,1520
0.001054,c0,tcp,downlink,1338
0.026639,eads.brame-gamification.com,tcp,downlink,984
0.057762,eads.brame-gamification.com,tcp,downlink,1520
0.057955,eads.brame-gamification.com,tcp,downlink,1520
0.057956,eads.brame-gamification.com,tcp,downlink,1520
0.058149,eads.brame-gamification.com,tcp,downlink,1520
0.058342,eads.brame-gamification.com,tcp,downlink,1520
0.058535,eads.brame-gamification.com,tcp,downlink,1520
0.058729,eads.brame-gamification.com,tcp,downlink,1520
0.058922,eads.brame-gamification.com,tcp,downlink,1520
0.059115,eads.brame-gamification.com,tcp,downlink,1520
0.059308,eads.brame-gamification.com,tcp,downlink,1520
0.059502,eads.brame-gamification.com,tcp,downlink,1520
0.059695,eads.brame-gamification.com,tcp,downlink,1520
0.059888,eads.brame-gamification.com,tcp,downlink,1520
0.060082,eads.brame-gamification.com,tcp,downlink,1520
0.060275,eads.brame-gamification.com,tcp,downlink,1520
0.060468,eads.brame-gamification.com,tcp,downlink,1520
0.060662,eads.brame-gamification.com,tcp,downlink,1520
0.060855,eads.brame-gamification.com,tcp,downlink,1520
0.061048,eads.brame-gamification.com,tcp,downlink,1520
0.061161,eads.brame-gamification.com,tcp,downlink,1385
0.061241,eads.brame-gamification.com,tcp,downlink,1520
0.061435,eads.brame-gamification.com,tcp,downlink,1520
0.061628,eads.brame-gamification.com,tcp,downlink,1520
0.061821,eads.brame-gamification.com,tcp,downlink,1520
0.062015,eads.brame-gamification.com,tcp,downlink,1520
0.062208,eads.brame-gamification.com,tcp,downlink,1520
0.062401,eads.brame-gamification.com,tcp,downlink,1520
0.062595,eads.brame-gamification.com,tcp,downlink,1520
0.062688,eads.brame-gamification.com,tcp,downlink,1520
0.062788,eads.brame-gamification.com,tcp,downlink,1520
0.062981,eads.brame-gamification.com,tcp,downlink,1520
0.063175,eads.brame-gamification.com,tcp,downlink,1520
0.063368,eads.brame-gamification.com,tcp,downlink,1520
0.063561,eads.brame-gamification.com,tcp,downlink,1520
0.063754,eads.brame-gamification.com,tcp,downlink,1520
0.063948,eads.brame-gamification.com,tcp,downlink,1520
0.064141,eads.brame-gamification.com,tcp,downlink,1520
0.064334,eads.brame-gamification.com,tcp,downlink,1520
0.064528,eads.brame-gamification.com,tcp,downlink,1520
0.064721,eads.brame-gamification.com,tcp,downlink,1520
0.064867,eads.brame-gamification.com,tcp,downlink,1520
0.064914,eads.brame-gamification.com,tcp,downlink,1520
0.065108,eads.brame-gamification.com,tcp,downlink,1520
0.065301,eads.brame-gamification.com,tcp,downlink,1520
0.065494,eads.brame-gamification.com,tcp,downlink,1520
0.065688,eads.brame-gamification.com,tcp,downlink,1520
0.065881,eads.brame-gamification.com,tcp,downlink,1520
0.066074,eads.brame-gamification.com,tcp,downlink,1520
0.066267,eads.brame-gamification.com,tcp,downlink,1520
0.066461,eads.brame-gamification.com,tcp,downlink,1520
0.066654,eads.brame-gamification.com,tcp,downlink,1520
0.066847,eads.brame-gamification.com,tcp,downlink,1520
0.067041,eads.brame-gamification.com,tcp,downlink,1520
0.067234,eads.brame-gamification.com,tcp,downlink,1520
0.067427,eads.brame-gamification.com,tcp,downlink,1520
0.067621,eads.brame-gamification.com,tcp,downlink,1520
0.067814,eads.brame-gamification.com,tcp,downlink,1520
0.068007,eads.brame-gamification.com,tcp,downlink,1520
0.068200,eads.brame-gamification.com,tcp,downlink,1520
