time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,s0.2mdn.net,tcp,uplink,138
0.000000,c0,tcp,uplink,222
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,222
0.000000,c0,tcp,uplink,222
0.000000,c0,tcp,uplink,217
0.000000,c0,tcp,uplink,223
0.000000,c0,tcp,uplink,214
0.000000,c0,tcp,uplink,215
0.000000,c0,tcp,uplink,239
0.000055,c0,tcp,downlink,1520
0.000071,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000126,c0,tcp,downlink,1520
0.000143,c0,tcp,downlink,1520
0.000163,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000198,c0,tcp,downlink,1520
0.000214,c0,tcp,downlink,1520
0.000215,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000252,c0,tcp,downlink,1520
0.000268,c0,tcp,downlink,1520
0.000269,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000285,c0,tcp,downlink,1520
0.000286,c0,tcp,downlink,1520
0.000317,c0,tcp,downlink,1520
0.000321,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000341,c0,tcp,downlink,1520
0.000349,c0,tcp,downlink,1520
0.000357,c0,tcp,downlink,1520
0.000365,c0,tcp,downlink,1520
0.000373,c0,tcp,downlink,1520
0.000381,c0,tcp,downlink,1520
0.000385,c0,tcp,downlink,1520
0.000412,c0,tcp,downlink,1520
0.000414,c0,tcp,downlink,1520
0.000426,c0,tcp,downlink,1520
0.000429,c0,tcp,downlink,1520
0.000446,c0,tcp,downlink,1520
0.000473,c0,tcp,downlink,1520
0.000475,c0,tcp,downlink,1520
0.000478,c0,tcp,downlink,1520
0.000478,c0,tcp,downlink,1520
0.000484,c0,tcp,downlink,1520
0.000496,c0,tcp,downlink,1520
0.000500,c0,tcp,downlink,1520
0.000510,c0,tcp,downlink,1520
0.000531,c0,tcp,downlink,1520
0.000543,c0,tcp,downlink,1520
0.000555,c0,tcp,downlink,1520
0.000565,c0,tcp,downlink,1520
0.000571,c0,tcp,downlink,1520
0.000575,c0,tcp,downlink,1520
0.000584,c0,tcp,downlink,1520
0.000607,c0,tcp,downlink,1520
0.000607,c0,tcp,downlink,1520
0.000616,c0,tcp,downlink,1520
0.000626,c0,tcp,downlink,1520
0.000636,c0,tcp,downlink,1520
0.000639,c0,tcp,downlink,1520
0.000643,c0,tcp,downlink,1520
0.000672,c0,tcp,downlink,1520
0.000675,c0,tcp,downlink,1520
0.000689,c0,tcp,downlink,1520
0.000698,c0,tcp,downlink,1520
0.000704,c0,tcp,downlink,1520
0.000714,c0,tcp,downlink,1520
0.000718,c0,tcp,downlink,1520
0.000736,c0,tcp,downlink,1520
0.000742,c0,tcp,downlink,1520
0.000759,c0,tcp,downlink,1520
0.000765,c0,tcp,downlink,1520
0.000768,c0,tcp,downlink,1520
0.000769,c0,tcp,downlink,1520
0.000786,c0,tcp,downlink,1520
0.000794,c0,tcp,downlink,1520
0.000801,c0,tcp,downlink,1520
0.000829,c0,tcp,downlink,1520
0.000833,c0,tcp,downlink,1520
0.000841,c0,tcp,downlink,1520
0.000847,c0,tcp,downlink,1520
0.000857,c0,tcp,downlink,1520
0.000865,c0,tcp,downlink,1520
0.000875,c0,tcp,downlink,1520
0.000897,c0,tcp,downlink,1520
0.000899,c0,tcp,downlink,1520
0.000901,c0,tcp,downlink,1520
0.000912,c0,tcp,downlink,1520
0.000929,c0,tcp,downlink,467
0.000930,c0,tcp,downlink,1520
0.000941,c0,tcp,downlink,1520
0.000952,c0,tcp,downlink,1520
0.000962,c0,tcp,downlink,1520
0.000965,c0,tcp,downlink,394
0.000984,c0,tcp,downlink,381
0.000994,c0,tcp,downlink,1520
0.001005,c0,tcp,downlink,1520
0.001026,c0,tcp,downlink,1520
0.001044,c0,tcp,downlink,1520
0.001052,c0,tcp,downlink,1520
0.001057,c0,tcp,downlink,928
0.001059,c0,tcp,downlink,1520
0.001075,c0,tcp,downlink,731
0.001091,c0,tcp,downlink,1520
0.001123,c0,tcp,downlink,1520
0.001155,c0,tcp,downlink,1520
0.001163,c0,tcp,downlink,1520
0.001187,c0,tcp,downlink,890
0.001188,c0,tcp,downlink,1311
0.001274,c0,tcp,downlink,711
0.041101,s0.2mdn.net,tcp,downlink,1520
0.043613,s0.2mdn.net,tcp,downlink,1520
0.046124,s0.2mdn.net,tcp,downlink,1520
0.048636,s0.2mdn.net,tcp,downlink,1520
0.051148,s0.2mdn.net,tcp,downlink,1520
0.053659,s0.2mdn.net,tcp,downlink,1520
0.056171,s0.2mdn.net,tcp,downlink,1520
0.058683,s0.2mdn.net,tcp,downlink,1520
0.061195,s0.2mdn.net,tcp,downlink,1520
0.063706,s0.2mdn.net,tcp,downlink,1520
0.066218,s0.2mdn.net,tcp,downlink,1520
0.068730,s0.2mdn.net,tcp,downlink,1520
0.071241,s0.2mdn.net,tcp,downlink,1520
0.073753,s0.2mdn.net,tcp,downlink,1520
0.076265,s0.2mdn.net,tcp,downlink,1520
0.078776,s0.2mdn.net,tcp,downlink,1520
0.081288,s0.2mdn.net,tcp,downlink,1520
0.083800,s0.2mdn.net,tcp,downlink,1520
0.086312,s0.2mdn.net,tcp,downlink,1520
0.088823,s0.2mdn.net,tcp,downlink,447
