time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,ajax.googleapis.com,tcp,uplink,141
0.000000,c0,tcp,uplink,233
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,235
0.000000,c0,tcp,uplink,229
0.000000,c0,tcp,uplink,234
0.000000,c0,tcp,uplink,226
0.000000,c0,tcp,uplink,234
0.000000,c0,tcp,uplink,236
0.000000,c0,tcp,uplink,230
0.000000,c0,tcp,uplink,233
0.000000,c0,tcp,uplink,235
0.000000,c0,tcp,uplink,229
0.000000,c0,tcp,uplink,230
0.000000,c0,tcp,uplink,227
0.000000,c0,tcp,uplink,236
0.000000,c0,tcp,uplink,225
0.000000,c0,tcp,uplink,222
0.000000,c0,tcp,uplink,232
0.000000,c0,tcp,uplink,222
0.000000,c0,tcp,uplink,221
0.000000,c0,tcp,uplink,231
0.000000,c0,tcp,uplink,223
0.000000,c0,tcp,uplink,225
0.000055,c0,tcp,downlink,1520
0.000059,c0,tcp,downlink,1520
0.000062,c0,tcp,downlink,1520
0.000066,c0,tcp,downlink,1520
0.000070,c0,tcp,downlink,1520
0.000074,c0,tcp,downlink,1520
0.000077,c0,tcp,downlink,1520
0.000081,c0,tcp,downlink,1520
0.000085,c0,tcp,downlink,1520
0.000088,c0,tcp,downlink,1520
0.000092,c0,tcp,downlink,1520
0.000096,c0,tcp,downlink,1520
0.000099,c0,tcp,downlink,1520
0.000103,c0,tcp,downlink,1520
0.000107,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000111,c0,tcp,downlink,1520
0.000114,c0,tcp,downlink,1520
0.000116,c0,tcp,downlink,1520
0.000118,c0,tcp,downlink,1520
0.000122,c0,tcp,downlink,1520
0.000123,c0,tcp,downlink,1520
0.000125,c0,tcp,downlink,1520
0.000129,c0,tcp,downlink,1520
0.000129,c0,tcp,downlink,1520
0.000133,c0,tcp,downlink,1520
0.000135,c0,tcp,downlink,1520
0.000136,c0,tcp,downlink,1520
0.000140,c0,tcp,downlink,1520
0.000142,c0,tcp,downlink,1520
0.000144,c0,tcp,downlink,1520
0.000148,c0,tcp,downlink,1520
0.000148,c0,tcp,downlink,1520
0.000151,c0,tcp,downlink,1520
0.000155,c0,tcp,downlink,1520
0.000155,c0,tcp,downlink,1520
0.000159,c0,tcp,downlink,1520
0.000161,c0,tcp,downlink,1520
0.000162,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000166,c0,tcp,downlink,1520
0.000167,c0,tcp,downlink,1520
0.000170,c0,tcp,downlink,1520
0.000174,c0,tcp,downlink,1520
0.000174,c0,tcp,downlink,1520
0.000177,c0,tcp,downlink,1520
0.000180,c0,tcp,downlink,1520
0.000181,c0,tcp,downlink,1520
0.000185,c0,tcp,downlink,1520
0.000186,c0,tcp,downlink,1520
0.000188,c0,tcp,downlink,1520
0.000192,c0,tcp,downlink,1520
0.000193,c0,tcp,downlink,1520
0.000196,c0,tcp,downlink,1520
0.000199,c0,tcp,downlink,1520
0.000199,c0,tcp,downlink,1520
0.000203,c0,tcp,downlink,1520
0.000206,c0,tcp,downlink,1520
0.000207,c0,tcp,downlink,1520
0.000211,c0,tcp,downlink,1520
0.000212,c0,tcp,downlink,1520
0.000214,c0,tcp,downlink,1520
0.000218,c0,tcp,downlink,1520
0.000218,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000222,c0,tcp,downlink,1520
0.000225,c0,tcp,downlink,1520
0.000225,c0,tcp,downlink,1520
0.000229,c0,tcp,downlink,1520
0.000231,c0,tcp,downlink,1520
0.000233,c0,tcp,downlink,1520
0.000236,c0,tcp,downlink,1520
0.000237,c0,tcp,downlink,1520
0.000240,c0,tcp,downlink,1520
0.000244,c0,tcp,downlink,1520
0.000244,c0,tcp,downlink,1520
0.000248,c0,tcp,downlink,1520
0.000250,c0,tcp,downlink,1520
0.000251,c0,tcp,downlink,1520
0.000255,c0,tcp,downlink,1520
0.000256,c0,tcp,downlink,1520
0.000259,c0,tcp,downlink,1520
0.000262,c0,tcp,downlink,1520
0.000263,c0,tcp,downlink,1520
0.000266,c0,tcp,downlink,1520
0.000269,c0,tcp,downlink,1520
0.000270,c0,tcp,downlink,1520
0.000274,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000276,c0,tcp,downlink,1520
0.000277,c0,tcp,downlink,1520
0.000281,c0,tcp,downlink,1520
0.000282,c0,tcp,downlink,1520
0.000285,c0,tcp,downlink,1520
0.000288,c0,tcp,downlink,1520
0.000288,c0,tcp,downlink,1520
0.000292,c0,tcp,downlink,1520
0.000295,c0,tcp,downlink,1520
0.000296,c0,tcp,downlink,1520
0.000299,c0,tcp,downlink,1520
0.000301,c0,tcp,downlink,1520
0.000303,c0,tcp,downlink,1520
0.000307,c0,tcp,downlink,1520
0.000307,c0,tcp,downlink,1520
0.000311,c0,tcp,downlink,1520
0.000314,c0,tcp,downlink,1520
0.000314,c0,tcp,downlink,1520
0.000318,c0,tcp,downlink,1520
0.000320,c0,tcp,downlink,1520
0.000322,c0,tcp,downlink,1520
0.000325,c0,tcp,downlink,1520
0.000327,c0,tcp,downlink,1520
0.000329,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000333,c0,tcp,downlink,1520
0.000333,c0,tcp,downlink,1520
0.000334,c0,tcp,downlink,1520
0.000336,c0,tcp,downlink,1520
0.000338,c0,tcp,downlink,1520
0.000339,c0,tcp,downlink,1520
0.000340,c0,tcp,downlink,1520
0.000341,c0,tcp,downlink,1520
0.000344,c0,tcp,downlink,1520
0.000345,c0,tcp,downlink,1520
0.000346,c0,tcp,downlink,1520
0.000348,c0,tcp,downlink,1520
0.000349,c0,tcp,downlink,1520
0.000351,c0,tcp,downlink,1520
0.000352,c0,tcp,downlink,1520
0.000353,c0,tcp,downlink,1520
0.000355,c0,tcp,downlink,1520
0.000356,c0,tcp,downlink,1520
0.000358,c0,tcp,downlink,1520
0.000359,c0,tcp,downlink,1520
0.000360,c0,tcp,downlink,1520
0.000362,c0,tcp,downlink,1520
0.000364,c0,tcp,downlink,1520
0.000365,c0,tcp,downlink,1520
0.000366,c0,tcp,downlink,1520
0.000368,c0,tcp,downlink,1520
0.000370,c0,tcp,downlink,1520
0.000371,c0,tcp,downlink,1520
0.000372,c0,tcp,downlink,1520
0.000374,c0,tcp,downlink,1520
0.000375,c0,tcp,downlink,1520
0.000377,c0,tcp,downlink,1520
0.000378,c0,tcp,downlink,1520
0.000379,c0,tcp,downlink,1520
0.000381,c0,tcp,downlink,1520
0.000383,c0,tcp,downlink,1520
0.000384,c0,tcp,downlink,1520
0.000385,c0,tcp,downlink,1520
0.000385,c0,tcp,downlink,1520
0.000387,c0,tcp,downlink,1520
0.000388,c0,tcp,downlink,1520
0.000390,c0,tcp,downlink,1520
0.000390,c0,tcp,downlink,1520
0.000391,c0,tcp,downlink,1520
0.000392,c0,tcp,downlink,1520
0.000394,c0,tcp,downlink,1520
0.000396,c0,tcp,downlink,1520
0.000396,c0,tcp,downlink,1520
0.000397,c0,tcp,downlink,1520
0.000398,c0,tcp,downlink,1520
0.000399,c0,tcp,downlink,1520
0.000402,c0,tcp,downlink,1520
0.000402,c0,tcp,downlink,1520
0.000403,c0,tcp,downlink,1520
0.000403,c0,tcp,downlink,1520
0.000405,c0,tcp,downlink,1520
0.000407,c0,tcp,downlink,1520
0.000407,c0,tcp,downlink,1520
0.000409,c0,tcp,downlink,1520
0.000409,c0,tcp,downlink,1520
0.000411,c0,tcp,downlink,1520
0.000413,c0,tcp,downlink,1520
0.000413,c0,tcp,downlink,1520
0.000414,c0,tcp,downlink,1520
0.000416,c0,tcp,downlink,1520
0.000417,c0,tcp,downlink,1520
0.000418,c0,tcp,downlink,1520
0.000419,c0,tcp,downlink,1520
0.000421,c0,tcp,downlink,1520
