time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,open.spotify.com,tcp,uplink,121
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,179
0.000000,c0,tcp,uplink,182
0.000000,c0,tcp,uplink,182
0.000000,c0,tcp,uplink,179
0.000000,c0,tcp,uplink,174
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,175
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,172
0.000000,c0,tcp,uplink,171
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,172
0.000000,c0,tcp,uplink,168
0.000000,c0,tcp,uplink,168
0.000000,c0,tcp,uplink,167
0.000055,c0,tcp,downlink,1520
0.000078,code.jquery.com,tcp,uplink,116
0.000083,c0,tcp,downlink,1520
0.000095,cdn.jsdelivr.net,tcp,uplink,134
0.000110,c0,tcp,downlink,1520
0.000111,cdn.jsdelivr.net,tcp,uplink,139
0.000112,c0,tcp,downlink,1520
0.000115,c0,tcp,downlink,1520
0.000117,c0,tcp,downlink,1520
0.000119,c0,tcp,downlink,1520
0.000122,c0,tcp,downlink,1520
0.000124,c0,tcp,downlink,1520
0.000126,c0,tcp,downlink,1520
0.000129,c0,tcp,downlink,1520
0.000131,c0,tcp,downlink,1520
0.000133,c0,tcp,downlink,1520
0.000135,c0,tcp,downlink,1520
0.000138,c0,tcp,downlink,1520
0.000140,c0,tcp,downlink,1520
0.000142,c0,tcp,downlink,1520
0.000145,c0,tcp,downlink,1520
0.000147,c0,tcp,downlink,1520
0.000149,c0,tcp,downlink,1520
0.000152,c0,tcp,downlink,1520
0.000154,c0,tcp,downlink,1520
0.000156,c0,tcp,downlink,1520
0.000159,c0,tcp,downlink,1520
0.000161,c0,tcp,downlink,1520
0.000163,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000166,c0,tcp,downlink,1520
0.000167,c0,tcp,downlink,1520
0.000168,c0,tcp,downlink,1520
0.000170,c0,tcp,downlink,1520
0.000173,c0,tcp,downlink,1520
0.000175,c0,tcp,downlink,1520
0.000177,c0,tcp,downlink,1520
0.000179,c0,tcp,downlink,1520
0.000182,c0,tcp,downlink,1520
0.000184,c0,tcp,downlink,1520
0.000186,c0,tcp,downlink,1520
0.000189,c0,tcp,downlink,1520
0.000191,c0,tcp,downlink,1520
0.000193,c0,tcp,downlink,1520
0.000196,c0,tcp,downlink,1520
0.000198,c0,tcp,downlink,1520
0.000200,c0,tcp,downlink,1520
0.000203,c0,tcp,downlink,1520
0.000205,c0,tcp,downlink,1520
0.000207,c0,tcp,downlink,1520
0.000210,c0,tcp,downlink,1520
0.000212,c0,tcp,downlink,1520
0.000214,c0,tcp,downlink,1520
0.000216,c0,tcp,downlink,1520
0.000219,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000221,c0,tcp,downlink,1520
0.000223,c0,tcp,downlink,1520
0.000226,c0,tcp,downlink,1520
0.000228,c0,tcp,downlink,1520
0.000230,c0,tcp,downlink,1520
0.000233,c0,tcp,downlink,1520
0.000235,c0,tcp,downlink,1520
0.000237,c0,tcp,downlink,1520
0.000240,c0,tcp,downlink,1520
0.000242,c0,tcp,downlink,1520
0.000244,c0,tcp,downlink,1520
0.000247,c0,tcp,downlink,1520
0.000248,c0,tcp,downlink,1520
0.000249,c0,tcp,downlink,1520
0.000250,c0,tcp,downlink,1520
0.000251,c0,tcp,downlink,1520
0.000254,c0,tcp,downlink,1520
0.000256,c0,tcp,downlink,1520
0.000258,c0,tcp,downlink,1520
0.000260,c0,tcp,downlink,1520
0.000263,c0,tcp,downlink,1520
0.000265,c0,tcp,downlink,1520
0.000267,c0,tcp,downlink,1520
0.000270,c0,tcp,downlink,1520
0.000272,c0,tcp,downlink,1520
0.000274,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000277,c0,tcp,downlink,1520
0.000278,c0,tcp,downlink,1520
0.000279,c0,tcp,downlink,1520
0.000280,c0,tcp,downlink,1520
0.000281,c0,tcp,downlink,1520
0.000283,c0,tcp,downlink,1520
0.000284,c0,tcp,downlink,1520
0.000285,c0,tcp,downlink,1520
0.000286,c0,tcp,downlink,1520
0.000288,c0,tcp,downlink,1520
0.000288,c0,tcp,downlink,1520
0.000290,c0,tcp,downlink,1520
0.000291,c0,tcp,downlink,1520
0.000291,c0,tcp,downlink,1520
0.000293,c0,tcp,downlink,1520
0.000293,c0,tcp,downlink,1520
0.000295,c0,tcp,downlink,1520
0.000295,c0,tcp,downlink,1520
0.000298,c0,tcp,downlink,1520
0.000298,c0,tcp,downlink,1520
0.000300,c0,tcp,downlink,1520
0.000301,c0,tcp,downlink,1520
0.000302,c0,tcp,downlink,1520
0.000303,c0,tcp,downlink,1520
0.000304,c0,tcp,downlink,1520
0.000305,c0,tcp,downlink,1520
0.000306,c0,tcp,downlink,1520
0.000307,c0,tcp,downlink,1520
0.000308,c0,tcp,downlink,1520
0.000309,c0,tcp,downlink,1520
0.000311,c0,tcp,downlink,1520
0.000311,c0,tcp,downlink,1520
0.000313,c0,tcp,downlink,1520
0.000314,c0,tcp,downlink,1520
0.000316,c0,tcp,downlink,1520
0.000316,c0,tcp,downlink,1520
0.000318,c0,tcp,downlink,1520
0.000318,c0,tcp,downlink,1520
0.000321,c0,tcp,downlink,1520
0.000321,c0,tcp,downlink,1520
0.000323,c0,tcp,downlink,1520
0.000324,c0,tcp,downlink,1520
0.000325,c0,tcp,downlink,1520
0.000326,c0,tcp,downlink,1520
0.000328,c0,tcp,downlink,1520
0.000329,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000331,c0,tcp,downlink,1520
0.000332,c0,tcp,downlink,1520
0.000332,c0,tcp,downlink,1520
0.000333,c0,tcp,downlink,1520
0.000334,c0,tcp,downlink,1520
0.000335,c0,tcp,downlink,1520
0.000336,c0,tcp,downlink,1520
0.000337,c0,tcp,downlink,1520
0.000339,c0,tcp,downlink,1520
0.000339,c0,tcp,downlink,1520
0.000341,c0,tcp,downlink,1520
0.000341,c0,tcp,downlink,1520
0.000344,c0,tcp,downlink,1520
0.000344,c0,tcp,downlink,1520
0.000346,c0,tcp,downlink,1520
0.000347,c0,tcp,downlink,1520
0.000348,c0,tcp,downlink,1520
0.000349,c0,tcp,downlink,1520
0.000351,c0,tcp,downlink,1520
0.000352,c0,tcp,downlink,1520
0.000353,c0,tcp,downlink,1520
0.000354,c0,tcp,downlink,1520
0.000355,c0,tcp,downlink,1520
0.000357,c0,tcp,downlink,1520
0.000358,c0,tcp,downlink,1520
0.000359,c0,tcp,downlink,1520
0.000360,c0,tcp,downlink,1520
0.000362,c0,tcp,downlink,1520
0.000362,c0,tcp,downlink,1520
0.000363,c0,tcp,downlink,1520
0.000365,c0,tcp,downlink,1520
0.000365,c0,tcp,downlink,1520
0.000367,c0,tcp,downlink,1520
