time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,code.createjs.com,tcp,uplink,124
0.000000,c0,tcp,uplink,184
0.000000,c0,tcp,downlink,1520
0.000000,c0,tcp,uplink,195
0.000000,c0,tcp,uplink,172
0.000000,c0,tcp,uplink,174
0.000000,c0,tcp,uplink,174
0.000000,c0,tcp,uplink,174
0.000000,c0,tcp,uplink,175
0.000000,c0,tcp,uplink,183
0.000000,c0,tcp,uplink,174
0.000000,c0,tcp,uplink,175
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,173
0.000000,c0,tcp,uplink,172
0.000000,c0,tcp,uplink,176
0.000000,c0,tcp,uplink,175
0.000010,c0,tcp,downlink,1520
0.000020,c0,tcp,downlink,1520
0.000029,c0,tcp,downlink,1520
0.000039,c0,tcp,downlink,1520
0.000049,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000059,c0,tcp,downlink,1520
0.000069,c0,tcp,downlink,1520
0.000077,c0,tcp,downlink,1520
0.000078,c0,tcp,downlink,1520
0.000088,c0,tcp,downlink,1520
0.000098,c0,tcp,downlink,1520
0.000098,c0,tcp,downlink,1520
0.000108,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000118,c0,tcp,downlink,1520
0.000120,c0,tcp,downlink,1520
0.000127,c0,tcp,downlink,1520
0.000137,c0,tcp,downlink,1520
0.000142,c0,tcp,downlink,1520
0.000147,c0,tcp,downlink,1520
0.000148,c0,tcp,downlink,1520
0.000157,c0,tcp,downlink,1520
0.000164,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000167,c0,tcp,downlink,1520
0.000176,c0,tcp,downlink,1520
0.000185,c0,tcp,downlink,1520
0.000186,c0,tcp,downlink,1520
0.000187,c0,tcp,downlink,1520
0.000196,c0,tcp,downlink,1520
0.000206,c0,tcp,downlink,1520
0.000207,c0,tcp,downlink,1520
0.000211,cdnjs.cloudflare.com,tcp,uplink,139
0.000216,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000225,c0,tcp,downlink,1520
0.000225,c0,tcp,downlink,1520
0.000229,c0,tcp,downlink,1520
0.000235,c0,tcp,downlink,1520
0.000245,c0,tcp,downlink,1520
0.000251,c0,tcp,downlink,1520
0.000255,c0,tcp,downlink,1520
