time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,ajax.googleapis.com,tcp,uplink,141
0.000000,c0,tcp,uplink,219
0.000000,c0,tcp,downlink,616
0.000000,c0,tcp,uplink,211
0.000000,c0,tcp,uplink,212
0.000000,c0,tcp,uplink,221
0.000000,c0,tcp,uplink,225
0.000000,c0,tcp,uplink,221
0.000000,c0,tcp,uplink,215
0.000000,c0,tcp,uplink,221
0.000000,c0,tcp,uplink,218
0.000000,c0,tcp,uplink,217
0.000000,c0,tcp,uplink,224
0.000000,c0,tcp,uplink,211
0.000000,c0,tcp,uplink,208
0.000000,c0,tcp,uplink,218
0.000000,c0,tcp,uplink,208
0.000000,c0,tcp,uplink,207
0.000000,c0,tcp,uplink,217
0.000000,c0,tcp,uplink,209
0.000000,c0,tcp,uplink,211
0.000055,c0,tcp,downlink,1520
0.000061,c0,tcp,downlink,1520
0.000067,c0,tcp,downlink,1520
0.000074,c0,tcp,downlink,1520
0.000080,c0,tcp,downlink,1520
0.000086,c0,tcp,downlink,1520
0.000092,c0,tcp,downlink,1520
0.000098,c0,tcp,downlink,1520
0.000104,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000111,c0,tcp,downlink,1520
0.000117,c0,tcp,downlink,1520
0.000123,c0,tcp,downlink,1520
0.000129,c0,tcp,downlink,1520
0.000135,c0,tcp,downlink,1520
0.000141,c0,tcp,downlink,1520
0.000148,c0,tcp,downlink,1520
0.000154,c0,tcp,downlink,1520
0.000160,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000166,c0,tcp,downlink,1520
0.000172,c0,tcp,downlink,1520
0.000178,c0,tcp,downlink,1520
0.000185,c0,tcp,downlink,1520
0.000191,c0,tcp,downlink,1520
0.000197,c0,tcp,downlink,1520
0.000203,c0,tcp,downlink,1520
0.000209,c0,tcp,downlink,1520
0.000215,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000222,c0,tcp,downlink,1520
0.000228,c0,tcp,downlink,1520
0.000234,c0,tcp,downlink,1520
0.000240,c0,tcp,downlink,1520
