time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,cdnjs.cloudflare.com,tcp,uplink,138
0.000000,c0,tcp,uplink,166
0.000000,c0,tcp,downlink,1520
0.000009,c0,tcp,downlink,1520
0.000018,c0,tcp,downlink,1520
0.000028,c0,tcp,downlink,1520
0.000037,c0,tcp,downlink,1520
0.000046,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000064,c0,tcp,downlink,1520
0.000073,c0,tcp,downlink,1520
0.000083,c0,tcp,downlink,1520
0.000092,c0,tcp,downlink,1520
0.000101,c0,tcp,downlink,1520
0.000110,c0,tcp,downlink,1520
0.000119,c0,tcp,downlink,1520
0.000128,c0,tcp,downlink,1520
0.000138,c0,tcp,downlink,1520
0.000144,s0.2mdn.net,tcp,uplink,146
0.000147,c0,tcp,downlink,1520
0.000156,c0,tcp,downlink,1520
0.000165,c0,tcp,downlink,1520
0.000174,c0,tcp,downlink,1520
0.000183,c0,tcp,downlink,1520
0.000193,c0,tcp,downlink,1520
0.000202,c0,tcp,downlink,1520
0.000211,c0,tcp,downlink,1520
0.000220,c0,tcp,downlink,1520
0.000229,c0,tcp,downlink,1520
0.000239,c0,tcp,downlink,1520
0.000248,c0,tcp,downlink,1520
0.000257,c0,tcp,downlink,1520
0.000266,c0,tcp,downlink,1520
0.000275,c0,tcp,downlink,1520
0.000284,c0,tcp,downlink,1520
0.000294,c0,tcp,downlink,1520
0.000303,c0,tcp,downlink,1520
0.000312,c0,tcp,downlink,1520
0.000321,c0,tcp,downlink,1520
0.000330,c0,tcp,downlink,1520
0.000339,c0,tcp,downlink,1520
0.000349,c0,tcp,downlink,1520
0.000358,c0,tcp,downlink,1520
0.000367,c0,tcp,downlink,1520
0.000376,c0,tcp,downlink,1520
0.000385,c0,tcp,downlink,1520
0.000394,c0,tcp,downlink,1520
0.000404,c0,tcp,downlink,1520
0.000413,c0,tcp,downlink,1520
0.000422,c0,tcp,downlink,1520
0.000431,c0,tcp,downlink,1520
0.000440,c0,tcp,downlink,1520
0.000450,c0,tcp,downlink,1520
0.000459,c0,tcp,downlink,1520
0.000468,c0,tcp,downlink,1520
0.000477,c0,tcp,downlink,1520
0.000486,c0,tcp,downlink,1520
0.000495,c0,tcp,downlink,1520
0.000505,c0,tcp,downlink,1520
0.000514,c0,tcp,downlink,1520
0.000523,c0,tcp,downlink,1520
0.000532,c0,tcp,downlink,1520
0.000541,c0,tcp,downlink,1520
0.000550,c0,tcp,downlink,1520
0.000560,c0,tcp,downlink,1520
0.000569,c0,tcp,downlink,1520
0.000578,c0,tcp,downlink,1520
0.000587,c0,tcp,downlink,1520
0.000596,c0,tcp,downlink,1520
0.000606,c0,tcp,downlink,1520
0.000615,c0,tcp,downlink,1520
0.000624,c0,tcp,downlink,1520
0.000633,c0,tcp,downlink,1520
0.000642,c0,tcp,downlink,1520
0.000651,c0,tcp,downlink,1520
0.000661,c0,tcp,downlink,1520
0.000670,c0,tcp,downlink,1520
0.000679,c0,tcp,downlink,1520
0.000688,c0,tcp,downlink,1520
0.000697,c0,tcp,downlink,1520
0.000706,c0,tcp,downlink,1520
0.000716,c0,tcp,downlink,1520
0.000725,c0,tcp,downlink,1520
0.000734,c0,tcp,downlink,1520
0.000743,c0,tcp,downlink,1520
0.000752,c0,tcp,downlink,1520
0.000761,c0,tcp,downlink,1520
0.000771,c0,tcp,downlink,1520
0.000780,c0,tcp,downlink,1520
0.000789,c0,tcp,downlink,1520
0.000798,c0,tcp,downlink,1520
0.000807,c0,tcp,downlink,1520
0.000817,c0,tcp,downlink,1520
0.000826,c0,tcp,downlink,1520
0.000835,c0,tcp,downlink,1520
0.000844,c0,tcp,downlink,1520
0.000853,c0,tcp,downlink,1520
0.000862,c0,tcp,downlink,1520
0.000872,c0,tcp,downlink,1520
0.000881,c0,tcp,downlink,1520
0.000890,c0,tcp,downlink,1520
0.000899,c0,tcp,downlink,1520
0.000908,c0,tcp,downlink,1520
0.000917,c0,tcp,downlink,1520
0.000927,c0,tcp,downlink,1520
0.000936,c0,tcp,downlink,1520
0.000945,c0,tcp,downlink,1520
0.000954,c0,tcp,downlink,1520
0.000963,c0,tcp,downlink,1520
0.000972,c0,tcp,downlink,1520
0.000982,c0,tcp,downlink,1520
0.000991,c0,tcp,downlink,719
0.054962,cdnjs.cloudflare.com,tcp,downlink,1520
0.059625,cdnjs.cloudflare.com,tcp,downlink,1520
0.064288,cdnjs.cloudflare.com,tcp,downlink,1520
0.068950,cdnjs.cloudflare.com,tcp,downlink,1520
0.069902,s0.2mdn.net,tcp,downlink,1520
0.071949,s0.2mdn.net,tcp,downlink,1520
0.073613,cdnjs.cloudflare.com,tcp,downlink,1520
0.073997,s0.2mdn.net,tcp,downlink,1520
0.076044,s0.2mdn.net,tcp,downlink,1520
0.078092,s0.2mdn.net,tcp,downlink,1520
0.078276,cdnjs.cloudflare.com,tcp,downlink,1520
0.080139,s0.2mdn.net,tcp,downlink,1520
0.082187,s0.2mdn.net,tcp,downlink,1520
0.082939,cdnjs.cloudflare.com,tcp,downlink,1520
0.084234,s0.2mdn.net,tcp,downlink,1520
0.086282,s0.2mdn.net,tcp,downlink,1520
0.087602,cdnjs.cloudflare.com,tcp,downlink,1520
0.088329,s0.2mdn.net,tcp,downlink,1520
0.090377,s0.2mdn.net,tcp,downlink,1520
0.092264,cdnjs.cloudflare.com,tcp,downlink,1520
0.092424,s0.2mdn.net,tcp,downlink,1520
0.094472,s0.2mdn.net,tcp,downlink,1520
0.096519,s0.2mdn.net,tcp,downlink,1520
0.096927,cdnjs.cloudflare.com,tcp,downlink,1520
0.098567,s0.2mdn.net,tcp,downlink,1520
0.100614,s0.2mdn.net,tcp,downlink,1520
0.101590,cdnjs.cloudflare.com,tcp,downlink,1520
0.102661,s0.2mdn.net,tcp,downlink,1520
0.104709,s0.2mdn.net,tcp,downlink,1520
0.106253,cdnjs.cloudflare.com,tcp,downlink,1520
0.106756,s0.2mdn.net,tcp,downlink,1520
0.108804,s0.2mdn.net,tcp,downlink,1520
0.110851,s0.2mdn.net,tcp,downlink,1520
0.110916,cdnjs.cloudflare.com,tcp,downlink,1520
0.112899,s0.2mdn.net,tcp,downlink,1520
0.114946,s0.2mdn.net,tcp,downlink,1520
0.115578,cdnjs.cloudflare.com,tcp,downlink,1520
0.116994,s0.2mdn.net,tcp,downlink,1520
0.119041,s0.2mdn.net,tcp,downlink,1520
0.120241,cdnjs.cloudflare.com,tcp,downlink,1337
0.121089,s0.2mdn.net,tcp,downlink,1520
0.123136,s0.2mdn.net,tcp,downlink,1520
0.125184,s0.2mdn.net,tcp,downlink,1520
0.127231,s0.2mdn.net,tcp,downlink,1520
0.129279,s0.2mdn.net,tcp,downlink,1520
0.131326,s0.2mdn.net,tcp,downlink,1520
0.133373,s0.2mdn.net,tcp,downlink,1520
0.135421,s0.2mdn.net,tcp,downlink,1520
0.137468,s0.2mdn.net,tcp,downlink,1520
0.139516,s0.2mdn.net,tcp,downlink,1520
0.141563,s0.2mdn.net,tcp,downlink,1520
0.143611,s0.2mdn.net,tcp,downlink,1520
0.145658,s0.2mdn.net,tcp,downlink,1520
0.147706,s0.2mdn.net,tcp,downlink,1520
0.149753,s0.2mdn.net,tcp,downlink,1520
0.151801,s0.2mdn.net,tcp,downlink,1520
0.153848,s0.2mdn.net,tcp,downlink,1520
0.155896,s0.2mdn.net,tcp,downlink,1520
0.157943,s0.2mdn.net,tcp,downlink,1520
0.159991,s0.2mdn.net,tcp,downlink,605
0.172786,s1.adform.net,tcp,uplink,157
0.275431,s1.adform.net,tcp,downlink,1520
0.286313,s1.adform.net,tcp,downlink,1520
0.297195,s1.adform.net,tcp,downlink,1520
0.308077,s1.adform.net,tcp,downlink,1520
0.318959,s1.adform.net,tcp,downlink,1520
0.329841,s1.adform.net,tcp,downlink,1520
0.340723,s1.adform.net,tcp,downlink,1520
0.351606,s1.adform.net,tcp,downlink,1520
0.362488,s1.adform.net,tcp,downlink,1520
0.373370,s1.adform.net,tcp,downlink,1520
0.384252,s1.adform.net,tcp,downlink,1520
0.395134,s1.adform.net,tcp,downlink,1520
0.406016,s1.adform.net,tcp,downlink,1022
0.428009,fonts.googleapis.com,tcp,uplink,131
0.497067,fonts.googleapis.com,tcp,downlink,1086
0.590030,fonts.gstatic.com,tcp,uplink,169
0.618064,fonts.gstatic.com,tcp,downlink,1520
0.620700,fonts.gstatic.com,tcp,downlink,1520
0.623335,fonts.gstatic.com,tcp,downlink,1520
0.625971,fonts.gstatic.com,tcp,downlink,1520
0.628607,fonts.gstatic.com,tcp,downlink,1520
0.631242,fonts.gstatic.com,tcp,downlink,1520
0.633878,fonts.gstatic.com,tcp,downlink,1520
0.636514,fonts.gstatic.com,tcp,downlink,1520
0.639150,fonts.gstatic.com,tcp,downlink,1520
0.641785,fonts.gstatic.com,tcp,downlink,1520
0.644421,fonts.gstatic.com,tcp,downlink,1520
0.647057,fonts.gstatic.com,tcp,downlink,1520
0.649692,fonts.gstatic.com,tcp,downlink,589
0.662409,fonts.gstatic.com,tcp,uplink,172
0.667419,fonts.gstatic.com,tcp,downlink,1520
0.668184,fonts.gstatic.com,tcp,downlink,1520
0.668950,fonts.gstatic.com,tcp,downlink,1520
0.669715,fonts.gstatic.com,tcp,downlink,1520
0.670481,fonts.gstatic.com,tcp,downlink,1520
0.671246,fonts.gstatic.com,tcp,downlink,1520
0.672011,fonts.gstatic.com,tcp,downlink,1520
0.672777,fonts.gstatic.com,tcp,downlink,775
