time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,cdnjs.cloudflare.com,tcp,uplink,138
0.000000,c0,tcp,uplink,172
0.000000,c0,tcp,downlink,1520
0.000013,c0,tcp,downlink,1520
0.000026,c0,tcp,downlink,1520
0.000039,c0,tcp,downlink,1520
0.000052,c0,tcp,downlink,1520
0.000065,c0,tcp,downlink,1520
0.000078,c0,tcp,downlink,1520
0.000091,c0,tcp,downlink,1520
0.000104,c0,tcp,downlink,1520
0.000117,c0,tcp,downlink,1520
0.000130,c0,tcp,downlink,1520
0.000143,c0,tcp,downlink,1520
0.000156,c0,tcp,downlink,1520
0.000161,s0.2mdn.net,tcp,uplink,146
0.000169,c0,tcp,downlink,1520
0.000182,c0,tcp,downlink,1520
0.000195,c0,tcp,downlink,1520
0.000208,c0,tcp,downlink,1520
0.000221,c0,tcp,downlink,1520
0.000234,c0,tcp,downlink,1520
0.000247,c0,tcp,downlink,1520
0.000260,c0,tcp,downlink,1520
0.000273,c0,tcp,downlink,1520
0.000286,c0,tcp,downlink,1520
0.000299,c0,tcp,downlink,1520
0.000312,c0,tcp,downlink,1520
0.000325,c0,tcp,downlink,1520
0.000338,c0,tcp,downlink,1520
0.000351,c0,tcp,downlink,1520
0.000364,c0,tcp,downlink,1520
0.000377,c0,tcp,downlink,1520
0.000390,c0,tcp,downlink,1520
0.000403,c0,tcp,downlink,1520
0.000416,c0,tcp,downlink,1520
0.000429,c0,tcp,downlink,1520
0.000442,c0,tcp,downlink,1520
0.000455,c0,tcp,downlink,1520
0.000468,c0,tcp,downlink,1520
0.000481,c0,tcp,downlink,1520
0.000494,c0,tcp,downlink,1520
0.000506,c0,tcp,downlink,1520
0.000519,c0,tcp,downlink,1520
0.000532,c0,tcp,downlink,1520
0.000545,c0,tcp,downlink,1520
0.000558,c0,tcp,downlink,1520
0.000571,c0,tcp,downlink,1520
0.000584,c0,tcp,downlink,1520
0.000597,c0,tcp,downlink,1520
0.000610,c0,tcp,downlink,1520
0.000623,c0,tcp,downlink,1520
0.000636,c0,tcp,downlink,1520
0.000649,c0,tcp,downlink,1520
0.000662,c0,tcp,downlink,1520
0.000675,c0,tcp,downlink,1520
0.000688,c0,tcp,downlink,1520
0.000701,c0,tcp,downlink,1520
0.000714,c0,tcp,downlink,1520
0.000727,c0,tcp,downlink,1520
0.000740,c0,tcp,downlink,1520
0.000753,c0,tcp,downlink,1520
0.000766,c0,tcp,downlink,1520
0.000779,c0,tcp,downlink,1520
0.000792,c0,tcp,downlink,1520
0.000805,c0,tcp,downlink,1520
0.000818,c0,tcp,downlink,1520
0.000831,c0,tcp,downlink,1520
0.000844,c0,tcp,downlink,1520
0.000857,c0,tcp,downlink,1520
0.000870,c0,tcp,downlink,1520
0.000883,c0,tcp,downlink,1520
0.000896,c0,tcp,downlink,1520
0.000909,c0,tcp,downlink,1520
0.000922,c0,tcp,downlink,1520
0.000935,c0,tcp,downlink,1520
0.000948,c0,tcp,downlink,1520
0.000961,c0,tcp,downlink,1520
0.000974,c0,tcp,downlink,1520
0.000987,c0,tcp,downlink,642
0.027720,cdnjs.cloudflare.com,tcp,downlink,1520
0.029979,cdnjs.cloudflare.com,tcp,downlink,1520
0.032237,cdnjs.cloudflare.com,tcp,downlink,1520
0.034496,cdnjs.cloudflare.com,tcp,downlink,1520
0.036755,cdnjs.cloudflare.com,tcp,downlink,1520
0.039014,cdnjs.cloudflare.com,tcp,downlink,1520
0.041272,cdnjs.cloudflare.com,tcp,downlink,1520
0.043531,cdnjs.cloudflare.com,tcp,downlink,1520
0.045790,cdnjs.cloudflare.com,tcp,downlink,1520
0.048049,cdnjs.cloudflare.com,tcp,downlink,1520
0.050307,cdnjs.cloudflare.com,tcp,downlink,1520
0.051252,s0.2mdn.net,tcp,downlink,1520
0.052566,cdnjs.cloudflare.com,tcp,downlink,1520
0.052677,s0.2mdn.net,tcp,downlink,1520
0.054103,s0.2mdn.net,tcp,downlink,1520
0.054825,cdnjs.cloudflare.com,tcp,downlink,1520
0.055528,s0.2mdn.net,tcp,downlink,1520
0.056953,s0.2mdn.net,tcp,downlink,1520
0.057084,cdnjs.cloudflare.com,tcp,downlink,1520
0.058378,s0.2mdn.net,tcp,downlink,1520
0.059342,cdnjs.cloudflare.com,tcp,downlink,1337
0.059804,s0.2mdn.net,tcp,downlink,1520
0.061229,s0.2mdn.net,tcp,downlink,1520
0.062654,s0.2mdn.net,tcp,downlink,1520
0.064079,s0.2mdn.net,tcp,downlink,1520
0.065505,s0.2mdn.net,tcp,downlink,1520
0.066930,s0.2mdn.net,tcp,downlink,1520
0.068355,s0.2mdn.net,tcp,downlink,1520
0.069780,s0.2mdn.net,tcp,downlink,1520
0.071206,s0.2mdn.net,tcp,downlink,1520
0.072631,s0.2mdn.net,tcp,downlink,1520
0.074056,s0.2mdn.net,tcp,downlink,1520
0.075482,s0.2mdn.net,tcp,downlink,1520
0.076907,s0.2mdn.net,tcp,downlink,1520
0.078332,s0.2mdn.net,tcp,downlink,1520
0.079757,s0.2mdn.net,tcp,downlink,1520
0.081183,s0.2mdn.net,tcp,downlink,1520
0.082608,s0.2mdn.net,tcp,downlink,1520
0.084033,s0.2mdn.net,tcp,downlink,1520
0.085458,s0.2mdn.net,tcp,downlink,1520
0.086884,s0.2mdn.net,tcp,downlink,1520
0.088309,s0.2mdn.net,tcp,downlink,1520
0.089734,s0.2mdn.net,tcp,downlink,1520
0.091159,s0.2mdn.net,tcp,downlink,1520
0.092585,s0.2mdn.net,tcp,downlink,1520
0.094010,s0.2mdn.net,tcp,downlink,1520
0.095435,s0.2mdn.net,tcp,downlink,1520
0.096861,s0.2mdn.net,tcp,downlink,1520
0.098286,s0.2mdn.net,tcp,downlink,1520
0.099711,s0.2mdn.net,tcp,downlink,1520
0.101136,s0.2mdn.net,tcp,downlink,1520
0.102562,s0.2mdn.net,tcp,downlink,1520
0.103987,s0.2mdn.net,tcp,downlink,1520
0.105412,s0.2mdn.net,tcp,downlink,1520
0.106837,s0.2mdn.net,tcp,downlink,1520
0.108263,s0.2mdn.net,tcp,downlink,1520
0.109688,s0.2mdn.net,tcp,downlink,1520
0.111113,s0.2mdn.net,tcp,downlink,1520
0.112538,s0.2mdn.net,tcp,downlink,1520
0.113964,s0.2mdn.net,tcp,downlink,605
