time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,cdnjs.cloudflare.com,tcp,uplink,138
0.000000,c0,tcp,uplink,167
0.000000,c0,tcp,downlink,1520
0.000001,c0,tcp,downlink,1520
0.000002,c0,tcp,downlink,1520
0.000004,c0,tcp,downlink,1520
0.000005,c0,tcp,downlink,1520
0.000006,c0,tcp,downlink,1520
0.000007,c0,tcp,downlink,1520
0.000008,c0,tcp,downlink,1520
0.000010,c0,tcp,downlink,1520
0.000011,c0,tcp,downlink,1520
0.000012,c0,tcp,downlink,1520
0.000013,c0,tcp,downlink,1520
0.000014,c0,tcp,downlink,1520
0.000016,c0,tcp,downlink,1520
0.000017,c0,tcp,downlink,1520
0.000018,c0,tcp,downlink,1520
0.000019,c0,tcp,downlink,1520
0.000020,c0,tcp,downlink,1520
0.000022,c0,tcp,downlink,1520
0.000023,c0,tcp,downlink,1520
0.000024,c0,tcp,downlink,1520
0.000025,c0,tcp,downlink,1520
0.000026,c0,tcp,downlink,1520
0.000028,c0,tcp,downlink,1520
0.000029,c0,tcp,downlink,1520
0.000030,c0,tcp,downlink,1520
0.000031,c0,tcp,downlink,1520
0.000032,c0,tcp,downlink,1520
0.000034,c0,tcp,downlink,1520
0.000035,c0,tcp,downlink,1520
0.000036,c0,tcp,downlink,1520
0.000037,c0,tcp,downlink,1520
0.000038,c0,tcp,downlink,1520
0.000040,c0,tcp,downlink,1520
0.000041,c0,tcp,downlink,1520
0.000042,c0,tcp,downlink,1520
0.000043,c0,tcp,downlink,1520
0.000044,c0,tcp,downlink,1520
0.000046,c0,tcp,downlink,1520
0.000047,c0,tcp,downlink,1520
0.000048,c0,tcp,downlink,1520
0.000049,c0,tcp,downlink,1520
0.000050,c0,tcp,downlink,1520
0.000052,c0,tcp,downlink,1520
0.000053,c0,tcp,downlink,1520
0.000054,c0,tcp,downlink,1520
0.000055,c0,tcp,downlink,1520
0.000056,c0,tcp,downlink,1520
0.000058,c0,tcp,downlink,1520
0.000059,c0,tcp,downlink,1520
0.000060,c0,tcp,downlink,1520
0.000061,c0,tcp,downlink,1520
0.000062,c0,tcp,downlink,1520
0.000064,c0,tcp,downlink,1520
0.000065,c0,tcp,downlink,1520
0.000066,c0,tcp,downlink,1520
0.000067,c0,tcp,downlink,1520
