time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,cdnjs.cloudflare.com,tcp,uplink,138
0.000000,c0,tcp,uplink,168
0.000000,c0,tcp,downlink,1520
0.000010,c0,tcp,downlink,1520
0.000020,c0,tcp,downlink,1520
0.000030,c0,tcp,downlink,1520
0.000040,c0,tcp,downlink,1520
0.000050,c0,tcp,downlink,1520
0.000059,c0,tcp,downlink,1520
0.000069,c0,tcp,downlink,1520
0.000079,c0,tcp,downlink,1520
0.000089,c0,tcp,downlink,1520
0.000099,c0,tcp,downlink,1520
0.000109,c0,tcp,downlink,1520
0.000119,c0,tcp,downlink,1520
0.000129,c0,tcp,downlink,1520
0.000134,s0.2mdn.net,tcp,uplink,146
0.000139,c0,tcp,downlink,1520
0.000149,c0,tcp,downlink,1520
0.000158,c0,tcp,downlink,1520
0.000168,c0,tcp,downlink,1520
0.000178,c0,tcp,downlink,1520
0.000188,c0,tcp,downlink,1520
0.000198,c0,tcp,downlink,1520
0.000208,c0,tcp,downlink,1520
0.000218,c0,tcp,downlink,1520
0.000228,c0,tcp,downlink,1520
0.000238,c0,tcp,downlink,1520
0.000248,c0,tcp,downlink,1520
0.000257,c0,tcp,downlink,1520
0.000267,c0,tcp,downlink,1520
0.000277,c0,tcp,downlink,1520
0.000287,c0,tcp,downlink,1520
0.000297,c0,tcp,downlink,1520
0.000307,c0,tcp,downlink,1520
0.000317,c0,tcp,downlink,1520
0.000327,c0,tcp,downlink,1520
0.000337,c0,tcp,downlink,1520
0.000347,c0,tcp,downlink,1520
0.000356,c0,tcp,downlink,1520
0.000366,c0,tcp,downlink,1520
0.000376,c0,tcp,downlink,1520
0.000386,c0,tcp,downlink,1520
0.000396,c0,tcp,downlink,1520
0.000406,c0,tcp,downlink,1520
0.000416,c0,tcp,downlink,1520
0.000426,c0,tcp,downlink,1520
0.000436,c0,tcp,downlink,1520
0.000446,c0,tcp,downlink,1520
0.000455,c0,tcp,downlink,1520
0.000465,c0,tcp,downlink,1520
0.000475,c0,tcp,downlink,1520
0.000485,c0,tcp,downlink,1520
0.000495,c0,tcp,downlink,1520
0.000505,c0,tcp,downlink,1520
0.000515,c0,tcp,downlink,1520
0.000525,c0,tcp,downlink,1520
0.000535,c0,tcp,downlink,1520
0.000545,c0,tcp,downlink,1520
0.000554,c0,tcp,downlink,1520
0.000564,c0,tcp,downlink,1520
0.000574,c0,tcp,downlink,1520
0.000584,c0,tcp,downlink,1520
0.000594,c0,tcp,downlink,1520
0.000604,c0,tcp,downlink,1520
0.000614,c0,tcp,downlink,1520
0.000624,c0,tcp,downlink,1520
0.000634,c0,tcp,downlink,1520
0.000644,c0,tcp,downlink,1520
0.000653,c0,tcp,downlink,1520
0.000663,c0,tcp,downlink,1520
0.000673,c0,tcp,downlink,1520
0.000683,c0,tcp,downlink,1520
0.000693,c0,tcp,downlink,1520
0.000703,c0,tcp,downlink,1520
0.000713,c0,tcp,downlink,1520
0.000723,c0,tcp,downlink,1520
0.000733,c0,tcp,downlink,1520
0.000743,c0,tcp,downlink,1520
0.000752,c0,tcp,downlink,1520
0.000762,c0,tcp,downlink,1520
0.000772,c0,tcp,downlink,1520
0.000782,c0,tcp,downlink,1520
0.000792,c0,tcp,downlink,1520
0.000802,c0,tcp,downlink,1520
0.000812,c0,tcp,downlink,1520
0.000822,c0,tcp,downlink,1520
0.000832,c0,tcp,downlink,1520
0.000842,c0,tcp,downlink,1520
0.000851,c0,tcp,downlink,1520
0.000861,c0,tcp,downlink,1520
0.000871,c0,tcp,downlink,1520
0.000881,c0,tcp,downlink,1520
0.000891,c0,tcp,downlink,1520
0.000901,c0,tcp,downlink,1520
0.000911,c0,tcp,downlink,1520
0.000921,c0,tcp,downlink,1520
0.000931,c0,tcp,downlink,1520
0.000941,c0,tcp,downlink,1520
0.000950,c0,tcp,downlink,1520
0.000960,c0,tcp,downlink,1520
0.000970,c0,tcp,downlink,1520
0.000980,c0,tcp,downlink,1520
0.000990,c0,tcp,downlink,1405
0.039507,cdnjs.cloudflare.com,tcp,downlink,1520
0.042726,cdnjs.cloudflare.com,tcp,downlink,1520
0.045945,cdnjs.cloudflare.com,tcp,downlink,1520
0.049164,cdnjs.cloudflare.com,tcp,downlink,1520
0.052383,cdnjs.cloudflare.com,tcp,downlink,1520
0.055602,cdnjs.cloudflare.com,tcp,downlink,1520
0.058821,cdnjs.cloudflare.com,tcp,downlink,1520
0.060329,s0.2mdn.net,tcp,downlink,1520
0.062040,cdnjs.cloudflare.com,tcp,downlink,1520
0.062058,s0.2mdn.net,tcp,downlink,1520
0.063786,s0.2mdn.net,tcp,downlink,1520
0.065260,cdnjs.cloudflare.com,tcp,downlink,1520
0.065515,s0.2mdn.net,tcp,downlink,1520
0.067244,s0.2mdn.net,tcp,downlink,1520
0.068479,cdnjs.cloudflare.com,tcp,downlink,1520
0.068973,s0.2mdn.net,tcp,downlink,1520
0.070701,s0.2mdn.net,tcp,downlink,1520
0.071698,cdnjs.cloudflare.com,tcp,downlink,1520
0.072430,s0.2mdn.net,tcp,downlink,1520
0.074159,s0.2mdn.net,tcp,downlink,1520
0.074917,cdnjs.cloudflare.com,tcp,downlink,1520
0.075887,s0.2mdn.net,tcp,downlink,1520
0.077616,s0.2mdn.net,tcp,downlink,1520
0.078136,cdnjs.cloudflare.com,tcp,downlink,1520
0.079345,s0.2mdn.net,tcp,downlink,1520
0.081074,s0.2mdn.net,tcp,downlink,1520
0.081355,cdnjs.cloudflare.com,tcp,downlink,1520
0.082802,s0.2mdn.net,tcp,downlink,1520
0.084531,s0.2mdn.net,tcp,downlink,1520
0.084574,cdnjs.cloudflare.com,tcp,downlink,1338
0.086260,s0.2mdn.net,tcp,downlink,1520
0.087988,s0.2mdn.net,tcp,downlink,1520
0.089717,s0.2mdn.net,tcp,downlink,1520
0.091446,s0.2mdn.net,tcp,downlink,1520
0.093175,s0.2mdn.net,tcp,downlink,1520
0.094903,s0.2mdn.net,tcp,downlink,1520
0.096632,s0.2mdn.net,tcp,downlink,1520
0.098361,s0.2mdn.net,tcp,downlink,1520
0.100089,s0.2mdn.net,tcp,downlink,1520
0.101818,s0.2mdn.net,tcp,downlink,1520
0.103547,s0.2mdn.net,tcp,downlink,1520
0.105275,s0.2mdn.net,tcp,downlink,1520
0.107004,s0.2mdn.net,tcp,downlink,1520
0.108733,s0.2mdn.net,tcp,downlink,1520
0.110462,s0.2mdn.net,tcp,downlink,1520
0.112190,s0.2mdn.net,tcp,downlink,1520
0.113919,s0.2mdn.net,tcp,downlink,1520
0.115648,s0.2mdn.net,tcp,downlink,1520
0.117376,s0.2mdn.net,tcp,downlink,1520
0.119105,s0.2mdn.net,tcp,downlink,1520
0.120834,s0.2mdn.net,tcp,downlink,1520
0.122563,s0.2mdn.net,tcp,downlink,1520
0.124291,s0.2mdn.net,tcp,downlink,1520
0.126020,s0.2mdn.net,tcp,downlink,1520
0.127749,s0.2mdn.net,tcp,downlink,1520
0.129477,s0.2mdn.net,tcp,downlink,1520
0.131206,s0.2mdn.net,tcp,downlink,1520
0.132935,s0.2mdn.net,tcp,downlink,1520
0.134664,s0.2mdn.net,tcp,downlink,1520
0.136392,s0.2mdn.net,tcp,downlink,605
