time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,doc-0o-9g-adspreview.googleusercontent.com,tcp,uplink,1520
0.000500,doc-0o-9g-adspreview.googleusercontent.com,tcp,uplink,125
1.624304,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.638005,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.651707,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.665408,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.679109,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.692811,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.706512,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.720213,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.733914,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.747616,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.761317,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.775018,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.788720,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,876
1.797000,doc-0o-9g-adspreview.googleusercontent.com,tcp,uplink,1231
1.902940,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.905710,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.908480,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.911250,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.914021,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,1520
1.916791,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,533
1.942000,doc-0o-9g-adspreview.googleusercontent.com,tcp,uplink,1520
1.942500,doc-0o-9g-adspreview.googleusercontent.com,tcp,uplink,118
2.482203,doc-0o-9g-adspreview.googleusercontent.com,tcp,downlink,319
2.516000,tpc.googlesyndication.com,tcp,uplink,729
2.516000,tpc.googlesyndication.com,tcp,uplink,751
2.516000,tpc.googlesyndication.com,tcp,uplink,780
2.516000,s0.2mdn.net,tcp,uplink,765
2.532063,tpc.googlesyndication.com,tcp,downlink,1520
2.533053,tpc.googlesyndication.com,tcp,downlink,1520
2.534044,tpc.googlesyndication.com,tcp,downlink,1520
2.535035,tpc.googlesyndication.com,tcp,downlink,1520
2.536025,tpc.googlesyndication.com,tcp,downlink,1520
2.537015,tpc.googlesyndication.com,tcp,downlink,1520
2.538006,tpc.googlesyndication.com,tcp,downlink,1520
2.538997,tpc.googlesyndication.com,tcp,downlink,606
2.539637,tpc.googlesyndication.com,tcp,downlink,1451
2.639432,tpc.googlesyndication.com,tcp,downlink,1520
2.639786,tpc.googlesyndication.com,tcp,downlink,1520
2.640139,tpc.googlesyndication.com,tcp,downlink,1520
2.640493,tpc.googlesyndication.com,tcp,downlink,1520
2.640846,tpc.googlesyndication.com,tcp,downlink,1520
2.641200,tpc.googlesyndication.com,tcp,downlink,1520
2.641553,tpc.googlesyndication.com,tcp,downlink,1520
2.641907,tpc.googlesyndication.com,tcp,downlink,1520
2.642260,tpc.googlesyndication.com,tcp,downlink,187
2.666796,s0.2mdn.net,tcp,downlink,1520
2.667219,s0.2mdn.net,tcp,downlink,1520
2.667641,s0.2mdn.net,tcp,downlink,1520
2.668064,s0.2mdn.net,tcp,downlink,1520
2.668486,s0.2mdn.net,tcp,downlink,1520
2.668909,s0.2mdn.net,tcp,downlink,1520
2.669332,s0.2mdn.net,tcp,downlink,1520
2.669754,s0.2mdn.net,tcp,downlink,1520
2.670177,s0.2mdn.net,tcp,downlink,1520
2.670599,s0.2mdn.net,tcp,downlink,1520
2.671022,s0.2mdn.net,tcp,downlink,1520
