time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.071826,media.adcanvas.com,tcp,downlink,1520
0.074149,media.adcanvas.com,tcp,downlink,1520
0.076472,media.adcanvas.com,tcp,downlink,1520
0.078795,media.adcanvas.com,tcp,downlink,1520
0.081118,media.adcanvas.com,tcp,downlink,1520
0.083440,media.adcanvas.com,tcp,downlink,1520
0.085763,media.adcanvas.com,tcp,downlink,1520
0.088086,media.adcanvas.com,tcp,downlink,1520
0.090409,media.adcanvas.com,tcp,downlink,1520
0.092732,media.adcanvas.com,tcp,downlink,1520
0.095055,media.adcanvas.com,tcp,downlink,1520
0.097378,media.adcanvas.com,tcp,downlink,1520
0.099701,media.adcanvas.com,tcp,downlink,1520
0.102023,media.adcanvas.com,tcp,downlink,1520
0.104346,media.adcanvas.com,tcp,downlink,1520
0.106669,media.adcanvas.com,tcp,downlink,1520
0.108992,media.adcanvas.com,tcp,downlink,1520
0.111315,media.adcanvas.com,tcp,downlink,1520
0.113638,media.adcanvas.com,tcp,downlink,1520
0.115961,media.adcanvas.com,tcp,downlink,1520
0.118284,media.adcanvas.com,tcp,downlink,1520
0.120606,media.adcanvas.com,tcp,downlink,1520
0.122929,media.adcanvas.com,tcp,downlink,1520
0.125252,media.adcanvas.com,tcp,downlink,1520
0.127575,media.adcanvas.com,tcp,downlink,1520
0.129898,media.adcanvas.com,tcp,downlink,1520
0.132221,media.adcanvas.com,tcp,downlink,1520
0.134544,media.adcanvas.com,tcp,downlink,1520
0.136867,media.adcanvas.com,tcp,downlink,1520
0.139189,media.adcanvas.com,tcp,downlink,1520
0.141512,media.adcanvas.com,tcp,downlink,1520
0.143835,media.adcanvas.com,tcp,downlink,1520
0.146158,media.adcanvas.com,tcp,downlink,1520
0.148481,media.adcanvas.com,tcp,downlink,1520
0.150804,media.adcanvas.com,tcp,downlink,1520
0.153127,media.adcanvas.com,tcp,downlink,1520
0.155450,media.adcanvas.com,tcp,downlink,1520
0.157772,media.adcanvas.com,tcp,downlink,1520
0.160095,media.adcanvas.com,tcp,downlink,1520
0.162418,media.adcanvas.com,tcp,downlink,1520
0.164741,media.adcanvas.com,tcp,downlink,1093
0.172282,media.adcanvas.com,tcp,uplink,131
0.179418,media.adcanvas.com,tcp,uplink,112
0.180389,media.adcanvas.com,tcp,uplink,132
0.180641,media.adcanvas.com,tcp,uplink,142
0.182166,media.adcanvas.com,tcp,uplink,127
0.182220,ad.doubleclick.net,tcp,uplink,383
0.209182,media.adcanvas.com,tcp,downlink,1520
0.223856,media.adcanvas.com,tcp,downlink,1520
0.224215,media.adcanvas.com,tcp,downlink,1520
0.226538,media.adcanvas.com,tcp,downlink,1520
0.229220,media.adcanvas.com,tcp,downlink,1520
0.231902,media.adcanvas.com,tcp,downlink,1520
0.234583,media.adcanvas.com,tcp,downlink,1520
0.237265,media.adcanvas.com,tcp,downlink,1520
0.239249,media.adcanvas.com,tcp,downlink,1282
0.239947,media.adcanvas.com,tcp,downlink,1520
0.242629,media.adcanvas.com,tcp,downlink,1520
0.245311,media.adcanvas.com,tcp,downlink,1520
0.247993,media.adcanvas.com,tcp,downlink,1520
0.248311,ad.doubleclick.net,tcp,downlink,127
0.250674,media.adcanvas.com,tcp,downlink,1520
0.253356,media.adcanvas.com,tcp,downlink,1520
0.254508,media.adcanvas.com,tcp,downlink,1520
0.256038,media.adcanvas.com,tcp,downlink,1520
0.256975,media.adcanvas.com,tcp,downlink,1520
0.258720,media.adcanvas.com,tcp,downlink,1520
0.259019,analytics.adcanvas.com,tcp,uplink,535
0.259442,media.adcanvas.com,tcp,downlink,1520
0.261402,media.adcanvas.com,tcp,downlink,1520
0.261909,media.adcanvas.com,tcp,downlink,1520
0.264084,media.adcanvas.com,tcp,downlink,1520
0.264146,analytics.adcanvas.com,tcp,uplink,620
0.264376,media.adcanvas.com,tcp,downlink,1520
0.264951,media.adcanvas.com,tcp,downlink,1520
0.265625,media.adcanvas.com,tcp,downlink,1520
0.266300,media.adcanvas.com,tcp,downlink,1520
0.266765,media.adcanvas.com,tcp,downlink,1520
0.266843,media.adcanvas.com,tcp,downlink,1520
0.266974,media.adcanvas.com,tcp,downlink,1520
0.267648,media.adcanvas.com,tcp,downlink,1520
0.268323,media.adcanvas.com,tcp,downlink,1520
0.268997,media.adcanvas.com,tcp,downlink,1520
0.269310,media.adcanvas.com,tcp,downlink,1520
0.269447,media.adcanvas.com,tcp,downlink,1520
0.269671,media.adcanvas.com,tcp,downlink,1520
0.270346,media.adcanvas.com,tcp,downlink,1520
0.271020,media.adcanvas.com,tcp,downlink,1520
0.271694,media.adcanvas.com,tcp,downlink,1520
0.271777,media.adcanvas.com,tcp,downlink,1520
0.272129,media.adcanvas.com,tcp,downlink,147
0.272369,media.adcanvas.com,tcp,downlink,1520
0.273043,media.adcanvas.com,tcp,downlink,1520
0.273718,media.adcanvas.com,tcp,downlink,1520
0.274244,media.adcanvas.com,tcp,downlink,1520
0.274392,media.adcanvas.com,tcp,downlink,1520
0.275066,media.adcanvas.com,tcp,downlink,1520
0.275741,media.adcanvas.com,tcp,downlink,1520
0.276415,media.adcanvas.com,tcp,downlink,1520
0.276711,media.adcanvas.com,tcp,downlink,1520
0.277089,media.adcanvas.com,tcp,downlink,1520
0.277764,media.adcanvas.com,tcp,downlink,1520
0.278438,media.adcanvas.com,tcp,downlink,1520
0.279112,media.adcanvas.com,tcp,downlink,1520
0.279178,media.adcanvas.com,tcp,downlink,1520
0.279787,media.adcanvas.com,tcp,downlink,1520
0.280461,media.adcanvas.com,tcp,downlink,1520
0.281135,media.adcanvas.com,tcp,downlink,1520
0.281645,media.adcanvas.com,tcp,downlink,1520
0.281810,media.adcanvas.com,tcp,downlink,1520
0.282484,media.adcanvas.com,tcp,downlink,1520
0.283158,media.adcanvas.com,tcp,downlink,1520
0.283833,media.adcanvas.com,tcp,downlink,1520
0.284112,media.adcanvas.com,tcp,downlink,1520
0.284507,media.adcanvas.com,tcp,downlink,1520
0.285181,media.adcanvas.com,tcp,downlink,1520
0.285856,media.adcanvas.com,tcp,downlink,1520
0.286530,media.adcanvas.com,tcp,downlink,1520
0.286579,media.adcanvas.com,tcp,downlink,1520
0.287205,media.adcanvas.com,tcp,downlink,1520
0.287879,media.adcanvas.com,tcp,downlink,1520
0.288553,media.adcanvas.com,tcp,downlink,1520
0.289046,media.adcanvas.com,tcp,downlink,1520
0.289228,media.adcanvas.com,tcp,downlink,1520
0.289902,media.adcanvas.com,tcp,downlink,1520
0.290576,media.adcanvas.com,tcp,downlink,1520
0.291251,media.adcanvas.com,tcp,downlink,1520
0.291513,media.adcanvas.com,tcp,downlink,1520
0.291925,media.adcanvas.com,tcp,downlink,1520
0.292599,media.adcanvas.com,tcp,downlink,1520
0.293274,media.adcanvas.com,tcp,downlink,1520
0.293948,media.adcanvas.com,tcp,downlink,1520
0.293980,media.adcanvas.com,tcp,downlink,1520
0.294622,media.adcanvas.com,tcp,downlink,1520
0.295297,media.adcanvas.com,tcp,downlink,1520
0.295971,media.adcanvas.com,tcp,downlink,1520
0.296447,media.adcanvas.com,tcp,downlink,1520
0.296645,media.adcanvas.com,tcp,downlink,1520
0.297320,media.adcanvas.com,tcp,downlink,1520
0.297994,media.adcanvas.com,tcp,downlink,1520
0.298668,media.adcanvas.com,tcp,downlink,1520
0.298914,media.adcanvas.com,tcp,downlink,1520
0.299343,media.adcanvas.com,tcp,downlink,1520
0.300017,media.adcanvas.com,tcp,downlink,1520
0.300692,media.adcanvas.com,tcp,downlink,1520
0.301366,media.adcanvas.com,tcp,downlink,1520
0.301381,media.adcanvas.com,tcp,downlink,1520
0.302040,media.adcanvas.com,tcp,downlink,1520
0.302715,media.adcanvas.com,tcp,downlink,1520
0.303389,media.adcanvas.com,tcp,downlink,1520
0.303847,media.adcanvas.com,tcp,downlink,1520
0.304063,media.adcanvas.com,tcp,downlink,1520
0.304738,media.adcanvas.com,tcp,downlink,1520
0.305412,media.adcanvas.com,tcp,downlink,1520
0.306086,media.adcanvas.com,tcp,downlink,1520
0.306314,media.adcanvas.com,tcp,downlink,1520
0.306761,media.adcanvas.com,tcp,downlink,1520
0.307435,media.adcanvas.com,tcp,downlink,1520
0.308109,media.adcanvas.com,tcp,downlink,1520
0.308781,media.adcanvas.com,tcp,downlink,1520
0.308784,media.adcanvas.com,tcp,downlink,1520
0.309271,analytics.adcanvas.com,tcp,downlink,153
0.309458,media.adcanvas.com,tcp,downlink,1520
0.310132,media.adcanvas.com,tcp,downlink,1520
0.310807,media.adcanvas.com,tcp,downlink,1520
0.311248,media.adcanvas.com,tcp,downlink,1520
0.311481,media.adcanvas.com,tcp,downlink,1520
0.312155,media.adcanvas.com,tcp,downlink,1520
0.312304,analytics.adcanvas.com,tcp,downlink,312
0.312830,media.adcanvas.com,tcp,downlink,1520
0.313504,media.adcanvas.com,tcp,downlink,1520
0.313715,media.adcanvas.com,tcp,downlink,1520
0.314178,media.adcanvas.com,tcp,downlink,1520
0.314853,media.adcanvas.com,tcp,downlink,1520
0.315527,media.adcanvas.com,tcp,downlink,1520
0.316182,media.adcanvas.com,tcp,downlink,1520
0.316202,media.adcanvas.com,tcp,downlink,1520
0.316876,media.adcanvas.com,tcp,downlink,1520
0.317550,media.adcanvas.com,tcp,downlink,1520
0.318225,media.adcanvas.com,tcp,downlink,1520
0.318649,media.adcanvas.com,tcp,downlink,1520
0.318899,media.adcanvas.com,tcp,downlink,1520
0.319573,media.adcanvas.com,tcp,downlink,1520
0.320248,media.adcanvas.com,tcp,downlink,1520
0.320922,media.adcanvas.com,tcp,downlink,1520
0.321116,media.adcanvas.com,tcp,downlink,1520
0.321596,media.adcanvas.com,tcp,downlink,1520
0.322271,media.adcanvas.com,tcp,downlink,1520
0.322945,media.adcanvas.com,tcp,downlink,1520
0.323583,media.adcanvas.com,tcp,downlink,1520
0.323619,media.adcanvas.com,tcp,downlink,1520
0.324294,media.adcanvas.com,tcp,downlink,1520
0.324968,media.adcanvas.com,tcp,downlink,1520
0.325642,media.adcanvas.com,tcp,downlink,1520
0.326050,media.adcanvas.com,tcp,downlink,1520
0.326317,media.adcanvas.com,tcp,downlink,1520
0.326991,media.adcanvas.com,tcp,downlink,1520
0.327665,media.adcanvas.com,tcp,downlink,1520
0.328340,media.adcanvas.com,tcp,downlink,1520
0.328517,media.adcanvas.com,tcp,downlink,1520
0.329014,media.adcanvas.com,tcp,downlink,1520
0.329689,media.adcanvas.com,tcp,downlink,1520
0.330363,media.adcanvas.com,tcp,downlink,1520
0.330984,media.adcanvas.com,tcp,downlink,1520
0.331037,media.adcanvas.com,tcp,downlink,1520
0.331712,media.adcanvas.com,tcp,downlink,1520
0.332386,media.adcanvas.com,tcp,downlink,1520
0.333060,media.adcanvas.com,tcp,downlink,1520
0.333451,media.adcanvas.com,tcp,downlink,1520
0.333735,media.adcanvas.com,tcp,downlink,1520
0.334409,media.adcanvas.com,tcp,downlink,1520
0.335083,media.adcanvas.com,tcp,downlink,1520
0.335758,media.adcanvas.com,tcp,downlink,1520
0.335918,media.adcanvas.com,tcp,downlink,1520
0.336432,media.adcanvas.com,tcp,downlink,1520
0.337106,media.adcanvas.com,tcp,downlink,1520
0.337781,media.adcanvas.com,tcp,downlink,1520
0.338385,media.adcanvas.com,tcp,downlink,1520
0.338455,media.adcanvas.com,tcp,downlink,1520
0.339129,media.adcanvas.com,tcp,downlink,1520
0.339804,media.adcanvas.com,tcp,downlink,1520
0.340478,media.adcanvas.com,tcp,downlink,1520
0.340852,media.adcanvas.com,tcp,downlink,1520
0.341152,media.adcanvas.com,tcp,downlink,1520
0.341827,media.adcanvas.com,tcp,downlink,1520
0.342501,media.adcanvas.com,tcp,downlink,1520
0.343175,media.adcanvas.com,tcp,downlink,1520
0.343319,media.adcanvas.com,tcp,downlink,1520
0.343850,media.adcanvas.com,tcp,downlink,1520
0.344524,media.adcanvas.com,tcp,downlink,1520
0.345199,media.adcanvas.com,tcp,downlink,1520
