time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.114256,media.adcanvas.com,tcp,downlink,1520
0.118039,media.adcanvas.com,tcp,downlink,1520
0.121822,media.adcanvas.com,tcp,downlink,1520
0.125605,media.adcanvas.com,tcp,downlink,1520
0.129388,media.adcanvas.com,tcp,downlink,1520
0.133171,media.adcanvas.com,tcp,downlink,1520
0.136954,media.adcanvas.com,tcp,downlink,1520
0.140737,media.adcanvas.com,tcp,downlink,1520
0.144520,media.adcanvas.com,tcp,downlink,1520
0.148303,media.adcanvas.com,tcp,downlink,1520
0.152086,media.adcanvas.com,tcp,downlink,1520
0.155869,media.adcanvas.com,tcp,downlink,1520
0.159652,media.adcanvas.com,tcp,downlink,1520
0.163435,media.adcanvas.com,tcp,downlink,1520
0.167218,media.adcanvas.com,tcp,downlink,1520
0.171001,media.adcanvas.com,tcp,downlink,1520
0.174784,media.adcanvas.com,tcp,downlink,1520
0.178567,media.adcanvas.com,tcp,downlink,1520
0.182350,media.adcanvas.com,tcp,downlink,1520
0.186133,media.adcanvas.com,tcp,downlink,1520
0.189916,media.adcanvas.com,tcp,downlink,1520
0.193698,media.adcanvas.com,tcp,downlink,1520
0.197481,media.adcanvas.com,tcp,downlink,1520
0.201264,media.adcanvas.com,tcp,downlink,1520
0.205047,media.adcanvas.com,tcp,downlink,1520
0.208830,media.adcanvas.com,tcp,downlink,1520
0.212613,media.adcanvas.com,tcp,downlink,1520
0.216396,media.adcanvas.com,tcp,downlink,1520
0.220179,media.adcanvas.com,tcp,downlink,1520
0.223962,media.adcanvas.com,tcp,downlink,1520
0.227745,media.adcanvas.com,tcp,downlink,1520
0.231528,media.adcanvas.com,tcp,downlink,1520
0.235311,media.adcanvas.com,tcp,downlink,1520
0.239094,media.adcanvas.com,tcp,downlink,1520
0.242877,media.adcanvas.com,tcp,downlink,1520
0.246660,media.adcanvas.com,tcp,downlink,1520
0.250443,media.adcanvas.com,tcp,downlink,1520
0.254226,media.adcanvas.com,tcp,downlink,1520
0.258009,media.adcanvas.com,tcp,downlink,1520
0.261792,media.adcanvas.com,tcp,downlink,1520
0.265575,media.adcanvas.com,tcp,downlink,1520
0.269358,media.adcanvas.com,tcp,downlink,1015
0.278643,media.adcanvas.com,tcp,uplink,131
0.286117,media.adcanvas.com,tcp,uplink,132
0.286334,media.adcanvas.com,tcp,uplink,142
0.287358,media.adcanvas.com,tcp,uplink,112
0.288459,media.adcanvas.com,tcp,uplink,127
0.312006,media.adcanvas.com,tcp,downlink,1520
0.324632,media.adcanvas.com,tcp,downlink,1520
0.325598,media.adcanvas.com,tcp,downlink,1520
0.330948,media.adcanvas.com,tcp,downlink,1520
0.335325,media.adcanvas.com,tcp,downlink,1520
0.336820,media.adcanvas.com,tcp,downlink,1520
0.337264,media.adcanvas.com,tcp,downlink,1520
0.338316,media.adcanvas.com,tcp,downlink,1520
0.339190,media.adcanvas.com,tcp,downlink,1283
0.339811,media.adcanvas.com,tcp,downlink,1520
0.341307,media.adcanvas.com,tcp,downlink,1520
0.342802,media.adcanvas.com,tcp,downlink,1520
0.343580,media.adcanvas.com,tcp,downlink,1520
0.344298,media.adcanvas.com,tcp,downlink,1520
0.345793,media.adcanvas.com,tcp,downlink,1520
0.345839,media.adcanvas.com,tcp,downlink,1520
0.346764,media.adcanvas.com,tcp,downlink,1520
0.347289,media.adcanvas.com,tcp,downlink,1520
0.347689,media.adcanvas.com,tcp,downlink,1520
0.348613,media.adcanvas.com,tcp,downlink,1520
0.348784,media.adcanvas.com,tcp,downlink,1520
0.349538,media.adcanvas.com,tcp,downlink,1520
0.349896,media.adcanvas.com,tcp,downlink,1520
0.350279,media.adcanvas.com,tcp,downlink,1520
0.350463,media.adcanvas.com,tcp,downlink,1520
0.351388,media.adcanvas.com,tcp,downlink,1520
0.351775,media.adcanvas.com,tcp,downlink,1520
0.352312,media.adcanvas.com,tcp,downlink,1520
0.353237,media.adcanvas.com,tcp,downlink,1520
0.353270,media.adcanvas.com,tcp,downlink,1520
0.354162,media.adcanvas.com,tcp,downlink,1520
0.354766,media.adcanvas.com,tcp,downlink,1520
0.355087,media.adcanvas.com,tcp,downlink,1520
0.356012,media.adcanvas.com,tcp,downlink,1520
0.356212,media.adcanvas.com,tcp,downlink,1520
0.356261,media.adcanvas.com,tcp,downlink,1520
0.356936,media.adcanvas.com,tcp,downlink,1520
0.357124,analytics.adcanvas.com,tcp,uplink,516
0.357757,media.adcanvas.com,tcp,downlink,1520
0.357861,media.adcanvas.com,tcp,downlink,1520
0.358786,media.adcanvas.com,tcp,downlink,1520
0.359252,media.adcanvas.com,tcp,downlink,1520
0.359711,media.adcanvas.com,tcp,downlink,1520
0.360636,media.adcanvas.com,tcp,downlink,1520
0.360747,media.adcanvas.com,tcp,downlink,1520
0.361560,media.adcanvas.com,tcp,downlink,1520
0.362243,media.adcanvas.com,tcp,downlink,1520
0.362485,media.adcanvas.com,tcp,downlink,1520
0.362528,media.adcanvas.com,tcp,downlink,364
0.363410,media.adcanvas.com,tcp,downlink,1520
0.363738,media.adcanvas.com,tcp,downlink,1520
0.364335,media.adcanvas.com,tcp,downlink,1520
0.365234,media.adcanvas.com,tcp,downlink,1520
0.365259,media.adcanvas.com,tcp,downlink,1520
0.365756,analytics.adcanvas.com,tcp,uplink,602
0.366184,media.adcanvas.com,tcp,downlink,1520
0.366729,media.adcanvas.com,tcp,downlink,1520
0.367109,media.adcanvas.com,tcp,downlink,1520
0.368034,media.adcanvas.com,tcp,downlink,1520
0.368225,media.adcanvas.com,tcp,downlink,1520
0.368959,media.adcanvas.com,tcp,downlink,1520
0.369720,media.adcanvas.com,tcp,downlink,1520
0.369883,media.adcanvas.com,tcp,downlink,1520
0.370808,media.adcanvas.com,tcp,downlink,1520
0.371216,media.adcanvas.com,tcp,downlink,1520
0.371733,media.adcanvas.com,tcp,downlink,1520
0.372658,media.adcanvas.com,tcp,downlink,1520
0.372711,media.adcanvas.com,tcp,downlink,1520
0.373582,media.adcanvas.com,tcp,downlink,1520
0.374206,media.adcanvas.com,tcp,downlink,1520
0.374507,media.adcanvas.com,tcp,downlink,1520
0.375432,media.adcanvas.com,tcp,downlink,1520
0.375702,media.adcanvas.com,tcp,downlink,1520
0.376357,media.adcanvas.com,tcp,downlink,1520
0.377197,media.adcanvas.com,tcp,downlink,1520
0.377282,media.adcanvas.com,tcp,downlink,1520
0.378206,media.adcanvas.com,tcp,downlink,1520
0.378693,media.adcanvas.com,tcp,downlink,1520
0.379131,media.adcanvas.com,tcp,downlink,1520
0.380056,media.adcanvas.com,tcp,downlink,1520
0.380188,media.adcanvas.com,tcp,downlink,1520
0.380981,media.adcanvas.com,tcp,downlink,1520
0.381684,media.adcanvas.com,tcp,downlink,1520
0.381906,media.adcanvas.com,tcp,downlink,1520
0.382830,media.adcanvas.com,tcp,downlink,1520
0.383179,media.adcanvas.com,tcp,downlink,1520
0.383755,media.adcanvas.com,tcp,downlink,1520
0.384674,media.adcanvas.com,tcp,downlink,1520
0.384680,media.adcanvas.com,tcp,downlink,1520
0.385605,media.adcanvas.com,tcp,downlink,1520
0.386170,media.adcanvas.com,tcp,downlink,1520
0.386529,media.adcanvas.com,tcp,downlink,1520
0.387454,media.adcanvas.com,tcp,downlink,1520
0.387665,media.adcanvas.com,tcp,downlink,1520
0.388379,media.adcanvas.com,tcp,downlink,1520
0.389161,media.adcanvas.com,tcp,downlink,1520
0.389304,media.adcanvas.com,tcp,downlink,1520
0.390229,media.adcanvas.com,tcp,downlink,1520
0.390656,media.adcanvas.com,tcp,downlink,1520
0.391153,media.adcanvas.com,tcp,downlink,1520
0.392078,media.adcanvas.com,tcp,downlink,1520
0.392152,media.adcanvas.com,tcp,downlink,1520
0.393003,media.adcanvas.com,tcp,downlink,1520
0.393647,media.adcanvas.com,tcp,downlink,1520
0.393928,media.adcanvas.com,tcp,downlink,1520
0.394853,media.adcanvas.com,tcp,downlink,1520
0.395143,media.adcanvas.com,tcp,downlink,734
0.395777,media.adcanvas.com,tcp,downlink,1520
0.396702,media.adcanvas.com,tcp,downlink,1520
0.397627,media.adcanvas.com,tcp,downlink,1520
0.398552,media.adcanvas.com,tcp,downlink,1520
0.399476,media.adcanvas.com,tcp,downlink,1520
0.400401,media.adcanvas.com,tcp,downlink,1520
0.401326,media.adcanvas.com,tcp,downlink,1520
0.402251,media.adcanvas.com,tcp,downlink,1520
0.403084,analytics.adcanvas.com,tcp,downlink,305
0.403176,media.adcanvas.com,tcp,downlink,1520
0.404100,media.adcanvas.com,tcp,downlink,1520
0.405025,media.adcanvas.com,tcp,downlink,1520
0.405950,media.adcanvas.com,tcp,downlink,1520
0.406875,media.adcanvas.com,tcp,downlink,1520
0.407799,media.adcanvas.com,tcp,downlink,1520
0.407897,analytics.adcanvas.com,tcp,downlink,305
0.408724,media.adcanvas.com,tcp,downlink,1520
0.409649,media.adcanvas.com,tcp,downlink,1520
0.410574,media.adcanvas.com,tcp,downlink,1520
0.411499,media.adcanvas.com,tcp,downlink,1520
0.412423,media.adcanvas.com,tcp,downlink,1520
0.413348,media.adcanvas.com,tcp,downlink,1520
0.414273,media.adcanvas.com,tcp,downlink,1520
0.415198,media.adcanvas.com,tcp,downlink,1520
0.416123,media.adcanvas.com,tcp,downlink,1520
0.417047,media.adcanvas.com,tcp,downlink,1520
0.417972,media.adcanvas.com,tcp,downlink,1520
0.418897,media.adcanvas.com,tcp,downlink,1520
0.419822,media.adcanvas.com,tcp,downlink,1520
0.420746,media.adcanvas.com,tcp,downlink,1520
0.421671,media.adcanvas.com,tcp,downlink,1365
