time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.110238,media.adcanvas.com,tcp,downlink,1520
0.113793,media.adcanvas.com,tcp,downlink,1520
0.117348,media.adcanvas.com,tcp,downlink,1520
0.120902,media.adcanvas.com,tcp,downlink,1520
0.124457,media.adcanvas.com,tcp,downlink,1520
0.128012,media.adcanvas.com,tcp,downlink,1520
0.131567,media.adcanvas.com,tcp,downlink,1520
0.135122,media.adcanvas.com,tcp,downlink,1520
0.138676,media.adcanvas.com,tcp,downlink,1520
0.142231,media.adcanvas.com,tcp,downlink,1520
0.145786,media.adcanvas.com,tcp,downlink,1520
0.149341,media.adcanvas.com,tcp,downlink,1520
0.152895,media.adcanvas.com,tcp,downlink,1520
0.156450,media.adcanvas.com,tcp,downlink,1520
0.160005,media.adcanvas.com,tcp,downlink,1520
0.163560,media.adcanvas.com,tcp,downlink,1520
0.167115,media.adcanvas.com,tcp,downlink,1520
0.170669,media.adcanvas.com,tcp,downlink,1520
0.174224,media.adcanvas.com,tcp,downlink,1520
0.177779,media.adcanvas.com,tcp,downlink,1520
0.181334,media.adcanvas.com,tcp,downlink,1520
0.184889,media.adcanvas.com,tcp,downlink,1520
0.188443,media.adcanvas.com,tcp,downlink,1520
0.191998,media.adcanvas.com,tcp,downlink,1520
0.195553,media.adcanvas.com,tcp,downlink,1520
0.199108,media.adcanvas.com,tcp,downlink,1520
0.202663,media.adcanvas.com,tcp,downlink,1520
0.206217,media.adcanvas.com,tcp,downlink,1520
0.209772,media.adcanvas.com,tcp,downlink,1520
0.213327,media.adcanvas.com,tcp,downlink,1520
0.216882,media.adcanvas.com,tcp,downlink,1520
0.220437,media.adcanvas.com,tcp,downlink,1520
0.223991,media.adcanvas.com,tcp,downlink,1520
0.227546,media.adcanvas.com,tcp,downlink,1520
0.231101,media.adcanvas.com,tcp,downlink,1520
0.234656,media.adcanvas.com,tcp,downlink,1520
0.238210,media.adcanvas.com,tcp,downlink,1520
0.241765,media.adcanvas.com,tcp,downlink,1520
0.245320,media.adcanvas.com,tcp,downlink,1520
0.248875,media.adcanvas.com,tcp,downlink,1520
0.252430,media.adcanvas.com,tcp,downlink,1520
0.255984,media.adcanvas.com,tcp,downlink,1520
0.259539,media.adcanvas.com,tcp,downlink,860
0.267911,media.adcanvas.com,tcp,uplink,131
0.275519,media.adcanvas.com,tcp,uplink,112
0.275534,media.adcanvas.com,tcp,uplink,132
0.275746,media.adcanvas.com,tcp,uplink,142
0.277164,media.adcanvas.com,tcp,uplink,127
0.277217,ad.doubleclick.net,tcp,uplink,389
0.338614,media.adcanvas.com,tcp,downlink,1520
0.348775,media.adcanvas.com,tcp,downlink,1520
0.350803,media.adcanvas.com,tcp,downlink,1520
0.352832,media.adcanvas.com,tcp,downlink,1520
0.354860,media.adcanvas.com,tcp,downlink,1520
0.356888,media.adcanvas.com,tcp,downlink,1520
0.358917,media.adcanvas.com,tcp,downlink,1520
0.360945,media.adcanvas.com,tcp,downlink,1520
0.362973,media.adcanvas.com,tcp,downlink,1520
0.365002,media.adcanvas.com,tcp,downlink,1520
0.365742,media.adcanvas.com,tcp,downlink,1520
0.367030,media.adcanvas.com,tcp,downlink,1520
0.369059,media.adcanvas.com,tcp,downlink,1520
0.369799,media.adcanvas.com,tcp,downlink,1520
0.370557,media.adcanvas.com,tcp,downlink,1520
0.371087,media.adcanvas.com,tcp,downlink,1520
0.373115,media.adcanvas.com,tcp,downlink,1520
0.375144,media.adcanvas.com,tcp,downlink,1520
0.375371,media.adcanvas.com,tcp,downlink,1520
0.377172,media.adcanvas.com,tcp,downlink,1520
0.379200,media.adcanvas.com,tcp,downlink,1520
0.380186,media.adcanvas.com,tcp,downlink,1520
0.381229,media.adcanvas.com,tcp,downlink,1520
0.383257,media.adcanvas.com,tcp,downlink,1520
0.385001,media.adcanvas.com,tcp,downlink,1520
0.385285,media.adcanvas.com,tcp,downlink,1520
0.387314,media.adcanvas.com,tcp,downlink,1520
0.388484,media.adcanvas.com,tcp,downlink,1520
0.389342,media.adcanvas.com,tcp,downlink,1520
0.389493,ad.doubleclick.net,tcp,downlink,127
0.389816,media.adcanvas.com,tcp,downlink,1520
0.391370,media.adcanvas.com,tcp,downlink,1520
0.391555,media.adcanvas.com,tcp,downlink,1520
