time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.088618,media.adcanvas.com,tcp,downlink,1520
0.091485,media.adcanvas.com,tcp,downlink,1520
0.094353,media.adcanvas.com,tcp,downlink,1520
0.097220,media.adcanvas.com,tcp,downlink,1520
0.100087,media.adcanvas.com,tcp,downlink,1520
0.102955,media.adcanvas.com,tcp,downlink,1520
0.105822,media.adcanvas.com,tcp,downlink,1520
0.108689,media.adcanvas.com,tcp,downlink,1520
0.111556,media.adcanvas.com,tcp,downlink,1520
0.114424,media.adcanvas.com,tcp,downlink,1520
0.117291,media.adcanvas.com,tcp,downlink,1520
0.120158,media.adcanvas.com,tcp,downlink,1520
0.123026,media.adcanvas.com,tcp,downlink,1520
0.125893,media.adcanvas.com,tcp,downlink,1520
0.128760,media.adcanvas.com,tcp,downlink,1520
0.131628,media.adcanvas.com,tcp,downlink,1520
0.134495,media.adcanvas.com,tcp,downlink,1520
0.137362,media.adcanvas.com,tcp,downlink,1520
0.140230,media.adcanvas.com,tcp,downlink,1520
0.143097,media.adcanvas.com,tcp,downlink,1520
0.145964,media.adcanvas.com,tcp,downlink,1520
0.148832,media.adcanvas.com,tcp,downlink,1520
0.151699,media.adcanvas.com,tcp,downlink,1520
0.154566,media.adcanvas.com,tcp,downlink,1520
0.157433,media.adcanvas.com,tcp,downlink,1520
0.160301,media.adcanvas.com,tcp,downlink,1520
0.163168,media.adcanvas.com,tcp,downlink,1520
0.166035,media.adcanvas.com,tcp,downlink,1520
0.168903,media.adcanvas.com,tcp,downlink,1520
0.171770,media.adcanvas.com,tcp,downlink,1520
0.174637,media.adcanvas.com,tcp,downlink,1520
0.177505,media.adcanvas.com,tcp,downlink,1520
0.180372,media.adcanvas.com,tcp,downlink,1520
0.183239,media.adcanvas.com,tcp,downlink,1520
0.186107,media.adcanvas.com,tcp,downlink,1520
0.188974,media.adcanvas.com,tcp,downlink,1520
0.191841,media.adcanvas.com,tcp,downlink,1520
0.194708,media.adcanvas.com,tcp,downlink,1520
0.197576,media.adcanvas.com,tcp,downlink,1520
0.200443,media.adcanvas.com,tcp,downlink,1520
0.203310,media.adcanvas.com,tcp,downlink,1520
0.206178,media.adcanvas.com,tcp,downlink,343
0.213046,media.adcanvas.com,tcp,uplink,131
0.218889,media.adcanvas.com,tcp,uplink,132
0.219052,media.adcanvas.com,tcp,uplink,142
0.220543,media.adcanvas.com,tcp,uplink,112
0.220684,media.adcanvas.com,tcp,uplink,127
0.253387,media.adcanvas.com,tcp,downlink,1520
0.264123,media.adcanvas.com,tcp,downlink,1520
0.265580,media.adcanvas.com,tcp,downlink,1520
0.267036,media.adcanvas.com,tcp,downlink,1520
0.268493,media.adcanvas.com,tcp,downlink,1520
0.269822,media.adcanvas.com,tcp,downlink,1520
0.269949,media.adcanvas.com,tcp,downlink,1520
0.271406,media.adcanvas.com,tcp,downlink,1520
0.272862,media.adcanvas.com,tcp,downlink,1520
0.274319,media.adcanvas.com,tcp,downlink,1520
0.275776,media.adcanvas.com,tcp,downlink,1520
0.277232,media.adcanvas.com,tcp,downlink,1520
0.277285,media.adcanvas.com,tcp,downlink,1520
0.277827,media.adcanvas.com,tcp,downlink,1520
0.278370,media.adcanvas.com,tcp,downlink,1520
0.278689,media.adcanvas.com,tcp,downlink,1520
0.278912,media.adcanvas.com,tcp,downlink,1520
0.279455,media.adcanvas.com,tcp,downlink,1520
0.279997,media.adcanvas.com,tcp,downlink,1520
0.280145,media.adcanvas.com,tcp,downlink,1520
0.280539,media.adcanvas.com,tcp,downlink,1520
0.281082,media.adcanvas.com,tcp,downlink,1520
0.281532,media.adcanvas.com,tcp,downlink,1520
0.281602,media.adcanvas.com,tcp,downlink,1520
0.281624,media.adcanvas.com,tcp,downlink,1520
0.282167,media.adcanvas.com,tcp,downlink,1520
0.282709,media.adcanvas.com,tcp,downlink,1520
0.283059,media.adcanvas.com,tcp,downlink,1520
0.283251,media.adcanvas.com,tcp,downlink,1520
0.283794,media.adcanvas.com,tcp,downlink,1520
0.284336,media.adcanvas.com,tcp,downlink,1520
0.284515,media.adcanvas.com,tcp,downlink,1520
0.284878,media.adcanvas.com,tcp,downlink,1520
0.285421,media.adcanvas.com,tcp,downlink,1520
0.285963,media.adcanvas.com,tcp,downlink,1520
0.285972,media.adcanvas.com,tcp,downlink,1520
0.286258,media.adcanvas.com,tcp,downlink,1301
0.286506,media.adcanvas.com,tcp,downlink,1520
0.287048,media.adcanvas.com,tcp,downlink,1520
0.287428,media.adcanvas.com,tcp,downlink,1520
0.287590,media.adcanvas.com,tcp,downlink,1520
0.288133,media.adcanvas.com,tcp,downlink,1520
0.288675,media.adcanvas.com,tcp,downlink,1520
0.288885,media.adcanvas.com,tcp,downlink,1520
0.289218,media.adcanvas.com,tcp,downlink,1520
0.289760,media.adcanvas.com,tcp,downlink,1520
0.290302,media.adcanvas.com,tcp,downlink,1520
0.290341,media.adcanvas.com,tcp,downlink,1520
0.290845,media.adcanvas.com,tcp,downlink,1520
0.291387,media.adcanvas.com,tcp,downlink,1520
0.291798,media.adcanvas.com,tcp,downlink,1520
0.291930,media.adcanvas.com,tcp,downlink,1520
0.292472,media.adcanvas.com,tcp,downlink,1520
0.292785,media.adcanvas.com,tcp,downlink,1520
0.293014,media.adcanvas.com,tcp,downlink,1520
0.293255,media.adcanvas.com,tcp,downlink,1520
0.293557,media.adcanvas.com,tcp,downlink,1520
0.294099,media.adcanvas.com,tcp,downlink,1520
0.294642,media.adcanvas.com,tcp,downlink,1520
0.294711,media.adcanvas.com,tcp,downlink,1520
0.295184,media.adcanvas.com,tcp,downlink,1520
0.295726,media.adcanvas.com,tcp,downlink,1520
0.296168,media.adcanvas.com,tcp,downlink,1520
0.296269,media.adcanvas.com,tcp,downlink,1520
0.296811,media.adcanvas.com,tcp,downlink,1520
0.297353,media.adcanvas.com,tcp,downlink,1520
0.297624,media.adcanvas.com,tcp,downlink,1520
0.297896,media.adcanvas.com,tcp,downlink,1520
0.298438,media.adcanvas.com,tcp,downlink,1520
0.298981,media.adcanvas.com,tcp,downlink,1520
0.299081,media.adcanvas.com,tcp,downlink,1520
0.299523,media.adcanvas.com,tcp,downlink,1520
0.300065,media.adcanvas.com,tcp,downlink,1520
0.300537,media.adcanvas.com,tcp,downlink,1520
0.300608,media.adcanvas.com,tcp,downlink,1520
0.301150,media.adcanvas.com,tcp,downlink,1520
0.301693,media.adcanvas.com,tcp,downlink,1520
0.301994,media.adcanvas.com,tcp,downlink,1520
0.302235,media.adcanvas.com,tcp,downlink,1520
0.302777,media.adcanvas.com,tcp,downlink,1520
0.303320,media.adcanvas.com,tcp,downlink,1520
0.303451,media.adcanvas.com,tcp,downlink,1520
0.303862,media.adcanvas.com,tcp,downlink,1520
0.304038,media.adcanvas.com,tcp,downlink,1520
0.304405,media.adcanvas.com,tcp,downlink,1520
0.304907,media.adcanvas.com,tcp,downlink,1520
0.304947,media.adcanvas.com,tcp,downlink,1520
0.305489,media.adcanvas.com,tcp,downlink,1520
0.306032,media.adcanvas.com,tcp,downlink,1520
0.306364,media.adcanvas.com,tcp,downlink,1520
0.306574,media.adcanvas.com,tcp,downlink,1520
0.306824,analytics.adcanvas.com,tcp,uplink,529
0.307117,media.adcanvas.com,tcp,downlink,1520
0.307659,media.adcanvas.com,tcp,downlink,1520
0.307820,media.adcanvas.com,tcp,downlink,1520
0.308201,media.adcanvas.com,tcp,downlink,1520
0.308744,media.adcanvas.com,tcp,downlink,1520
0.309277,media.adcanvas.com,tcp,downlink,1520
0.309286,media.adcanvas.com,tcp,downlink,1520
0.309828,media.adcanvas.com,tcp,downlink,1520
