time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.499653,media.adcanvas.com,tcp,downlink,1520
0.517628,media.adcanvas.com,tcp,downlink,1520
0.535603,media.adcanvas.com,tcp,downlink,1520
0.553578,media.adcanvas.com,tcp,downlink,1520
0.571553,media.adcanvas.com,tcp,downlink,1520
0.589529,media.adcanvas.com,tcp,downlink,1520
0.607504,media.adcanvas.com,tcp,downlink,1520
0.625479,media.adcanvas.com,tcp,downlink,1520
0.643454,media.adcanvas.com,tcp,downlink,1520
0.661429,media.adcanvas.com,tcp,downlink,1520
0.679404,media.adcanvas.com,tcp,downlink,1520
0.697379,media.adcanvas.com,tcp,downlink,1520
0.715354,media.adcanvas.com,tcp,downlink,1520
0.733330,media.adcanvas.com,tcp,downlink,1520
0.751305,media.adcanvas.com,tcp,downlink,1520
0.769280,media.adcanvas.com,tcp,downlink,1520
0.787255,media.adcanvas.com,tcp,downlink,1520
0.805230,media.adcanvas.com,tcp,downlink,1520
0.823205,media.adcanvas.com,tcp,downlink,1520
0.841180,media.adcanvas.com,tcp,downlink,1520
0.859155,media.adcanvas.com,tcp,downlink,1520
0.877131,media.adcanvas.com,tcp,downlink,1520
0.895106,media.adcanvas.com,tcp,downlink,1520
0.913081,media.adcanvas.com,tcp,downlink,1520
0.931056,media.adcanvas.com,tcp,downlink,1520
0.949031,media.adcanvas.com,tcp,downlink,1520
0.967006,media.adcanvas.com,tcp,downlink,1520
0.984981,media.adcanvas.com,tcp,downlink,1520
1.002956,media.adcanvas.com,tcp,downlink,1520
1.020932,media.adcanvas.com,tcp,downlink,1520
1.038907,media.adcanvas.com,tcp,downlink,1520
1.056882,media.adcanvas.com,tcp,downlink,1520
1.074857,media.adcanvas.com,tcp,downlink,1520
1.092832,media.adcanvas.com,tcp,downlink,1520
1.110807,media.adcanvas.com,tcp,downlink,1520
1.128782,media.adcanvas.com,tcp,downlink,1520
1.146757,media.adcanvas.com,tcp,downlink,1520
1.164733,media.adcanvas.com,tcp,downlink,1520
1.182708,media.adcanvas.com,tcp,downlink,1520
1.200683,media.adcanvas.com,tcp,downlink,1520
1.218658,media.adcanvas.com,tcp,downlink,1124
1.241530,media.adcanvas.com,tcp,uplink,131
1.247697,media.adcanvas.com,tcp,uplink,132
1.247887,media.adcanvas.com,tcp,uplink,142
1.249427,media.adcanvas.com,tcp,uplink,112
1.249833,media.adcanvas.com,tcp,uplink,127
1.275366,media.adcanvas.com,tcp,downlink,1520
1.282870,media.adcanvas.com,tcp,downlink,1520
1.284001,media.adcanvas.com,tcp,downlink,1520
1.284887,media.adcanvas.com,tcp,downlink,1520
1.285133,media.adcanvas.com,tcp,downlink,1520
1.286264,media.adcanvas.com,tcp,downlink,1520
1.287395,media.adcanvas.com,tcp,downlink,1520
1.288526,media.adcanvas.com,tcp,downlink,1520
1.288782,media.adcanvas.com,tcp,downlink,1520
1.289151,media.adcanvas.com,tcp,downlink,1520
1.289658,media.adcanvas.com,tcp,downlink,1520
1.290789,media.adcanvas.com,tcp,downlink,1520
1.291920,media.adcanvas.com,tcp,downlink,1520
1.292677,media.adcanvas.com,tcp,downlink,1520
1.293052,media.adcanvas.com,tcp,downlink,1520
1.294183,media.adcanvas.com,tcp,downlink,1520
1.295314,media.adcanvas.com,tcp,downlink,1520
1.296445,media.adcanvas.com,tcp,downlink,1520
1.296571,media.adcanvas.com,tcp,downlink,1520
1.297577,media.adcanvas.com,tcp,downlink,1520
1.298708,media.adcanvas.com,tcp,downlink,1520
1.299839,media.adcanvas.com,tcp,downlink,1520
1.300466,media.adcanvas.com,tcp,downlink,1520
1.300971,media.adcanvas.com,tcp,downlink,1520
1.302102,media.adcanvas.com,tcp,downlink,1520
1.302936,media.adcanvas.com,tcp,downlink,1178
1.303233,media.adcanvas.com,tcp,downlink,1520
1.304361,media.adcanvas.com,tcp,downlink,1520
1.304364,media.adcanvas.com,tcp,downlink,1520
1.305496,media.adcanvas.com,tcp,downlink,1520
1.306627,media.adcanvas.com,tcp,downlink,1520
1.307758,media.adcanvas.com,tcp,downlink,1520
1.308256,media.adcanvas.com,tcp,downlink,1520
1.308890,media.adcanvas.com,tcp,downlink,1520
1.310021,media.adcanvas.com,tcp,downlink,1520
1.311152,media.adcanvas.com,tcp,downlink,1520
1.312151,media.adcanvas.com,tcp,downlink,1520
1.312284,media.adcanvas.com,tcp,downlink,1520
1.313415,media.adcanvas.com,tcp,downlink,1520
1.314546,media.adcanvas.com,tcp,downlink,1520
1.315677,media.adcanvas.com,tcp,downlink,1520
1.316046,media.adcanvas.com,tcp,downlink,1520
1.316809,media.adcanvas.com,tcp,downlink,1520
1.317940,media.adcanvas.com,tcp,downlink,1520
1.319071,media.adcanvas.com,tcp,downlink,1520
1.319940,media.adcanvas.com,tcp,downlink,1520
1.320203,media.adcanvas.com,tcp,downlink,1520
1.321089,analytics.adcanvas.com,tcp,uplink,510
1.321334,media.adcanvas.com,tcp,downlink,1520
1.322465,media.adcanvas.com,tcp,downlink,1520
1.323596,media.adcanvas.com,tcp,downlink,1520
1.323835,media.adcanvas.com,tcp,downlink,828
1.324728,media.adcanvas.com,tcp,downlink,1462
1.335121,analytics.adcanvas.com,tcp,uplink,596
1.335279,media.adcanvas.com,tcp,downlink,1520
1.336328,media.adcanvas.com,tcp,downlink,1520
1.337378,media.adcanvas.com,tcp,downlink,1520
1.338427,media.adcanvas.com,tcp,downlink,1520
1.339477,media.adcanvas.com,tcp,downlink,1520
1.340526,media.adcanvas.com,tcp,downlink,1520
1.341576,media.adcanvas.com,tcp,downlink,1520
1.342625,media.adcanvas.com,tcp,downlink,1520
1.343675,media.adcanvas.com,tcp,downlink,1520
1.344724,media.adcanvas.com,tcp,downlink,1520
1.345773,media.adcanvas.com,tcp,downlink,1520
1.346823,media.adcanvas.com,tcp,downlink,1520
1.347872,media.adcanvas.com,tcp,downlink,1520
1.348922,media.adcanvas.com,tcp,downlink,1520
1.349971,media.adcanvas.com,tcp,downlink,1520
1.351021,media.adcanvas.com,tcp,downlink,1520
1.352070,media.adcanvas.com,tcp,downlink,1520
1.353120,media.adcanvas.com,tcp,downlink,1520
1.354169,media.adcanvas.com,tcp,downlink,1520
1.355218,media.adcanvas.com,tcp,downlink,1520
1.356268,media.adcanvas.com,tcp,downlink,1520
1.357317,media.adcanvas.com,tcp,downlink,1520
1.358367,media.adcanvas.com,tcp,downlink,1520
1.359122,analytics.adcanvas.com,tcp,downlink,341
1.359416,media.adcanvas.com,tcp,downlink,1520
1.360466,media.adcanvas.com,tcp,downlink,1520
1.361515,media.adcanvas.com,tcp,downlink,1520
1.362565,media.adcanvas.com,tcp,downlink,1520
1.363614,media.adcanvas.com,tcp,downlink,1520
1.364663,media.adcanvas.com,tcp,downlink,1520
1.365713,media.adcanvas.com,tcp,downlink,1520
1.366762,media.adcanvas.com,tcp,downlink,1520
1.366869,analytics.adcanvas.com,tcp,downlink,305
1.367812,media.adcanvas.com,tcp,downlink,1520
1.368861,media.adcanvas.com,tcp,downlink,1520
1.369911,media.adcanvas.com,tcp,downlink,1520
1.370960,media.adcanvas.com,tcp,downlink,1520
1.372009,media.adcanvas.com,tcp,downlink,1520
1.373059,media.adcanvas.com,tcp,downlink,1520
1.374108,media.adcanvas.com,tcp,downlink,1520
1.375158,media.adcanvas.com,tcp,downlink,1520
1.376207,media.adcanvas.com,tcp,downlink,1520
1.377257,media.adcanvas.com,tcp,downlink,1520
1.378306,media.adcanvas.com,tcp,downlink,1520
1.379356,media.adcanvas.com,tcp,downlink,1520
1.380405,media.adcanvas.com,tcp,downlink,1520
1.381454,media.adcanvas.com,tcp,downlink,1520
1.382504,media.adcanvas.com,tcp,downlink,1520
1.383553,media.adcanvas.com,tcp,downlink,1520
1.384603,media.adcanvas.com,tcp,downlink,1520
1.385652,media.adcanvas.com,tcp,downlink,1520
1.386702,media.adcanvas.com,tcp,downlink,1520
1.387751,media.adcanvas.com,tcp,downlink,1520
1.388801,media.adcanvas.com,tcp,downlink,1520
1.389850,media.adcanvas.com,tcp,downlink,1520
1.390899,media.adcanvas.com,tcp,downlink,1520
1.391949,media.adcanvas.com,tcp,downlink,1520
1.392998,media.adcanvas.com,tcp,downlink,1520
1.394048,media.adcanvas.com,tcp,downlink,1520
1.395097,media.adcanvas.com,tcp,downlink,1520
1.396147,media.adcanvas.com,tcp,downlink,1520
1.397196,media.adcanvas.com,tcp,downlink,1520
1.398246,media.adcanvas.com,tcp,downlink,1520
1.399295,media.adcanvas.com,tcp,downlink,1520
1.400344,media.adcanvas.com,tcp,downlink,1520
1.401394,media.adcanvas.com,tcp,downlink,1520
1.402443,media.adcanvas.com,tcp,downlink,1520
1.403493,media.adcanvas.com,tcp,downlink,1520
1.404542,media.adcanvas.com,tcp,downlink,1520
1.405592,media.adcanvas.com,tcp,downlink,1520
1.406641,media.adcanvas.com,tcp,downlink,1520
1.407691,media.adcanvas.com,tcp,downlink,1520
1.408740,media.adcanvas.com,tcp,downlink,1520
1.409789,media.adcanvas.com,tcp,downlink,1520
1.410839,media.adcanvas.com,tcp,downlink,1520
1.411888,media.adcanvas.com,tcp,downlink,1520
1.412938,media.adcanvas.com,tcp,downlink,1520
1.413987,media.adcanvas.com,tcp,downlink,1520
1.415037,media.adcanvas.com,tcp,downlink,1520
1.416086,media.adcanvas.com,tcp,downlink,1520
1.417136,media.adcanvas.com,tcp,downlink,1520
1.418185,media.adcanvas.com,tcp,downlink,1520
1.419234,media.adcanvas.com,tcp,downlink,1520
1.420284,media.adcanvas.com,tcp,downlink,1520
1.421333,media.adcanvas.com,tcp,downlink,1520
1.422383,media.adcanvas.com,tcp,downlink,1520
1.423432,media.adcanvas.com,tcp,downlink,1520
1.424482,media.adcanvas.com,tcp,downlink,1520
1.425531,media.adcanvas.com,tcp,downlink,1520
1.426580,media.adcanvas.com,tcp,downlink,1520
1.427630,media.adcanvas.com,tcp,downlink,1520
1.428679,media.adcanvas.com,tcp,downlink,1520
1.429729,media.adcanvas.com,tcp,downlink,1520
1.430778,media.adcanvas.com,tcp,downlink,1520
1.431828,media.adcanvas.com,tcp,downlink,1520
1.432877,media.adcanvas.com,tcp,downlink,1520
1.433927,media.adcanvas.com,tcp,downlink,1520
1.434976,media.adcanvas.com,tcp,downlink,1520
1.436025,media.adcanvas.com,tcp,downlink,1520
1.437075,media.adcanvas.com,tcp,downlink,1520
1.438124,media.adcanvas.com,tcp,downlink,1520
1.439174,media.adcanvas.com,tcp,downlink,1520
1.440223,media.adcanvas.com,tcp,downlink,1520
1.441273,media.adcanvas.com,tcp,downlink,1520
1.442322,media.adcanvas.com,tcp,downlink,1520
1.443372,media.adcanvas.com,tcp,downlink,1520
1.444421,media.adcanvas.com,tcp,downlink,1520
1.445470,media.adcanvas.com,tcp,downlink,1520
1.446520,media.adcanvas.com,tcp,downlink,1520
1.447569,media.adcanvas.com,tcp,downlink,1520
1.448619,media.adcanvas.com,tcp,downlink,1520
1.449668,media.adcanvas.com,tcp,downlink,1520
1.450718,media.adcanvas.com,tcp,downlink,1520
1.451767,media.adcanvas.com,tcp,downlink,1520
1.452817,media.adcanvas.com,tcp,downlink,853
1.480359,media.adcanvas.com,tcp,uplink,159
1.480570,analytics.adcanvas.com,tcp,uplink,588
1.480663,analytics.adcanvas.com,tcp,uplink,597
1.480733,analytics.adcanvas.com,tcp,uplink,588
1.483991,analytics.adcanvas.com,tcp,uplink,589
1.504025,analytics.adcanvas.com,tcp,downlink,305
1.504203,analytics.adcanvas.com,tcp,downlink,305
1.504681,analytics.adcanvas.com,tcp,downlink,305
1.506012,analytics.adcanvas.com,tcp,downlink,305
1.519499,media.adcanvas.com,tcp,downlink,1520
1.520726,media.adcanvas.com,tcp,downlink,1520
1.521952,media.adcanvas.com,tcp,downlink,1520
1.523179,media.adcanvas.com,tcp,downlink,1520
1.524405,media.adcanvas.com,tcp,downlink,1520
1.525632,media.adcanvas.com,tcp,downlink,1520
1.526859,media.adcanvas.com,tcp,downlink,1520
1.528085,media.adcanvas.com,tcp,downlink,1520
1.529312,media.adcanvas.com,tcp,downlink,1520
1.530539,media.adcanvas.com,tcp,downlink,1520
1.531765,media.adcanvas.com,tcp,downlink,1520
1.532992,media.adcanvas.com,tcp,downlink,1520
1.534218,media.adcanvas.com,tcp,downlink,1520
1.535445,media.adcanvas.com,tcp,downlink,1520
1.536672,media.adcanvas.com,tcp,downlink,1520
1.537898,media.adcanvas.com,tcp,downlink,1520
1.539125,media.adcanvas.com,tcp,downlink,1520
1.540351,media.adcanvas.com,tcp,downlink,1520
1.541578,media.adcanvas.com,tcp,downlink,1520
1.542805,media.adcanvas.com,tcp,downlink,1520
1.544031,media.adcanvas.com,tcp,downlink,1520
1.545258,media.adcanvas.com,tcp,downlink,1520
1.546485,media.adcanvas.com,tcp,downlink,1520
1.547711,media.adcanvas.com,tcp,downlink,1520
1.548938,media.adcanvas.com,tcp,downlink,1520
1.550164,media.adcanvas.com,tcp,downlink,1520
1.551391,media.adcanvas.com,tcp,downlink,1520
1.552618,media.adcanvas.com,tcp,downlink,1520
1.553844,media.adcanvas.com,tcp,downlink,1520
1.555071,media.adcanvas.com,tcp,downlink,1520
1.556297,media.adcanvas.com,tcp,downlink,1520
1.557524,media.adcanvas.com,tcp,downlink,1520
1.558751,media.adcanvas.com,tcp,downlink,1520
