time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.560502,media.adcanvas.com,tcp,downlink,1520
0.580222,media.adcanvas.com,tcp,downlink,1520
0.599943,media.adcanvas.com,tcp,downlink,1520
0.619663,media.adcanvas.com,tcp,downlink,1520
0.639383,media.adcanvas.com,tcp,downlink,1520
0.659103,media.adcanvas.com,tcp,downlink,1520
0.678824,media.adcanvas.com,tcp,downlink,1520
0.698544,media.adcanvas.com,tcp,downlink,1520
0.718264,media.adcanvas.com,tcp,downlink,1520
0.737985,media.adcanvas.com,tcp,downlink,1520
0.757705,media.adcanvas.com,tcp,downlink,1520
0.777425,media.adcanvas.com,tcp,downlink,1520
0.797145,media.adcanvas.com,tcp,downlink,1520
0.816866,media.adcanvas.com,tcp,downlink,1520
0.836586,media.adcanvas.com,tcp,downlink,1520
0.856306,media.adcanvas.com,tcp,downlink,1520
0.876027,media.adcanvas.com,tcp,downlink,1520
0.895747,media.adcanvas.com,tcp,downlink,1520
0.915467,media.adcanvas.com,tcp,downlink,1520
0.935187,media.adcanvas.com,tcp,downlink,1520
0.954908,media.adcanvas.com,tcp,downlink,1520
0.974628,media.adcanvas.com,tcp,downlink,1520
0.994348,media.adcanvas.com,tcp,downlink,1520
1.014069,media.adcanvas.com,tcp,downlink,1520
1.033789,media.adcanvas.com,tcp,downlink,1520
1.053509,media.adcanvas.com,tcp,downlink,1520
1.073229,media.adcanvas.com,tcp,downlink,1520
1.092950,media.adcanvas.com,tcp,downlink,1520
1.112670,media.adcanvas.com,tcp,downlink,1520
1.132390,media.adcanvas.com,tcp,downlink,1520
1.152111,media.adcanvas.com,tcp,downlink,1520
1.171831,media.adcanvas.com,tcp,downlink,1520
1.191551,media.adcanvas.com,tcp,downlink,1520
1.211271,media.adcanvas.com,tcp,downlink,1520
1.230992,media.adcanvas.com,tcp,downlink,1520
1.250712,media.adcanvas.com,tcp,downlink,1520
1.270432,media.adcanvas.com,tcp,downlink,1520
1.290153,media.adcanvas.com,tcp,downlink,1520
1.309873,media.adcanvas.com,tcp,downlink,1520
1.329593,media.adcanvas.com,tcp,downlink,1520
1.349313,media.adcanvas.com,tcp,downlink,1520
1.369034,media.adcanvas.com,tcp,downlink,107
1.395276,media.adcanvas.com,tcp,uplink,131
1.403234,media.adcanvas.com,tcp,uplink,132
1.403896,media.adcanvas.com,tcp,uplink,142
1.404189,media.adcanvas.com,tcp,uplink,112
1.409334,media.adcanvas.com,tcp,uplink,127
1.429347,media.adcanvas.com,tcp,downlink,1520
1.443228,media.adcanvas.com,tcp,downlink,1520
1.447268,media.adcanvas.com,tcp,downlink,1520
1.448613,media.adcanvas.com,tcp,downlink,1520
1.449959,media.adcanvas.com,tcp,downlink,1520
1.451304,media.adcanvas.com,tcp,downlink,1520
1.452650,media.adcanvas.com,tcp,downlink,1520
1.453335,media.adcanvas.com,tcp,downlink,1520
1.453995,media.adcanvas.com,tcp,downlink,1520
1.455341,media.adcanvas.com,tcp,downlink,1520
1.455725,media.adcanvas.com,tcp,downlink,1520
1.456466,media.adcanvas.com,tcp,downlink,1520
1.456686,media.adcanvas.com,tcp,downlink,1520
1.457108,media.adcanvas.com,tcp,downlink,1281
1.457208,media.adcanvas.com,tcp,downlink,1520
1.457949,media.adcanvas.com,tcp,downlink,1520
1.458032,media.adcanvas.com,tcp,downlink,1520
1.458691,media.adcanvas.com,tcp,downlink,1520
1.459377,media.adcanvas.com,tcp,downlink,1520
1.459432,media.adcanvas.com,tcp,downlink,1520
1.460057,media.adcanvas.com,tcp,downlink,1520
1.460173,media.adcanvas.com,tcp,downlink,1520
1.460723,media.adcanvas.com,tcp,downlink,1520
1.460915,media.adcanvas.com,tcp,downlink,1520
1.461656,media.adcanvas.com,tcp,downlink,1520
1.462068,media.adcanvas.com,tcp,downlink,1520
1.462398,media.adcanvas.com,tcp,downlink,1520
1.463139,media.adcanvas.com,tcp,downlink,1520
1.463414,media.adcanvas.com,tcp,downlink,1520
1.463880,media.adcanvas.com,tcp,downlink,1520
1.464622,media.adcanvas.com,tcp,downlink,1520
1.464759,media.adcanvas.com,tcp,downlink,1520
1.465363,media.adcanvas.com,tcp,downlink,1520
1.466105,media.adcanvas.com,tcp,downlink,1520
1.466105,media.adcanvas.com,tcp,downlink,1520
1.466780,media.adcanvas.com,tcp,downlink,1520
1.466846,media.adcanvas.com,tcp,downlink,1520
1.467450,media.adcanvas.com,tcp,downlink,1520
1.467587,media.adcanvas.com,tcp,downlink,1520
1.468329,media.adcanvas.com,tcp,downlink,1520
1.468796,media.adcanvas.com,tcp,downlink,1520
1.469070,media.adcanvas.com,tcp,downlink,1520
1.469812,media.adcanvas.com,tcp,downlink,1520
1.470141,media.adcanvas.com,tcp,downlink,1520
1.470553,media.adcanvas.com,tcp,downlink,1520
1.471294,media.adcanvas.com,tcp,downlink,1520
1.471487,media.adcanvas.com,tcp,downlink,1520
1.472036,media.adcanvas.com,tcp,downlink,1520
1.472777,media.adcanvas.com,tcp,downlink,1520
1.472832,media.adcanvas.com,tcp,downlink,1520
1.473502,media.adcanvas.com,tcp,downlink,1520
1.473519,media.adcanvas.com,tcp,downlink,1520
1.474177,media.adcanvas.com,tcp,downlink,1520
1.474260,media.adcanvas.com,tcp,downlink,1520
1.475001,media.adcanvas.com,tcp,downlink,1520
1.475523,media.adcanvas.com,tcp,downlink,1520
1.475743,media.adcanvas.com,tcp,downlink,1520
1.476484,media.adcanvas.com,tcp,downlink,1520
1.476868,media.adcanvas.com,tcp,downlink,1520
1.477226,media.adcanvas.com,tcp,downlink,1520
1.477967,media.adcanvas.com,tcp,downlink,1520
1.478214,media.adcanvas.com,tcp,downlink,1520
1.478708,media.adcanvas.com,tcp,downlink,1520
1.479450,media.adcanvas.com,tcp,downlink,1520
1.479559,media.adcanvas.com,tcp,downlink,1520
1.479706,analytics.adcanvas.com,tcp,uplink,488
1.480191,media.adcanvas.com,tcp,downlink,1520
1.480225,media.adcanvas.com,tcp,downlink,1520
1.480905,media.adcanvas.com,tcp,downlink,1520
1.480933,media.adcanvas.com,tcp,downlink,1520
1.481674,media.adcanvas.com,tcp,downlink,1520
1.482250,media.adcanvas.com,tcp,downlink,1520
1.482415,media.adcanvas.com,tcp,downlink,1520
1.483157,media.adcanvas.com,tcp,downlink,1520
1.483596,media.adcanvas.com,tcp,downlink,1520
1.483898,media.adcanvas.com,tcp,downlink,1520
1.484640,media.adcanvas.com,tcp,downlink,1520
1.484941,media.adcanvas.com,tcp,downlink,1520
1.485381,media.adcanvas.com,tcp,downlink,1520
1.486122,media.adcanvas.com,tcp,downlink,1520
1.486287,media.adcanvas.com,tcp,downlink,1520
1.486864,media.adcanvas.com,tcp,downlink,1520
1.486947,media.adcanvas.com,tcp,downlink,1520
1.487605,media.adcanvas.com,tcp,downlink,1520
1.487632,media.adcanvas.com,tcp,downlink,1520
1.488347,media.adcanvas.com,tcp,downlink,1520
1.488978,media.adcanvas.com,tcp,downlink,1520
1.489088,media.adcanvas.com,tcp,downlink,1520
1.489829,media.adcanvas.com,tcp,downlink,1520
1.490323,media.adcanvas.com,tcp,downlink,1520
1.490571,media.adcanvas.com,tcp,downlink,1520
1.491312,media.adcanvas.com,tcp,downlink,1520
1.491669,media.adcanvas.com,tcp,downlink,1520
1.492053,media.adcanvas.com,tcp,downlink,1520
1.492795,media.adcanvas.com,tcp,downlink,1520
1.493014,media.adcanvas.com,tcp,downlink,1520
1.493536,media.adcanvas.com,tcp,downlink,1520
1.493669,media.adcanvas.com,tcp,downlink,1520
1.494278,media.adcanvas.com,tcp,downlink,1520
1.494360,media.adcanvas.com,tcp,downlink,1520
1.495019,media.adcanvas.com,tcp,downlink,1520
1.495556,analytics.adcanvas.com,tcp,uplink,574
1.495705,media.adcanvas.com,tcp,downlink,1520
1.495760,media.adcanvas.com,tcp,downlink,1520
1.496502,media.adcanvas.com,tcp,downlink,1520
1.497051,media.adcanvas.com,tcp,downlink,1520
1.497243,media.adcanvas.com,tcp,downlink,1520
1.497985,media.adcanvas.com,tcp,downlink,1520
1.498396,media.adcanvas.com,tcp,downlink,1520
1.498726,media.adcanvas.com,tcp,downlink,1520
1.499467,media.adcanvas.com,tcp,downlink,1520
1.499742,media.adcanvas.com,tcp,downlink,494
1.500209,media.adcanvas.com,tcp,downlink,1520
1.500392,media.adcanvas.com,tcp,downlink,360
1.500950,media.adcanvas.com,tcp,downlink,1520
1.501692,media.adcanvas.com,tcp,downlink,1520
1.502433,media.adcanvas.com,tcp,downlink,1520
1.503174,media.adcanvas.com,tcp,downlink,1520
1.503916,media.adcanvas.com,tcp,downlink,1520
1.504657,media.adcanvas.com,tcp,downlink,1520
1.505399,media.adcanvas.com,tcp,downlink,1520
1.506140,media.adcanvas.com,tcp,downlink,1520
1.506881,media.adcanvas.com,tcp,downlink,1520
1.507623,media.adcanvas.com,tcp,downlink,1520
1.508364,media.adcanvas.com,tcp,downlink,1520
1.509106,media.adcanvas.com,tcp,downlink,1520
1.509847,media.adcanvas.com,tcp,downlink,1520
1.510588,media.adcanvas.com,tcp,downlink,1520
1.511330,media.adcanvas.com,tcp,downlink,1520
1.512071,media.adcanvas.com,tcp,downlink,1520
1.512813,media.adcanvas.com,tcp,downlink,1520
1.513554,media.adcanvas.com,tcp,downlink,1520
1.514295,media.adcanvas.com,tcp,downlink,1520
1.515037,media.adcanvas.com,tcp,downlink,1520
1.515778,media.adcanvas.com,tcp,downlink,1520
1.516520,media.adcanvas.com,tcp,downlink,1520
1.517261,media.adcanvas.com,tcp,downlink,1520
1.518002,media.adcanvas.com,tcp,downlink,1520
1.518256,analytics.adcanvas.com,tcp,downlink,305
1.518744,media.adcanvas.com,tcp,downlink,1520
1.519485,media.adcanvas.com,tcp,downlink,1520
1.520227,media.adcanvas.com,tcp,downlink,273
1.526998,analytics.adcanvas.com,tcp,downlink,305
1.572170,analytics.adcanvas.com,tcp,uplink,567
1.572282,analytics.adcanvas.com,tcp,uplink,576
1.572354,analytics.adcanvas.com,tcp,uplink,568
1.575870,analytics.adcanvas.com,tcp,uplink,569
1.593991,analytics.adcanvas.com,tcp,downlink,305
1.594117,analytics.adcanvas.com,tcp,downlink,305
1.594857,analytics.adcanvas.com,tcp,downlink,305
1.596220,analytics.adcanvas.com,tcp,downlink,305
3.501748,analytics.adcanvas.com,tcp,uplink,575
3.501923,analytics.adcanvas.com,tcp,uplink,586
3.502003,analytics.adcanvas.com,tcp,uplink,568
3.534423,analytics.adcanvas.com,tcp,downlink,305
3.534458,analytics.adcanvas.com,tcp,downlink,305
3.534537,analytics.adcanvas.com,tcp,downlink,305
