time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.072876,media.adcanvas.com,tcp,downlink,1520
0.075181,media.adcanvas.com,tcp,downlink,1520
0.077486,media.adcanvas.com,tcp,downlink,1520
0.079791,media.adcanvas.com,tcp,downlink,1520
0.082096,media.adcanvas.com,tcp,downlink,1520
0.084401,media.adcanvas.com,tcp,downlink,1520
0.086707,media.adcanvas.com,tcp,downlink,1520
0.089012,media.adcanvas.com,tcp,downlink,1520
0.091317,media.adcanvas.com,tcp,downlink,1520
0.093622,media.adcanvas.com,tcp,downlink,1520
0.095927,media.adcanvas.com,tcp,downlink,1520
0.098232,media.adcanvas.com,tcp,downlink,1520
0.100537,media.adcanvas.com,tcp,downlink,1520
0.102842,media.adcanvas.com,tcp,downlink,1520
0.105147,media.adcanvas.com,tcp,downlink,1520
0.107452,media.adcanvas.com,tcp,downlink,1520
0.109758,media.adcanvas.com,tcp,downlink,1520
0.112063,media.adcanvas.com,tcp,downlink,1520
0.114368,media.adcanvas.com,tcp,downlink,1520
0.116673,media.adcanvas.com,tcp,downlink,1520
0.118978,media.adcanvas.com,tcp,downlink,1520
0.121283,media.adcanvas.com,tcp,downlink,1520
0.123588,media.adcanvas.com,tcp,downlink,1520
0.125893,media.adcanvas.com,tcp,downlink,1520
0.128198,media.adcanvas.com,tcp,downlink,1520
0.130503,media.adcanvas.com,tcp,downlink,1520
0.132808,media.adcanvas.com,tcp,downlink,1520
0.135114,media.adcanvas.com,tcp,downlink,1520
0.137419,media.adcanvas.com,tcp,downlink,1520
0.139724,media.adcanvas.com,tcp,downlink,1520
0.142029,media.adcanvas.com,tcp,downlink,1520
0.144334,media.adcanvas.com,tcp,downlink,1520
0.146639,media.adcanvas.com,tcp,downlink,1520
0.148944,media.adcanvas.com,tcp,downlink,1520
0.151249,media.adcanvas.com,tcp,downlink,1520
0.153554,media.adcanvas.com,tcp,downlink,1520
0.155859,media.adcanvas.com,tcp,downlink,1520
0.158165,media.adcanvas.com,tcp,downlink,1520
0.160470,media.adcanvas.com,tcp,downlink,1520
0.162775,media.adcanvas.com,tcp,downlink,1520
0.165080,media.adcanvas.com,tcp,downlink,1520
0.167385,media.adcanvas.com,tcp,downlink,1369
0.175427,media.adcanvas.com,tcp,uplink,131
0.182085,media.adcanvas.com,tcp,uplink,132
0.182797,media.adcanvas.com,tcp,uplink,142
0.183260,media.adcanvas.com,tcp,uplink,112
0.186942,media.adcanvas.com,tcp,uplink,127
0.235231,media.adcanvas.com,tcp,downlink,1520
0.238385,media.adcanvas.com,tcp,downlink,1520
0.241540,media.adcanvas.com,tcp,downlink,1520
0.244694,media.adcanvas.com,tcp,downlink,1520
0.247849,media.adcanvas.com,tcp,downlink,1520
0.251003,media.adcanvas.com,tcp,downlink,1520
0.254158,media.adcanvas.com,tcp,downlink,1520
0.255240,media.adcanvas.com,tcp,downlink,1520
0.256032,media.adcanvas.com,tcp,downlink,1520
0.256544,media.adcanvas.com,tcp,downlink,1520
0.257057,media.adcanvas.com,tcp,downlink,1520
0.257312,media.adcanvas.com,tcp,downlink,1520
0.257569,media.adcanvas.com,tcp,downlink,1520
0.258082,media.adcanvas.com,tcp,downlink,1520
0.258594,media.adcanvas.com,tcp,downlink,1520
0.259106,media.adcanvas.com,tcp,downlink,1520
0.259619,media.adcanvas.com,tcp,downlink,1520
0.260131,media.adcanvas.com,tcp,downlink,1520
0.260466,media.adcanvas.com,tcp,downlink,1520
0.260643,media.adcanvas.com,tcp,downlink,1520
0.261156,media.adcanvas.com,tcp,downlink,1520
0.261668,media.adcanvas.com,tcp,downlink,1520
0.262181,media.adcanvas.com,tcp,downlink,1520
0.262693,media.adcanvas.com,tcp,downlink,1520
0.263205,media.adcanvas.com,tcp,downlink,1520
0.263351,media.adcanvas.com,tcp,downlink,1520
0.263621,media.adcanvas.com,tcp,downlink,1520
0.263718,media.adcanvas.com,tcp,downlink,1520
0.264230,media.adcanvas.com,tcp,downlink,1520
0.264743,media.adcanvas.com,tcp,downlink,1520
0.265255,media.adcanvas.com,tcp,downlink,1520
0.265767,media.adcanvas.com,tcp,downlink,1520
0.265895,media.adcanvas.com,tcp,downlink,1520
0.266280,media.adcanvas.com,tcp,downlink,1520
0.266775,media.adcanvas.com,tcp,downlink,1520
0.266792,media.adcanvas.com,tcp,downlink,1520
0.267304,media.adcanvas.com,tcp,downlink,1520
0.267817,media.adcanvas.com,tcp,downlink,1520
0.268329,media.adcanvas.com,tcp,downlink,1520
0.268439,media.adcanvas.com,tcp,downlink,1520
0.268842,media.adcanvas.com,tcp,downlink,1520
0.269354,media.adcanvas.com,tcp,downlink,1520
0.269866,media.adcanvas.com,tcp,downlink,1520
0.269930,media.adcanvas.com,tcp,downlink,1520
0.270379,media.adcanvas.com,tcp,downlink,1520
0.270891,media.adcanvas.com,tcp,downlink,1520
0.270983,media.adcanvas.com,tcp,downlink,1520
0.271404,media.adcanvas.com,tcp,downlink,1520
0.271916,media.adcanvas.com,tcp,downlink,1520
0.272428,media.adcanvas.com,tcp,downlink,1520
0.272941,media.adcanvas.com,tcp,downlink,1520
0.273084,media.adcanvas.com,tcp,downlink,1520
0.273453,media.adcanvas.com,tcp,downlink,1520
0.273528,media.adcanvas.com,tcp,downlink,1520
0.273965,media.adcanvas.com,tcp,downlink,1520
0.274478,media.adcanvas.com,tcp,downlink,1520
0.274990,media.adcanvas.com,tcp,downlink,1520
0.275503,media.adcanvas.com,tcp,downlink,1520
0.276015,media.adcanvas.com,tcp,downlink,1520
0.276072,media.adcanvas.com,tcp,downlink,1520
0.276238,media.adcanvas.com,tcp,downlink,1520
0.276527,media.adcanvas.com,tcp,downlink,1520
