time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.469338,media.adcanvas.com,tcp,downlink,1520
0.486204,media.adcanvas.com,tcp,downlink,1520
0.503070,media.adcanvas.com,tcp,downlink,1520
0.519936,media.adcanvas.com,tcp,downlink,1520
0.536802,media.adcanvas.com,tcp,downlink,1520
0.553668,media.adcanvas.com,tcp,downlink,1520
0.570534,media.adcanvas.com,tcp,downlink,1520
0.587400,media.adcanvas.com,tcp,downlink,1520
0.604266,media.adcanvas.com,tcp,downlink,1520
0.621132,media.adcanvas.com,tcp,downlink,1520
0.637998,media.adcanvas.com,tcp,downlink,1520
0.654864,media.adcanvas.com,tcp,downlink,1520
0.671730,media.adcanvas.com,tcp,downlink,1520
0.688596,media.adcanvas.com,tcp,downlink,1520
0.705462,media.adcanvas.com,tcp,downlink,1520
0.722328,media.adcanvas.com,tcp,downlink,1520
0.739194,media.adcanvas.com,tcp,downlink,1520
0.756060,media.adcanvas.com,tcp,downlink,1520
0.772926,media.adcanvas.com,tcp,downlink,1520
0.789792,media.adcanvas.com,tcp,downlink,1520
0.806658,media.adcanvas.com,tcp,downlink,1520
0.823524,media.adcanvas.com,tcp,downlink,1520
0.840390,media.adcanvas.com,tcp,downlink,1520
0.857256,media.adcanvas.com,tcp,downlink,1520
0.874122,media.adcanvas.com,tcp,downlink,1520
0.890988,media.adcanvas.com,tcp,downlink,1520
0.907854,media.adcanvas.com,tcp,downlink,1520
0.924720,media.adcanvas.com,tcp,downlink,1520
0.941586,media.adcanvas.com,tcp,downlink,1520
0.958452,media.adcanvas.com,tcp,downlink,1520
0.975318,media.adcanvas.com,tcp,downlink,1520
0.992184,media.adcanvas.com,tcp,downlink,1520
1.009050,media.adcanvas.com,tcp,downlink,1520
1.025916,media.adcanvas.com,tcp,downlink,1520
1.042782,media.adcanvas.com,tcp,downlink,1520
1.059648,media.adcanvas.com,tcp,downlink,1520
1.076514,media.adcanvas.com,tcp,downlink,1520
1.093380,media.adcanvas.com,tcp,downlink,1520
1.110246,media.adcanvas.com,tcp,downlink,1520
1.127112,media.adcanvas.com,tcp,downlink,1520
1.143978,media.adcanvas.com,tcp,downlink,1371
1.166728,media.adcanvas.com,tcp,uplink,131
1.173821,media.adcanvas.com,tcp,uplink,132
1.174029,media.adcanvas.com,tcp,uplink,142
1.175388,media.adcanvas.com,tcp,uplink,112
1.176126,media.adcanvas.com,tcp,uplink,127
1.219258,media.adcanvas.com,tcp,downlink,1520
1.229208,media.adcanvas.com,tcp,downlink,1520
1.230561,media.adcanvas.com,tcp,downlink,1520
1.230973,media.adcanvas.com,tcp,downlink,1520
1.232737,media.adcanvas.com,tcp,downlink,1520
1.234502,media.adcanvas.com,tcp,downlink,1520
1.236266,media.adcanvas.com,tcp,downlink,1520
1.238031,media.adcanvas.com,tcp,downlink,1520
1.239795,media.adcanvas.com,tcp,downlink,1520
1.240440,media.adcanvas.com,tcp,downlink,1520
1.241356,media.adcanvas.com,tcp,downlink,1520
1.241560,media.adcanvas.com,tcp,downlink,1520
1.243324,media.adcanvas.com,tcp,downlink,1520
1.245089,media.adcanvas.com,tcp,downlink,1520
1.246853,media.adcanvas.com,tcp,downlink,1520
1.248618,media.adcanvas.com,tcp,downlink,1520
1.250319,media.adcanvas.com,tcp,downlink,1520
1.250382,media.adcanvas.com,tcp,downlink,1520
1.252147,media.adcanvas.com,tcp,downlink,1520
1.253309,media.adcanvas.com,tcp,downlink,1520
1.253911,media.adcanvas.com,tcp,downlink,1520
1.254075,media.adcanvas.com,tcp,downlink,1520
1.254840,media.adcanvas.com,tcp,downlink,1520
1.255606,media.adcanvas.com,tcp,downlink,1520
1.255676,media.adcanvas.com,tcp,downlink,1520
1.256371,media.adcanvas.com,tcp,downlink,1520
1.257137,media.adcanvas.com,tcp,downlink,1520
1.257440,media.adcanvas.com,tcp,downlink,1520
1.257903,media.adcanvas.com,tcp,downlink,1520
1.258668,media.adcanvas.com,tcp,downlink,1520
1.259205,media.adcanvas.com,tcp,downlink,1520
1.259434,media.adcanvas.com,tcp,downlink,1520
1.260198,media.adcanvas.com,tcp,downlink,1520
1.260200,media.adcanvas.com,tcp,downlink,1520
1.260965,media.adcanvas.com,tcp,downlink,1520
1.260969,media.adcanvas.com,tcp,downlink,1520
1.261731,media.adcanvas.com,tcp,downlink,1520
1.262496,media.adcanvas.com,tcp,downlink,1520
1.262734,media.adcanvas.com,tcp,downlink,1520
1.263262,media.adcanvas.com,tcp,downlink,1520
1.263455,media.adcanvas.com,tcp,downlink,1302
1.264028,media.adcanvas.com,tcp,downlink,1520
1.264498,media.adcanvas.com,tcp,downlink,1520
1.264793,media.adcanvas.com,tcp,downlink,1520
1.265559,media.adcanvas.com,tcp,downlink,1520
1.266263,media.adcanvas.com,tcp,downlink,1520
1.266324,media.adcanvas.com,tcp,downlink,1520
1.267090,media.adcanvas.com,tcp,downlink,1520
1.267856,media.adcanvas.com,tcp,downlink,1520
1.268027,media.adcanvas.com,tcp,downlink,1520
1.268621,media.adcanvas.com,tcp,downlink,1520
1.269387,media.adcanvas.com,tcp,downlink,1520
1.269792,media.adcanvas.com,tcp,downlink,1520
1.270077,media.adcanvas.com,tcp,downlink,1520
1.270152,media.adcanvas.com,tcp,downlink,1520
1.270918,media.adcanvas.com,tcp,downlink,1520
1.271556,media.adcanvas.com,tcp,downlink,1520
1.271684,media.adcanvas.com,tcp,downlink,1520
1.272449,media.adcanvas.com,tcp,downlink,1520
1.273215,media.adcanvas.com,tcp,downlink,1520
1.273321,media.adcanvas.com,tcp,downlink,1520
1.273981,media.adcanvas.com,tcp,downlink,1520
1.274746,media.adcanvas.com,tcp,downlink,1520
1.275085,media.adcanvas.com,tcp,downlink,1520
1.275512,media.adcanvas.com,tcp,downlink,1520
1.276277,media.adcanvas.com,tcp,downlink,1520
1.276849,media.adcanvas.com,tcp,downlink,1520
1.277043,media.adcanvas.com,tcp,downlink,1520
1.277809,media.adcanvas.com,tcp,downlink,1520
1.278574,media.adcanvas.com,tcp,downlink,1520
1.278614,media.adcanvas.com,tcp,downlink,1520
1.279340,media.adcanvas.com,tcp,downlink,1520
1.279956,media.adcanvas.com,tcp,downlink,1520
1.280105,media.adcanvas.com,tcp,downlink,1520
1.280379,media.adcanvas.com,tcp,downlink,1520
1.280871,media.adcanvas.com,tcp,downlink,1520
1.281637,media.adcanvas.com,tcp,downlink,1520
1.282143,media.adcanvas.com,tcp,downlink,1520
1.282402,media.adcanvas.com,tcp,downlink,1520
1.283168,media.adcanvas.com,tcp,downlink,1520
1.283907,media.adcanvas.com,tcp,downlink,1520
1.283933,media.adcanvas.com,tcp,downlink,1520
1.284699,media.adcanvas.com,tcp,downlink,1520
1.285465,media.adcanvas.com,tcp,downlink,1520
1.285672,media.adcanvas.com,tcp,downlink,1520
1.286230,media.adcanvas.com,tcp,downlink,1520
1.286996,media.adcanvas.com,tcp,downlink,1520
1.287437,media.adcanvas.com,tcp,downlink,1520
1.287762,media.adcanvas.com,tcp,downlink,1520
1.288527,media.adcanvas.com,tcp,downlink,1520
1.289201,media.adcanvas.com,tcp,downlink,1520
1.289293,media.adcanvas.com,tcp,downlink,1520
1.289560,analytics.adcanvas.com,tcp,uplink,500
1.289835,media.adcanvas.com,tcp,downlink,811
1.290058,media.adcanvas.com,tcp,downlink,1520
1.290824,media.adcanvas.com,tcp,downlink,1520
1.290965,media.adcanvas.com,tcp,downlink,1520
1.291590,media.adcanvas.com,tcp,downlink,1520
1.292355,media.adcanvas.com,tcp,downlink,1520
1.292730,media.adcanvas.com,tcp,downlink,1520
1.293121,media.adcanvas.com,tcp,downlink,1520
1.293886,media.adcanvas.com,tcp,downlink,1520
1.294495,media.adcanvas.com,tcp,downlink,1520
1.294652,media.adcanvas.com,tcp,downlink,1520
1.295418,media.adcanvas.com,tcp,downlink,1520
1.296183,media.adcanvas.com,tcp,downlink,1520
1.296259,media.adcanvas.com,tcp,downlink,1520
1.296949,media.adcanvas.com,tcp,downlink,1520
1.297714,media.adcanvas.com,tcp,downlink,1520
1.298023,media.adcanvas.com,tcp,downlink,102
1.298480,media.adcanvas.com,tcp,downlink,1520
1.299246,media.adcanvas.com,tcp,downlink,1520
1.300011,media.adcanvas.com,tcp,downlink,1520
1.300777,media.adcanvas.com,tcp,downlink,1520
1.301093,analytics.adcanvas.com,tcp,uplink,586
1.301543,media.adcanvas.com,tcp,downlink,1520
