time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.067527,media.adcanvas.com,tcp,downlink,1520
0.069693,media.adcanvas.com,tcp,downlink,1520
0.071858,media.adcanvas.com,tcp,downlink,1520
0.074024,media.adcanvas.com,tcp,downlink,1520
0.076189,media.adcanvas.com,tcp,downlink,1520
0.078355,media.adcanvas.com,tcp,downlink,1520
0.080521,media.adcanvas.com,tcp,downlink,1520
0.082686,media.adcanvas.com,tcp,downlink,1520
0.084852,media.adcanvas.com,tcp,downlink,1520
0.087017,media.adcanvas.com,tcp,downlink,1520
0.089183,media.adcanvas.com,tcp,downlink,1520
0.091349,media.adcanvas.com,tcp,downlink,1520
0.093514,media.adcanvas.com,tcp,downlink,1520
0.095680,media.adcanvas.com,tcp,downlink,1520
0.097846,media.adcanvas.com,tcp,downlink,1520
0.100011,media.adcanvas.com,tcp,downlink,1520
0.102177,media.adcanvas.com,tcp,downlink,1520
0.104342,media.adcanvas.com,tcp,downlink,1520
0.106508,media.adcanvas.com,tcp,downlink,1520
0.108674,media.adcanvas.com,tcp,downlink,1520
0.110839,media.adcanvas.com,tcp,downlink,1520
0.113005,media.adcanvas.com,tcp,downlink,1520
0.115170,media.adcanvas.com,tcp,downlink,1520
0.117336,media.adcanvas.com,tcp,downlink,1520
0.119502,media.adcanvas.com,tcp,downlink,1520
0.121667,media.adcanvas.com,tcp,downlink,1520
0.123833,media.adcanvas.com,tcp,downlink,1520
0.125998,media.adcanvas.com,tcp,downlink,1520
0.128164,media.adcanvas.com,tcp,downlink,1520
0.130330,media.adcanvas.com,tcp,downlink,1520
0.132495,media.adcanvas.com,tcp,downlink,1520
0.134661,media.adcanvas.com,tcp,downlink,1520
0.136827,media.adcanvas.com,tcp,downlink,1520
0.138992,media.adcanvas.com,tcp,downlink,1520
0.141158,media.adcanvas.com,tcp,downlink,1520
0.143323,media.adcanvas.com,tcp,downlink,1520
0.145489,media.adcanvas.com,tcp,downlink,1520
0.147655,media.adcanvas.com,tcp,downlink,1520
0.149820,media.adcanvas.com,tcp,downlink,1520
0.151986,media.adcanvas.com,tcp,downlink,1520
0.154151,media.adcanvas.com,tcp,downlink,1465
0.161406,media.adcanvas.com,tcp,uplink,131
0.167390,media.adcanvas.com,tcp,uplink,132
0.167571,media.adcanvas.com,tcp,uplink,142
0.168692,media.adcanvas.com,tcp,uplink,112
0.169259,media.adcanvas.com,tcp,uplink,127
0.208210,media.adcanvas.com,tcp,downlink,1520
0.217532,media.adcanvas.com,tcp,downlink,1520
0.219140,media.adcanvas.com,tcp,downlink,1520
0.220748,media.adcanvas.com,tcp,downlink,1520
0.222356,media.adcanvas.com,tcp,downlink,1520
0.223964,media.adcanvas.com,tcp,downlink,1520
0.225572,media.adcanvas.com,tcp,downlink,1520
0.227180,media.adcanvas.com,tcp,downlink,1520
0.227445,media.adcanvas.com,tcp,downlink,1520
0.228788,media.adcanvas.com,tcp,downlink,1520
0.230396,media.adcanvas.com,tcp,downlink,1520
0.232004,media.adcanvas.com,tcp,downlink,1520
0.233613,media.adcanvas.com,tcp,downlink,1520
0.235221,media.adcanvas.com,tcp,downlink,1520
0.236829,media.adcanvas.com,tcp,downlink,1520
0.238437,media.adcanvas.com,tcp,downlink,1520
0.240045,media.adcanvas.com,tcp,downlink,1520
0.241653,media.adcanvas.com,tcp,downlink,1520
0.243261,media.adcanvas.com,tcp,downlink,1520
0.244869,media.adcanvas.com,tcp,downlink,1520
0.244910,media.adcanvas.com,tcp,downlink,1520
0.246477,media.adcanvas.com,tcp,downlink,1520
0.246680,media.adcanvas.com,tcp,downlink,1284
0.247971,media.adcanvas.com,tcp,downlink,1520
0.248085,media.adcanvas.com,tcp,downlink,1520
0.249432,media.adcanvas.com,tcp,downlink,1520
0.249693,media.adcanvas.com,tcp,downlink,1520
0.250893,media.adcanvas.com,tcp,downlink,1520
0.251301,media.adcanvas.com,tcp,downlink,1520
0.252353,media.adcanvas.com,tcp,downlink,1520
0.252909,media.adcanvas.com,tcp,downlink,1520
0.253814,media.adcanvas.com,tcp,downlink,1520
0.254517,media.adcanvas.com,tcp,downlink,1520
0.255275,media.adcanvas.com,tcp,downlink,1520
0.256125,media.adcanvas.com,tcp,downlink,1520
