time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.106300,media.adcanvas.com,tcp,downlink,1520
0.109799,media.adcanvas.com,tcp,downlink,1520
0.113298,media.adcanvas.com,tcp,downlink,1520
0.116796,media.adcanvas.com,tcp,downlink,1520
0.120295,media.adcanvas.com,tcp,downlink,1520
0.123794,media.adcanvas.com,tcp,downlink,1520
0.127293,media.adcanvas.com,tcp,downlink,1520
0.130792,media.adcanvas.com,tcp,downlink,1520
0.134290,media.adcanvas.com,tcp,downlink,1520
0.137789,media.adcanvas.com,tcp,downlink,1520
0.141288,media.adcanvas.com,tcp,downlink,1520
0.144787,media.adcanvas.com,tcp,downlink,1520
0.148285,media.adcanvas.com,tcp,downlink,1520
0.151784,media.adcanvas.com,tcp,downlink,1520
0.155283,media.adcanvas.com,tcp,downlink,1520
0.158782,media.adcanvas.com,tcp,downlink,1520
0.162281,media.adcanvas.com,tcp,downlink,1520
0.165779,media.adcanvas.com,tcp,downlink,1520
0.169278,media.adcanvas.com,tcp,downlink,1520
0.172777,media.adcanvas.com,tcp,downlink,1520
0.176276,media.adcanvas.com,tcp,downlink,1520
0.179775,media.adcanvas.com,tcp,downlink,1520
0.183273,media.adcanvas.com,tcp,downlink,1520
0.186772,media.adcanvas.com,tcp,downlink,1520
0.190271,media.adcanvas.com,tcp,downlink,1520
0.193770,media.adcanvas.com,tcp,downlink,1520
0.197268,media.adcanvas.com,tcp,downlink,1520
0.200767,media.adcanvas.com,tcp,downlink,1520
0.204266,media.adcanvas.com,tcp,downlink,1520
0.207765,media.adcanvas.com,tcp,downlink,1520
0.211264,media.adcanvas.com,tcp,downlink,1520
0.214762,media.adcanvas.com,tcp,downlink,1520
0.218261,media.adcanvas.com,tcp,downlink,1520
0.221760,media.adcanvas.com,tcp,downlink,1520
0.225259,media.adcanvas.com,tcp,downlink,1520
0.228758,media.adcanvas.com,tcp,downlink,1520
0.232256,media.adcanvas.com,tcp,downlink,1520
0.235755,media.adcanvas.com,tcp,downlink,1520
0.239254,media.adcanvas.com,tcp,downlink,1520
0.242753,media.adcanvas.com,tcp,downlink,1520
0.246251,media.adcanvas.com,tcp,downlink,1520
0.249750,media.adcanvas.com,tcp,downlink,206
0.256970,media.adcanvas.com,tcp,uplink,131
0.262761,cdn.lamp.avct.cloud,tcp,uplink,326
0.263525,media.adcanvas.com,tcp,uplink,132
0.263583,media.adcanvas.com,tcp,uplink,112
0.263691,media.adcanvas.com,tcp,uplink,142
0.264855,media.adcanvas.com,tcp,uplink,127
0.264895,track.adform.net,tcp,uplink,210
0.282286,cdn.lamp.avct.cloud,tcp,downlink,1520
0.283542,cdn.lamp.avct.cloud,tcp,downlink,1520
0.284798,cdn.lamp.avct.cloud,tcp,downlink,1520
0.286054,cdn.lamp.avct.cloud,tcp,downlink,1520
0.287310,cdn.lamp.avct.cloud,tcp,downlink,1520
0.288566,cdn.lamp.avct.cloud,tcp,downlink,1520
0.289822,cdn.lamp.avct.cloud,tcp,downlink,1520
0.291078,cdn.lamp.avct.cloud,tcp,downlink,1520
0.292334,cdn.lamp.avct.cloud,tcp,downlink,1520
0.293590,cdn.lamp.avct.cloud,tcp,downlink,1520
0.294846,cdn.lamp.avct.cloud,tcp,downlink,1520
