time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.095166,media.adcanvas.com,tcp,downlink,1520
0.098343,media.adcanvas.com,tcp,downlink,1520
0.101520,media.adcanvas.com,tcp,downlink,1520
0.104696,media.adcanvas.com,tcp,downlink,1520
0.107873,media.adcanvas.com,tcp,downlink,1520
0.111050,media.adcanvas.com,tcp,downlink,1520
0.114227,media.adcanvas.com,tcp,downlink,1520
0.117404,media.adcanvas.com,tcp,downlink,1520
0.120580,media.adcanvas.com,tcp,downlink,1520
0.123757,media.adcanvas.com,tcp,downlink,1520
0.126934,media.adcanvas.com,tcp,downlink,1520
0.130111,media.adcanvas.com,tcp,downlink,1520
0.133288,media.adcanvas.com,tcp,downlink,1520
0.136464,media.adcanvas.com,tcp,downlink,1520
0.139641,media.adcanvas.com,tcp,downlink,1520
0.142818,media.adcanvas.com,tcp,downlink,1520
0.145995,media.adcanvas.com,tcp,downlink,1520
0.149172,media.adcanvas.com,tcp,downlink,1520
0.152348,media.adcanvas.com,tcp,downlink,1520
0.155525,media.adcanvas.com,tcp,downlink,1520
0.158702,media.adcanvas.com,tcp,downlink,1520
0.161879,media.adcanvas.com,tcp,downlink,1520
0.165056,media.adcanvas.com,tcp,downlink,1520
0.168233,media.adcanvas.com,tcp,downlink,1520
0.171409,media.adcanvas.com,tcp,downlink,1520
0.174586,media.adcanvas.com,tcp,downlink,1520
0.177763,media.adcanvas.com,tcp,downlink,1520
0.180940,media.adcanvas.com,tcp,downlink,1520
0.184117,media.adcanvas.com,tcp,downlink,1520
0.187293,media.adcanvas.com,tcp,downlink,1520
0.190470,media.adcanvas.com,tcp,downlink,1520
0.193647,media.adcanvas.com,tcp,downlink,1520
0.196824,media.adcanvas.com,tcp,downlink,1520
0.200001,media.adcanvas.com,tcp,downlink,1520
0.203177,media.adcanvas.com,tcp,downlink,1520
0.206354,media.adcanvas.com,tcp,downlink,1520
0.209531,media.adcanvas.com,tcp,downlink,1520
0.212708,media.adcanvas.com,tcp,downlink,1520
0.215885,media.adcanvas.com,tcp,downlink,1520
0.219061,media.adcanvas.com,tcp,downlink,1520
0.222238,media.adcanvas.com,tcp,downlink,1216
0.232075,media.adcanvas.com,tcp,uplink,131
0.239483,media.adcanvas.com,tcp,uplink,132
0.240045,media.adcanvas.com,tcp,uplink,112
0.240312,media.adcanvas.com,tcp,uplink,142
0.245199,media.adcanvas.com,tcp,uplink,127
0.271738,media.adcanvas.com,tcp,downlink,1520
0.274982,media.adcanvas.com,tcp,downlink,1520
0.278225,media.adcanvas.com,tcp,downlink,1520
0.281469,media.adcanvas.com,tcp,downlink,1520
0.284712,media.adcanvas.com,tcp,downlink,1520
0.287956,media.adcanvas.com,tcp,downlink,1520
0.291200,media.adcanvas.com,tcp,downlink,1520
0.294443,media.adcanvas.com,tcp,downlink,1520
0.297687,media.adcanvas.com,tcp,downlink,1520
0.297802,media.adcanvas.com,tcp,downlink,1520
0.298835,media.adcanvas.com,tcp,downlink,1520
0.299775,media.adcanvas.com,tcp,downlink,1520
0.300930,media.adcanvas.com,tcp,downlink,958
0.301748,media.adcanvas.com,tcp,downlink,1520
0.303721,media.adcanvas.com,tcp,downlink,1520
0.305695,media.adcanvas.com,tcp,downlink,1520
0.307668,media.adcanvas.com,tcp,downlink,1520
0.309641,media.adcanvas.com,tcp,downlink,1520
0.311145,media.adcanvas.com,tcp,downlink,1520
0.311614,media.adcanvas.com,tcp,downlink,1520
0.311834,media.adcanvas.com,tcp,downlink,1520
0.312524,media.adcanvas.com,tcp,downlink,1520
0.313213,media.adcanvas.com,tcp,downlink,1520
0.313587,media.adcanvas.com,tcp,downlink,1520
0.313902,media.adcanvas.com,tcp,downlink,1520
0.314592,media.adcanvas.com,tcp,downlink,1520
0.315281,media.adcanvas.com,tcp,downlink,1520
0.315560,media.adcanvas.com,tcp,downlink,1520
0.315970,media.adcanvas.com,tcp,downlink,1520
0.316660,media.adcanvas.com,tcp,downlink,1520
0.317349,media.adcanvas.com,tcp,downlink,1520
0.317533,media.adcanvas.com,tcp,downlink,1520
0.318038,media.adcanvas.com,tcp,downlink,1520
0.318728,media.adcanvas.com,tcp,downlink,1520
0.319417,media.adcanvas.com,tcp,downlink,1520
0.319506,media.adcanvas.com,tcp,downlink,1520
0.320106,media.adcanvas.com,tcp,downlink,1520
0.320796,media.adcanvas.com,tcp,downlink,1520
0.321480,media.adcanvas.com,tcp,downlink,1520
0.321485,media.adcanvas.com,tcp,downlink,1520
0.322174,media.adcanvas.com,tcp,downlink,1520
0.322864,media.adcanvas.com,tcp,downlink,1520
0.323453,media.adcanvas.com,tcp,downlink,1520
0.323553,media.adcanvas.com,tcp,downlink,1520
