time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.118777,media.adcanvas.com,tcp,downlink,1520
0.122721,media.adcanvas.com,tcp,downlink,1520
0.126666,media.adcanvas.com,tcp,downlink,1520
0.130610,media.adcanvas.com,tcp,downlink,1520
0.134555,media.adcanvas.com,tcp,downlink,1520
0.138499,media.adcanvas.com,tcp,downlink,1520
0.142444,media.adcanvas.com,tcp,downlink,1520
0.146388,media.adcanvas.com,tcp,downlink,1520
0.150332,media.adcanvas.com,tcp,downlink,1520
0.154277,media.adcanvas.com,tcp,downlink,1520
0.158221,media.adcanvas.com,tcp,downlink,1520
0.162166,media.adcanvas.com,tcp,downlink,1520
0.166110,media.adcanvas.com,tcp,downlink,1520
0.170055,media.adcanvas.com,tcp,downlink,1520
0.173999,media.adcanvas.com,tcp,downlink,1520
0.177943,media.adcanvas.com,tcp,downlink,1520
0.181888,media.adcanvas.com,tcp,downlink,1520
0.185832,media.adcanvas.com,tcp,downlink,1520
0.189777,media.adcanvas.com,tcp,downlink,1520
0.193721,media.adcanvas.com,tcp,downlink,1520
0.197666,media.adcanvas.com,tcp,downlink,1520
0.201610,media.adcanvas.com,tcp,downlink,1520
0.205554,media.adcanvas.com,tcp,downlink,1520
0.209499,media.adcanvas.com,tcp,downlink,1520
0.213443,media.adcanvas.com,tcp,downlink,1520
0.217388,media.adcanvas.com,tcp,downlink,1520
0.221332,media.adcanvas.com,tcp,downlink,1520
0.225277,media.adcanvas.com,tcp,downlink,1520
0.229221,media.adcanvas.com,tcp,downlink,1520
0.233165,media.adcanvas.com,tcp,downlink,1520
0.237110,media.adcanvas.com,tcp,downlink,1520
0.241054,media.adcanvas.com,tcp,downlink,1520
0.244999,media.adcanvas.com,tcp,downlink,1520
0.248943,media.adcanvas.com,tcp,downlink,1520
0.252888,media.adcanvas.com,tcp,downlink,1520
0.256832,media.adcanvas.com,tcp,downlink,1520
0.260776,media.adcanvas.com,tcp,downlink,1520
0.264721,media.adcanvas.com,tcp,downlink,1520
0.268665,media.adcanvas.com,tcp,downlink,1520
0.272610,media.adcanvas.com,tcp,downlink,1520
0.276554,media.adcanvas.com,tcp,downlink,1520
0.280499,media.adcanvas.com,tcp,downlink,341
0.290899,media.adcanvas.com,tcp,uplink,131
0.299013,media.adcanvas.com,tcp,uplink,132
0.299241,media.adcanvas.com,tcp,uplink,142
0.300490,media.adcanvas.com,tcp,uplink,112
0.301473,media.adcanvas.com,tcp,uplink,127
0.325716,media.adcanvas.com,tcp,downlink,1520
0.339901,media.adcanvas.com,tcp,downlink,1520
0.341397,media.adcanvas.com,tcp,downlink,1520
0.342725,media.adcanvas.com,tcp,downlink,1520
0.342891,media.adcanvas.com,tcp,downlink,1520
0.344054,media.adcanvas.com,tcp,downlink,1520
0.345382,media.adcanvas.com,tcp,downlink,1520
0.346710,media.adcanvas.com,tcp,downlink,1520
0.347110,media.adcanvas.com,tcp,downlink,1520
0.348038,media.adcanvas.com,tcp,downlink,1520
0.349367,media.adcanvas.com,tcp,downlink,1520
0.350695,media.adcanvas.com,tcp,downlink,1520
0.351328,media.adcanvas.com,tcp,downlink,1520
0.352023,media.adcanvas.com,tcp,downlink,1520
0.353352,media.adcanvas.com,tcp,downlink,1520
0.354085,media.adcanvas.com,tcp,downlink,1268
0.354680,media.adcanvas.com,tcp,downlink,1520
0.355547,media.adcanvas.com,tcp,downlink,1520
0.356008,media.adcanvas.com,tcp,downlink,1520
0.357336,media.adcanvas.com,tcp,downlink,1520
0.357737,media.adcanvas.com,tcp,downlink,1520
0.358665,media.adcanvas.com,tcp,downlink,1520
0.359242,media.adcanvas.com,tcp,downlink,1520
0.359765,media.adcanvas.com,tcp,downlink,1520
0.359993,media.adcanvas.com,tcp,downlink,1520
0.360747,media.adcanvas.com,tcp,downlink,1520
0.361321,media.adcanvas.com,tcp,downlink,1520
0.362252,media.adcanvas.com,tcp,downlink,1520
0.362650,media.adcanvas.com,tcp,downlink,1520
0.363757,media.adcanvas.com,tcp,downlink,1520
0.363978,media.adcanvas.com,tcp,downlink,1520
0.363984,media.adcanvas.com,tcp,downlink,1520
0.365261,media.adcanvas.com,tcp,downlink,1520
0.365306,media.adcanvas.com,tcp,downlink,1520
0.366634,media.adcanvas.com,tcp,downlink,1520
0.366766,media.adcanvas.com,tcp,downlink,1520
0.367963,media.adcanvas.com,tcp,downlink,1520
0.368202,media.adcanvas.com,tcp,downlink,1520
0.368271,media.adcanvas.com,tcp,downlink,1520
0.369291,media.adcanvas.com,tcp,downlink,1520
0.369776,media.adcanvas.com,tcp,downlink,1520
0.370619,media.adcanvas.com,tcp,downlink,1520
0.371281,media.adcanvas.com,tcp,downlink,1520
0.371947,media.adcanvas.com,tcp,downlink,1520
0.372349,analytics.adcanvas.com,tcp,uplink,503
0.372421,media.adcanvas.com,tcp,downlink,1520
0.372663,analytics.adcanvas.com,tcp,uplink,589
0.372786,media.adcanvas.com,tcp,downlink,1520
0.373276,media.adcanvas.com,tcp,downlink,1520
0.374291,media.adcanvas.com,tcp,downlink,1520
0.374604,media.adcanvas.com,tcp,downlink,1520
0.375796,media.adcanvas.com,tcp,downlink,1520
0.375932,media.adcanvas.com,tcp,downlink,1520
0.376640,media.adcanvas.com,tcp,downlink,1520
0.377261,media.adcanvas.com,tcp,downlink,1520
0.377300,media.adcanvas.com,tcp,downlink,1520
0.378589,media.adcanvas.com,tcp,downlink,1520
0.378805,media.adcanvas.com,tcp,downlink,1520
0.379917,media.adcanvas.com,tcp,downlink,1520
0.380310,media.adcanvas.com,tcp,downlink,1520
0.380858,media.adcanvas.com,tcp,downlink,1520
0.381245,media.adcanvas.com,tcp,downlink,1520
