time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.078232,media.adcanvas.com,tcp,downlink,1520
0.080789,media.adcanvas.com,tcp,downlink,1520
0.083347,media.adcanvas.com,tcp,downlink,1520
0.085904,media.adcanvas.com,tcp,downlink,1520
0.088461,media.adcanvas.com,tcp,downlink,1520
0.091018,media.adcanvas.com,tcp,downlink,1520
0.093576,media.adcanvas.com,tcp,downlink,1520
0.096133,media.adcanvas.com,tcp,downlink,1520
0.098690,media.adcanvas.com,tcp,downlink,1520
0.101247,media.adcanvas.com,tcp,downlink,1520
0.103805,media.adcanvas.com,tcp,downlink,1520
0.106362,media.adcanvas.com,tcp,downlink,1520
0.108919,media.adcanvas.com,tcp,downlink,1520
0.111476,media.adcanvas.com,tcp,downlink,1520
0.114034,media.adcanvas.com,tcp,downlink,1520
0.116591,media.adcanvas.com,tcp,downlink,1520
0.119148,media.adcanvas.com,tcp,downlink,1520
0.121706,media.adcanvas.com,tcp,downlink,1520
0.124263,media.adcanvas.com,tcp,downlink,1520
0.126820,media.adcanvas.com,tcp,downlink,1520
0.129377,media.adcanvas.com,tcp,downlink,1520
0.131935,media.adcanvas.com,tcp,downlink,1520
0.134492,media.adcanvas.com,tcp,downlink,1520
0.137049,media.adcanvas.com,tcp,downlink,1520
0.139606,media.adcanvas.com,tcp,downlink,1520
0.142164,media.adcanvas.com,tcp,downlink,1520
0.144721,media.adcanvas.com,tcp,downlink,1520
0.147278,media.adcanvas.com,tcp,downlink,1520
0.149836,media.adcanvas.com,tcp,downlink,1520
0.152393,media.adcanvas.com,tcp,downlink,1520
0.154950,media.adcanvas.com,tcp,downlink,1520
0.157507,media.adcanvas.com,tcp,downlink,1520
0.160065,media.adcanvas.com,tcp,downlink,1520
0.162622,media.adcanvas.com,tcp,downlink,1520
0.165179,media.adcanvas.com,tcp,downlink,1520
0.167736,media.adcanvas.com,tcp,downlink,1520
0.170294,media.adcanvas.com,tcp,downlink,1520
0.172851,media.adcanvas.com,tcp,downlink,1520
0.175408,media.adcanvas.com,tcp,downlink,1520
0.177965,media.adcanvas.com,tcp,downlink,1520
0.180523,media.adcanvas.com,tcp,downlink,1223
0.188465,media.adcanvas.com,tcp,uplink,131
0.195190,media.adcanvas.com,tcp,uplink,132
0.195472,media.adcanvas.com,tcp,uplink,142
0.196407,media.adcanvas.com,tcp,uplink,112
0.197349,media.adcanvas.com,tcp,uplink,127
0.219777,media.adcanvas.com,tcp,downlink,1520
0.232534,media.adcanvas.com,tcp,downlink,1520
0.238964,media.adcanvas.com,tcp,downlink,1520
0.240736,media.adcanvas.com,tcp,downlink,1520
0.242508,media.adcanvas.com,tcp,downlink,1520
0.242651,media.adcanvas.com,tcp,downlink,1520
0.244280,media.adcanvas.com,tcp,downlink,1520
0.245291,media.adcanvas.com,tcp,downlink,1282
0.246052,media.adcanvas.com,tcp,downlink,1520
0.246232,media.adcanvas.com,tcp,downlink,1520
0.247567,media.adcanvas.com,tcp,downlink,1520
0.247824,media.adcanvas.com,tcp,downlink,1520
0.248901,media.adcanvas.com,tcp,downlink,1520
0.249595,media.adcanvas.com,tcp,downlink,1520
0.250236,media.adcanvas.com,tcp,downlink,1520
0.251367,media.adcanvas.com,tcp,downlink,1520
0.251571,media.adcanvas.com,tcp,downlink,1520
0.252905,media.adcanvas.com,tcp,downlink,1520
0.253139,media.adcanvas.com,tcp,downlink,1520
0.253742,media.adcanvas.com,tcp,downlink,1520
0.254240,media.adcanvas.com,tcp,downlink,1520
0.254911,media.adcanvas.com,tcp,downlink,1520
0.255574,media.adcanvas.com,tcp,downlink,1520
0.256683,media.adcanvas.com,tcp,downlink,1520
0.256909,media.adcanvas.com,tcp,downlink,1520
0.258244,media.adcanvas.com,tcp,downlink,1520
0.258455,media.adcanvas.com,tcp,downlink,1520
0.259578,media.adcanvas.com,tcp,downlink,1520
0.260227,media.adcanvas.com,tcp,downlink,1520
0.260913,media.adcanvas.com,tcp,downlink,1520
0.261999,media.adcanvas.com,tcp,downlink,1520
0.262066,analytics.adcanvas.com,tcp,uplink,514
0.262248,media.adcanvas.com,tcp,downlink,1520
0.263582,media.adcanvas.com,tcp,downlink,1520
0.263771,media.adcanvas.com,tcp,downlink,1520
0.264833,media.adcanvas.com,tcp,downlink,1520
0.264917,media.adcanvas.com,tcp,downlink,1520
0.265543,media.adcanvas.com,tcp,downlink,1520
0.266251,media.adcanvas.com,tcp,downlink,1520
0.267314,media.adcanvas.com,tcp,downlink,1520
0.267586,media.adcanvas.com,tcp,downlink,1520
0.268921,media.adcanvas.com,tcp,downlink,1520
0.269086,media.adcanvas.com,tcp,downlink,1520
0.270255,media.adcanvas.com,tcp,downlink,1520
0.270858,media.adcanvas.com,tcp,downlink,1520
0.271590,media.adcanvas.com,tcp,downlink,1520
0.272630,media.adcanvas.com,tcp,downlink,1520
0.272925,media.adcanvas.com,tcp,downlink,1520
0.274208,analytics.adcanvas.com,tcp,uplink,602
0.274259,media.adcanvas.com,tcp,downlink,1520
0.274402,media.adcanvas.com,tcp,downlink,1520
0.275594,media.adcanvas.com,tcp,downlink,1520
0.275923,media.adcanvas.com,tcp,downlink,1520
0.276174,media.adcanvas.com,tcp,downlink,1520
0.276928,media.adcanvas.com,tcp,downlink,1520
0.277946,media.adcanvas.com,tcp,downlink,1520
0.278263,media.adcanvas.com,tcp,downlink,1520
0.279598,media.adcanvas.com,tcp,downlink,1520
0.279718,media.adcanvas.com,tcp,downlink,1520
0.280932,media.adcanvas.com,tcp,downlink,1520
0.281490,media.adcanvas.com,tcp,downlink,1520
0.282267,media.adcanvas.com,tcp,downlink,1520
0.283261,media.adcanvas.com,tcp,downlink,1520
0.283602,media.adcanvas.com,tcp,downlink,1520
0.284936,media.adcanvas.com,tcp,downlink,1520
0.285033,media.adcanvas.com,tcp,downlink,1520
0.286271,media.adcanvas.com,tcp,downlink,1520
0.286805,media.adcanvas.com,tcp,downlink,1520
0.287014,media.adcanvas.com,tcp,downlink,1193
0.287605,media.adcanvas.com,tcp,downlink,1520
0.288577,media.adcanvas.com,tcp,downlink,1520
0.288940,media.adcanvas.com,tcp,downlink,1520
0.290275,media.adcanvas.com,tcp,downlink,1520
0.290349,media.adcanvas.com,tcp,downlink,1292
0.291609,media.adcanvas.com,tcp,downlink,1520
0.292944,media.adcanvas.com,tcp,downlink,1520
0.294278,media.adcanvas.com,tcp,downlink,1520
0.295613,media.adcanvas.com,tcp,downlink,1520
0.296524,analytics.adcanvas.com,tcp,downlink,305
0.296948,media.adcanvas.com,tcp,downlink,1520
0.298282,media.adcanvas.com,tcp,downlink,1520
0.299617,media.adcanvas.com,tcp,downlink,1520
0.300952,media.adcanvas.com,tcp,downlink,1520
0.302286,media.adcanvas.com,tcp,downlink,1520
0.303621,media.adcanvas.com,tcp,downlink,1520
0.304955,media.adcanvas.com,tcp,downlink,1520
0.305264,analytics.adcanvas.com,tcp,downlink,305
0.306290,media.adcanvas.com,tcp,downlink,1520
0.307625,media.adcanvas.com,tcp,downlink,1520
