time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.062323,media.adcanvas.com,tcp,downlink,1520
0.064298,media.adcanvas.com,tcp,downlink,1520
0.066273,media.adcanvas.com,tcp,downlink,1520
0.068249,media.adcanvas.com,tcp,downlink,1520
0.070224,media.adcanvas.com,tcp,downlink,1520
0.072199,media.adcanvas.com,tcp,downlink,1520
0.074174,media.adcanvas.com,tcp,downlink,1520
0.076150,media.adcanvas.com,tcp,downlink,1520
0.078125,media.adcanvas.com,tcp,downlink,1520
0.080100,media.adcanvas.com,tcp,downlink,1520
0.082075,media.adcanvas.com,tcp,downlink,1520
0.084051,media.adcanvas.com,tcp,downlink,1520
0.086026,media.adcanvas.com,tcp,downlink,1520
0.088001,media.adcanvas.com,tcp,downlink,1520
0.089976,media.adcanvas.com,tcp,downlink,1520
0.091952,media.adcanvas.com,tcp,downlink,1520
0.093927,media.adcanvas.com,tcp,downlink,1520
0.095902,media.adcanvas.com,tcp,downlink,1520
0.097877,media.adcanvas.com,tcp,downlink,1520
0.099853,media.adcanvas.com,tcp,downlink,1520
0.101828,media.adcanvas.com,tcp,downlink,1520
0.103803,media.adcanvas.com,tcp,downlink,1520
0.105778,media.adcanvas.com,tcp,downlink,1520
0.107754,media.adcanvas.com,tcp,downlink,1520
0.109729,media.adcanvas.com,tcp,downlink,1520
0.111704,media.adcanvas.com,tcp,downlink,1520
0.113679,media.adcanvas.com,tcp,downlink,1520
0.115655,media.adcanvas.com,tcp,downlink,1520
0.117630,media.adcanvas.com,tcp,downlink,1520
0.119605,media.adcanvas.com,tcp,downlink,1520
0.121580,media.adcanvas.com,tcp,downlink,1520
0.123556,media.adcanvas.com,tcp,downlink,1520
0.125531,media.adcanvas.com,tcp,downlink,1520
0.127506,media.adcanvas.com,tcp,downlink,1520
0.129481,media.adcanvas.com,tcp,downlink,1520
0.131457,media.adcanvas.com,tcp,downlink,1520
0.133432,media.adcanvas.com,tcp,downlink,1520
0.135407,media.adcanvas.com,tcp,downlink,1520
0.137382,media.adcanvas.com,tcp,downlink,1520
0.139358,media.adcanvas.com,tcp,downlink,1520
0.141333,media.adcanvas.com,tcp,downlink,1298
0.148214,media.adcanvas.com,tcp,uplink,131
0.154028,media.adcanvas.com,tcp,uplink,132
0.154187,media.adcanvas.com,tcp,uplink,142
0.155227,media.adcanvas.com,tcp,uplink,112
0.155808,media.adcanvas.com,tcp,uplink,127
0.187538,media.adcanvas.com,tcp,downlink,1520
0.203559,media.adcanvas.com,tcp,downlink,1520
0.205244,media.adcanvas.com,tcp,downlink,1520
0.205312,media.adcanvas.com,tcp,downlink,1520
0.207053,media.adcanvas.com,tcp,downlink,1520
0.208794,media.adcanvas.com,tcp,downlink,1520
0.210037,media.adcanvas.com,tcp,downlink,1520
0.210536,media.adcanvas.com,tcp,downlink,1520
0.210594,media.adcanvas.com,tcp,downlink,1520
0.211151,media.adcanvas.com,tcp,downlink,1520
0.211707,media.adcanvas.com,tcp,downlink,1520
0.212095,media.adcanvas.com,tcp,downlink,1520
0.212264,media.adcanvas.com,tcp,downlink,1520
0.212277,media.adcanvas.com,tcp,downlink,1520
0.212821,media.adcanvas.com,tcp,downlink,1520
0.213378,media.adcanvas.com,tcp,downlink,1520
0.213935,media.adcanvas.com,tcp,downlink,1520
0.214018,media.adcanvas.com,tcp,downlink,1520
0.214492,media.adcanvas.com,tcp,downlink,1520
0.215048,media.adcanvas.com,tcp,downlink,1520
0.215605,media.adcanvas.com,tcp,downlink,1520
0.215759,media.adcanvas.com,tcp,downlink,1520
0.216162,media.adcanvas.com,tcp,downlink,1520
0.216719,media.adcanvas.com,tcp,downlink,1520
0.217276,media.adcanvas.com,tcp,downlink,1520
0.217501,media.adcanvas.com,tcp,downlink,1520
0.217833,media.adcanvas.com,tcp,downlink,1520
0.218389,media.adcanvas.com,tcp,downlink,1520
0.218945,media.adcanvas.com,tcp,downlink,1520
0.218946,media.adcanvas.com,tcp,downlink,1520
0.219242,media.adcanvas.com,tcp,downlink,1520
0.219503,media.adcanvas.com,tcp,downlink,1520
0.219580,media.adcanvas.com,tcp,downlink,1282
0.220060,media.adcanvas.com,tcp,downlink,1520
0.220617,media.adcanvas.com,tcp,downlink,1520
0.220983,media.adcanvas.com,tcp,downlink,1520
0.221174,media.adcanvas.com,tcp,downlink,1520
0.221730,media.adcanvas.com,tcp,downlink,1520
