time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.101138,media.adcanvas.com,tcp,downlink,1520
0.104533,media.adcanvas.com,tcp,downlink,1520
0.107929,media.adcanvas.com,tcp,downlink,1520
0.111324,media.adcanvas.com,tcp,downlink,1520
0.114719,media.adcanvas.com,tcp,downlink,1520
0.118114,media.adcanvas.com,tcp,downlink,1520
0.121510,media.adcanvas.com,tcp,downlink,1520
0.124905,media.adcanvas.com,tcp,downlink,1520
0.128300,media.adcanvas.com,tcp,downlink,1520
0.131696,media.adcanvas.com,tcp,downlink,1520
0.135091,media.adcanvas.com,tcp,downlink,1520
0.138486,media.adcanvas.com,tcp,downlink,1520
0.141882,media.adcanvas.com,tcp,downlink,1520
0.145277,media.adcanvas.com,tcp,downlink,1520
0.148672,media.adcanvas.com,tcp,downlink,1520
0.152067,media.adcanvas.com,tcp,downlink,1520
0.155463,media.adcanvas.com,tcp,downlink,1520
0.158858,media.adcanvas.com,tcp,downlink,1520
0.162253,media.adcanvas.com,tcp,downlink,1520
0.165649,media.adcanvas.com,tcp,downlink,1520
0.169044,media.adcanvas.com,tcp,downlink,1520
0.172439,media.adcanvas.com,tcp,downlink,1520
0.175834,media.adcanvas.com,tcp,downlink,1520
0.179230,media.adcanvas.com,tcp,downlink,1520
0.182625,media.adcanvas.com,tcp,downlink,1520
0.186020,media.adcanvas.com,tcp,downlink,1520
0.189416,media.adcanvas.com,tcp,downlink,1520
0.192811,media.adcanvas.com,tcp,downlink,1520
0.196206,media.adcanvas.com,tcp,downlink,1520
0.199601,media.adcanvas.com,tcp,downlink,1520
0.202997,media.adcanvas.com,tcp,downlink,1520
0.206392,media.adcanvas.com,tcp,downlink,1520
0.209787,media.adcanvas.com,tcp,downlink,1520
0.213183,media.adcanvas.com,tcp,downlink,1520
0.216578,media.adcanvas.com,tcp,downlink,1520
0.219973,media.adcanvas.com,tcp,downlink,1520
0.223369,media.adcanvas.com,tcp,downlink,1520
0.226764,media.adcanvas.com,tcp,downlink,1520
0.230159,media.adcanvas.com,tcp,downlink,1520
0.233554,media.adcanvas.com,tcp,downlink,1520
0.236950,media.adcanvas.com,tcp,downlink,1369
0.245999,media.adcanvas.com,tcp,uplink,131
0.252437,media.adcanvas.com,tcp,uplink,132
0.252631,media.adcanvas.com,tcp,uplink,142
0.253884,media.adcanvas.com,tcp,uplink,112
0.254576,media.adcanvas.com,tcp,uplink,127
0.287075,media.adcanvas.com,tcp,downlink,1520
0.290686,media.adcanvas.com,tcp,downlink,1520
0.294297,media.adcanvas.com,tcp,downlink,1520
0.297405,media.adcanvas.com,tcp,downlink,1520
0.297908,media.adcanvas.com,tcp,downlink,1520
0.298932,media.adcanvas.com,tcp,downlink,1520
0.300458,media.adcanvas.com,tcp,downlink,1520
0.301519,media.adcanvas.com,tcp,downlink,1520
0.301985,media.adcanvas.com,tcp,downlink,1520
0.303512,media.adcanvas.com,tcp,downlink,1520
0.303998,media.adcanvas.com,tcp,downlink,1520
0.305038,media.adcanvas.com,tcp,downlink,1520
0.305130,media.adcanvas.com,tcp,downlink,1520
0.306565,media.adcanvas.com,tcp,downlink,1520
0.308092,media.adcanvas.com,tcp,downlink,1520
0.308741,media.adcanvas.com,tcp,downlink,1520
0.309619,media.adcanvas.com,tcp,downlink,1520
0.311145,media.adcanvas.com,tcp,downlink,1520
0.312352,media.adcanvas.com,tcp,downlink,1520
0.312672,media.adcanvas.com,tcp,downlink,1520
0.314199,media.adcanvas.com,tcp,downlink,1520
0.315725,media.adcanvas.com,tcp,downlink,1520
0.315963,media.adcanvas.com,tcp,downlink,1520
0.317252,media.adcanvas.com,tcp,downlink,1520
0.318779,media.adcanvas.com,tcp,downlink,1520
0.319574,media.adcanvas.com,tcp,downlink,1520
0.320305,media.adcanvas.com,tcp,downlink,1520
0.321832,media.adcanvas.com,tcp,downlink,1520
0.323185,media.adcanvas.com,tcp,downlink,998
0.323359,media.adcanvas.com,tcp,downlink,1520
0.324886,media.adcanvas.com,tcp,downlink,1520
0.326412,media.adcanvas.com,tcp,downlink,1520
0.327939,media.adcanvas.com,tcp,downlink,1520
0.328831,media.adcanvas.com,tcp,downlink,1520
0.329466,media.adcanvas.com,tcp,downlink,1520
0.330992,media.adcanvas.com,tcp,downlink,1520
0.332519,media.adcanvas.com,tcp,downlink,1520
0.334046,media.adcanvas.com,tcp,downlink,1520
0.335572,media.adcanvas.com,tcp,downlink,1520
0.337099,media.adcanvas.com,tcp,downlink,1520
0.338626,media.adcanvas.com,tcp,downlink,1520
0.340152,media.adcanvas.com,tcp,downlink,1520
0.341679,media.adcanvas.com,tcp,downlink,1520
0.343206,media.adcanvas.com,tcp,downlink,1520
0.344733,media.adcanvas.com,tcp,downlink,1520
0.346259,media.adcanvas.com,tcp,downlink,1520
0.347786,media.adcanvas.com,tcp,downlink,1520
0.349313,media.adcanvas.com,tcp,downlink,1520
0.350839,media.adcanvas.com,tcp,downlink,999
0.353663,media.adcanvas.com,tcp,downlink,1300
0.382712,analytics.adcanvas.com,tcp,uplink,512
0.397833,analytics.adcanvas.com,tcp,uplink,599
