time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.098048,media.adcanvas.com,tcp,downlink,1520
0.101252,media.adcanvas.com,tcp,downlink,1520
0.104456,media.adcanvas.com,tcp,downlink,1520
0.107660,media.adcanvas.com,tcp,downlink,1520
0.110864,media.adcanvas.com,tcp,downlink,1520
0.114069,media.adcanvas.com,tcp,downlink,1520
0.117273,media.adcanvas.com,tcp,downlink,1520
0.120477,media.adcanvas.com,tcp,downlink,1520
0.123681,media.adcanvas.com,tcp,downlink,1520
0.126885,media.adcanvas.com,tcp,downlink,1520
0.130089,media.adcanvas.com,tcp,downlink,1520
0.133293,media.adcanvas.com,tcp,downlink,1520
0.136497,media.adcanvas.com,tcp,downlink,1520
0.139702,media.adcanvas.com,tcp,downlink,1520
0.142906,media.adcanvas.com,tcp,downlink,1520
0.146110,media.adcanvas.com,tcp,downlink,1520
0.149314,media.adcanvas.com,tcp,downlink,1520
0.152518,media.adcanvas.com,tcp,downlink,1520
0.155722,media.adcanvas.com,tcp,downlink,1520
0.158926,media.adcanvas.com,tcp,downlink,1520
0.162130,media.adcanvas.com,tcp,downlink,1520
0.165334,media.adcanvas.com,tcp,downlink,1520
0.168539,media.adcanvas.com,tcp,downlink,1520
0.171743,media.adcanvas.com,tcp,downlink,1520
0.174947,media.adcanvas.com,tcp,downlink,1520
0.178151,media.adcanvas.com,tcp,downlink,1520
0.181355,media.adcanvas.com,tcp,downlink,1520
0.184559,media.adcanvas.com,tcp,downlink,1520
0.187763,media.adcanvas.com,tcp,downlink,1520
0.190967,media.adcanvas.com,tcp,downlink,1520
0.194172,media.adcanvas.com,tcp,downlink,1520
0.197376,media.adcanvas.com,tcp,downlink,1520
0.200580,media.adcanvas.com,tcp,downlink,1520
0.203784,media.adcanvas.com,tcp,downlink,1520
0.206988,media.adcanvas.com,tcp,downlink,1520
0.210192,media.adcanvas.com,tcp,downlink,1520
0.213396,media.adcanvas.com,tcp,downlink,1520
0.216600,media.adcanvas.com,tcp,downlink,1520
0.219805,media.adcanvas.com,tcp,downlink,1520
0.223009,media.adcanvas.com,tcp,downlink,1520
0.226213,media.adcanvas.com,tcp,downlink,1520
0.229417,media.adcanvas.com,tcp,downlink,1271
0.238166,media.adcanvas.com,tcp,uplink,131
0.244809,media.adcanvas.com,tcp,uplink,132
0.245001,media.adcanvas.com,tcp,uplink,142
0.245072,media.adcanvas.com,tcp,uplink,142
0.246148,media.adcanvas.com,tcp,uplink,112
0.246986,media.adcanvas.com,tcp,uplink,127
0.311067,media.adcanvas.com,tcp,downlink,1520
0.316336,media.adcanvas.com,tcp,downlink,1520
0.318910,media.adcanvas.com,tcp,downlink,1520
0.321009,media.adcanvas.com,tcp,downlink,1520
0.323108,media.adcanvas.com,tcp,downlink,1520
0.324188,media.adcanvas.com,tcp,downlink,1520
0.325207,media.adcanvas.com,tcp,downlink,1520
0.327306,media.adcanvas.com,tcp,downlink,1520
0.328424,media.adcanvas.com,tcp,downlink,1520
0.329405,media.adcanvas.com,tcp,downlink,1520
0.330470,media.adcanvas.com,tcp,downlink,1520
0.331504,media.adcanvas.com,tcp,downlink,1520
0.332516,media.adcanvas.com,tcp,downlink,1520
0.333603,media.adcanvas.com,tcp,downlink,1520
0.334562,media.adcanvas.com,tcp,downlink,1520
0.334641,media.adcanvas.com,tcp,downlink,1520
0.334816,media.adcanvas.com,tcp,downlink,1520
0.335702,media.adcanvas.com,tcp,downlink,1520
0.336608,media.adcanvas.com,tcp,downlink,1520
0.337801,media.adcanvas.com,tcp,downlink,1520
0.338654,media.adcanvas.com,tcp,downlink,1520
0.339900,media.adcanvas.com,tcp,downlink,1520
