time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.084394,media.adcanvas.com,tcp,downlink,1520
0.087110,media.adcanvas.com,tcp,downlink,1520
0.089827,media.adcanvas.com,tcp,downlink,1520
0.092543,media.adcanvas.com,tcp,downlink,1520
0.095260,media.adcanvas.com,tcp,downlink,1520
0.097976,media.adcanvas.com,tcp,downlink,1520
0.100693,media.adcanvas.com,tcp,downlink,1520
0.103409,media.adcanvas.com,tcp,downlink,1520
0.106126,media.adcanvas.com,tcp,downlink,1520
0.108842,media.adcanvas.com,tcp,downlink,1520
0.111559,media.adcanvas.com,tcp,downlink,1520
0.114275,media.adcanvas.com,tcp,downlink,1520
0.116992,media.adcanvas.com,tcp,downlink,1520
0.119708,media.adcanvas.com,tcp,downlink,1520
0.122425,media.adcanvas.com,tcp,downlink,1520
0.125141,media.adcanvas.com,tcp,downlink,1520
0.127858,media.adcanvas.com,tcp,downlink,1520
0.130574,media.adcanvas.com,tcp,downlink,1520
0.133291,media.adcanvas.com,tcp,downlink,1520
0.136007,media.adcanvas.com,tcp,downlink,1520
0.138724,media.adcanvas.com,tcp,downlink,1520
0.141440,media.adcanvas.com,tcp,downlink,1520
0.144156,media.adcanvas.com,tcp,downlink,1520
0.146873,media.adcanvas.com,tcp,downlink,1520
0.149589,media.adcanvas.com,tcp,downlink,1520
0.152306,media.adcanvas.com,tcp,downlink,1520
0.155022,media.adcanvas.com,tcp,downlink,1520
0.157739,media.adcanvas.com,tcp,downlink,1520
0.160455,media.adcanvas.com,tcp,downlink,1520
0.163172,media.adcanvas.com,tcp,downlink,1520
0.165888,media.adcanvas.com,tcp,downlink,1520
0.168605,media.adcanvas.com,tcp,downlink,1520
0.171321,media.adcanvas.com,tcp,downlink,1520
0.174038,media.adcanvas.com,tcp,downlink,1520
0.176754,media.adcanvas.com,tcp,downlink,1520
0.179471,media.adcanvas.com,tcp,downlink,1520
0.182187,media.adcanvas.com,tcp,downlink,1520
0.184904,media.adcanvas.com,tcp,downlink,1520
0.187620,media.adcanvas.com,tcp,downlink,1520
0.190337,media.adcanvas.com,tcp,downlink,1520
0.193053,media.adcanvas.com,tcp,downlink,1520
0.195770,media.adcanvas.com,tcp,downlink,1217
0.203113,media.adcanvas.com,tcp,uplink,114
0.208136,media.adcanvas.com,tcp,uplink,132
0.254175,media.adcanvas.com,tcp,downlink,1520
0.255704,media.adcanvas.com,tcp,downlink,1520
0.257232,media.adcanvas.com,tcp,downlink,1520
0.258761,media.adcanvas.com,tcp,downlink,1520
0.260289,media.adcanvas.com,tcp,downlink,1520
0.261818,media.adcanvas.com,tcp,downlink,1520
0.263347,media.adcanvas.com,tcp,downlink,1520
0.264875,media.adcanvas.com,tcp,downlink,1520
0.266404,media.adcanvas.com,tcp,downlink,1520
0.267933,media.adcanvas.com,tcp,downlink,1520
0.269461,media.adcanvas.com,tcp,downlink,1520
0.270990,media.adcanvas.com,tcp,downlink,1520
0.272518,media.adcanvas.com,tcp,downlink,1520
0.273002,media.adcanvas.com,tcp,downlink,827
0.274047,media.adcanvas.com,tcp,downlink,1520
0.275576,media.adcanvas.com,tcp,downlink,1520
0.277104,media.adcanvas.com,tcp,downlink,1520
0.278633,media.adcanvas.com,tcp,downlink,1520
0.280162,media.adcanvas.com,tcp,downlink,1520
0.281690,media.adcanvas.com,tcp,downlink,1520
0.283219,media.adcanvas.com,tcp,downlink,1520
0.284747,media.adcanvas.com,tcp,downlink,1520
0.286276,media.adcanvas.com,tcp,downlink,1520
0.287805,media.adcanvas.com,tcp,downlink,1520
0.289333,media.adcanvas.com,tcp,downlink,1520
0.290862,media.adcanvas.com,tcp,downlink,1520
0.292391,media.adcanvas.com,tcp,downlink,1520
0.293919,media.adcanvas.com,tcp,downlink,1520
0.295448,media.adcanvas.com,tcp,downlink,1520
0.296976,media.adcanvas.com,tcp,downlink,1520
0.298505,media.adcanvas.com,tcp,downlink,1520
0.300034,media.adcanvas.com,tcp,downlink,1520
0.301562,media.adcanvas.com,tcp,downlink,1520
0.303091,media.adcanvas.com,tcp,downlink,1520
0.304620,media.adcanvas.com,tcp,downlink,1520
0.306148,media.adcanvas.com,tcp,downlink,1520
0.307677,media.adcanvas.com,tcp,downlink,1520
0.309205,media.adcanvas.com,tcp,downlink,512
0.366723,media.adcanvas.com,tcp,uplink,131
0.368798,media.adcanvas.com,tcp,uplink,132
0.368945,media.adcanvas.com,tcp,uplink,142
0.370371,media.adcanvas.com,tcp,uplink,127
0.370435,ad.doubleclick.net,tcp,uplink,388
0.370467,tps.doubleverify.com,tcp,uplink,652
0.442353,media.adcanvas.com,tcp,downlink,1520
0.443456,media.adcanvas.com,tcp,downlink,1520
0.446219,media.adcanvas.com,tcp,downlink,1520
0.448015,media.adcanvas.com,tcp,downlink,1520
