time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.078554,media.adcanvas.com,tcp,downlink,1520
0.081062,media.adcanvas.com,tcp,downlink,1520
0.083570,media.adcanvas.com,tcp,downlink,1520
0.086078,media.adcanvas.com,tcp,downlink,1520
0.088586,media.adcanvas.com,tcp,downlink,1520
0.091093,media.adcanvas.com,tcp,downlink,1520
0.093601,media.adcanvas.com,tcp,downlink,1520
0.096109,media.adcanvas.com,tcp,downlink,1520
0.098617,media.adcanvas.com,tcp,downlink,1520
0.101125,media.adcanvas.com,tcp,downlink,1520
0.103633,media.adcanvas.com,tcp,downlink,1520
0.106141,media.adcanvas.com,tcp,downlink,1520
0.108649,media.adcanvas.com,tcp,downlink,1520
0.111156,media.adcanvas.com,tcp,downlink,1520
0.113664,media.adcanvas.com,tcp,downlink,1520
0.116172,media.adcanvas.com,tcp,downlink,1520
0.118680,media.adcanvas.com,tcp,downlink,1520
0.121188,media.adcanvas.com,tcp,downlink,1520
0.123696,media.adcanvas.com,tcp,downlink,1520
0.126204,media.adcanvas.com,tcp,downlink,1520
0.128712,media.adcanvas.com,tcp,downlink,1520
0.131219,media.adcanvas.com,tcp,downlink,1520
0.133727,media.adcanvas.com,tcp,downlink,1520
0.136235,media.adcanvas.com,tcp,downlink,1520
0.138743,media.adcanvas.com,tcp,downlink,1520
0.141251,media.adcanvas.com,tcp,downlink,1520
0.143759,media.adcanvas.com,tcp,downlink,1520
0.146267,media.adcanvas.com,tcp,downlink,1520
0.148775,media.adcanvas.com,tcp,downlink,1520
0.151283,media.adcanvas.com,tcp,downlink,1520
0.153790,media.adcanvas.com,tcp,downlink,1520
0.156298,media.adcanvas.com,tcp,downlink,1520
0.158806,media.adcanvas.com,tcp,downlink,1520
0.161314,media.adcanvas.com,tcp,downlink,1520
0.163822,media.adcanvas.com,tcp,downlink,1520
0.166330,media.adcanvas.com,tcp,downlink,1520
0.168838,media.adcanvas.com,tcp,downlink,1520
0.171346,media.adcanvas.com,tcp,downlink,1520
0.173853,media.adcanvas.com,tcp,downlink,1520
0.176361,media.adcanvas.com,tcp,downlink,1520
0.178869,media.adcanvas.com,tcp,downlink,1520
0.181377,media.adcanvas.com,tcp,downlink,186
0.188515,media.adcanvas.com,tcp,uplink,131
0.195153,media.adcanvas.com,tcp,uplink,132
0.195325,media.adcanvas.com,tcp,uplink,142
0.196280,media.adcanvas.com,tcp,uplink,112
0.196991,media.adcanvas.com,tcp,uplink,127
0.238897,media.adcanvas.com,tcp,downlink,1520
0.259921,media.adcanvas.com,tcp,downlink,1520
0.261188,media.adcanvas.com,tcp,downlink,1520
0.262377,media.adcanvas.com,tcp,downlink,1520
0.263155,media.adcanvas.com,tcp,downlink,1520
0.265122,media.adcanvas.com,tcp,downlink,1520
0.267089,media.adcanvas.com,tcp,downlink,1520
0.267726,media.adcanvas.com,tcp,downlink,1520
0.269056,media.adcanvas.com,tcp,downlink,1520
0.271024,media.adcanvas.com,tcp,downlink,1520
0.272991,media.adcanvas.com,tcp,downlink,1520
0.273074,media.adcanvas.com,tcp,downlink,1520
0.274958,media.adcanvas.com,tcp,downlink,1520
0.276925,media.adcanvas.com,tcp,downlink,1520
0.278423,media.adcanvas.com,tcp,downlink,1520
0.278892,media.adcanvas.com,tcp,downlink,1520
0.280859,media.adcanvas.com,tcp,downlink,1520
0.280945,media.adcanvas.com,tcp,downlink,1302
0.282826,media.adcanvas.com,tcp,downlink,1520
0.283771,media.adcanvas.com,tcp,downlink,1520
0.284793,media.adcanvas.com,tcp,downlink,1520
0.286760,media.adcanvas.com,tcp,downlink,1520
0.288728,media.adcanvas.com,tcp,downlink,1520
