time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.062809,media.adcanvas.com,tcp,downlink,1520
0.064755,media.adcanvas.com,tcp,downlink,1520
0.066700,media.adcanvas.com,tcp,downlink,1520
0.068646,media.adcanvas.com,tcp,downlink,1520
0.070591,media.adcanvas.com,tcp,downlink,1520
0.072537,media.adcanvas.com,tcp,downlink,1520
0.074482,media.adcanvas.com,tcp,downlink,1520
0.076428,media.adcanvas.com,tcp,downlink,1520
0.078374,media.adcanvas.com,tcp,downlink,1520
0.080319,media.adcanvas.com,tcp,downlink,1520
0.082265,media.adcanvas.com,tcp,downlink,1520
0.084210,media.adcanvas.com,tcp,downlink,1520
0.086156,media.adcanvas.com,tcp,downlink,1520
0.088101,media.adcanvas.com,tcp,downlink,1520
0.090047,media.adcanvas.com,tcp,downlink,1520
0.091993,media.adcanvas.com,tcp,downlink,1520
0.093938,media.adcanvas.com,tcp,downlink,1520
0.095884,media.adcanvas.com,tcp,downlink,1520
0.097829,media.adcanvas.com,tcp,downlink,1520
0.099775,media.adcanvas.com,tcp,downlink,1520
0.101720,media.adcanvas.com,tcp,downlink,1520
0.103666,media.adcanvas.com,tcp,downlink,1520
0.105612,media.adcanvas.com,tcp,downlink,1520
0.107557,media.adcanvas.com,tcp,downlink,1520
0.109503,media.adcanvas.com,tcp,downlink,1520
0.111448,media.adcanvas.com,tcp,downlink,1520
0.113394,media.adcanvas.com,tcp,downlink,1520
0.115339,media.adcanvas.com,tcp,downlink,1520
0.117285,media.adcanvas.com,tcp,downlink,1520
0.119231,media.adcanvas.com,tcp,downlink,1520
0.121176,media.adcanvas.com,tcp,downlink,1520
0.123122,media.adcanvas.com,tcp,downlink,1520
0.125067,media.adcanvas.com,tcp,downlink,1520
0.127013,media.adcanvas.com,tcp,downlink,1520
0.128958,media.adcanvas.com,tcp,downlink,1520
0.130904,media.adcanvas.com,tcp,downlink,1520
0.132850,media.adcanvas.com,tcp,downlink,1520
0.134795,media.adcanvas.com,tcp,downlink,1520
0.136741,media.adcanvas.com,tcp,downlink,1520
0.138686,media.adcanvas.com,tcp,downlink,1520
0.140632,media.adcanvas.com,tcp,downlink,1520
0.142577,media.adcanvas.com,tcp,downlink,628
0.150053,media.adcanvas.com,tcp,uplink,131
0.156785,media.adcanvas.com,tcp,uplink,132
0.156991,media.adcanvas.com,tcp,uplink,142
0.157989,media.adcanvas.com,tcp,uplink,112
0.158822,media.adcanvas.com,tcp,uplink,127
0.228790,media.adcanvas.com,tcp,downlink,1520
0.233771,media.adcanvas.com,tcp,downlink,1520
0.236482,media.adcanvas.com,tcp,downlink,1520
0.238073,media.adcanvas.com,tcp,downlink,1520
0.240353,media.adcanvas.com,tcp,downlink,1520
0.242633,media.adcanvas.com,tcp,downlink,1520
0.244912,media.adcanvas.com,tcp,downlink,1520
0.246262,media.adcanvas.com,tcp,downlink,1520
0.247192,media.adcanvas.com,tcp,downlink,1520
0.248342,media.adcanvas.com,tcp,downlink,1520
0.249472,media.adcanvas.com,tcp,downlink,1520
0.251752,media.adcanvas.com,tcp,downlink,1520
0.254032,media.adcanvas.com,tcp,downlink,1520
0.256312,media.adcanvas.com,tcp,downlink,1520
0.258591,media.adcanvas.com,tcp,downlink,1520
0.258752,media.adcanvas.com,tcp,downlink,1520
0.260201,media.adcanvas.com,tcp,downlink,1520
0.260871,media.adcanvas.com,tcp,downlink,1520
0.263151,media.adcanvas.com,tcp,downlink,1520
0.263992,media.adcanvas.com,tcp,downlink,1520
0.265431,media.adcanvas.com,tcp,downlink,1520
0.267711,media.adcanvas.com,tcp,downlink,1520
0.269990,media.adcanvas.com,tcp,downlink,1520
0.271242,media.adcanvas.com,tcp,downlink,1520
0.272061,media.adcanvas.com,tcp,downlink,1520
0.272270,media.adcanvas.com,tcp,downlink,1520
0.274550,media.adcanvas.com,tcp,downlink,1520
0.276830,media.adcanvas.com,tcp,downlink,1520
0.279110,media.adcanvas.com,tcp,downlink,1520
0.281389,media.adcanvas.com,tcp,downlink,1520
0.283669,media.adcanvas.com,tcp,downlink,1520
0.283733,media.adcanvas.com,tcp,downlink,1520
0.283921,media.adcanvas.com,tcp,downlink,1520
0.285949,media.adcanvas.com,tcp,downlink,1520
0.288229,media.adcanvas.com,tcp,downlink,1520
0.290509,media.adcanvas.com,tcp,downlink,1520
0.292789,media.adcanvas.com,tcp,downlink,1520
0.295068,media.adcanvas.com,tcp,downlink,1520
0.295780,media.adcanvas.com,tcp,downlink,1520
0.296224,media.adcanvas.com,tcp,downlink,1520
0.297348,media.adcanvas.com,tcp,downlink,1520
0.299194,media.adcanvas.com,tcp,downlink,1300
0.299628,media.adcanvas.com,tcp,downlink,1520
0.301908,media.adcanvas.com,tcp,downlink,1520
0.304188,media.adcanvas.com,tcp,downlink,1520
0.306467,media.adcanvas.com,tcp,downlink,1520
0.307640,media.adcanvas.com,tcp,downlink,1520
0.308714,media.adcanvas.com,tcp,downlink,1520
0.308747,media.adcanvas.com,tcp,downlink,1520
0.311027,media.adcanvas.com,tcp,downlink,1520
0.313307,media.adcanvas.com,tcp,downlink,1520
0.315587,media.adcanvas.com,tcp,downlink,1520
0.317866,media.adcanvas.com,tcp,downlink,1520
0.319500,media.adcanvas.com,tcp,downlink,1520
0.320146,media.adcanvas.com,tcp,downlink,1520
0.321205,media.adcanvas.com,tcp,downlink,826
0.322426,media.adcanvas.com,tcp,downlink,1520
0.324706,media.adcanvas.com,tcp,downlink,1520
0.326986,media.adcanvas.com,tcp,downlink,1520
0.329265,media.adcanvas.com,tcp,downlink,1520
0.331359,media.adcanvas.com,tcp,downlink,1219
0.331545,media.adcanvas.com,tcp,downlink,1520
0.333825,media.adcanvas.com,tcp,downlink,1520
0.336105,media.adcanvas.com,tcp,downlink,1520
0.338385,media.adcanvas.com,tcp,downlink,1520
0.339664,analytics.adcanvas.com,tcp,uplink,503
0.340665,media.adcanvas.com,tcp,downlink,1520
0.342944,media.adcanvas.com,tcp,downlink,1520
0.345224,media.adcanvas.com,tcp,downlink,1383
0.347452,analytics.adcanvas.com,tcp,uplink,590
0.377550,analytics.adcanvas.com,tcp,uplink,582
0.377720,analytics.adcanvas.com,tcp,uplink,591
