time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.157829,media.adcanvas.com,tcp,downlink,1520
0.163168,media.adcanvas.com,tcp,downlink,1520
0.168507,media.adcanvas.com,tcp,downlink,1520
0.173846,media.adcanvas.com,tcp,downlink,1520
0.179185,media.adcanvas.com,tcp,downlink,1520
0.184525,media.adcanvas.com,tcp,downlink,1520
0.189864,media.adcanvas.com,tcp,downlink,1520
0.195203,media.adcanvas.com,tcp,downlink,1520
0.200542,media.adcanvas.com,tcp,downlink,1520
0.205881,media.adcanvas.com,tcp,downlink,1520
0.211220,media.adcanvas.com,tcp,downlink,1520
0.216559,media.adcanvas.com,tcp,downlink,1520
0.221898,media.adcanvas.com,tcp,downlink,1520
0.227238,media.adcanvas.com,tcp,downlink,1520
0.232577,media.adcanvas.com,tcp,downlink,1520
0.237916,media.adcanvas.com,tcp,downlink,1520
0.243255,media.adcanvas.com,tcp,downlink,1520
0.248594,media.adcanvas.com,tcp,downlink,1520
0.253933,media.adcanvas.com,tcp,downlink,1520
0.259272,media.adcanvas.com,tcp,downlink,1520
0.264611,media.adcanvas.com,tcp,downlink,1520
0.269950,media.adcanvas.com,tcp,downlink,1520
0.275290,media.adcanvas.com,tcp,downlink,1520
0.280629,media.adcanvas.com,tcp,downlink,1520
0.285968,media.adcanvas.com,tcp,downlink,1520
0.291307,media.adcanvas.com,tcp,downlink,1520
0.296646,media.adcanvas.com,tcp,downlink,1520
0.301985,media.adcanvas.com,tcp,downlink,1520
0.307324,media.adcanvas.com,tcp,downlink,1520
0.312663,media.adcanvas.com,tcp,downlink,1520
0.318003,media.adcanvas.com,tcp,downlink,1520
0.323342,media.adcanvas.com,tcp,downlink,1520
0.328681,media.adcanvas.com,tcp,downlink,1520
0.334020,media.adcanvas.com,tcp,downlink,1520
0.339359,media.adcanvas.com,tcp,downlink,1520
0.344698,media.adcanvas.com,tcp,downlink,1520
0.350037,media.adcanvas.com,tcp,downlink,1520
0.355376,media.adcanvas.com,tcp,downlink,1520
0.360716,media.adcanvas.com,tcp,downlink,1520
0.366055,media.adcanvas.com,tcp,downlink,1520
0.371394,media.adcanvas.com,tcp,downlink,1520
0.376733,media.adcanvas.com,tcp,downlink,266
0.389071,media.adcanvas.com,tcp,uplink,131
0.397162,media.adcanvas.com,tcp,uplink,132
0.397374,media.adcanvas.com,tcp,uplink,142
0.398489,media.adcanvas.com,tcp,uplink,112
0.399532,media.adcanvas.com,tcp,uplink,127
0.435135,media.adcanvas.com,tcp,downlink,1520
0.436325,media.adcanvas.com,tcp,downlink,1520
0.437515,media.adcanvas.com,tcp,downlink,1520
0.438705,media.adcanvas.com,tcp,downlink,1520
0.439895,media.adcanvas.com,tcp,downlink,1520
0.440250,media.adcanvas.com,tcp,downlink,1520
0.440375,media.adcanvas.com,tcp,downlink,1520
0.441085,media.adcanvas.com,tcp,downlink,1520
0.441464,media.adcanvas.com,tcp,downlink,1520
0.442275,media.adcanvas.com,tcp,downlink,1520
0.442678,media.adcanvas.com,tcp,downlink,1520
0.443465,media.adcanvas.com,tcp,downlink,1520
0.443891,media.adcanvas.com,tcp,downlink,1520
0.444655,media.adcanvas.com,tcp,downlink,1520
0.445105,media.adcanvas.com,tcp,downlink,1520
0.445845,media.adcanvas.com,tcp,downlink,1520
0.446319,media.adcanvas.com,tcp,downlink,1520
0.447035,media.adcanvas.com,tcp,downlink,1520
0.447533,media.adcanvas.com,tcp,downlink,1520
0.448225,media.adcanvas.com,tcp,downlink,1520
0.448747,media.adcanvas.com,tcp,downlink,1520
0.449415,media.adcanvas.com,tcp,downlink,1520
0.449961,media.adcanvas.com,tcp,downlink,1520
0.450605,media.adcanvas.com,tcp,downlink,1520
0.451174,media.adcanvas.com,tcp,downlink,1520
0.451795,media.adcanvas.com,tcp,downlink,1520
0.452388,media.adcanvas.com,tcp,downlink,1520
0.452985,media.adcanvas.com,tcp,downlink,1520
0.453602,media.adcanvas.com,tcp,downlink,1520
0.454175,media.adcanvas.com,tcp,downlink,1520
0.454816,media.adcanvas.com,tcp,downlink,1520
0.455365,media.adcanvas.com,tcp,downlink,1520
0.456030,media.adcanvas.com,tcp,downlink,1520
0.456555,media.adcanvas.com,tcp,downlink,1520
0.457244,media.adcanvas.com,tcp,downlink,1520
0.457745,media.adcanvas.com,tcp,downlink,1520
0.458457,media.adcanvas.com,tcp,downlink,1520
0.458936,media.adcanvas.com,tcp,downlink,1520
0.459671,media.adcanvas.com,tcp,downlink,1520
0.460126,media.adcanvas.com,tcp,downlink,1520
0.460885,media.adcanvas.com,tcp,downlink,1520
0.461316,media.adcanvas.com,tcp,downlink,1520
0.461861,media.adcanvas.com,tcp,downlink,1520
0.462099,media.adcanvas.com,tcp,downlink,1520
0.462506,media.adcanvas.com,tcp,downlink,1520
0.463313,media.adcanvas.com,tcp,downlink,1520
0.463696,media.adcanvas.com,tcp,downlink,1520
0.464527,media.adcanvas.com,tcp,downlink,1520
0.464886,media.adcanvas.com,tcp,downlink,1520
0.465740,media.adcanvas.com,tcp,downlink,1520
0.466076,media.adcanvas.com,tcp,downlink,1520
0.466954,media.adcanvas.com,tcp,downlink,1520
0.467266,media.adcanvas.com,tcp,downlink,1520
0.468168,media.adcanvas.com,tcp,downlink,1520
0.468456,media.adcanvas.com,tcp,downlink,1520
0.469382,media.adcanvas.com,tcp,downlink,1520
0.469646,media.adcanvas.com,tcp,downlink,1520
0.470596,media.adcanvas.com,tcp,downlink,1520
0.470836,media.adcanvas.com,tcp,downlink,1520
0.471810,media.adcanvas.com,tcp,downlink,1520
0.472026,media.adcanvas.com,tcp,downlink,1520
0.473023,media.adcanvas.com,tcp,downlink,1520
0.473216,media.adcanvas.com,tcp,downlink,1520
0.473992,media.adcanvas.com,tcp,downlink,1520
0.474237,media.adcanvas.com,tcp,downlink,1520
0.474311,media.adcanvas.com,tcp,downlink,1520
0.474406,media.adcanvas.com,tcp,downlink,1520
0.474630,media.adcanvas.com,tcp,downlink,1520
0.474949,media.adcanvas.com,tcp,downlink,1520
0.475268,media.adcanvas.com,tcp,downlink,1520
0.475451,media.adcanvas.com,tcp,downlink,1520
0.475587,media.adcanvas.com,tcp,downlink,1520
0.475596,media.adcanvas.com,tcp,downlink,1520
0.475907,media.adcanvas.com,tcp,downlink,1520
0.476226,media.adcanvas.com,tcp,downlink,1520
0.476545,media.adcanvas.com,tcp,downlink,1520
0.476665,media.adcanvas.com,tcp,downlink,1520
