time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.083508,media.adcanvas.com,tcp,downlink,1520
0.086193,media.adcanvas.com,tcp,downlink,1520
0.088878,media.adcanvas.com,tcp,downlink,1520
0.091562,media.adcanvas.com,tcp,downlink,1520
0.094247,media.adcanvas.com,tcp,downlink,1520
0.096932,media.adcanvas.com,tcp,downlink,1520
0.099617,media.adcanvas.com,tcp,downlink,1520
0.102302,media.adcanvas.com,tcp,downlink,1520
0.104986,media.adcanvas.com,tcp,downlink,1520
0.107671,media.adcanvas.com,tcp,downlink,1520
0.110356,media.adcanvas.com,tcp,downlink,1520
0.113041,media.adcanvas.com,tcp,downlink,1520
0.115726,media.adcanvas.com,tcp,downlink,1520
0.118411,media.adcanvas.com,tcp,downlink,1520
0.121095,media.adcanvas.com,tcp,downlink,1520
0.123780,media.adcanvas.com,tcp,downlink,1520
0.126465,media.adcanvas.com,tcp,downlink,1520
0.129150,media.adcanvas.com,tcp,downlink,1520
0.131835,media.adcanvas.com,tcp,downlink,1520
0.134519,media.adcanvas.com,tcp,downlink,1520
0.137204,media.adcanvas.com,tcp,downlink,1520
0.139889,media.adcanvas.com,tcp,downlink,1520
0.142574,media.adcanvas.com,tcp,downlink,1520
0.145259,media.adcanvas.com,tcp,downlink,1520
0.147943,media.adcanvas.com,tcp,downlink,1520
0.150628,media.adcanvas.com,tcp,downlink,1520
0.153313,media.adcanvas.com,tcp,downlink,1520
0.155998,media.adcanvas.com,tcp,downlink,1520
0.158683,media.adcanvas.com,tcp,downlink,1520
0.161367,media.adcanvas.com,tcp,downlink,1520
0.164052,media.adcanvas.com,tcp,downlink,1520
0.166737,media.adcanvas.com,tcp,downlink,1520
0.169422,media.adcanvas.com,tcp,downlink,1520
0.172107,media.adcanvas.com,tcp,downlink,1520
0.174792,media.adcanvas.com,tcp,downlink,1520
0.177476,media.adcanvas.com,tcp,downlink,1520
0.180161,media.adcanvas.com,tcp,downlink,1520
0.182846,media.adcanvas.com,tcp,downlink,1520
0.185531,media.adcanvas.com,tcp,downlink,1520
0.188216,media.adcanvas.com,tcp,downlink,1520
0.190900,media.adcanvas.com,tcp,downlink,1520
0.193585,media.adcanvas.com,tcp,downlink,711
0.202399,media.adcanvas.com,tcp,uplink,131
0.209923,media.adcanvas.com,tcp,uplink,132
0.210125,media.adcanvas.com,tcp,uplink,142
0.210394,media.adcanvas.com,tcp,uplink,112
0.211423,media.adcanvas.com,tcp,uplink,127
0.211468,ad.doubleclick.net,tcp,uplink,377
0.235683,media.adcanvas.com,tcp,downlink,1520
0.243908,media.adcanvas.com,tcp,downlink,1520
0.247878,media.adcanvas.com,tcp,downlink,1520
0.249243,media.adcanvas.com,tcp,downlink,1520
0.251849,media.adcanvas.com,tcp,downlink,1520
0.252707,media.adcanvas.com,tcp,downlink,1520
0.254083,media.adcanvas.com,tcp,downlink,1520
0.255459,media.adcanvas.com,tcp,downlink,1520
0.255819,media.adcanvas.com,tcp,downlink,1520
0.256835,media.adcanvas.com,tcp,downlink,1520
0.258211,media.adcanvas.com,tcp,downlink,1520
0.259587,media.adcanvas.com,tcp,downlink,1520
0.259790,media.adcanvas.com,tcp,downlink,1520
0.260963,media.adcanvas.com,tcp,downlink,1520
0.262340,media.adcanvas.com,tcp,downlink,1520
0.262804,media.adcanvas.com,tcp,downlink,1283
0.263716,media.adcanvas.com,tcp,downlink,1520
0.263760,media.adcanvas.com,tcp,downlink,1520
0.264081,ad.doubleclick.net,tcp,downlink,127
0.265092,media.adcanvas.com,tcp,downlink,1520
0.266468,media.adcanvas.com,tcp,downlink,1520
0.267730,media.adcanvas.com,tcp,downlink,1520
0.267844,media.adcanvas.com,tcp,downlink,1520
0.269220,media.adcanvas.com,tcp,downlink,1520
0.270596,media.adcanvas.com,tcp,downlink,1520
0.271701,media.adcanvas.com,tcp,downlink,1520
0.271972,media.adcanvas.com,tcp,downlink,1520
0.273348,media.adcanvas.com,tcp,downlink,1520
0.274724,media.adcanvas.com,tcp,downlink,1520
0.275671,media.adcanvas.com,tcp,downlink,1520
0.276100,media.adcanvas.com,tcp,downlink,1520
0.277476,media.adcanvas.com,tcp,downlink,1520
0.278853,media.adcanvas.com,tcp,downlink,1520
0.279642,media.adcanvas.com,tcp,downlink,271
0.280229,media.adcanvas.com,tcp,downlink,1520
0.280262,analytics.adcanvas.com,tcp,uplink,498
0.281605,media.adcanvas.com,tcp,downlink,1520
0.282266,analytics.adcanvas.com,tcp,uplink,584
0.282981,media.adcanvas.com,tcp,downlink,1520
0.284357,media.adcanvas.com,tcp,downlink,1520
0.285733,media.adcanvas.com,tcp,downlink,1520
0.287109,media.adcanvas.com,tcp,downlink,1520
0.288485,media.adcanvas.com,tcp,downlink,1520
0.289861,media.adcanvas.com,tcp,downlink,1520
0.291237,media.adcanvas.com,tcp,downlink,1520
0.292613,media.adcanvas.com,tcp,downlink,1520
0.293989,media.adcanvas.com,tcp,downlink,1520
0.295365,media.adcanvas.com,tcp,downlink,1520
0.296742,media.adcanvas.com,tcp,downlink,1520
0.298118,media.adcanvas.com,tcp,downlink,1520
0.298930,media.adcanvas.com,tcp,downlink,1520
0.299494,media.adcanvas.com,tcp,downlink,1520
0.299657,media.adcanvas.com,tcp,downlink,1520
0.300384,media.adcanvas.com,tcp,downlink,1520
0.300870,media.adcanvas.com,tcp,downlink,1520
0.301111,media.adcanvas.com,tcp,downlink,1520
0.301839,media.adcanvas.com,tcp,downlink,1520
0.302246,media.adcanvas.com,tcp,downlink,1520
0.302566,media.adcanvas.com,tcp,downlink,1520
0.303293,media.adcanvas.com,tcp,downlink,1520
0.303622,media.adcanvas.com,tcp,downlink,1363
0.304020,media.adcanvas.com,tcp,downlink,1520
0.304747,media.adcanvas.com,tcp,downlink,1520
0.305474,media.adcanvas.com,tcp,downlink,1520
0.306202,media.adcanvas.com,tcp,downlink,1520
0.306929,media.adcanvas.com,tcp,downlink,1520
0.307656,media.adcanvas.com,tcp,downlink,1520
0.308383,media.adcanvas.com,tcp,downlink,1520
0.309110,media.adcanvas.com,tcp,downlink,1520
0.309592,analytics.adcanvas.com,tcp,downlink,305
0.309837,media.adcanvas.com,tcp,downlink,1520
0.310565,media.adcanvas.com,tcp,downlink,1520
0.310672,analytics.adcanvas.com,tcp,downlink,305
0.311292,media.adcanvas.com,tcp,downlink,1520
0.312019,media.adcanvas.com,tcp,downlink,1520
0.312746,media.adcanvas.com,tcp,downlink,1520
0.313473,media.adcanvas.com,tcp,downlink,1520
0.314200,media.adcanvas.com,tcp,downlink,1520
0.314927,media.adcanvas.com,tcp,downlink,1520
0.315655,media.adcanvas.com,tcp,downlink,1520
0.316382,media.adcanvas.com,tcp,downlink,1520
0.317109,media.adcanvas.com,tcp,downlink,1520
0.317836,media.adcanvas.com,tcp,downlink,1520
0.318563,media.adcanvas.com,tcp,downlink,1520
0.319290,media.adcanvas.com,tcp,downlink,1520
0.320018,media.adcanvas.com,tcp,downlink,1520
0.320745,media.adcanvas.com,tcp,downlink,1520
0.321472,media.adcanvas.com,tcp,downlink,1520
0.322199,media.adcanvas.com,tcp,downlink,1520
0.322926,media.adcanvas.com,tcp,downlink,1520
0.323653,media.adcanvas.com,tcp,downlink,1520
0.324380,media.adcanvas.com,tcp,downlink,1520
0.325108,media.adcanvas.com,tcp,downlink,1520
0.325835,media.adcanvas.com,tcp,downlink,1520
0.326562,media.adcanvas.com,tcp,downlink,1520
0.327289,media.adcanvas.com,tcp,downlink,1520
0.328016,media.adcanvas.com,tcp,downlink,1520
0.328743,media.adcanvas.com,tcp,downlink,1520
0.329471,media.adcanvas.com,tcp,downlink,1520
0.330198,media.adcanvas.com,tcp,downlink,1520
0.330925,media.adcanvas.com,tcp,downlink,1520
0.331652,media.adcanvas.com,tcp,downlink,1520
0.332379,media.adcanvas.com,tcp,downlink,1520
