time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.070371,media.adcanvas.com,tcp,downlink,1520
0.072641,media.adcanvas.com,tcp,downlink,1520
0.074910,media.adcanvas.com,tcp,downlink,1520
0.077180,media.adcanvas.com,tcp,downlink,1520
0.079450,media.adcanvas.com,tcp,downlink,1520
0.081719,media.adcanvas.com,tcp,downlink,1520
0.083989,media.adcanvas.com,tcp,downlink,1520
0.086259,media.adcanvas.com,tcp,downlink,1520
0.088528,media.adcanvas.com,tcp,downlink,1520
0.090798,media.adcanvas.com,tcp,downlink,1520
0.093068,media.adcanvas.com,tcp,downlink,1520
0.095337,media.adcanvas.com,tcp,downlink,1520
0.097607,media.adcanvas.com,tcp,downlink,1520
0.099877,media.adcanvas.com,tcp,downlink,1520
0.102146,media.adcanvas.com,tcp,downlink,1520
0.104416,media.adcanvas.com,tcp,downlink,1520
0.106686,media.adcanvas.com,tcp,downlink,1520
0.108955,media.adcanvas.com,tcp,downlink,1520
0.111225,media.adcanvas.com,tcp,downlink,1520
0.113495,media.adcanvas.com,tcp,downlink,1520
0.115764,media.adcanvas.com,tcp,downlink,1520
0.118034,media.adcanvas.com,tcp,downlink,1520
0.120303,media.adcanvas.com,tcp,downlink,1520
0.122573,media.adcanvas.com,tcp,downlink,1520
0.124843,media.adcanvas.com,tcp,downlink,1520
0.127112,media.adcanvas.com,tcp,downlink,1520
0.129382,media.adcanvas.com,tcp,downlink,1520
0.131652,media.adcanvas.com,tcp,downlink,1520
0.133921,media.adcanvas.com,tcp,downlink,1520
0.136191,media.adcanvas.com,tcp,downlink,1520
0.138461,media.adcanvas.com,tcp,downlink,1520
0.140730,media.adcanvas.com,tcp,downlink,1520
0.143000,media.adcanvas.com,tcp,downlink,1520
0.145270,media.adcanvas.com,tcp,downlink,1520
0.147539,media.adcanvas.com,tcp,downlink,1520
0.149809,media.adcanvas.com,tcp,downlink,1520
0.152079,media.adcanvas.com,tcp,downlink,1520
0.154348,media.adcanvas.com,tcp,downlink,1520
0.156618,media.adcanvas.com,tcp,downlink,1520
0.158888,media.adcanvas.com,tcp,downlink,1520
0.161157,media.adcanvas.com,tcp,downlink,1261
0.168031,media.adcanvas.com,tcp,uplink,131
0.174623,media.adcanvas.com,tcp,uplink,132
0.174728,media.adcanvas.com,tcp,uplink,112
0.174799,media.adcanvas.com,tcp,uplink,142
0.176017,media.adcanvas.com,tcp,uplink,127
0.176057,ad.doubleclick.net,tcp,uplink,379
0.195833,media.adcanvas.com,tcp,downlink,1520
0.207160,media.adcanvas.com,tcp,downlink,1520
0.209511,media.adcanvas.com,tcp,downlink,1520
0.210438,media.adcanvas.com,tcp,downlink,1520
0.211365,media.adcanvas.com,tcp,downlink,1520
0.212292,media.adcanvas.com,tcp,downlink,1520
0.212641,media.adcanvas.com,tcp,downlink,1520
0.213219,media.adcanvas.com,tcp,downlink,1520
0.214146,media.adcanvas.com,tcp,downlink,1520
0.214954,media.adcanvas.com,tcp,downlink,1520
0.215073,media.adcanvas.com,tcp,downlink,1520
0.216000,media.adcanvas.com,tcp,downlink,1520
0.216927,media.adcanvas.com,tcp,downlink,1520
0.217266,media.adcanvas.com,tcp,downlink,1520
0.217854,media.adcanvas.com,tcp,downlink,1520
0.218408,media.adcanvas.com,tcp,downlink,1520
0.218486,media.adcanvas.com,tcp,downlink,1284
0.218781,media.adcanvas.com,tcp,downlink,1520
0.219579,media.adcanvas.com,tcp,downlink,1520
0.219708,media.adcanvas.com,tcp,downlink,1520
0.220635,media.adcanvas.com,tcp,downlink,1520
0.221562,media.adcanvas.com,tcp,downlink,1520
0.221891,media.adcanvas.com,tcp,downlink,1520
0.222489,media.adcanvas.com,tcp,downlink,1520
