time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.077427,media.adcanvas.com,tcp,downlink,1520
0.079895,media.adcanvas.com,tcp,downlink,1520
0.082362,media.adcanvas.com,tcp,downlink,1520
0.084830,media.adcanvas.com,tcp,downlink,1520
0.087298,media.adcanvas.com,tcp,downlink,1520
0.089765,media.adcanvas.com,tcp,downlink,1520
0.092233,media.adcanvas.com,tcp,downlink,1520
0.094701,media.adcanvas.com,tcp,downlink,1520
0.097168,media.adcanvas.com,tcp,downlink,1520
0.099636,media.adcanvas.com,tcp,downlink,1520
0.102103,media.adcanvas.com,tcp,downlink,1520
0.104571,media.adcanvas.com,tcp,downlink,1520
0.107039,media.adcanvas.com,tcp,downlink,1520
0.109506,media.adcanvas.com,tcp,downlink,1520
0.111974,media.adcanvas.com,tcp,downlink,1520
0.114442,media.adcanvas.com,tcp,downlink,1520
0.116909,media.adcanvas.com,tcp,downlink,1520
0.119377,media.adcanvas.com,tcp,downlink,1520
0.121845,media.adcanvas.com,tcp,downlink,1520
0.124312,media.adcanvas.com,tcp,downlink,1520
0.126780,media.adcanvas.com,tcp,downlink,1520
0.129248,media.adcanvas.com,tcp,downlink,1520
0.131715,media.adcanvas.com,tcp,downlink,1520
0.134183,media.adcanvas.com,tcp,downlink,1520
0.136650,media.adcanvas.com,tcp,downlink,1520
0.139118,media.adcanvas.com,tcp,downlink,1520
0.141586,media.adcanvas.com,tcp,downlink,1520
0.144053,media.adcanvas.com,tcp,downlink,1520
0.146521,media.adcanvas.com,tcp,downlink,1520
0.148989,media.adcanvas.com,tcp,downlink,1520
0.151456,media.adcanvas.com,tcp,downlink,1520
0.153924,media.adcanvas.com,tcp,downlink,1520
0.156392,media.adcanvas.com,tcp,downlink,1520
0.158859,media.adcanvas.com,tcp,downlink,1520
0.161327,media.adcanvas.com,tcp,downlink,1520
0.163795,media.adcanvas.com,tcp,downlink,1520
0.166262,media.adcanvas.com,tcp,downlink,1520
0.168730,media.adcanvas.com,tcp,downlink,1520
0.171197,media.adcanvas.com,tcp,downlink,1520
0.173665,media.adcanvas.com,tcp,downlink,1520
0.176133,media.adcanvas.com,tcp,downlink,1520
0.178600,media.adcanvas.com,tcp,downlink,62
0.188609,media.adcanvas.com,tcp,uplink,131
0.195444,media.adcanvas.com,tcp,uplink,132
0.195872,media.adcanvas.com,tcp,uplink,112
0.196471,media.adcanvas.com,tcp,uplink,142
0.196571,media.adcanvas.com,tcp,uplink,142
0.201488,media.adcanvas.com,tcp,uplink,127
0.224931,media.adcanvas.com,tcp,downlink,1520
0.238419,media.adcanvas.com,tcp,downlink,1520
0.239729,media.adcanvas.com,tcp,downlink,1520
0.242555,media.adcanvas.com,tcp,downlink,1520
0.247119,media.adcanvas.com,tcp,downlink,1520
0.247447,media.adcanvas.com,tcp,downlink,1520
0.247703,media.adcanvas.com,tcp,downlink,1520
0.248744,media.adcanvas.com,tcp,downlink,1520
0.250370,media.adcanvas.com,tcp,downlink,1520
0.251995,media.adcanvas.com,tcp,downlink,1520
0.252851,media.adcanvas.com,tcp,downlink,1520
0.253620,media.adcanvas.com,tcp,downlink,1520
0.254526,media.adcanvas.com,tcp,downlink,1162
0.255246,media.adcanvas.com,tcp,downlink,1520
0.256474,media.adcanvas.com,tcp,downlink,1520
0.256871,media.adcanvas.com,tcp,downlink,1520
0.257998,media.adcanvas.com,tcp,downlink,1520
0.258496,media.adcanvas.com,tcp,downlink,1520
0.260121,media.adcanvas.com,tcp,downlink,1520
0.260553,media.adcanvas.com,tcp,downlink,1520
0.260890,media.adcanvas.com,tcp,downlink,1520
0.261226,media.adcanvas.com,tcp,downlink,1520
0.261563,media.adcanvas.com,tcp,downlink,1520
0.261747,media.adcanvas.com,tcp,downlink,1520
0.261899,media.adcanvas.com,tcp,downlink,1520
0.262236,media.adcanvas.com,tcp,downlink,1520
0.262572,media.adcanvas.com,tcp,downlink,1520
0.262909,media.adcanvas.com,tcp,downlink,1520
0.263146,media.adcanvas.com,tcp,downlink,1520
0.263246,media.adcanvas.com,tcp,downlink,1520
0.263372,media.adcanvas.com,tcp,downlink,1520
0.263582,media.adcanvas.com,tcp,downlink,1520
0.263919,media.adcanvas.com,tcp,downlink,1520
0.264255,media.adcanvas.com,tcp,downlink,1520
0.264592,media.adcanvas.com,tcp,downlink,1520
0.264929,media.adcanvas.com,tcp,downlink,1520
0.264997,media.adcanvas.com,tcp,downlink,1520
0.265265,media.adcanvas.com,tcp,downlink,1520
0.265502,media.adcanvas.com,tcp,downlink,1520
0.265602,media.adcanvas.com,tcp,downlink,1520
0.265938,media.adcanvas.com,tcp,downlink,1520
0.266275,media.adcanvas.com,tcp,downlink,1520
0.266611,media.adcanvas.com,tcp,downlink,1520
0.266623,media.adcanvas.com,tcp,downlink,1520
0.266948,media.adcanvas.com,tcp,downlink,1520
0.267285,media.adcanvas.com,tcp,downlink,1520
0.267621,media.adcanvas.com,tcp,downlink,1520
0.267958,media.adcanvas.com,tcp,downlink,1520
0.268248,media.adcanvas.com,tcp,downlink,1520
0.268294,media.adcanvas.com,tcp,downlink,1520
0.268294,media.adcanvas.com,tcp,downlink,1520
0.268631,media.adcanvas.com,tcp,downlink,1520
0.268968,media.adcanvas.com,tcp,downlink,1520
0.269304,media.adcanvas.com,tcp,downlink,1520
0.269641,media.adcanvas.com,tcp,downlink,1520
0.269873,media.adcanvas.com,tcp,downlink,1520
0.269977,media.adcanvas.com,tcp,downlink,1520
0.270314,media.adcanvas.com,tcp,downlink,1520
0.270650,media.adcanvas.com,tcp,downlink,1520
0.270987,media.adcanvas.com,tcp,downlink,1520
0.271324,media.adcanvas.com,tcp,downlink,1520
0.271498,media.adcanvas.com,tcp,downlink,1520
0.271660,media.adcanvas.com,tcp,downlink,1520
0.271997,media.adcanvas.com,tcp,downlink,1520
0.272333,media.adcanvas.com,tcp,downlink,1520
0.272670,media.adcanvas.com,tcp,downlink,1520
0.273006,media.adcanvas.com,tcp,downlink,1520
0.273124,media.adcanvas.com,tcp,downlink,1520
0.273343,media.adcanvas.com,tcp,downlink,1520
0.273442,media.adcanvas.com,tcp,downlink,1520
0.273680,media.adcanvas.com,tcp,downlink,1520
0.274016,media.adcanvas.com,tcp,downlink,1520
0.274353,media.adcanvas.com,tcp,downlink,1520
0.274529,media.adcanvas.com,tcp,downlink,461
0.274689,media.adcanvas.com,tcp,downlink,1520
0.274749,media.adcanvas.com,tcp,downlink,1520
0.275026,media.adcanvas.com,tcp,downlink,1520
0.275363,media.adcanvas.com,tcp,downlink,1520
0.275699,media.adcanvas.com,tcp,downlink,1520
0.276036,media.adcanvas.com,tcp,downlink,1520
0.276372,media.adcanvas.com,tcp,downlink,1520
0.276374,media.adcanvas.com,tcp,downlink,1520
0.276453,analytics.adcanvas.com,tcp,uplink,536
0.276709,media.adcanvas.com,tcp,downlink,1520
0.277045,media.adcanvas.com,tcp,downlink,1520
0.277382,media.adcanvas.com,tcp,downlink,1520
0.277719,media.adcanvas.com,tcp,downlink,1520
0.278000,media.adcanvas.com,tcp,downlink,1520
0.278055,media.adcanvas.com,tcp,downlink,1520
0.278392,media.adcanvas.com,tcp,downlink,1520
0.278590,media.adcanvas.com,tcp,downlink,1520
0.278728,media.adcanvas.com,tcp,downlink,1520
0.279065,media.adcanvas.com,tcp,downlink,1520
0.279402,media.adcanvas.com,tcp,downlink,1520
0.279625,media.adcanvas.com,tcp,downlink,1520
0.279738,media.adcanvas.com,tcp,downlink,1520
0.280075,media.adcanvas.com,tcp,downlink,1520
0.280411,media.adcanvas.com,tcp,downlink,1520
0.280748,media.adcanvas.com,tcp,downlink,1520
0.281084,media.adcanvas.com,tcp,downlink,1520
0.281159,analytics.adcanvas.com,tcp,uplink,623
0.281250,media.adcanvas.com,tcp,downlink,1520
0.281421,media.adcanvas.com,tcp,downlink,1520
0.281758,media.adcanvas.com,tcp,downlink,1520
0.282094,media.adcanvas.com,tcp,downlink,1520
0.282431,media.adcanvas.com,tcp,downlink,1520
0.282767,media.adcanvas.com,tcp,downlink,1520
0.282876,media.adcanvas.com,tcp,downlink,1520
0.283104,media.adcanvas.com,tcp,downlink,1520
0.283440,media.adcanvas.com,tcp,downlink,1520
0.283738,media.adcanvas.com,tcp,downlink,1520
0.283777,media.adcanvas.com,tcp,downlink,1520
0.284114,media.adcanvas.com,tcp,downlink,1520
0.284450,media.adcanvas.com,tcp,downlink,1520
