time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.060777,media.adcanvas.com,tcp,downlink,1520
0.062696,media.adcanvas.com,tcp,downlink,1520
0.064614,media.adcanvas.com,tcp,downlink,1520
0.066533,media.adcanvas.com,tcp,downlink,1520
0.068452,media.adcanvas.com,tcp,downlink,1520
0.070370,media.adcanvas.com,tcp,downlink,1520
0.072289,media.adcanvas.com,tcp,downlink,1520
0.074208,media.adcanvas.com,tcp,downlink,1520
0.076126,media.adcanvas.com,tcp,downlink,1520
0.078045,media.adcanvas.com,tcp,downlink,1520
0.079964,media.adcanvas.com,tcp,downlink,1520
0.081883,media.adcanvas.com,tcp,downlink,1520
0.083801,media.adcanvas.com,tcp,downlink,1520
0.085720,media.adcanvas.com,tcp,downlink,1520
0.087639,media.adcanvas.com,tcp,downlink,1520
0.089557,media.adcanvas.com,tcp,downlink,1520
0.091476,media.adcanvas.com,tcp,downlink,1520
0.093395,media.adcanvas.com,tcp,downlink,1520
0.095313,media.adcanvas.com,tcp,downlink,1520
0.097232,media.adcanvas.com,tcp,downlink,1520
0.099151,media.adcanvas.com,tcp,downlink,1520
0.101069,media.adcanvas.com,tcp,downlink,1520
0.102988,media.adcanvas.com,tcp,downlink,1520
0.104907,media.adcanvas.com,tcp,downlink,1520
0.106825,media.adcanvas.com,tcp,downlink,1520
0.108744,media.adcanvas.com,tcp,downlink,1520
0.110663,media.adcanvas.com,tcp,downlink,1520
0.112581,media.adcanvas.com,tcp,downlink,1520
0.114500,media.adcanvas.com,tcp,downlink,1520
0.116419,media.adcanvas.com,tcp,downlink,1520
0.118337,media.adcanvas.com,tcp,downlink,1520
0.120256,media.adcanvas.com,tcp,downlink,1520
0.122175,media.adcanvas.com,tcp,downlink,1520
0.124094,media.adcanvas.com,tcp,downlink,1520
0.126012,media.adcanvas.com,tcp,downlink,1520
0.127931,media.adcanvas.com,tcp,downlink,1520
0.129850,media.adcanvas.com,tcp,downlink,1520
0.131768,media.adcanvas.com,tcp,downlink,1520
0.133687,media.adcanvas.com,tcp,downlink,1520
0.135606,media.adcanvas.com,tcp,downlink,1520
0.137524,media.adcanvas.com,tcp,downlink,1506
0.144052,media.adcanvas.com,tcp,uplink,131
0.149982,media.adcanvas.com,tcp,uplink,132
0.150147,media.adcanvas.com,tcp,uplink,142
0.151268,media.adcanvas.com,tcp,uplink,112
0.151864,media.adcanvas.com,tcp,uplink,127
0.183488,media.adcanvas.com,tcp,downlink,1520
0.187920,media.adcanvas.com,tcp,downlink,1520
0.190636,media.adcanvas.com,tcp,downlink,1520
0.191218,media.adcanvas.com,tcp,downlink,1520
0.193352,media.adcanvas.com,tcp,downlink,1520
0.196067,media.adcanvas.com,tcp,downlink,1520
0.198783,media.adcanvas.com,tcp,downlink,1520
0.198948,media.adcanvas.com,tcp,downlink,1520
0.200196,media.adcanvas.com,tcp,downlink,1520
0.201047,media.adcanvas.com,tcp,downlink,1520
0.201499,media.adcanvas.com,tcp,downlink,1520
0.201592,media.adcanvas.com,tcp,downlink,1520
0.202988,media.adcanvas.com,tcp,downlink,1520
0.204215,media.adcanvas.com,tcp,downlink,1520
0.204384,media.adcanvas.com,tcp,downlink,1520
0.205780,media.adcanvas.com,tcp,downlink,1520
0.206679,media.adcanvas.com,tcp,downlink,1520
0.206930,media.adcanvas.com,tcp,downlink,1520
0.207176,media.adcanvas.com,tcp,downlink,1520
0.208572,media.adcanvas.com,tcp,downlink,1520
0.209646,media.adcanvas.com,tcp,downlink,1520
0.209968,media.adcanvas.com,tcp,downlink,1520
0.211364,media.adcanvas.com,tcp,downlink,1520
0.212362,media.adcanvas.com,tcp,downlink,1520
0.212760,media.adcanvas.com,tcp,downlink,1520
0.214156,media.adcanvas.com,tcp,downlink,1520
0.214409,media.adcanvas.com,tcp,downlink,102
0.215078,media.adcanvas.com,tcp,downlink,1520
0.215552,media.adcanvas.com,tcp,downlink,1520
0.216948,media.adcanvas.com,tcp,downlink,1520
0.217793,media.adcanvas.com,tcp,downlink,1520
0.218344,media.adcanvas.com,tcp,downlink,1520
0.219740,media.adcanvas.com,tcp,downlink,1520
0.220509,media.adcanvas.com,tcp,downlink,1520
0.221136,media.adcanvas.com,tcp,downlink,1520
0.222532,media.adcanvas.com,tcp,downlink,1520
0.223225,media.adcanvas.com,tcp,downlink,1520
0.223928,media.adcanvas.com,tcp,downlink,1520
0.225324,media.adcanvas.com,tcp,downlink,1520
0.225378,media.adcanvas.com,tcp,downlink,1520
0.225941,media.adcanvas.com,tcp,downlink,1520
0.226720,media.adcanvas.com,tcp,downlink,1520
0.228116,media.adcanvas.com,tcp,downlink,1520
0.228656,media.adcanvas.com,tcp,downlink,1520
0.229512,media.adcanvas.com,tcp,downlink,1520
0.230908,media.adcanvas.com,tcp,downlink,1520
0.231372,media.adcanvas.com,tcp,downlink,189
0.232305,media.adcanvas.com,tcp,downlink,1520
0.233701,media.adcanvas.com,tcp,downlink,1520
0.235097,media.adcanvas.com,tcp,downlink,1520
0.236493,media.adcanvas.com,tcp,downlink,1520
0.237889,media.adcanvas.com,tcp,downlink,1520
0.239285,media.adcanvas.com,tcp,downlink,1520
0.240681,media.adcanvas.com,tcp,downlink,1520
0.242077,media.adcanvas.com,tcp,downlink,1520
0.243473,media.adcanvas.com,tcp,downlink,1520
0.244869,media.adcanvas.com,tcp,downlink,1520
0.246265,media.adcanvas.com,tcp,downlink,1520
0.247661,media.adcanvas.com,tcp,downlink,1520
0.249057,media.adcanvas.com,tcp,downlink,1520
0.249709,media.adcanvas.com,tcp,downlink,1283
0.250453,media.adcanvas.com,tcp,downlink,1520
0.251849,media.adcanvas.com,tcp,downlink,1520
