time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.116398,media.adcanvas.com,tcp,downlink,1520
0.120352,media.adcanvas.com,tcp,downlink,1520
0.124305,media.adcanvas.com,tcp,downlink,1520
0.128259,media.adcanvas.com,tcp,downlink,1520
0.132212,media.adcanvas.com,tcp,downlink,1520
0.136166,media.adcanvas.com,tcp,downlink,1520
0.140119,media.adcanvas.com,tcp,downlink,1520
0.144073,media.adcanvas.com,tcp,downlink,1520
0.148026,media.adcanvas.com,tcp,downlink,1520
0.151980,media.adcanvas.com,tcp,downlink,1520
0.155934,media.adcanvas.com,tcp,downlink,1520
0.159887,media.adcanvas.com,tcp,downlink,1520
0.163841,media.adcanvas.com,tcp,downlink,1520
0.167794,media.adcanvas.com,tcp,downlink,1520
0.171748,media.adcanvas.com,tcp,downlink,1520
0.175701,media.adcanvas.com,tcp,downlink,1520
0.179655,media.adcanvas.com,tcp,downlink,1520
0.183609,media.adcanvas.com,tcp,downlink,1520
0.187562,media.adcanvas.com,tcp,downlink,1520
0.191516,media.adcanvas.com,tcp,downlink,1520
0.195469,media.adcanvas.com,tcp,downlink,1520
0.199423,media.adcanvas.com,tcp,downlink,1520
0.203376,media.adcanvas.com,tcp,downlink,1520
0.207330,media.adcanvas.com,tcp,downlink,1520
0.211283,media.adcanvas.com,tcp,downlink,1520
0.215237,media.adcanvas.com,tcp,downlink,1520
0.219191,media.adcanvas.com,tcp,downlink,1520
0.223144,media.adcanvas.com,tcp,downlink,1520
0.227098,media.adcanvas.com,tcp,downlink,1520
0.231051,media.adcanvas.com,tcp,downlink,1520
0.235005,media.adcanvas.com,tcp,downlink,1520
0.238958,media.adcanvas.com,tcp,downlink,1520
0.242912,media.adcanvas.com,tcp,downlink,1520
0.246866,media.adcanvas.com,tcp,downlink,1520
0.250819,media.adcanvas.com,tcp,downlink,1520
0.254773,media.adcanvas.com,tcp,downlink,1520
0.258726,media.adcanvas.com,tcp,downlink,1520
0.262680,media.adcanvas.com,tcp,downlink,1520
0.266633,media.adcanvas.com,tcp,downlink,1520
0.270587,media.adcanvas.com,tcp,downlink,1520
0.274540,media.adcanvas.com,tcp,downlink,1399
0.284234,media.adcanvas.com,tcp,uplink,141
0.290639,media.adcanvas.com,tcp,uplink,132
0.290877,media.adcanvas.com,tcp,uplink,142
0.291816,media.adcanvas.com,tcp,uplink,112
0.324860,media.adcanvas.com,tcp,downlink,1520
0.333529,media.adcanvas.com,tcp,downlink,1520
0.334808,media.adcanvas.com,tcp,downlink,1520
0.336086,media.adcanvas.com,tcp,downlink,1520
0.337365,media.adcanvas.com,tcp,downlink,1520
0.338643,media.adcanvas.com,tcp,downlink,1520
0.339922,media.adcanvas.com,tcp,downlink,1520
0.341200,media.adcanvas.com,tcp,downlink,1520
0.341411,media.adcanvas.com,tcp,downlink,1520
0.342479,media.adcanvas.com,tcp,downlink,1520
0.343757,media.adcanvas.com,tcp,downlink,1520
0.345036,media.adcanvas.com,tcp,downlink,1520
0.346315,media.adcanvas.com,tcp,downlink,1520
0.347593,media.adcanvas.com,tcp,downlink,1520
0.348872,media.adcanvas.com,tcp,downlink,1520
0.350150,media.adcanvas.com,tcp,downlink,1520
0.351429,media.adcanvas.com,tcp,downlink,1520
0.352707,media.adcanvas.com,tcp,downlink,1520
0.353986,media.adcanvas.com,tcp,downlink,1520
0.355265,media.adcanvas.com,tcp,downlink,1520
0.356543,media.adcanvas.com,tcp,downlink,1520
0.357822,media.adcanvas.com,tcp,downlink,1520
0.357963,media.adcanvas.com,tcp,downlink,1304
0.359100,media.adcanvas.com,tcp,downlink,1520
0.360379,media.adcanvas.com,tcp,downlink,1520
0.361657,media.adcanvas.com,tcp,downlink,1520
0.362936,media.adcanvas.com,tcp,downlink,1520
0.364214,media.adcanvas.com,tcp,downlink,1520
0.365493,media.adcanvas.com,tcp,downlink,1520
0.366772,media.adcanvas.com,tcp,downlink,1520
0.368050,media.adcanvas.com,tcp,downlink,1520
0.369329,media.adcanvas.com,tcp,downlink,1520
0.370607,media.adcanvas.com,tcp,downlink,1520
0.371886,media.adcanvas.com,tcp,downlink,1520
0.373164,media.adcanvas.com,tcp,downlink,1520
0.374443,media.adcanvas.com,tcp,downlink,1520
0.375722,media.adcanvas.com,tcp,downlink,1520
0.376127,media.adcanvas.com,tcp,downlink,1520
0.377000,media.adcanvas.com,tcp,downlink,1520
0.377625,media.adcanvas.com,tcp,downlink,1520
0.378279,media.adcanvas.com,tcp,downlink,1520
0.379124,media.adcanvas.com,tcp,downlink,1520
0.379304,analytics.adcanvas.com,tcp,uplink,515
0.379557,media.adcanvas.com,tcp,downlink,1520
0.379982,analytics.adcanvas.com,tcp,uplink,602
0.380622,media.adcanvas.com,tcp,downlink,1520
0.380836,media.adcanvas.com,tcp,downlink,1520
0.382114,media.adcanvas.com,tcp,downlink,1520
0.382120,media.adcanvas.com,tcp,downlink,1520
0.383393,media.adcanvas.com,tcp,downlink,1520
0.383619,media.adcanvas.com,tcp,downlink,1520
0.384671,media.adcanvas.com,tcp,downlink,1045
0.385117,media.adcanvas.com,tcp,downlink,1520
0.386616,media.adcanvas.com,tcp,downlink,1520
0.388114,media.adcanvas.com,tcp,downlink,1520
0.389612,media.adcanvas.com,tcp,downlink,1520
0.391111,media.adcanvas.com,tcp,downlink,1520
0.392609,media.adcanvas.com,tcp,downlink,1520
0.394107,media.adcanvas.com,tcp,downlink,1520
0.395606,media.adcanvas.com,tcp,downlink,1520
0.397104,media.adcanvas.com,tcp,downlink,1520
0.398602,media.adcanvas.com,tcp,downlink,1520
0.400101,media.adcanvas.com,tcp,downlink,1520
0.401599,media.adcanvas.com,tcp,downlink,1520
0.403098,media.adcanvas.com,tcp,downlink,1520
0.404596,media.adcanvas.com,tcp,downlink,1520
0.406094,media.adcanvas.com,tcp,downlink,1520
0.407593,media.adcanvas.com,tcp,downlink,1520
0.409091,media.adcanvas.com,tcp,downlink,1520
0.410589,media.adcanvas.com,tcp,downlink,1520
0.410711,analytics.adcanvas.com,tcp,downlink,305
0.412088,media.adcanvas.com,tcp,downlink,1520
0.413586,media.adcanvas.com,tcp,downlink,1520
0.415084,media.adcanvas.com,tcp,downlink,1520
0.416583,media.adcanvas.com,tcp,downlink,1520
0.418081,media.adcanvas.com,tcp,downlink,1520
0.419580,media.adcanvas.com,tcp,downlink,1520
0.421078,media.adcanvas.com,tcp,downlink,1520
0.422576,media.adcanvas.com,tcp,downlink,1520
0.424075,media.adcanvas.com,tcp,downlink,1520
0.425206,analytics.adcanvas.com,tcp,downlink,305
0.425573,media.adcanvas.com,tcp,downlink,1520
0.427071,media.adcanvas.com,tcp,downlink,1520
0.428570,media.adcanvas.com,tcp,downlink,1520
0.430068,media.adcanvas.com,tcp,downlink,1520
0.431566,media.adcanvas.com,tcp,downlink,1520
0.433065,media.adcanvas.com,tcp,downlink,1520
0.434563,media.adcanvas.com,tcp,downlink,1520
0.436062,media.adcanvas.com,tcp,downlink,1520
0.437560,media.adcanvas.com,tcp,downlink,1520
0.439058,media.adcanvas.com,tcp,downlink,1520
0.440557,media.adcanvas.com,tcp,downlink,1520
0.442055,media.adcanvas.com,tcp,downlink,1520
0.443553,media.adcanvas.com,tcp,downlink,1520
0.445052,media.adcanvas.com,tcp,downlink,1520
0.446550,media.adcanvas.com,tcp,downlink,1520
0.448048,media.adcanvas.com,tcp,downlink,1520
0.449547,media.adcanvas.com,tcp,downlink,1520
0.451045,media.adcanvas.com,tcp,downlink,1520
0.452544,media.adcanvas.com,tcp,downlink,1520
0.454042,media.adcanvas.com,tcp,downlink,1520
0.455540,media.adcanvas.com,tcp,downlink,1520
0.457039,media.adcanvas.com,tcp,downlink,1520
0.458537,media.adcanvas.com,tcp,downlink,1520
0.460035,media.adcanvas.com,tcp,downlink,1520
0.461534,media.adcanvas.com,tcp,downlink,1520
0.463032,media.adcanvas.com,tcp,downlink,1520
0.464530,media.adcanvas.com,tcp,downlink,1520
0.466029,media.adcanvas.com,tcp,downlink,1520
0.467527,media.adcanvas.com,tcp,downlink,1520
0.469026,media.adcanvas.com,tcp,downlink,1520
0.470524,media.adcanvas.com,tcp,downlink,1520
0.472022,media.adcanvas.com,tcp,downlink,1520
0.473521,media.adcanvas.com,tcp,downlink,1520
0.475019,media.adcanvas.com,tcp,downlink,1520
0.476517,media.adcanvas.com,tcp,downlink,1520
0.478016,media.adcanvas.com,tcp,downlink,1520
0.479514,media.adcanvas.com,tcp,downlink,1520
0.481012,media.adcanvas.com,tcp,downlink,1520
0.482511,media.adcanvas.com,tcp,downlink,1520
0.484009,media.adcanvas.com,tcp,downlink,1520
0.485508,media.adcanvas.com,tcp,downlink,1520
0.487006,media.adcanvas.com,tcp,downlink,1520
0.488504,media.adcanvas.com,tcp,downlink,1520
0.490003,media.adcanvas.com,tcp,downlink,1267
0.519470,media.adcanvas.com,tcp,uplink,140
0.519521,media.adcanvas.com,tcp,uplink,139
0.519540,media.adcanvas.com,tcp,uplink,139
0.519560,media.adcanvas.com,tcp,uplink,139
0.519791,analytics.adcanvas.com,tcp,uplink,594
0.519875,analytics.adcanvas.com,tcp,uplink,604
0.519949,analytics.adcanvas.com,tcp,uplink,594
0.521844,analytics.adcanvas.com,tcp,uplink,596
0.549474,analytics.adcanvas.com,tcp,downlink,305
0.549539,media.adcanvas.com,tcp,downlink,1520
0.549541,analytics.adcanvas.com,tcp,downlink,305
0.549596,analytics.adcanvas.com,tcp,downlink,305
0.550651,analytics.adcanvas.com,tcp,downlink,305
0.559556,media.adcanvas.com,tcp,downlink,1520
0.560191,media.adcanvas.com,tcp,downlink,1520
0.560776,media.adcanvas.com,tcp,downlink,1520
0.560827,media.adcanvas.com,tcp,downlink,1520
0.561431,media.adcanvas.com,tcp,downlink,1520
0.561462,media.adcanvas.com,tcp,downlink,1520
0.562085,media.adcanvas.com,tcp,downlink,1520
0.562098,media.adcanvas.com,tcp,downlink,1520
0.562733,media.adcanvas.com,tcp,downlink,1520
0.562740,media.adcanvas.com,tcp,downlink,1520
0.563369,media.adcanvas.com,tcp,downlink,1520
0.563394,media.adcanvas.com,tcp,downlink,1520
0.564004,media.adcanvas.com,tcp,downlink,1520
0.564049,media.adcanvas.com,tcp,downlink,1520
0.564640,media.adcanvas.com,tcp,downlink,1520
0.564703,media.adcanvas.com,tcp,downlink,1520
0.565275,media.adcanvas.com,tcp,downlink,1520
0.565358,media.adcanvas.com,tcp,downlink,1520
0.565911,media.adcanvas.com,tcp,downlink,1520
0.566012,media.adcanvas.com,tcp,downlink,1520
0.566546,media.adcanvas.com,tcp,downlink,1520
0.566667,media.adcanvas.com,tcp,downlink,1520
0.567182,media.adcanvas.com,tcp,downlink,1520
0.567321,media.adcanvas.com,tcp,downlink,1520
0.567817,media.adcanvas.com,tcp,downlink,1520
0.567914,media.adcanvas.com,tcp,downlink,1444
0.567976,media.adcanvas.com,tcp,downlink,1520
0.568042,media.adcanvas.com,tcp,downlink,1520
0.568453,media.adcanvas.com,tcp,downlink,1520
0.568631,media.adcanvas.com,tcp,downlink,1520
0.568824,media.adcanvas.com,tcp,downlink,1520
0.569088,media.adcanvas.com,tcp,downlink,1520
0.569285,media.adcanvas.com,tcp,downlink,1520
0.569606,media.adcanvas.com,tcp,downlink,1520
0.569724,media.adcanvas.com,tcp,downlink,1520
0.569940,media.adcanvas.com,tcp,downlink,1520
0.570359,media.adcanvas.com,tcp,downlink,1520
0.570388,media.adcanvas.com,tcp,downlink,1520
0.570594,media.adcanvas.com,tcp,downlink,1520
0.570995,media.adcanvas.com,tcp,downlink,1520
0.571170,media.adcanvas.com,tcp,downlink,1520
0.571249,media.adcanvas.com,tcp,downlink,1520
0.571630,media.adcanvas.com,tcp,downlink,1520
0.571903,media.adcanvas.com,tcp,downlink,1520
0.571953,media.adcanvas.com,tcp,downlink,1520
0.572266,media.adcanvas.com,tcp,downlink,1520
0.572558,media.adcanvas.com,tcp,downlink,1520
0.572735,media.adcanvas.com,tcp,downlink,1520
0.572901,media.adcanvas.com,tcp,downlink,1520
0.573212,media.adcanvas.com,tcp,downlink,1520
0.573517,media.adcanvas.com,tcp,downlink,1520
0.573537,media.adcanvas.com,tcp,downlink,1520
0.573867,media.adcanvas.com,tcp,downlink,1520
0.574172,media.adcanvas.com,tcp,downlink,1520
0.574299,media.adcanvas.com,tcp,downlink,1520
0.574521,media.adcanvas.com,tcp,downlink,1520
0.574808,media.adcanvas.com,tcp,downlink,1520
0.575081,media.adcanvas.com,tcp,downlink,1520
0.575176,media.adcanvas.com,tcp,downlink,1520
0.575443,media.adcanvas.com,tcp,downlink,1520
0.575831,media.adcanvas.com,tcp,downlink,1520
0.575863,media.adcanvas.com,tcp,downlink,1520
0.576078,media.adcanvas.com,tcp,downlink,1520
0.576485,media.adcanvas.com,tcp,downlink,1520
0.576645,media.adcanvas.com,tcp,downlink,1520
0.576714,media.adcanvas.com,tcp,downlink,1520
0.577140,media.adcanvas.com,tcp,downlink,1520
0.577349,media.adcanvas.com,tcp,downlink,1520
0.577427,media.adcanvas.com,tcp,downlink,1520
0.577794,media.adcanvas.com,tcp,downlink,1520
0.577985,media.adcanvas.com,tcp,downlink,1520
0.578210,media.adcanvas.com,tcp,downlink,1520
