time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.059898,media.adcanvas.com,tcp,downlink,1520
0.061697,media.adcanvas.com,tcp,downlink,1520
0.063496,media.adcanvas.com,tcp,downlink,1520
0.065294,media.adcanvas.com,tcp,downlink,1520
0.067093,media.adcanvas.com,tcp,downlink,1520
0.068892,media.adcanvas.com,tcp,downlink,1520
0.070691,media.adcanvas.com,tcp,downlink,1520
0.072489,media.adcanvas.com,tcp,downlink,1520
0.074288,media.adcanvas.com,tcp,downlink,1520
0.076087,media.adcanvas.com,tcp,downlink,1520
0.077886,media.adcanvas.com,tcp,downlink,1520
0.079684,media.adcanvas.com,tcp,downlink,1520
0.081483,media.adcanvas.com,tcp,downlink,1520
0.083282,media.adcanvas.com,tcp,downlink,1520
0.085081,media.adcanvas.com,tcp,downlink,1520
0.086880,media.adcanvas.com,tcp,downlink,1520
0.088678,media.adcanvas.com,tcp,downlink,1520
0.090477,media.adcanvas.com,tcp,downlink,1520
0.092276,media.adcanvas.com,tcp,downlink,1520
0.094075,media.adcanvas.com,tcp,downlink,1520
0.095873,media.adcanvas.com,tcp,downlink,1520
0.097672,media.adcanvas.com,tcp,downlink,1520
0.099471,media.adcanvas.com,tcp,downlink,1520
0.101270,media.adcanvas.com,tcp,downlink,1520
0.103068,media.adcanvas.com,tcp,downlink,1520
0.104867,media.adcanvas.com,tcp,downlink,1520
0.106666,media.adcanvas.com,tcp,downlink,1520
0.108465,media.adcanvas.com,tcp,downlink,1520
0.110263,media.adcanvas.com,tcp,downlink,1520
0.112062,media.adcanvas.com,tcp,downlink,1520
0.113861,media.adcanvas.com,tcp,downlink,1520
0.115660,media.adcanvas.com,tcp,downlink,1520
0.117459,media.adcanvas.com,tcp,downlink,1520
0.119257,media.adcanvas.com,tcp,downlink,1520
0.121056,media.adcanvas.com,tcp,downlink,1520
0.122855,media.adcanvas.com,tcp,downlink,1520
0.124654,media.adcanvas.com,tcp,downlink,1520
0.126452,media.adcanvas.com,tcp,downlink,1520
0.128251,media.adcanvas.com,tcp,downlink,1520
0.130050,media.adcanvas.com,tcp,downlink,1520
0.131849,media.adcanvas.com,tcp,downlink,1520
