time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.074171,media.adcanvas.com,tcp,downlink,1520
0.076522,media.adcanvas.com,tcp,downlink,1520
0.078874,media.adcanvas.com,tcp,downlink,1520
0.081225,media.adcanvas.com,tcp,downlink,1520
0.083576,media.adcanvas.com,tcp,downlink,1520
0.085928,media.adcanvas.com,tcp,downlink,1520
0.088279,media.adcanvas.com,tcp,downlink,1520
0.090631,media.adcanvas.com,tcp,downlink,1520
0.092982,media.adcanvas.com,tcp,downlink,1520
0.095333,media.adcanvas.com,tcp,downlink,1520
0.097685,media.adcanvas.com,tcp,downlink,1520
0.100036,media.adcanvas.com,tcp,downlink,1520
0.102387,media.adcanvas.com,tcp,downlink,1520
0.104739,media.adcanvas.com,tcp,downlink,1520
0.107090,media.adcanvas.com,tcp,downlink,1520
0.109441,media.adcanvas.com,tcp,downlink,1520
0.111793,media.adcanvas.com,tcp,downlink,1520
0.114144,media.adcanvas.com,tcp,downlink,1520
0.116495,media.adcanvas.com,tcp,downlink,1520
0.118847,media.adcanvas.com,tcp,downlink,1520
0.121198,media.adcanvas.com,tcp,downlink,1520
0.123550,media.adcanvas.com,tcp,downlink,1520
0.125901,media.adcanvas.com,tcp,downlink,1520
0.128252,media.adcanvas.com,tcp,downlink,1520
0.130604,media.adcanvas.com,tcp,downlink,1520
0.132955,media.adcanvas.com,tcp,downlink,1520
0.135306,media.adcanvas.com,tcp,downlink,1520
0.137658,media.adcanvas.com,tcp,downlink,1520
0.140009,media.adcanvas.com,tcp,downlink,1520
0.142360,media.adcanvas.com,tcp,downlink,1520
0.144712,media.adcanvas.com,tcp,downlink,1520
0.147063,media.adcanvas.com,tcp,downlink,1520
0.149414,media.adcanvas.com,tcp,downlink,1520
0.151766,media.adcanvas.com,tcp,downlink,1520
0.154117,media.adcanvas.com,tcp,downlink,1520
0.156469,media.adcanvas.com,tcp,downlink,1520
0.158820,media.adcanvas.com,tcp,downlink,1520
0.161171,media.adcanvas.com,tcp,downlink,1520
0.163523,media.adcanvas.com,tcp,downlink,1520
0.165874,media.adcanvas.com,tcp,downlink,1520
0.168225,media.adcanvas.com,tcp,downlink,1520
0.170577,media.adcanvas.com,tcp,downlink,414
0.177979,media.adcanvas.com,tcp,uplink,131
0.184245,media.adcanvas.com,tcp,uplink,132
0.184434,media.adcanvas.com,tcp,uplink,142
0.185429,media.adcanvas.com,tcp,uplink,112
0.186147,media.adcanvas.com,tcp,uplink,127
0.216375,media.adcanvas.com,tcp,downlink,1520
0.223171,media.adcanvas.com,tcp,downlink,1520
0.226942,media.adcanvas.com,tcp,downlink,1520
0.230713,media.adcanvas.com,tcp,downlink,1520
0.230788,media.adcanvas.com,tcp,downlink,1520
0.232018,media.adcanvas.com,tcp,downlink,1520
0.232062,media.adcanvas.com,tcp,downlink,1520
0.233335,media.adcanvas.com,tcp,downlink,1520
0.234484,media.adcanvas.com,tcp,downlink,1520
0.234609,media.adcanvas.com,tcp,downlink,1520
0.235883,media.adcanvas.com,tcp,downlink,1520
0.237156,media.adcanvas.com,tcp,downlink,1520
0.238255,media.adcanvas.com,tcp,downlink,1520
0.238430,media.adcanvas.com,tcp,downlink,1520
0.239704,media.adcanvas.com,tcp,downlink,1520
0.240977,media.adcanvas.com,tcp,downlink,1520
0.242026,media.adcanvas.com,tcp,downlink,1520
0.242251,media.adcanvas.com,tcp,downlink,1520
0.243525,media.adcanvas.com,tcp,downlink,1520
0.244798,media.adcanvas.com,tcp,downlink,1520
