time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.077572,media.adcanvas.com,tcp,downlink,1520
0.080045,media.adcanvas.com,tcp,downlink,1520
0.082518,media.adcanvas.com,tcp,downlink,1520
0.084990,media.adcanvas.com,tcp,downlink,1520
0.087463,media.adcanvas.com,tcp,downlink,1520
0.089936,media.adcanvas.com,tcp,downlink,1520
0.092409,media.adcanvas.com,tcp,downlink,1520
0.094882,media.adcanvas.com,tcp,downlink,1520
0.097355,media.adcanvas.com,tcp,downlink,1520
0.099827,media.adcanvas.com,tcp,downlink,1520
0.102300,media.adcanvas.com,tcp,downlink,1520
0.104773,media.adcanvas.com,tcp,downlink,1520
0.107246,media.adcanvas.com,tcp,downlink,1520
0.109719,media.adcanvas.com,tcp,downlink,1520
0.112192,media.adcanvas.com,tcp,downlink,1520
0.114665,media.adcanvas.com,tcp,downlink,1520
0.117137,media.adcanvas.com,tcp,downlink,1520
0.119610,media.adcanvas.com,tcp,downlink,1520
0.122083,media.adcanvas.com,tcp,downlink,1520
0.124556,media.adcanvas.com,tcp,downlink,1520
0.127029,media.adcanvas.com,tcp,downlink,1520
0.129501,media.adcanvas.com,tcp,downlink,1520
0.131974,media.adcanvas.com,tcp,downlink,1520
0.134447,media.adcanvas.com,tcp,downlink,1520
0.136920,media.adcanvas.com,tcp,downlink,1520
0.139393,media.adcanvas.com,tcp,downlink,1520
0.141866,media.adcanvas.com,tcp,downlink,1520
0.144339,media.adcanvas.com,tcp,downlink,1520
0.146811,media.adcanvas.com,tcp,downlink,1520
0.149284,media.adcanvas.com,tcp,downlink,1520
0.151757,media.adcanvas.com,tcp,downlink,1520
0.154230,media.adcanvas.com,tcp,downlink,1520
0.156703,media.adcanvas.com,tcp,downlink,1520
0.159175,media.adcanvas.com,tcp,downlink,1520
0.161648,media.adcanvas.com,tcp,downlink,1520
0.164121,media.adcanvas.com,tcp,downlink,1520
0.166594,media.adcanvas.com,tcp,downlink,1520
0.169067,media.adcanvas.com,tcp,downlink,1520
0.171540,media.adcanvas.com,tcp,downlink,1520
0.174013,media.adcanvas.com,tcp,downlink,1520
0.176485,media.adcanvas.com,tcp,downlink,1520
0.178958,media.adcanvas.com,tcp,downlink,762
0.187132,media.adcanvas.com,tcp,uplink,131
0.193778,media.adcanvas.com,tcp,uplink,132
0.193956,media.adcanvas.com,tcp,uplink,142
0.195090,media.adcanvas.com,tcp,uplink,112
0.195865,media.adcanvas.com,tcp,uplink,127
0.236713,media.adcanvas.com,tcp,downlink,1520
0.240873,media.adcanvas.com,tcp,downlink,1520
0.240990,media.adcanvas.com,tcp,downlink,1520
0.242180,media.adcanvas.com,tcp,downlink,1520
0.243370,media.adcanvas.com,tcp,downlink,1520
0.244560,media.adcanvas.com,tcp,downlink,1520
0.245034,media.adcanvas.com,tcp,downlink,1520
0.245612,media.adcanvas.com,tcp,downlink,1520
0.245751,media.adcanvas.com,tcp,downlink,1520
0.246772,media.adcanvas.com,tcp,downlink,1520
0.246941,media.adcanvas.com,tcp,downlink,1520
0.247933,media.adcanvas.com,tcp,downlink,1520
0.248131,media.adcanvas.com,tcp,downlink,1520
0.249093,media.adcanvas.com,tcp,downlink,1520
0.249194,media.adcanvas.com,tcp,downlink,1520
0.249321,media.adcanvas.com,tcp,downlink,1520
0.250254,media.adcanvas.com,tcp,downlink,1520
0.250511,media.adcanvas.com,tcp,downlink,1520
0.251414,media.adcanvas.com,tcp,downlink,1520
0.251701,media.adcanvas.com,tcp,downlink,1520
0.252574,media.adcanvas.com,tcp,downlink,1520
0.252891,media.adcanvas.com,tcp,downlink,1520
0.253355,media.adcanvas.com,tcp,downlink,1520
0.253735,media.adcanvas.com,tcp,downlink,1520
0.254082,media.adcanvas.com,tcp,downlink,1520
0.254895,media.adcanvas.com,tcp,downlink,1520
