time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.057006,media.adcanvas.com,tcp,downlink,1520
0.058787,media.adcanvas.com,tcp,downlink,1520
0.060567,media.adcanvas.com,tcp,downlink,1520
0.062348,media.adcanvas.com,tcp,downlink,1520
0.064129,media.adcanvas.com,tcp,downlink,1520
0.065910,media.adcanvas.com,tcp,downlink,1520
0.067690,media.adcanvas.com,tcp,downlink,1520
0.069471,media.adcanvas.com,tcp,downlink,1520
0.071252,media.adcanvas.com,tcp,downlink,1520
0.073033,media.adcanvas.com,tcp,downlink,1520
0.074813,media.adcanvas.com,tcp,downlink,1520
0.076594,media.adcanvas.com,tcp,downlink,1520
0.078375,media.adcanvas.com,tcp,downlink,1520
0.080156,media.adcanvas.com,tcp,downlink,1520
0.081936,media.adcanvas.com,tcp,downlink,1520
0.083717,media.adcanvas.com,tcp,downlink,1520
0.085498,media.adcanvas.com,tcp,downlink,1520
0.087278,media.adcanvas.com,tcp,downlink,1520
0.089059,media.adcanvas.com,tcp,downlink,1520
0.090840,media.adcanvas.com,tcp,downlink,1520
0.092621,media.adcanvas.com,tcp,downlink,1520
0.094401,media.adcanvas.com,tcp,downlink,1520
0.096182,media.adcanvas.com,tcp,downlink,1520
0.097963,media.adcanvas.com,tcp,downlink,1520
0.099744,media.adcanvas.com,tcp,downlink,1520
0.101524,media.adcanvas.com,tcp,downlink,1520
0.103305,media.adcanvas.com,tcp,downlink,1520
0.105086,media.adcanvas.com,tcp,downlink,1520
0.106866,media.adcanvas.com,tcp,downlink,1520
0.108647,media.adcanvas.com,tcp,downlink,1520
0.110428,media.adcanvas.com,tcp,downlink,1520
0.112209,media.adcanvas.com,tcp,downlink,1520
0.113989,media.adcanvas.com,tcp,downlink,1520
0.115770,media.adcanvas.com,tcp,downlink,1520
0.117551,media.adcanvas.com,tcp,downlink,1520
0.119332,media.adcanvas.com,tcp,downlink,1520
0.121112,media.adcanvas.com,tcp,downlink,1520
0.122893,media.adcanvas.com,tcp,downlink,1520
0.124674,media.adcanvas.com,tcp,downlink,1520
0.126455,media.adcanvas.com,tcp,downlink,1520
0.128235,media.adcanvas.com,tcp,downlink,1508
0.136366,media.adcanvas.com,tcp,uplink,131
0.143024,media.adcanvas.com,tcp,uplink,132
0.143182,media.adcanvas.com,tcp,uplink,112
0.144130,media.adcanvas.com,tcp,uplink,142
0.148893,media.adcanvas.com,tcp,uplink,127
0.166916,media.adcanvas.com,tcp,downlink,1520
0.179362,media.adcanvas.com,tcp,downlink,1520
0.191809,media.adcanvas.com,tcp,downlink,1301
0.200772,media.adcanvas.com,tcp,downlink,1520
0.201004,media.adcanvas.com,tcp,downlink,1520
0.201237,media.adcanvas.com,tcp,downlink,1520
0.201469,media.adcanvas.com,tcp,downlink,1520
0.201701,media.adcanvas.com,tcp,downlink,1520
0.201933,media.adcanvas.com,tcp,downlink,1520
0.202166,media.adcanvas.com,tcp,downlink,1520
