time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.089320,media.adcanvas.com,tcp,downlink,1520
0.092212,media.adcanvas.com,tcp,downlink,1520
0.095105,media.adcanvas.com,tcp,downlink,1520
0.097997,media.adcanvas.com,tcp,downlink,1520
0.100890,media.adcanvas.com,tcp,downlink,1520
0.103782,media.adcanvas.com,tcp,downlink,1520
0.106674,media.adcanvas.com,tcp,downlink,1520
0.109567,media.adcanvas.com,tcp,downlink,1520
0.112459,media.adcanvas.com,tcp,downlink,1520
0.115351,media.adcanvas.com,tcp,downlink,1520
0.118244,media.adcanvas.com,tcp,downlink,1520
0.121136,media.adcanvas.com,tcp,downlink,1520
0.124029,media.adcanvas.com,tcp,downlink,1520
0.126921,media.adcanvas.com,tcp,downlink,1520
0.129813,media.adcanvas.com,tcp,downlink,1520
0.132706,media.adcanvas.com,tcp,downlink,1520
0.135598,media.adcanvas.com,tcp,downlink,1520
0.138490,media.adcanvas.com,tcp,downlink,1520
0.141383,media.adcanvas.com,tcp,downlink,1520
0.144275,media.adcanvas.com,tcp,downlink,1520
0.147168,media.adcanvas.com,tcp,downlink,1520
0.150060,media.adcanvas.com,tcp,downlink,1520
0.152952,media.adcanvas.com,tcp,downlink,1520
0.155845,media.adcanvas.com,tcp,downlink,1520
0.158737,media.adcanvas.com,tcp,downlink,1520
0.161630,media.adcanvas.com,tcp,downlink,1520
0.164522,media.adcanvas.com,tcp,downlink,1520
0.167414,media.adcanvas.com,tcp,downlink,1520
0.170307,media.adcanvas.com,tcp,downlink,1520
0.173199,media.adcanvas.com,tcp,downlink,1520
0.176091,media.adcanvas.com,tcp,downlink,1520
0.178984,media.adcanvas.com,tcp,downlink,1520
0.181876,media.adcanvas.com,tcp,downlink,1520
0.184769,media.adcanvas.com,tcp,downlink,1520
0.187661,media.adcanvas.com,tcp,downlink,1520
0.190553,media.adcanvas.com,tcp,downlink,1520
0.193446,media.adcanvas.com,tcp,downlink,1520
0.196338,media.adcanvas.com,tcp,downlink,1520
0.199230,media.adcanvas.com,tcp,downlink,1520
0.202123,media.adcanvas.com,tcp,downlink,1520
0.205015,media.adcanvas.com,tcp,downlink,1520
0.207908,media.adcanvas.com,tcp,downlink,786
0.215670,media.adcanvas.com,tcp,uplink,131
0.222485,media.adcanvas.com,tcp,uplink,132
0.222677,media.adcanvas.com,tcp,uplink,142
0.223759,media.adcanvas.com,tcp,uplink,112
0.224580,media.adcanvas.com,tcp,uplink,127
0.298823,media.adcanvas.com,tcp,downlink,1520
0.300876,media.adcanvas.com,tcp,downlink,1520
0.301110,media.adcanvas.com,tcp,downlink,1520
0.301344,media.adcanvas.com,tcp,downlink,1520
0.301578,media.adcanvas.com,tcp,downlink,1520
0.301812,media.adcanvas.com,tcp,downlink,1520
0.302046,media.adcanvas.com,tcp,downlink,1520
0.302280,media.adcanvas.com,tcp,downlink,1520
0.302513,media.adcanvas.com,tcp,downlink,1520
0.302747,media.adcanvas.com,tcp,downlink,1520
0.302981,media.adcanvas.com,tcp,downlink,1520
0.303003,media.adcanvas.com,tcp,downlink,1520
0.303215,media.adcanvas.com,tcp,downlink,1520
0.303449,media.adcanvas.com,tcp,downlink,1520
0.303683,media.adcanvas.com,tcp,downlink,1520
0.303917,media.adcanvas.com,tcp,downlink,1520
0.304151,media.adcanvas.com,tcp,downlink,1520
0.304385,media.adcanvas.com,tcp,downlink,1520
0.304619,media.adcanvas.com,tcp,downlink,1520
0.304853,media.adcanvas.com,tcp,downlink,1520
0.305087,media.adcanvas.com,tcp,downlink,1520
0.305126,media.adcanvas.com,tcp,downlink,1520
0.305321,media.adcanvas.com,tcp,downlink,1520
0.305555,media.adcanvas.com,tcp,downlink,1520
0.305788,media.adcanvas.com,tcp,downlink,1520
0.306022,media.adcanvas.com,tcp,downlink,1520
0.306256,media.adcanvas.com,tcp,downlink,1520
0.306490,media.adcanvas.com,tcp,downlink,1520
0.306724,media.adcanvas.com,tcp,downlink,1520
0.306958,media.adcanvas.com,tcp,downlink,1520
0.307192,media.adcanvas.com,tcp,downlink,1520
0.307249,media.adcanvas.com,tcp,downlink,1520
0.307426,media.adcanvas.com,tcp,downlink,1520
0.307660,media.adcanvas.com,tcp,downlink,1520
0.307894,media.adcanvas.com,tcp,downlink,1520
0.308128,media.adcanvas.com,tcp,downlink,1520
0.308362,media.adcanvas.com,tcp,downlink,1520
0.308596,media.adcanvas.com,tcp,downlink,1520
0.308829,media.adcanvas.com,tcp,downlink,1520
0.309063,media.adcanvas.com,tcp,downlink,1520
0.309297,media.adcanvas.com,tcp,downlink,1520
0.309372,media.adcanvas.com,tcp,downlink,1520
0.309531,media.adcanvas.com,tcp,downlink,1520
0.309765,media.adcanvas.com,tcp,downlink,1520
0.309999,media.adcanvas.com,tcp,downlink,1520
0.310233,media.adcanvas.com,tcp,downlink,1520
0.310467,media.adcanvas.com,tcp,downlink,1520
0.310701,media.adcanvas.com,tcp,downlink,1520
0.310935,media.adcanvas.com,tcp,downlink,1520
0.311169,media.adcanvas.com,tcp,downlink,1520
0.311403,media.adcanvas.com,tcp,downlink,1520
0.311495,media.adcanvas.com,tcp,downlink,1520
0.311637,media.adcanvas.com,tcp,downlink,1520
0.311871,media.adcanvas.com,tcp,downlink,1520
0.312104,media.adcanvas.com,tcp,downlink,1520
0.312338,media.adcanvas.com,tcp,downlink,1520
0.312572,media.adcanvas.com,tcp,downlink,1520
0.312806,media.adcanvas.com,tcp,downlink,1520
0.313040,media.adcanvas.com,tcp,downlink,1520
0.313274,media.adcanvas.com,tcp,downlink,1520
0.313508,media.adcanvas.com,tcp,downlink,1520
0.313618,media.adcanvas.com,tcp,downlink,1520
0.313742,media.adcanvas.com,tcp,downlink,1520
0.313976,media.adcanvas.com,tcp,downlink,1520
0.314210,media.adcanvas.com,tcp,downlink,1520
0.314444,media.adcanvas.com,tcp,downlink,1520
0.314678,media.adcanvas.com,tcp,downlink,1520
0.314912,media.adcanvas.com,tcp,downlink,1520
0.315146,media.adcanvas.com,tcp,downlink,1520
0.315379,media.adcanvas.com,tcp,downlink,1520
0.315613,media.adcanvas.com,tcp,downlink,1520
0.315741,media.adcanvas.com,tcp,downlink,1520
0.315847,media.adcanvas.com,tcp,downlink,1520
0.316081,media.adcanvas.com,tcp,downlink,1520
0.316315,media.adcanvas.com,tcp,downlink,1520
0.316549,media.adcanvas.com,tcp,downlink,1520
0.316783,media.adcanvas.com,tcp,downlink,1520
0.317017,media.adcanvas.com,tcp,downlink,1520
