time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.059363,media.adcanvas.com,tcp,downlink,1520
0.061230,media.adcanvas.com,tcp,downlink,1520
0.063097,media.adcanvas.com,tcp,downlink,1520
0.064964,media.adcanvas.com,tcp,downlink,1520
0.066831,media.adcanvas.com,tcp,downlink,1520
0.068698,media.adcanvas.com,tcp,downlink,1520
0.070565,media.adcanvas.com,tcp,downlink,1520
0.072432,media.adcanvas.com,tcp,downlink,1520
0.074299,media.adcanvas.com,tcp,downlink,1520
0.076166,media.adcanvas.com,tcp,downlink,1520
0.078033,media.adcanvas.com,tcp,downlink,1520
0.079899,media.adcanvas.com,tcp,downlink,1520
0.081766,media.adcanvas.com,tcp,downlink,1520
0.083633,media.adcanvas.com,tcp,downlink,1520
0.085500,media.adcanvas.com,tcp,downlink,1520
0.087367,media.adcanvas.com,tcp,downlink,1520
0.089234,media.adcanvas.com,tcp,downlink,1520
0.091101,media.adcanvas.com,tcp,downlink,1520
0.092968,media.adcanvas.com,tcp,downlink,1520
0.094835,media.adcanvas.com,tcp,downlink,1520
0.096702,media.adcanvas.com,tcp,downlink,1520
0.098569,media.adcanvas.com,tcp,downlink,1520
0.100436,media.adcanvas.com,tcp,downlink,1520
0.102303,media.adcanvas.com,tcp,downlink,1520
0.104170,media.adcanvas.com,tcp,downlink,1520
0.106037,media.adcanvas.com,tcp,downlink,1520
0.107904,media.adcanvas.com,tcp,downlink,1520
0.109771,media.adcanvas.com,tcp,downlink,1520
0.111638,media.adcanvas.com,tcp,downlink,1520
0.113505,media.adcanvas.com,tcp,downlink,1520
0.115372,media.adcanvas.com,tcp,downlink,1520
0.117238,media.adcanvas.com,tcp,downlink,1520
0.119105,media.adcanvas.com,tcp,downlink,1520
0.120972,media.adcanvas.com,tcp,downlink,1520
0.122839,media.adcanvas.com,tcp,downlink,1520
0.124706,media.adcanvas.com,tcp,downlink,1520
0.126573,media.adcanvas.com,tcp,downlink,1520
0.128440,media.adcanvas.com,tcp,downlink,1520
0.130307,media.adcanvas.com,tcp,downlink,1520
0.132174,media.adcanvas.com,tcp,downlink,1520
0.134041,media.adcanvas.com,tcp,downlink,966
0.142436,media.adcanvas.com,tcp,uplink,131
0.148999,media.adcanvas.com,tcp,uplink,132
0.149396,media.adcanvas.com,tcp,uplink,142
0.149654,media.adcanvas.com,tcp,uplink,112
0.153186,media.adcanvas.com,tcp,uplink,127
0.218419,media.adcanvas.com,tcp,downlink,1520
0.248655,media.adcanvas.com,tcp,downlink,1520
0.252244,media.adcanvas.com,tcp,downlink,1520
0.266648,media.adcanvas.com,tcp,downlink,1520
0.267327,media.adcanvas.com,tcp,downlink,1520
