time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.073106,media.adcanvas.com,tcp,downlink,1520
0.075476,media.adcanvas.com,tcp,downlink,1520
0.077846,media.adcanvas.com,tcp,downlink,1520
0.080215,media.adcanvas.com,tcp,downlink,1520
0.082585,media.adcanvas.com,tcp,downlink,1520
0.084955,media.adcanvas.com,tcp,downlink,1520
0.087325,media.adcanvas.com,tcp,downlink,1520
0.089694,media.adcanvas.com,tcp,downlink,1520
0.092064,media.adcanvas.com,tcp,downlink,1520
0.094434,media.adcanvas.com,tcp,downlink,1520
0.096804,media.adcanvas.com,tcp,downlink,1520
0.099173,media.adcanvas.com,tcp,downlink,1520
0.101543,media.adcanvas.com,tcp,downlink,1520
0.103913,media.adcanvas.com,tcp,downlink,1520
0.106283,media.adcanvas.com,tcp,downlink,1520
0.108652,media.adcanvas.com,tcp,downlink,1520
0.111022,media.adcanvas.com,tcp,downlink,1520
0.113392,media.adcanvas.com,tcp,downlink,1520
0.115762,media.adcanvas.com,tcp,downlink,1520
0.118131,media.adcanvas.com,tcp,downlink,1520
0.120501,media.adcanvas.com,tcp,downlink,1520
0.122871,media.adcanvas.com,tcp,downlink,1520
0.125241,media.adcanvas.com,tcp,downlink,1520
0.127610,media.adcanvas.com,tcp,downlink,1520
0.129980,media.adcanvas.com,tcp,downlink,1520
0.132350,media.adcanvas.com,tcp,downlink,1520
0.134720,media.adcanvas.com,tcp,downlink,1520
0.137089,media.adcanvas.com,tcp,downlink,1520
0.139459,media.adcanvas.com,tcp,downlink,1520
0.141829,media.adcanvas.com,tcp,downlink,1520
0.144199,media.adcanvas.com,tcp,downlink,1520
0.146568,media.adcanvas.com,tcp,downlink,1520
0.148938,media.adcanvas.com,tcp,downlink,1520
0.151308,media.adcanvas.com,tcp,downlink,1520
0.153678,media.adcanvas.com,tcp,downlink,1520
0.156047,media.adcanvas.com,tcp,downlink,1520
0.158417,media.adcanvas.com,tcp,downlink,1520
0.160787,media.adcanvas.com,tcp,downlink,1520
0.163157,media.adcanvas.com,tcp,downlink,1520
0.165526,media.adcanvas.com,tcp,downlink,1520
0.167896,media.adcanvas.com,tcp,downlink,1447
0.175251,media.adcanvas.com,tcp,uplink,131
0.181263,media.adcanvas.com,tcp,uplink,132
0.181441,media.adcanvas.com,tcp,uplink,142
0.182540,media.adcanvas.com,tcp,uplink,112
0.183187,media.adcanvas.com,tcp,uplink,127
0.210686,media.adcanvas.com,tcp,downlink,1520
0.217447,media.adcanvas.com,tcp,downlink,1520
0.220668,media.adcanvas.com,tcp,downlink,1520
0.223889,media.adcanvas.com,tcp,downlink,1520
0.225122,media.adcanvas.com,tcp,downlink,1520
0.227110,media.adcanvas.com,tcp,downlink,1520
0.230331,media.adcanvas.com,tcp,downlink,1520
0.233552,media.adcanvas.com,tcp,downlink,1520
0.235484,media.adcanvas.com,tcp,downlink,1520
0.236773,media.adcanvas.com,tcp,downlink,1520
0.236918,media.adcanvas.com,tcp,downlink,1520
0.238352,media.adcanvas.com,tcp,downlink,1520
0.239559,media.adcanvas.com,tcp,downlink,1281
0.239786,media.adcanvas.com,tcp,downlink,1520
0.239994,media.adcanvas.com,tcp,downlink,1520
0.241220,media.adcanvas.com,tcp,downlink,1520
0.242654,media.adcanvas.com,tcp,downlink,1520
0.243215,media.adcanvas.com,tcp,downlink,1520
0.244054,media.adcanvas.com,tcp,downlink,1520
0.244088,media.adcanvas.com,tcp,downlink,1520
0.245522,media.adcanvas.com,tcp,downlink,1520
0.246436,media.adcanvas.com,tcp,downlink,1520
0.246956,media.adcanvas.com,tcp,downlink,1520
0.248390,media.adcanvas.com,tcp,downlink,1520
0.249657,media.adcanvas.com,tcp,downlink,1520
0.249824,media.adcanvas.com,tcp,downlink,1520
0.251258,media.adcanvas.com,tcp,downlink,1520
0.252692,media.adcanvas.com,tcp,downlink,1520
0.252878,media.adcanvas.com,tcp,downlink,1520
0.253101,media.adcanvas.com,tcp,downlink,1520
0.254126,media.adcanvas.com,tcp,downlink,1520
0.255560,media.adcanvas.com,tcp,downlink,1520
0.256099,media.adcanvas.com,tcp,downlink,200
0.256994,media.adcanvas.com,tcp,downlink,1520
0.258185,analytics.adcanvas.com,tcp,uplink,503
0.258428,media.adcanvas.com,tcp,downlink,1520
0.259862,media.adcanvas.com,tcp,downlink,1520
0.261296,media.adcanvas.com,tcp,downlink,1520
0.262147,media.adcanvas.com,tcp,downlink,1520
0.262730,media.adcanvas.com,tcp,downlink,1520
0.264164,media.adcanvas.com,tcp,downlink,1520
0.265598,media.adcanvas.com,tcp,downlink,1520
0.267032,media.adcanvas.com,tcp,downlink,1520
0.268466,media.adcanvas.com,tcp,downlink,1520
0.269186,analytics.adcanvas.com,tcp,uplink,589
0.269900,media.adcanvas.com,tcp,downlink,1520
0.271194,media.adcanvas.com,tcp,downlink,1520
0.271333,media.adcanvas.com,tcp,downlink,1520
0.272767,media.adcanvas.com,tcp,downlink,1520
0.274201,media.adcanvas.com,tcp,downlink,1520
0.275635,media.adcanvas.com,tcp,downlink,1520
0.277069,media.adcanvas.com,tcp,downlink,1520
0.278503,media.adcanvas.com,tcp,downlink,1520
0.279937,media.adcanvas.com,tcp,downlink,1520
0.280240,media.adcanvas.com,tcp,downlink,1520
0.281371,media.adcanvas.com,tcp,downlink,1520
0.282805,media.adcanvas.com,tcp,downlink,1520
0.284239,media.adcanvas.com,tcp,downlink,1520
0.285673,media.adcanvas.com,tcp,downlink,1520
0.287107,media.adcanvas.com,tcp,downlink,1520
0.288541,media.adcanvas.com,tcp,downlink,1520
0.289287,media.adcanvas.com,tcp,downlink,1520
0.289975,media.adcanvas.com,tcp,downlink,1520
0.291409,media.adcanvas.com,tcp,downlink,1520
0.292843,media.adcanvas.com,tcp,downlink,1520
0.294277,media.adcanvas.com,tcp,downlink,1520
0.294640,analytics.adcanvas.com,tcp,downlink,305
0.295711,media.adcanvas.com,tcp,downlink,1520
0.297145,media.adcanvas.com,tcp,downlink,1520
0.298333,media.adcanvas.com,tcp,downlink,1520
0.298579,media.adcanvas.com,tcp,downlink,1520
0.300013,media.adcanvas.com,tcp,downlink,1520
0.301447,media.adcanvas.com,tcp,downlink,1520
0.302881,media.adcanvas.com,tcp,downlink,1081
0.307380,media.adcanvas.com,tcp,downlink,1520
0.309518,analytics.adcanvas.com,tcp,downlink,305
0.316426,media.adcanvas.com,tcp,downlink,611
0.366819,analytics.adcanvas.com,tcp,uplink,582
0.366946,analytics.adcanvas.com,tcp,uplink,590
0.367032,analytics.adcanvas.com,tcp,uplink,583
0.369759,media.adcanvas.com,tcp,uplink,143
0.369957,media.adcanvas.com,tcp,uplink,143
0.370066,media.adcanvas.com,tcp,uplink,143
0.370185,media.adcanvas.com,tcp,uplink,143
0.372290,analytics.adcanvas.com,tcp,uplink,583
0.433113,analytics.adcanvas.com,tcp,downlink,305
0.433161,analytics.adcanvas.com,tcp,downlink,305
0.433267,analytics.adcanvas.com,tcp,downlink,305
0.438385,analytics.adcanvas.com,tcp,downlink,305
0.474892,media.adcanvas.com,tcp,downlink,1520
0.475139,media.adcanvas.com,tcp,downlink,1520
0.476000,media.adcanvas.com,tcp,downlink,1520
0.476247,media.adcanvas.com,tcp,downlink,1520
0.477109,media.adcanvas.com,tcp,downlink,1520
0.477354,media.adcanvas.com,tcp,downlink,1520
