time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.089247,media.adcanvas.com,tcp,downlink,1520
0.092207,media.adcanvas.com,tcp,downlink,1520
0.095168,media.adcanvas.com,tcp,downlink,1520
0.098128,media.adcanvas.com,tcp,downlink,1520
0.101088,media.adcanvas.com,tcp,downlink,1520
0.104048,media.adcanvas.com,tcp,downlink,1520
0.107009,media.adcanvas.com,tcp,downlink,1520
0.109969,media.adcanvas.com,tcp,downlink,1520
0.112929,media.adcanvas.com,tcp,downlink,1520
0.115889,media.adcanvas.com,tcp,downlink,1520
0.118850,media.adcanvas.com,tcp,downlink,1520
0.121810,media.adcanvas.com,tcp,downlink,1520
0.124770,media.adcanvas.com,tcp,downlink,1520
0.127730,media.adcanvas.com,tcp,downlink,1520
0.130691,media.adcanvas.com,tcp,downlink,1520
0.133651,media.adcanvas.com,tcp,downlink,1520
0.136611,media.adcanvas.com,tcp,downlink,1520
0.139572,media.adcanvas.com,tcp,downlink,1520
0.142532,media.adcanvas.com,tcp,downlink,1520
0.145492,media.adcanvas.com,tcp,downlink,1520
0.148452,media.adcanvas.com,tcp,downlink,1520
0.151413,media.adcanvas.com,tcp,downlink,1520
0.154373,media.adcanvas.com,tcp,downlink,1520
0.157333,media.adcanvas.com,tcp,downlink,1520
0.160293,media.adcanvas.com,tcp,downlink,1520
0.163254,media.adcanvas.com,tcp,downlink,1520
0.166214,media.adcanvas.com,tcp,downlink,1520
0.169174,media.adcanvas.com,tcp,downlink,1520
0.172135,media.adcanvas.com,tcp,downlink,1520
0.175095,media.adcanvas.com,tcp,downlink,1520
0.178055,media.adcanvas.com,tcp,downlink,1520
0.181015,media.adcanvas.com,tcp,downlink,1520
0.183976,media.adcanvas.com,tcp,downlink,1520
0.186936,media.adcanvas.com,tcp,downlink,1520
0.189896,media.adcanvas.com,tcp,downlink,1520
0.192856,media.adcanvas.com,tcp,downlink,1520
