time_offset_s,conn_id,protocol,direction,packet_size_bytes
0.000000,media.adcanvas.com,tcp,uplink,192
0.061802,media.adcanvas.com,tcp,downlink,1520
0.063758,media.adcanvas.com,tcp,downlink,1520
0.065714,media.adcanvas.com,tcp,downlink,1520
0.067670,media.adcanvas.com,tcp,downlink,1520
0.069627,media.adcanvas.com,tcp,downlink,1520
0.071583,media.adcanvas.com,tcp,downlink,1520
0.073539,media.adcanvas.com,tcp,downlink,1520
0.075495,media.adcanvas.com,tcp,downlink,1520
0.077451,media.adcanvas.com,tcp,downlink,1520
0.079407,media.adcanvas.com,tcp,downlink,1520
0.081363,media.adcanvas.com,tcp,downlink,1520
0.083320,media.adcanvas.com,tcp,downlink,1520
0.085276,media.adcanvas.com,tcp,downlink,1520
0.087232,media.adcanvas.com,tcp,downlink,1520
0.089188,media.adcanvas.com,tcp,downlink,1520
0.091144,media.adcanvas.com,tcp,downlink,1520
0.093100,media.adcanvas.com,tcp,downlink,1520
0.095056,media.adcanvas.com,tcp,downlink,1520
0.097013,media.adcanvas.com,tcp,downlink,1520
0.098969,media.adcanvas.com,tcp,downlink,1520
0.100925,media.adcanvas.com,tcp,downlink,1520
0.102881,media.adcanvas.com,tcp,downlink,1520
0.104837,media.adcanvas.com,tcp,downlink,1520
0.106793,media.adcanvas.com,tcp,downlink,1520
0.108750,media.adcanvas.com,tcp,downlink,1520
0.110706,media.adcanvas.com,tcp,downlink,1520
0.112662,media.adcanvas.com,tcp,downlink,1520
0.114618,media.adcanvas.com,tcp,downlink,1520
0.116574,media.adcanvas.com,tcp,downlink,1520
0.118530,media.adcanvas.com,tcp,downlink,1520
0.120486,media.adcanvas.com,tcp,downlink,1520
0.122443,media.adcanvas.com,tcp,downlink,1520
0.124399,media.adcanvas.com,tcp,downlink,1520
0.126355,media.adcanvas.com,tcp,downlink,1520
0.128311,media.adcanvas.com,tcp,downlink,1520
0.130267,media.adcanvas.com,tcp,downlink,1520
0.132223,media.adcanvas.com,tcp,downlink,1520
0.134179,media.adcanvas.com,tcp,downlink,1520
0.136136,media.adcanvas.com,tcp,downlink,1520
0.138092,media.adcanvas.com,tcp,downlink,1520
0.140048,media.adcanvas.com,tcp,downlink,1117
0.146715,media.adcanvas.com,tcp,uplink,131
0.152286,media.adcanvas.com,tcp,uplink,132
0.152436,media.adcanvas.com,tcp,uplink,142
0.153312,media.adcanvas.com,tcp,uplink,112
0.154071,media.adcanvas.com,tcp,uplink,127
0.181498,media.adcanvas.com,tcp,downlink,1520
0.185688,media.adcanvas.com,tcp,downlink,1520
0.189879,media.adcanvas.com,tcp,downlink,1520
0.194069,media.adcanvas.com,tcp,downlink,1520
0.198259,media.adcanvas.com,tcp,downlink,1520
0.198474,media.adcanvas.com,tcp,downlink,1520
0.199260,media.adcanvas.com,tcp,downlink,1520
0.200045,media.adcanvas.com,tcp,downlink,1520
0.200831,media.adcanvas.com,tcp,downlink,1520
0.201616,media.adcanvas.com,tcp,downlink,1520
0.202402,media.adcanvas.com,tcp,downlink,1520
0.202449,media.adcanvas.com,tcp,downlink,1520
0.203187,media.adcanvas.com,tcp,downlink,1520
0.203973,media.adcanvas.com,tcp,downlink,1520
0.204758,media.adcanvas.com,tcp,downlink,1520
0.205544,media.adcanvas.com,tcp,downlink,1520
0.206329,media.adcanvas.com,tcp,downlink,1520
0.206640,media.adcanvas.com,tcp,downlink,1520
0.207115,media.adcanvas.com,tcp,downlink,1520
0.207900,media.adcanvas.com,tcp,downlink,1520
0.208686,media.adcanvas.com,tcp,downlink,1520
0.209471,media.adcanvas.com,tcp,downlink,1520
0.210257,media.adcanvas.com,tcp,downlink,1520
0.210830,media.adcanvas.com,tcp,downlink,1236
0.211042,media.adcanvas.com,tcp,downlink,1520
0.211828,media.adcanvas.com,tcp,downlink,1520
0.212613,media.adcanvas.com,tcp,downlink,1520
0.213399,media.adcanvas.com,tcp,downlink,1520
0.214185,media.adcanvas.com,tcp,downlink,1520
0.214970,media.adcanvas.com,tcp,downlink,1520
0.215712,media.adcanvas.com,tcp,downlink,1520
0.215756,media.adcanvas.com,tcp,downlink,1520
0.216541,media.adcanvas.com,tcp,downlink,1520
0.217327,media.adcanvas.com,tcp,downlink,1520
0.218112,media.adcanvas.com,tcp,downlink,1520
0.218898,media.adcanvas.com,tcp,downlink,1520
0.219683,media.adcanvas.com,tcp,downlink,1520
0.220469,media.adcanvas.com,tcp,downlink,1520
0.221254,media.adcanvas.com,tcp,downlink,1520
0.222040,media.adcanvas.com,tcp,downlink,1520
0.222825,media.adcanvas.com,tcp,downlink,1520
